env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-74.2379,693.1,,,,,,,,,,,,,,,,,,
77,,,77,-112.5986,3.2499,,,,,,,,,,,,,,,
120,,,43,-121.4186,22.037,,,,,,,,,,,,,,,
241,,,121,-121.6589,20.8264,,,,,,,,,,,,,,,
294,,,53,-115.3554,19.6733,,,,,,,,,,,,,,,
348,,,54,-116.7408,19.6895,,,,,,,,,,,,,,,
500,,,,,,50,45,1,106.5276,1.3953,0.0137,0.206,0.0148,2.9457,10.4041,2.9563,-0.3723,17.9476,17.7707,0.0189
526,,,178,-128.4684,20.1661,,,,,,,,,,,,,,,
601,,,75,-113.3397,20.7255,,,,,,,,,,,,,,,
655,,,54,-114.8785,20.0499,,,,,,,,,,,,,,,
727,,,72,-112.6853,20.0646,,,,,,,,,,,,,,,
782,,,55,-115.4435,20.0169,,,,,,,,,,,,,,,
827,,,45,-122.6151,20.5338,,,,,,,,,,,,,,,
884,,,57,-119.3507,21.9746,,,,,,,,,,,,,,,
1000,,,,,,50,18,1,159.5578,1.6928,0.4051,0.4078,0.4071,40.9866,48.7152,40.8765,-0.5553,13.1642,10.6446,0.0021
1500,,,,,,50,4,1,195.2522,1.3593,0.4035,0.2131,0.4045,42.4049,19.874,41.6814,-0.3191,1.4372,14.799,0.0006
