env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-111.4964,103.2,,,,,,,,,,,,,
46,,,46,-110.1329,5.0223,,,,,,,,,,
93,,,47,-115.9614,44.964,,,,,,,,,,
162,,,69,-114.8584,39.8469,,,,,,,,,,
204,,,42,-115.532,38.9649,,,,,,,,,,
243,,,39,-114.5446,39.3382,,,,,,,,,,
297,,,54,-114.7466,40.0354,,,,,,,,,,
359,,,62,-116.8989,41.5566,,,,,,,,,,
416,,,57,-116.8727,42.0373,,,,,,,,,,
500,,,,,,1.1319,0.9045,0.433,0.1138,1.5281,1.4122,-0.353,12.6207,6.6741,0.0066
500,,,84,-121.5246,42.0857,,,,,,,,,,
544,,,44,-114.5779,48.2632,,,,,,,,,,
598,,,54,-120.7309,46.1926,,,,,,,,,,
640,,,42,-122.1303,46.7452,,,,,,,,,,
692,,,52,-116.5611,46.2497,,,,,,,,,,
917,,,225,-136.4287,42.5008,,,,,,,,,,
1000,,,,,,0.9022,0.5272,0.3368,0.5721,1.5933,0.8275,-0.3123,9.6231,36.6351,0.0368
1018,,,101,-114.2854,42.2097,,,,,,,,,,
1218,,,200,-116.6553,45.6526,,,,,,,,,,
1261,,,43,-119.5328,44.4994,,,,,,,,,,
1351,,,90,-119.5134,40.9697,,,,,,,,,,
1500,,,,,,0.9217,0.5264,0.3953,1.2333,1.7031,0.7883,-0.3868,1.0242,12.9776,0.0424
1629,,,278,-126.8985,41.9834,,,,,,,,,,
1737,,,108,-119.9572,45.9729,,,,,,,,,,
1777,,,40,-116.8138,44.1028,,,,,,,,,,
1890,,,113,-117.461,38.1405,,,,,,,,,,
1998,,,108,-118.3203,38.9382,,,,,,,,,,
2000,,,,,,0.7894,1.312,0.3281,2.3527,1.9383,1.468,-0.3038,0.9178,7.9748,0.1516
2070,,,72,-112.6011,41.2148,,,,,,,,,,
2218,,,148,-114.9175,39.2173,,,,,,,,,,
2306,,,88,-117.1421,41.092,,,,,,,,,,
2391,,,85,-120.7173,39.9568,,,,,,,,,,
2438,,,47,-121.9443,41.4837,,,,,,,,,,
2500,,,,,,0.7825,1.3249,0.3447,3.6503,1.4517,1.4326,-0.3376,0.6673,6.6762,0.0794
2514,,,76,-119.93,41.8129,,,,,,,,,,
2603,,,89,-119.4015,40.9243,,,,,,,,,,
2699,,,96,-125.753,43.7708,,,,,,,,,,
2812,,,113,-120.5206,44.5126,,,,,,,,,,
2872,,,60,-116.0927,41.4681,,,,,,,,,,
2958,,,86,-120.1584,38.6977,,,,,,,,,,
3000,,,,,,0.7612,1.3311,0.2997,5.3734,1.2614,1.4528,-0.2986,1.0817,12.4828,0.0267
3069,,,111,-115.2304,40.4293,,,,,,,,,,
3158,,,89,-122.0769,40.9439,,,,,,,,,,
3209,,,51,-117.9158,40.2019,,,,,,,,,,
3367,,,158,-126.8394,36.1265,,,,,,,,,,
3416,,,49,-120.5881,35.7877,,,,,,,,,,
3500,,,,,,0.7227,1.3299,0.2856,5.5607,1.2025,1.4335,-0.289,1.1421,12.6418,0.2762
3612,,,196,-132.2698,38.4348,,,,,,,,,,
3658,,,46,-122.22,36.9489,,,,,,,,,,
3725,,,67,-118.6658,38.3487,,,,,,,,,,
3950,,,225,-122.7866,45.737,,,,,,,,,,
4000,,,,,,0.5987,0.1562,0.2357,4.3338,0.9289,0.2379,-0.2388,2.6693,24.6381,0.081
