env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-89.7258,382.0,,,,,,,,,,,,,,,,
93,,,93,-122.579,63.9604,,,,,,,,,,,,,
139,,,46,-116.1008,81.7262,,,,,,,,,,,,,
227,,,88,-120.6464,80.4127,,,,,,,,,,,,,
292,,,65,-117.1283,80.1163,,,,,,,,,,,,,
376,,,84,-118.4063,79.234,,,,,,,,,,,,,
421,,,45,-122.0578,77.8405,,,,,,,,,,,,,
467,,,46,-121.9425,77.8311,,,,,,,,,,,,,
500,,,,,,50,14,3,167.3248,26.1072,-16.4249,-43.018,26.5425,113.6012,26.1072,0.4995,5.7582,0.0
549,,,82,-109.5341,77.7835,,,,,,,,,,,,,
