env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-85.0096,401.8,,,,,,,,,,
87,,,87,-116.2614,15.0255,,,,,,,
169,,,82,-119.9092,80.5058,,,,,,,
238,,,69,-114.2753,84.7177,,,,,,,
307,,,69,-112.4617,87.3317,,,,,,,
353,,,46,-122.3659,89.1159,,,,,,,
397,,,44,-122.3581,89.0739,,,,,,,
451,,,54,-112.4005,88.6009,,,,,,,
500,,,,,,66.3284,67.0329,480.8004,66.3284,34.6948,19.8194,0.015
502,,,51,-112.8194,88.645,,,,,,,
563,,,61,-116.4877,87.9363,,,,,,,
623,,,60,-117.0234,88.4122,,,,,,,
794,,,171,-116.6418,88.5421,,,,,,,
852,,,58,-112.4381,88.8708,,,,,,,
1000,,,,,,120.2352,120.0512,511.3728,120.2352,8.3267,25.1963,0.0039
1034,,,182,-117.53,87.0701,,,,,,,
1076,,,42,-121.5958,84.4719,,,,,,,
1161,,,85,-117.0733,84.4338,,,,,,,
1246,,,85,-115.0191,86.0445,,,,,,,
1323,,,77,-113.241,85.9971,,,,,,,
1414,,,91,-118.6369,86.6733,,,,,,,
1500,,,,,,161.2887,162.4008,710.6088,161.2887,1.6283,25.124,0.0
1537,,,123,-120.6399,84.4045,,,,,,,
1638,,,101,-118.7133,85.581,,,,,,,
1736,,,98,-114.8194,85.0571,,,,,,,
1840,,,104,-117.1703,83.7535,,,,,,,
2000,,,,,,185.5208,186.9476,561.1239,185.5208,0.6557,6.9661,0.6703
2072,,,232,-124.8189,86.0248,,,,,,,
2168,,,96,-106.4072,86.0916,,,,,,,
2220,,,52,-107.5564,87.5454,,,,,,,
2293,,,73,-104.2494,85.6672,,,,,,,
2346,,,53,-107.3093,85.4825,,,,,,,
2409,,,63,-105.0589,86.1436,,,,,,,
2481,,,72,-102.406,85.4701,,,,,,,
2500,,,,,,244.8938,246.8903,573.7269,244.8938,0.5723,10.1118,0.0147
2547,,,66,-104.5329,86.6854,,,,,,,
2597,,,50,-106.1633,87.0866,,,,,,,
2658,,,61,-104.0157,84.6536,,,,,,,
2731,,,73,-103.9931,86.5211,,,,,,,
2816,,,85,-123.8358,85.3649,,,,,,,
2866,,,50,-102.99,83.5746,,,,,,,
2925,,,59,-105.2893,83.4142,,,,,,,
2996,,,71,-105.5988,86.3067,,,,,,,
3000,,,,,,332.5054,335.4091,893.3522,332.5054,1.453,11.1372,0.0388
3127,,,131,-138.2038,86.0146,,,,,,,
3177,,,50,-107.6014,86.8524,,,,,,,
3240,,,63,-107.2036,84.5891,,,,,,,
3286,,,46,-117.9831,83.175,,,,,,,
3344,,,58,-108.6033,85.7292,,,,,,,
3401,,,57,-105.9353,88.0213,,,,,,,
3470,,,69,-123.3037,86.8056,,,,,,,
3500,,,,,,384.8958,386.9474,1060.5828,384.8958,3.0595,42.9393,0.0508
3559,,,89,-111.2282,84.2413,,,,,,,
3623,,,64,-103.7941,89.0688,,,,,,,
3682,,,59,-107.6023,85.2966,,,,,,,
3749,,,67,-106.5704,84.9891,,,,,,,
3800,,,51,-107.7081,83.7084,,,,,,,
3873,,,73,-105.0667,85.8505,,,,,,,
3924,,,51,-107.6465,88.5804,,,,,,,
3989,,,65,-103.5796,88.4491,,,,,,,
4000,,,,,,466.2779,471.4297,1229.0896,466.2779,3.8549,38.625,0.0595
4048,,,59,-105.5309,88.6214,,,,,,,
4120,,,72,-103.0273,88.1393,,,,,,,
4194,,,74,-125.8789,86.5134,,,,,,,
4426,,,232,-117.6831,83.1257,,,,,,,
