env_steps,return,length,train/length,train/return,FPS,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
0,-89.7258,382.0,,,,,,,,,,,
82,,,82,-117.223,67.3555,,,,,,,,
336,,,254,-128.2786,81.0436,,,,,,,,
418,,,82,-120.7498,82.9156,,,,,,,,
500,,,,,,26.3441,-22.9905,-22.7751,26.7333,230.3215,0.211,4.3472,0.0
509,,,91,-112.2915,82.6484,,,,,,,,
553,,,44,-122.0909,79.9699,,,,,,,,
650,,,97,-118.3767,81.3346,,,,,,,,
703,,,53,-116.8954,82.5333,,,,,,,,
759,,,56,-118.4452,82.7885,,,,,,,,
804,,,45,-119.9127,82.4631,,,,,,,,
848,,,44,-116.7786,81.6511,,,,,,,,
943,,,95,-115.9096,85.6205,,,,,,,,
1000,,,,,,103.1598,-41.6899,-42.0374,104.1221,597.3773,21.779,8.3421,0.0021
1121,,,178,-116.7295,91.2037,,,,,,,,
1165,,,44,-115.2895,81.9144,,,,,,,,
1218,,,53,-115.8325,80.7776,,,,,,,,
1339,,,121,-115.3818,82.3249,,,,,,,,
1500,,,,,,143.9557,-43.1845,-43.5355,145.3048,514.7514,39.6815,14.8882,0.0029
1516,,,177,-128.3153,82.9938,,,,,,,,
1569,,,53,-111.963,82.68,,,,,,,,
1712,,,143,-125.4754,82.8994,,,,,,,,
1796,,,84,-126.6871,82.713,,,,,,,,
1862,,,66,-103.638,82.8655,,,,,,,,
1913,,,51,-104.9802,82.7693,,,,,,,,
1994,,,81,-104.0056,82.7844,,,,,,,,
2000,,,,,,175.2183,-43.6865,-43.891,176.6767,573.0727,37.2708,9.7623,0.1071
2089,,,95,-105.6737,84.358,,,,,,,,
2500,,,,,,198.3058,-43.8156,-43.9624,200.6895,748.9056,0.86,4.6569,0.1035
3000,,,,,,215.8337,-43.9286,-43.9999,220.3233,588.5109,0.5253,7.0265,0.1447
3500,,,,,,241.1938,-44.0651,-44.0868,245.3517,919.1682,0.8493,8.8861,0.0299
3689,,,1600,-132.5297,82.9943,,,,,,,,
4000,,,,,,301.2155,-44.0993,-44.0849,306.0818,904.0333,0.4183,9.7465,0.0654
4500,,,,,,319.4424,-44.1344,-44.117,323.4605,1161.8954,1.7695,11.1024,0.0505
5000,,,,,,362.403,-44.1368,-44.1037,368.2245,1560.3994,0.448,14.4041,0.0202
5000,-180.8573,1600.0,,,,,,,,,,,
5289,,,1600,-140.4741,48.1902,,,,,,,,
5500,,,,,,442.024,-44.1563,-44.1285,446.408,1699.7,0.7741,28.1354,0.0888
6000,,,,,,426.0702,-44.1633,-44.1476,430.5746,1791.1362,0.6406,20.5696,0.0664
6500,,,,,,544.5778,-44.1753,-44.1556,550.4926,2983.7209,0.863,34.411,0.0484
6889,,,1600,-138.6719,82.1515,,,,,,,,
6942,,,53,-108.1755,83.2666,,,,,,,,
7000,,,,,,537.7828,-44.1758,-44.1624,542.1894,2637.001,1.0495,20.4832,0.0589
7041,,,99,-104.9692,82.8953,,,,,,,,
7091,,,50,-107.2973,83.2088,,,,,,,,
7144,,,53,-106.3228,83.0527,,,,,,,,
7221,,,77,-106.5509,83.0611,,,,,,,,
7274,,,53,-109.0765,83.2406,,,,,,,,
7390,,,116,-101.9749,83.1349,,,,,,,,
7447,,,57,-109.0122,83.3316,,,,,,,,
7500,,,,,,645.9712,-44.1792,-44.1754,651.1957,3041.9802,0.6142,10.224,0.0663
7656,,,209,-146.4762,83.1584,,,,,,,,
7719,,,63,-109.0505,83.217,,,,,,,,
7783,,,64,-108.8899,82.7002,,,,,,,,
7929,,,146,-139.7707,82.5337,,,,,,,,
7993,,,64,-109.5854,82.7464,,,,,,,,
8000,,,,,,686.881,-44.1797,-44.1737,692.2053,5566.4204,2.4205,75.4734,0.1158
8051,,,58,-107.1356,83.51,,,,,,,,
8116,,,65,-107.7524,83.8202,,,,,,,,
8169,,,53,-107.2847,82.8366,,,,,,,,
8215,,,46,-107.6881,84.4182,,,,,,,,
8280,,,65,-111.0,84.6209,,,,,,,,
8346,,,66,-109.2302,84.4451,,,,,,,,
8410,,,64,-106.9502,83.351,,,,,,,,
8461,,,51,-109.3172,83.616,,,,,,,,
