env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-49.1116,1000.0,,,,,,,,,,,,
500,,,50,50,8,25.5063,0.6096,0.5465,0.1852,0.846,0.1177,,,
1000,,,50,50,9,32.5985,0.3075,1.0814,0.2842,0.9797,0.2775,,,
1000,,,,,,,,,,,,1000,-309.3121,30.1384
1500,,,50,50,10,33.0844,0.5477,0.8759,0.407,3.002,0.3424,,,
2000,,,50,50,12,31.9995,0.014,1.07,0.4097,2.6408,0.328,,,
2000,,,,,,,,,,,,1000,-329.2449,30.8572
2500,,,50,50,14,31.9912,-0.7126,1.5294,0.5326,2.9581,0.6654,,,
3000,,,50,50,15,30.9356,-1.2789,1.5264,0.5569,4.3132,0.9795,,,
3000,,,,,,,,,,,,1000,-288.3551,30.3391
3500,,,50,50,15,29.3525,-1.886,1.1884,0.559,4.8061,0.6611,,,
4000,,,50,50,15,31.9091,-2.7929,1.5903,0.6098,7.1621,1.0546,,,
4000,,,,,,,,,,,,1000,-191.9422,21.9888
4500,,,50,50,15,32.3865,-3.739,1.7182,0.6328,8.7682,0.9637,,,
5000,,,50,50,15,31.7007,-4.7112,2.1708,0.6127,5.5053,1.2119,,,
5000,-137.8243,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-79.0127,15.1886
5500,,,50,50,16,31.6299,-5.5378,1.221,0.7235,7.7191,0.8621,,,
6000,,,50,50,16,32.2678,-7.0771,1.3819,0.7332,9.2391,0.7243,,,
6000,,,,,,,,,,,,1000,73.2831,22.3064
6500,,,50,50,16,31.5848,-6.995,1.4517,0.6325,6.3566,0.9556,,,
7000,,,50,50,17,30.6197,-8.7507,1.5201,0.6929,4.8204,1.0495,,,
7000,,,,,,,,,,,,1000,-156.0904,21.3131
7500,,,50,50,17,30.5264,-9.8656,1.3793,0.7909,9.1546,0.9044,,,
