env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-63.2627,1000.0,,,,,,,,,,,,,,
500,,,50,50,8,29.8227,0.5808,0.6503,0.3834,-1.8697,0.1766,0.9692,0.2713,,,
1000,,,50,50,7,40.8376,0.2598,0.8615,0.3257,-2.2427,0.2994,1.4277,0.3057,,,
1000,,,,,,,,,,,,,,1000,-255.3961,31.2757
1500,,,50,50,8,43.305,0.6747,1.2104,0.3364,-2.3352,0.3903,1.7322,0.4801,,,
2000,,,50,50,9,41.895,0.1752,1.0215,0.3132,-2.3449,0.4135,4.1359,0.2922,,,
2000,,,,,,,,,,,,,,1000,-376.9545,30.7533
2500,,,50,50,10,41.8071,-0.1027,1.6457,0.3066,-2.6228,0.5336,3.4342,0.5963,,,
3000,,,50,50,9,42.2374,-0.9428,1.3607,0.295,-2.3661,0.5892,3.7823,0.7771,,,
3000,,,,,,,,,,,,,,1000,-323.6341,31.3542
3500,,,50,50,10,41.315,-1.3462,1.4679,0.3351,-2.8134,0.604,6.6872,0.6899,,,
4000,,,50,50,12,38.4967,-2.075,1.4152,0.3307,-2.4735,0.6054,8.6602,0.9663,,,
4000,,,,,,,,,,,,,,1000,-314.4348,31.3447
4500,,,50,50,12,41.3232,-3.1428,1.7675,0.3619,-2.816,0.5322,6.0067,1.0009,,,
5000,,,50,50,12,38.5806,-3.4954,1.2059,0.334,-2.4279,0.6108,7.3675,0.9905,,,
5000,51.2645,1000.0,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,1000,-143.2532,28.1404
5500,,,50,50,13,37.3985,-4.2799,1.4831,0.4099,-2.7766,0.4958,6.9158,0.8796,,,
6000,,,50,50,11,40.0629,-5.9456,1.4568,0.3627,-2.5931,0.6997,4.9518,1.1699,,,
6000,,,,,,,,,,,,,,1000,96.1114,31.1207
6500,,,50,50,12,38.9025,-6.3504,1.5349,0.3413,-2.7777,0.5666,6.0029,0.9275,,,
7000,,,50,50,11,42.7197,-8.6308,1.3677,0.3888,-2.7433,0.7494,10.3953,1.0103,,,
7000,,,,,,,,,,,,,,1000,191.6456,31.0745
7500,,,50,50,12,43.4567,-9.9559,1.4054,0.4476,-2.8267,0.7119,5.5426,0.715,,,
8000,,,50,50,12,42.2655,-10.1766,1.6076,0.4174,-2.788,0.7353,7.5138,1.6735,,,
8000,,,,,,,,,,,,,,1000,223.1428,31.2997
8500,,,50,50,11,44.4237,-12.0299,1.8476,0.4183,-2.9424,0.8212,8.472,1.4137,,,
9000,,,50,50,11,44.777,-13.8382,1.7991,0.4705,-3.3234,1.0607,29.8198,1.257,,,
9000,,,,,,,,,,,,,,1000,466.1645,31.2331
9500,,,50,50,10,47.244,-16.0936,1.6338,0.4414,-3.146,1.0885,18.2524,1.5273,,,
10000,,,50,50,10,49.5981,-18.0982,2.0005,0.4635,-3.2074,1.0623,9.8896,1.3303,,,
10000,804.0442,1000.0,,,,,,,,,,,,,,
10000,,,,,,,,,,,,,,1000,513.886,28.084
10500,,,50,50,10,47.4053,-18.6111,2.0739,0.4544,-3.5914,1.17,9.7594,1.6949,,,
11000,,,50,50,10,53.7301,-20.9779,2.1327,0.4845,-3.3225,0.9435,14.7319,1.4591,,,
11000,,,,,,,,,,,,,,1000,-65.1415,31.0004
11500,,,50,50,10,47.2079,-22.7802,1.9026,0.4484,-3.1428,1.2308,18.5869,1.2244,,,
12000,,,50,50,10,45.9922,-22.3635,1.834,0.479,-3.0965,1.1315,24.4581,0.9907,,,
12000,,,,,,,,,,,,,,1000,92.3774,31.4824
12500,,,50,50,10,47.9949,-26.7251,2.044,0.5454,-3.6548,1.2408,9.5988,1.5803,,,
13000,,,50,50,10,47.6919,-26.4517,2.1555,0.531,-3.6515,1.2834,14.5145,1.4007,,,
13000,,,,,,,,,,,,,,1000,501.7778,31.8721
