env_steps,return,length,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-49.1116,1000.0,,,,,,,,,,,,,,,,,
500,,,50,50,18,25.2176,0.4123,0.3489,0.726,0.4215,0.201,0.4043,0.1653,0.241,1.1344,0.1302,,,
1000,,,50,50,12,34.9933,0.4034,0.3347,0.7604,0.4107,0.8601,0.3519,0.1463,0.2891,2.5784,0.1145,,,
1000,,,,,,,,,,,,,,,,,1000,-327.757,27.4899
1500,,,50,50,13,37.3992,0.4149,0.3334,0.7781,0.4112,0.4536,0.773,0.1503,0.3416,3.0799,0.2009,,,
2000,,,50,50,14,41.7361,0.4639,0.3097,0.7999,0.3897,0.4768,0.947,0.1297,0.4932,3.1476,0.496,,,
2000,,,,,,,,,,,,,,,,,1000,-392.3543,38.5994
2500,,,50,50,14,49.8182,0.4553,0.3439,0.8153,0.4254,-0.0189,1.078,0.1756,0.5208,2.7356,0.6577,,,
3000,,,50,50,15,49.9052,0.4648,0.3042,0.7965,0.3839,-0.9635,1.0609,0.1386,0.4501,3.0486,0.7431,,,
3000,,,,,,,,,,,,,,,,,1000,-430.509,40.2347
3500,,,50,50,13,51.2579,0.4742,0.3283,0.7989,0.4082,-0.6394,1.0383,0.1479,0.5647,5.7013,0.7203,,,
4000,,,50,50,13,51.0979,0.4651,0.2832,0.7946,0.3627,-1.225,1.0569,0.1265,0.5618,3.3891,0.97,,,
4000,,,,,,,,,,,,,,,,,1000,-276.8285,37.0103
4500,,,50,50,15,54.2527,0.4983,0.3823,0.8553,0.4679,-1.9087,1.3232,0.1628,0.6471,5.8848,0.8622,,,
5000,,,50,50,14,52.4412,0.5059,0.3161,0.8623,0.4023,-2.6984,1.1827,0.1579,0.6627,13.5244,0.9109,,,
5000,214.137,1000.0,,,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,,,1000,-303.0975,28.6957
5500,,,50,50,13,58.089,0.4835,0.32,0.8153,0.4015,-1.9873,1.033,0.1491,0.4607,4.3058,0.7695,,,
6000,,,50,50,12,63.8042,0.4839,0.3777,0.8609,0.4638,-1.7448,1.1577,0.1905,0.5342,5.4134,0.8994,,,
6000,,,,,,,,,,,,,,,,,1000,-167.0668,37.4396
6500,,,50,50,16,53.1934,0.511,0.3605,0.8827,0.4488,-4.1287,1.2353,0.1706,0.4989,8.9646,1.0411,,,
7000,,,50,50,15,54.8029,0.5207,0.352,0.8766,0.4397,-3.5472,0.9608,0.1861,0.476,9.3461,1.008,,,
7000,,,,,,,,,,,,,,,,,1000,-95.6356,37.3499
7500,,,50,50,16,48.4049,0.4992,0.3285,0.8797,0.4165,-5.9495,1.3098,0.1847,0.5265,6.889,1.013,,,
8000,,,50,50,16,48.5495,0.5086,0.3014,0.8879,0.3902,-5.7175,1.0926,0.1834,0.6298,10.4719,0.9716,,,
8000,,,,,,,,,,,,,,,,,1000,80.9766,37.0953
8500,,,50,50,16,45.0404,0.5448,0.3699,0.9444,0.4643,-8.8506,1.055,0.2245,0.5183,5.6839,1.152,,,
9000,,,50,50,16,48.4232,0.5511,0.4058,0.9685,0.5026,-7.6054,1.4216,0.2213,0.752,15.9124,1.1695,,,
9000,,,,,,,,,,,,,,,,,1000,377.4861,37.8028
9500,,,50,50,17,46.1741,0.5441,0.3397,0.9116,0.4308,-10.2409,1.2611,0.1703,0.8415,19.6643,1.1971,,,
10000,,,50,50,17,47.0317,0.5938,0.4387,0.9583,0.5345,-13.007,1.1636,0.1989,0.8909,15.0805,1.4088,,,
10000,753.777,1000.0,,,,,,,,,,,,,,,,,
10000,,,,,,,,,,,,,,,,,1000,436.8896,28.6862
10500,,,50,50,17,46.1232,0.5879,0.4028,0.949,0.4977,-13.0394,1.4244,0.1972,0.8459,13.9934,1.1154,,,
11000,,,50,50,16,44.9719,0.5955,0.4234,0.9849,0.5218,-15.1197,1.3519,0.1758,0.8479,18.5893,1.0538,,,
11000,,,,,,,,,,,,,,,,,1000,510.2804,37.6169
11500,,,50,50,15,46.9947,0.6003,0.3868,0.9589,0.4827,-16.8815,1.4144,0.1959,0.7556,10.1751,1.0139,,,
