env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5939,1000.0,,,,,,,,,,,,,
500,,,1.0862,0.7275,0.3172,-0.4489,0.5875,0.81,-0.3097,0.2055,1.0227,0.1586,,,
1000,,,1.0918,0.6996,0.3813,-1.2734,0.4035,0.9896,-0.3879,0.3168,1.3107,0.0846,,,
1000,,,,,,,,,,,,,1000,-189.6041,25.475
1500,,,1.1004,0.7386,0.3816,-2.1406,0.9444,1.0998,-0.3912,0.5132,2.044,0.3807,,,
2000,,,1.1296,0.7304,0.4005,-3.5895,1.2177,1.0969,-0.3949,0.6239,5.608,0.4063,,,
2000,,,,,,,,,,,,,1000,-393.988,48.0281
2500,,,1.1255,0.6824,0.4145,-5.8082,1.6106,1.0455,-0.4029,0.7916,5.7216,0.341,,,
3000,,,1.0983,0.7214,0.3852,-9.2043,1.9881,1.0319,-0.3929,0.928,14.6157,0.6909,,,
3000,,,,,,,,,,,,,1000,-325.0652,48.3831
3500,,,1.0796,0.7481,0.3976,-11.7086,2.923,1.2134,-0.3941,0.8828,11.9802,1.1877,,,
4000,,,1.0853,0.7004,0.3947,-14.0581,3.8618,1.0566,-0.4052,1.0182,17.1725,1.0107,,,
4000,,,,,,,,,,,,,1000,-348.6276,46.0287
4500,,,1.0641,0.7233,0.3747,-16.6818,3.8097,1.0514,-0.3885,1.6122,22.8516,0.76,,,
5000,,,1.0698,0.7149,0.3928,-18.4142,5.3522,1.1266,-0.3897,1.5463,20.8816,1.5314,,,
5000,-24.3925,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-239.3427,36.1829
5500,,,1.0875,0.7255,0.3892,-21.607,5.4116,1.0714,-0.3749,1.8359,20.7886,1.3897,,,
6000,,,1.0995,0.7048,0.3857,-24.9522,6.5483,0.9778,-0.3812,2.4601,19.9208,1.6527,,,
6000,,,,,,,,,,,,,1000,-53.8347,39.6547
6500,,,1.1019,0.7706,0.3814,-28.0082,4.9168,1.1156,-0.3893,2.4266,37.9377,1.6142,,,
7000,,,1.1127,0.8231,0.4067,-30.1794,5.4799,1.3581,-0.4017,2.608,45.4473,2.1894,,,
7000,,,,,,,,,,,,,1000,-3.3063,37.8486
7500,,,1.1377,0.783,0.4012,-33.2826,5.6889,1.1669,-0.3934,2.6335,37.1111,2.1519,,,
8000,,,1.1359,0.7537,0.4094,-37.9518,4.903,1.1433,-0.404,2.8987,39.7661,2.5984,,,
8000,,,,,,,,,,,,,1000,46.3297,40.323
8500,,,1.1234,0.7643,0.3953,-40.9628,5.946,1.1516,-0.3971,2.7761,72.8456,1.919,,,
9000,,,1.1313,0.7893,0.401,-44.7288,6.98,1.2263,-0.404,2.3032,35.3875,1.4537,,,
9000,,,,,,,,,,,,,1000,169.5911,39.6857
9500,,,1.1421,0.8013,0.4097,-45.2983,6.0629,1.307,-0.4034,1.8777,25.6161,2.1837,,,
10000,,,1.1317,0.7844,0.4021,-44.6447,5.8239,1.1971,-0.4066,1.9918,37.4686,1.5295,,,
10000,680.7339,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-273.7213,35.782
10500,,,1.1536,0.857,0.4218,-45.2497,5.3861,1.5039,-0.414,1.8571,51.2701,2.0297,,,
11000,,,1.1481,0.7757,0.4254,-49.1279,5.6981,1.3064,-0.4254,1.7254,46.5121,1.3898,,,
11000,,,,,,,,,,,,,1000,9.998,40.0141
11500,,,1.135,0.7832,0.4108,-48.3798,4.666,1.2322,-0.4251,1.7442,23.6284,1.3335,,,
12000,,,1.1357,0.7931,0.4188,-50.9559,3.6743,1.3535,-0.4205,1.9161,44.2525,2.6291,,,
12000,,,,,,,,,,,,,1000,249.7288,39.9158
12500,,,1.1608,0.813,0.4286,-52.3658,3.5291,1.4082,-0.4237,1.5146,21.1379,1.5951,,,
13000,,,1.1631,0.8035,0.4224,-54.6123,3.7978,1.3246,-0.4083,1.7104,35.9358,1.1939,,,
13000,,,,,,,,,,,,,1000,411.2024,40.0175
