env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.6449,1000.0,,,,,,,,,,
500,,,81.1294,81129.6094,300089.875,81.1294,0.2235,2.4816,0.0021,,,
1000,,,159.2672,159268.2188,516627.2188,159.2672,0.2471,0.9497,0.0123,,,
1000,,,,,,,,,,1000,-315.0523,56.1209
1500,,,218.8866,218888.4844,685832.0,218.8866,0.2903,2.0003,0.0086,,,
2000,,,304.1525,304154.8438,912195.375,304.1525,0.3744,3.3183,0.0074,,,
2000,,,,,,,,,,1000,-315.5304,79.023
2500,,,367.1681,367171.2188,1275898.625,367.1681,0.4727,7.4518,0.0727,,,
3000,,,426.8765,426878.75,2099927.75,426.8765,0.539,2.7671,0.2234,,,
3000,,,,,,,,,,1000,-219.2578,77.5611
3500,,,445.4687,445470.2188,2453328.25,445.4687,0.5028,4.8979,0.3316,,,
4000,,,518.9202,518921.375,2538081.0,518.9202,0.548,8.8621,0.4354,,,
4000,,,,,,,,,,1000,-362.8022,79.472
4500,,,486.6934,486693.1562,3529817.25,486.6934,0.6034,8.3356,0.4868,,,
5000,,,563.6476,563647.125,3928019.5,563.6476,0.6023,16.749,0.6955,,,
5000,557.386,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-49.5835,60.9439
5500,,,576.3467,576344.875,4142647.25,576.3467,0.5407,7.9735,0.9128,,,
6000,,,618.0276,618024.625,4691217.5,618.0276,0.576,9.1995,0.4619,,,
6000,,,,,,,,,,1000,186.1706,77.628
6500,,,612.4207,612416.0625,4744025.5,612.4207,0.6552,7.7103,0.7928,,,
7000,,,627.3146,627308.6875,6992006.0,627.3146,0.6398,9.7914,0.6661,,,
7000,,,,,,,,,,1000,699.3323,81.008
7500,,,640.6648,640656.875,6329091.5,640.6648,0.6216,17.7546,0.6086,,,
8000,,,655.5284,655518.0,7617801.0,655.5284,0.6554,11.8053,0.8618,,,
8000,,,,,,,,,,1000,938.4154,78.0899
8500,,,627.1379,627125.6875,6839848.0,627.1379,0.7557,31.7517,1.1884,,,
9000,,,606.7584,606743.875,8181809.0,606.7584,0.7178,19.881,1.0758,,,
9000,,,,,,,,,,1000,819.1884,76.5638
9500,,,627.1714,627155.6875,7011182.5,627.1714,0.7566,18.6349,1.2527,,,
10000,,,661.9866,661968.125,5817355.5,661.9866,0.8562,23.0015,1.2976,,,
10000,2091.585,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,1062.669,60.8746
10500,,,649.0035,648982.125,8025347.0,649.0035,0.9175,17.1472,2.0859,,,
11000,,,653.6418,653616.25,7431921.0,653.6418,0.9224,23.6698,2.3931,,,
11000,,,,,,,,,,1000,1306.2903,79.2386
11500,,,649.7045,649677.25,6489940.0,649.7045,1.1398,22.1961,1.8307,,,
12000,,,617.3907,617361.25,10422390.0,617.3907,1.217,41.1499,1.4634,,,
12000,,,,,,,,,,1000,1401.6459,77.1995
12500,,,626.0149,625982.75,12795872.0,626.0149,1.1206,31.4653,1.6327,,,
13000,,,673.1113,673075.1875,9767683.0,673.1113,1.2469,33.6289,1.9007,,,
13000,,,,,,,,,,1000,1482.9286,75.9615
13500,,,673.7837,673744.6875,9206891.0,673.7837,1.4786,52.9594,3.4533,,,
14000,,,655.6206,655576.875,12340795.0,655.6206,1.3736,62.2279,1.5636,,,
14000,,,,,,,,,,1000,1591.6443,77.1953
14500,,,607.228,607181.875,11812079.0,607.228,1.3783,27.6933,1.7298,,,
15000,,,622.8414,622790.9375,10409747.0,622.8414,1.5535,45.0789,3.2354,,,
15000,3143.6957,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,1660.3961,62.0972
15500,,,605.2902,605237.4375,11241618.0,605.2902,1.8997,91.828,3.1509,,,
16000,,,619.4034,619344.375,10066051.0,619.4034,1.7928,88.2369,1.5692,,,
16000,,,,,,,,,,1000,1784.3247,77.2834
16500,,,635.1528,635091.5,10963258.0,635.1528,1.5535,84.8378,4.0772,,,
17000,,,615.9946,615931.3125,10789003.0,615.9946,1.6826,55.3431,3.6148,,,
17000,,,,,,,,,,1000,577.8495,76.5019
17500,,,611.9773,611911.1875,11895085.0,611.9773,1.9435,46.397,2.8467,,,
18000,,,624.2095,624138.4375,11400475.0,624.2095,1.9473,45.018,2.7531,,,
18000,,,,,,,,,,1000,2016.8361,78.4733
18500,,,659.0141,658937.5625,14409233.0,659.0141,1.983,91.1711,2.5464,,,
19000,,,616.226,616147.6875,12218491.0,616.226,2.1005,74.8089,2.9226,,,
19000,,,,,,,,,,1000,2087.3856,76.5269
19500,,,606.9895,606902.6875,11116291.0,606.9895,1.9245,53.0174,3.9253,,,
20000,,,579.3529,579263.6875,13668911.0,579.3529,2.2021,136.7593,3.094,,,
20000,3514.416,1000.0,,,,,,,,,,
20000,,,,,,,,,,1000,1875.9438,61.9898
20500,,,628.5827,628489.625,11911098.0,628.5827,2.3427,148.2313,2.5201,,,
21000,,,638.1733,638079.5,12315599.0,638.1733,2.3648,175.509,3.8283,,,
21000,,,,,,,,,,1000,2215.2383,76.873
21500,,,621.9811,621881.5,11874281.0,621.9811,2.6539,89.6469,3.0071,,,
22000,,,620.5236,620418.6875,11627053.0,620.5236,2.4946,173.1251,4.2499,,,
22000,,,,,,,,,,1000,2096.3966,76.5897
22500,,,618.0841,617975.5625,14034923.0,618.0841,2.4705,119.3558,4.6611,,,
23000,,,584.7288,584616.5,11179763.0,584.7288,2.4072,112.0469,3.7869,,,
23000,,,,,,,,,,1000,2388.6596,78.0109
23500,,,573.1909,573074.625,11388447.0,573.1909,2.4646,52.9986,4.2273,,,
24000,,,615.8413,615719.6875,12269349.0,615.8413,2.8899,89.3822,3.1562,,,
24000,,,,,,,,,,1000,2021.0032,79.2735
24500,,,594.643,594520.25,15692378.0,594.643,2.4176,72.0348,3.752,,,
25000,,,610.8739,610745.0,13415863.0,610.8739,2.4897,92.7709,3.1588,,,
25000,4269.9247,1000.0,,,,,,,,,,
25000,,,,,,,,,,1000,2529.2972,61.8188
25500,,,565.1797,565046.1875,11470401.0,565.1797,2.7325,79.6044,4.9693,,,
26000,,,566.6763,566538.1875,12201715.0,566.6763,2.7131,150.9005,5.703,,,
26000,,,,,,,,,,1000,2710.5652,76.3369
26500,,,558.0561,557913.1875,13221795.0,558.0561,2.6356,83.9895,2.9457,,,
27000,,,603.7344,603588.625,19848774.0,603.7344,3.1432,167.1188,3.984,,,
27000,,,,,,,,,,1000,2512.4013,78.2845
27500,,,608.2084,608057.25,19000188.0,608.2084,2.9343,188.5556,4.3176,,,
28000,,,561.3611,561206.875,13380771.0,561.3611,2.8974,164.0221,5.9247,,,
28000,,,,,,,,,,1000,2558.5614,78.3427
28500,,,585.7317,585576.875,12887134.0,585.7317,3.1612,115.8139,4.2366,,,
29000,,,608.1586,608000.625,23168552.0,608.1586,2.9991,174.7905,3.9238,,,
29000,,,,,,,,,,1000,2605.1141,75.3929
29500,,,562.584,562422.4375,13558037.0,562.584,3.7298,143.4552,4.7955,,,
30000,,,595.0657,594895.9375,16942028.0,595.0657,3.3453,272.8629,5.41,,,
30000,4514.2766,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,2564.7973,61.6936
30500,,,584.518,584343.875,17364462.0,584.518,3.083,152.9875,2.8892,,,
31000,,,555.5056,555331.3125,17117902.0,555.5056,3.0939,116.6433,3.6878,,,
31000,,,,,,,,,,1000,2631.2651,77.7458
31500,,,543.604,543425.4375,15182979.0,543.604,3.0936,108.0803,3.9953,,,
32000,,,528.2334,528046.8125,14123106.0,528.2334,2.8377,169.8176,5.1223,,,
32000,,,,,,,,,,1000,2909.415,77.3895
32500,,,528.8025,528612.6875,19088482.0,528.8025,3.185,143.6925,3.8242,,,
33000,,,538.1769,537986.0,12023642.0,538.1769,2.7265,144.9186,2.928,,,
33000,,,,,,,,,,1000,2974.4122,76.7609
33500,,,572.1801,571983.9375,16198414.0,572.1801,2.95,206.3968,6.6287,,,
34000,,,543.4426,543245.5625,13921373.0,543.4426,3.0994,134.7532,3.0282,,,
34000,,,,,,,,,,1000,2718.9671,76.8905
34500,,,546.9462,546744.0,16650004.0,546.9462,3.4454,192.1553,4.2185,,,
35000,,,557.8745,557669.875,15197951.0,557.8745,3.134,222.2262,4.5278,,,
35000,4998.0711,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,2887.201,61.7492
35500,,,513.6265,513418.875,12049322.0,513.6265,4.3042,194.731,7.2096,,,
36000,,,558.0433,557831.5,23685320.0,558.0433,3.3498,207.7618,3.6165,,,
36000,,,,,,,,,,1000,3034.3665,77.1135
36500,,,539.1697,538953.6875,13902380.0,539.1697,3.5117,189.073,3.9791,,,
37000,,,560.9829,560763.375,19376568.0,560.9829,3.305,223.8808,4.9379,,,
37000,,,,,,,,,,1000,3008.5811,77.829
37500,,,536.9604,536737.0625,15276073.0,536.9604,3.7564,239.4984,3.705,,,
38000,,,539.395,539169.75,12161403.0,539.395,3.554,199.4011,3.9705,,,
38000,,,,,,,,,,1000,3188.8205,78.6252
38500,,,507.4846,507254.6562,13897941.0,507.4846,3.7799,229.8367,4.1287,,,
39000,,,519.5593,519324.1562,15325395.0,519.5593,4.4084,208.5437,3.939,,,
39000,,,,,,,,,,1000,3463.4012,77.9639
39500,,,484.3506,484111.5938,12404131.0,484.3506,3.2076,230.8956,6.4459,,,
40000,,,506.0944,505855.7812,15308918.0,506.0944,3.2348,209.3966,4.5343,,,
40000,5273.6672,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,3390.4706,62.2347
40500,,,494.7277,494485.0625,14390569.0,494.7277,3.2998,239.8151,3.105,,,
41000,,,499.7494,499504.1562,13949817.0,499.7494,4.0713,117.9539,4.9173,,,
41000,,,,,,,,,,1000,3355.2735,77.0376
41500,,,496.7502,496501.5,15776936.0,496.7502,3.468,353.9264,3.2944,,,
42000,,,520.588,520336.125,21670880.0,520.588,3.7533,227.0601,4.7031,,,
42000,,,,,,,,,,1000,3467.2381,75.4955
42500,,,529.0919,528837.4375,32987412.0,529.0919,3.4399,216.8808,5.9609,,,
43000,,,523.0142,522754.8438,16113963.0,523.0142,4.2074,337.8688,4.2805,,,
43000,,,,,,,,,,1000,3532.9872,78.4407
43500,,,524.9075,524646.75,15185191.0,524.9075,3.8982,149.7934,3.286,,,
44000,,,478.881,478614.7812,12444083.0,478.881,4.2154,309.5755,4.5905,,,
44000,,,,,,,,,,1000,3573.1992,77.0269
44500,,,561.599,561331.0625,23583164.0,561.599,3.4184,101.5743,5.4976,,,
45000,,,567.1384,566862.8125,23730108.0,567.1384,4.1574,270.6429,4.3811,,,
45000,5635.4428,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3733.0653,61.3554
45500,,,485.9638,485686.1562,14727903.0,485.9638,4.6143,204.64,4.429,,,
46000,,,513.1565,512880.7812,20741052.0,513.1565,3.9932,276.3588,3.5021,,,
46000,,,,,,,,,,1000,3803.8452,77.246
46500,,,530.1864,529905.5,19715784.0,530.1864,3.4019,239.8317,9.0049,,,
47000,,,518.2858,518003.7188,18598296.0,518.2858,4.0855,180.2589,5.3503,,,
47000,,,,,,,,,,1000,3687.4561,76.1195
47500,,,514.7726,514482.1562,19329268.0,514.7726,3.8223,148.447,6.9301,,,
48000,,,469.9878,469695.3438,13982727.0,469.9878,3.7523,227.9771,7.459,,,
48000,,,,,,,,,,1000,3756.4057,80.2594
48500,,,533.0988,532811.5625,21775814.0,533.0988,4.5104,323.5578,7.81,,,
49000,,,489.1852,488888.8438,15928310.0,489.1852,4.0021,301.3002,3.3431,,,
49000,,,,,,,,,,1000,3840.1475,79.1657
49500,,,510.2803,509981.0312,17064956.0,510.2803,3.1688,163.7239,5.011,,,
50000,,,529.7581,529453.3125,15982725.0,529.7581,4.3402,164.3197,3.894,,,
50000,5742.2309,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,4061.5035,62.3701
50500,,,476.0458,475740.9688,13347549.0,476.0458,3.7543,244.3553,4.3252,,,
51000,,,491.5494,491241.375,13366909.0,491.5494,4.6444,248.0219,7.0616,,,
51000,,,,,,,,,,1000,3865.457,76.4383
51500,,,521.8807,521571.375,16740439.0,521.8807,4.1456,302.3647,6.888,,,
52000,,,561.0145,560696.0625,26536754.0,561.0145,4.6548,271.0945,4.9303,,,
52000,,,,,,,,,,1000,4013.511,76.3775
