env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.997,1000.0,,,,,,,,,,,,
500,,,0.8563,0.6931,0.0692,0.3104,0.702,0.0424,0.2217,0.6182,0.2082,,,
1000,,,0.8964,0.6942,0.0795,0.065,1.5156,0.0588,0.3825,1.1196,0.3091,,,
1000,,,,,,,,,,,,1000,-237.1446,61.6261
1500,,,0.9117,0.6914,0.084,-0.0523,1.2357,0.0617,0.5118,1.2432,0.0982,,,
2000,,,0.9719,0.6932,0.0933,-0.2352,2.6241,0.0829,0.6378,2.5768,0.3456,,,
2000,,,,,,,,,,,,1000,-318.8957,102.9204
2500,,,1.0142,0.6934,0.0991,-1.0508,3.1468,0.101,0.693,1.772,0.4917,,,
3000,,,0.9961,0.6863,0.098,-1.5265,2.1368,0.097,0.7926,2.7995,0.4127,,,
3000,,,,,,,,,,,,1000,-403.3939,102.6986
3500,,,1.0631,0.6924,0.1067,-1.9722,2.6668,0.1226,0.7917,2.4727,0.6356,,,
4000,,,1.0767,0.6935,0.1048,-2.6274,3.0922,0.1357,0.7858,1.6623,0.61,,,
4000,,,,,,,,,,,,1000,-284.5274,100.9176
4500,,,1.1013,0.6908,0.1107,-3.2585,5.246,0.1463,0.9659,2.6659,0.914,,,
5000,,,1.1058,0.6966,0.1114,-4.6587,3.7151,0.1454,0.9633,4.7397,1.0205,,,
5000,-24.3069,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-248.7924,82.2153
5500,,,1.1127,0.6984,0.1124,-5.3307,3.7909,0.1555,0.8172,2.0158,0.7118,,,
6000,,,1.1056,0.6879,0.1111,-5.3021,3.45,0.1567,0.9267,2.599,0.7989,,,
6000,,,,,,,,,,,,1000,-231.3806,104.2331
6500,,,1.1207,0.6923,0.1113,-6.8649,3.0454,0.1646,1.0012,3.2684,1.0095,,,
7000,,,1.1058,0.6855,0.1098,-7.0662,3.0414,0.1605,0.8852,2.9999,0.4608,,,
7000,,,,,,,,,,,,1000,-285.5113,104.6241
7500,,,1.1172,0.6923,0.1117,-8.2046,3.4919,0.1682,0.8146,4.092,0.4937,,,
8000,,,1.1066,0.6979,0.1085,-8.849,2.7523,0.1615,0.8872,4.1031,0.6877,,,
8000,,,,,,,,,,,,1000,-215.8855,104.5095
8500,,,1.108,0.6925,0.1094,-9.4251,3.8281,0.1656,0.8923,5.9038,1.1564,,,
9000,,,1.0897,0.6983,0.1091,-9.8927,3.1554,0.1493,0.8009,3.8197,0.7164,,,
9000,,,,,,,,,,,,1000,-110.0772,101.4399
9500,,,1.102,0.6951,0.1094,-11.205,2.1992,0.161,0.8398,5.7932,0.504,,,
10000,,,1.0753,0.6897,0.1058,-11.9207,3.1795,0.1475,0.8128,3.5765,0.8264,,,
10000,208.7794,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,45.4137,81.8701
10500,,,1.1041,0.7034,0.1098,-12.7185,2.8085,0.1496,1.1169,3.9468,0.7188,,,
11000,,,1.0961,0.698,0.109,-12.7345,2.6665,0.1522,0.8897,3.5598,0.6216,,,
11000,,,,,,,,,,,,1000,-172.23,100.8734
11500,,,1.1401,0.7057,0.1138,-13.5556,3.6402,0.1746,0.9151,5.7802,0.6965,,,
12000,,,1.1059,0.6935,0.1099,-13.7616,2.2492,0.158,0.7416,3.1949,0.5478,,,
12000,,,,,,,,,,,,1000,-102.0391,100.5006
12500,,,1.1348,0.7016,0.113,-15.9861,2.8416,0.1692,1.081,4.7385,0.5819,,,
13000,,,1.1343,0.7059,0.1135,-16.5858,3.5651,0.1689,0.979,9.7213,0.8825,,,
13000,,,,,,,,,,,,1000,198.5455,100.5945
13500,,,1.1781,0.7025,0.1189,-16.9643,2.7909,0.2176,0.9718,5.0967,0.3444,,,
14000,,,1.1479,0.707,0.1162,-16.5867,3.6922,0.1786,1.1414,4.1463,1.079,,,
14000,,,,,,,,,,,,1000,-60.3572,103.6062
14500,,,1.1621,0.7021,0.1174,-18.2996,3.624,0.1962,1.1251,5.3969,0.8281,,,
15000,,,1.1721,0.7122,0.119,-20.0887,2.8954,0.1935,1.242,6.83,1.1231,,,
15000,1045.7828,1000.0,,,,,,,,,,,,
15000,,,,,,,,,,,,1000,360.3058,83.323
15500,,,1.1951,0.7078,0.1215,-22.9675,2.6416,0.2121,1.2089,3.8265,0.5409,,,
16000,,,1.1948,0.7081,0.1225,-22.0954,2.7097,0.2118,1.2459,4.8563,1.0659,,,
16000,,,,,,,,,,,,1000,378.8982,101.1696
16500,,,1.2499,0.7146,0.1288,-25.3096,3.1903,0.2501,1.3836,5.6779,0.8701,,,
17000,,,1.2478,0.7094,0.1271,-26.4901,4.3076,0.2614,1.7392,16.2272,1.0322,,,
17000,,,,,,,,,,,,1000,546.1704,101.2661
