env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5931,1000.0,,,,,,,,,,,,,
500,,,0.1582,0.6941,0.0523,-0.4173,1.261,0.0128,-0.0957,0.2604,1.4732,0.1898,,,
1000,,,0.1897,0.6965,0.0868,-0.5537,1.6294,0.013,-0.139,0.383,1.2756,0.6352,,,
1000,,,,,,,,,,,,,1000,-309.3846,50.3612
1500,,,0.2118,0.6968,0.0725,-1.6328,1.3022,0.0218,-0.1428,0.4859,2.2467,0.1921,,,
2000,,,0.2246,0.693,0.0684,-2.2358,1.4346,0.0275,-0.1362,0.5381,3.9908,0.2697,,,
2000,,,,,,,,,,,,,1000,-282.0589,80.2575
2500,,,0.2337,0.6888,0.0726,-3.543,1.9025,0.0289,-0.1401,0.7121,6.1691,0.9091,,,
3000,,,0.2401,0.6867,0.0743,-4.7237,3.6579,0.0308,-0.1402,0.6299,6.2589,0.7921,,,
3000,,,,,,,,,,,,,1000,-349.4764,80.8359
3500,,,0.2509,0.6878,0.0816,-5.9869,3.2647,0.0317,-0.1568,0.6911,10.9165,1.0639,,,
4000,,,0.2451,0.6899,0.0781,-6.9442,2.6175,0.0309,-0.1581,0.6732,3.4049,1.0304,,,
4000,,,,,,,,,,,,,1000,-325.7337,81.2055
4500,,,0.2462,0.6903,0.0765,-7.9433,4.0005,0.0323,-0.1529,0.5655,7.9654,0.8928,,,
5000,,,0.2453,0.6865,0.0743,-9.2865,4.5077,0.0326,-0.1474,0.6998,10.3969,1.5552,,,
5000,-225.2231,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-311.2815,64.9549
5500,,,0.2401,0.7006,0.0859,-10.049,5.4282,0.0275,-0.161,0.5723,9.805,1.3783,,,
6000,,,0.2376,0.6976,0.0796,-10.3268,4.4007,0.0289,-0.1515,0.6371,18.6243,0.9115,,,
6000,,,,,,,,,,,,,1000,-398.0267,79.3079
6500,,,0.2365,0.6855,0.075,-11.3044,4.9767,0.0294,-0.1478,0.5407,14.0672,2.0202,,,
7000,,,0.2363,0.6899,0.0746,-11.4638,4.2867,0.0292,-0.1506,0.529,12.2502,1.5014,,,
7000,,,,,,,,,,,,,1000,-328.4465,79.5888
7500,,,0.2344,0.6983,0.0765,-12.0198,4.5375,0.0279,-0.1478,0.5955,11.7294,1.5248,,,
8000,,,0.2345,0.7062,0.0723,-12.7368,5.8119,0.0297,-0.1438,0.5615,7.7095,1.3669,,,
8000,,,,,,,,,,,,,1000,-298.6563,79.3666
