env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-22.7988,1000.0,,,,,,,,,,,,,
500,,,0.9028,0.6997,0.0799,0.2194,0.8337,0.064,-0.1576,0.2197,0.927,0.1927,,,
1000,,,0.9872,0.7009,0.1924,0.3835,2.7064,0.0515,-0.3649,0.3409,0.8436,0.4794,,,
1000,,,,,,,,,,,,,1000,-274.5779,52.3326
1500,,,1.072,0.7032,0.2565,-0.2951,1.6122,0.0536,-0.4979,0.5126,1.2231,0.3661,,,
2000,,,1.1127,0.6895,0.2993,-0.8506,2.1363,0.0583,-0.5666,0.6487,2.6051,0.339,,,
2000,,,,,,,,,,,,,1000,-289.8886,86.7411
2500,,,1.1803,0.703,0.3225,-1.5013,1.8093,0.0749,-0.6339,0.7461,1.8395,0.2148,,,
3000,,,1.2103,0.6962,0.3381,-1.9594,2.54,0.0817,-0.6783,0.8204,2.5763,0.5696,,,
3000,,,,,,,,,,,,,1000,-424.2122,85.2941
3500,,,1.2436,0.7011,0.3425,-2.5987,2.0763,0.0908,-0.6713,0.901,3.2678,0.6288,,,
4000,,,1.2766,0.6995,0.3669,-3.3748,3.1254,0.0939,-0.7035,0.9538,4.5451,0.631,,,
4000,,,,,,,,,,,,,1000,-288.8979,85.2367
4500,,,1.2756,0.6961,0.367,-3.3736,2.9491,0.0941,-0.7121,0.9326,6.3557,0.9597,,,
5000,,,1.2577,0.6976,0.3516,-4.231,2.9828,0.0947,-0.6978,0.8681,3.6537,1.1218,,,
5000,-20.0242,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-319.9019,71.9751
5500,,,1.2916,0.7051,0.3755,-5.3725,2.6102,0.0912,-0.7289,0.9024,4.0655,1.2458,,,
6000,,,1.3055,0.6898,0.3885,-5.9122,2.6629,0.1018,-0.7698,0.9494,7.3528,1.0854,,,
6000,,,,,,,,,,,,,1000,-240.74,86.0967
6500,,,1.3481,0.6936,0.3966,-7.3798,3.2776,0.1157,-0.7817,1.0333,5.9288,0.9848,,,
7000,,,1.3335,0.6905,0.4036,-8.3047,3.3913,0.111,-0.8053,1.1358,4.2314,1.3707,,,
7000,,,,,,,,,,,,,1000,-9.8584,85.4741
7500,,,1.3814,0.7016,0.4103,-9.9123,3.4788,0.1319,-0.7684,1.0035,7.052,0.8832,,,
8000,,,1.3676,0.7026,0.4029,-12.4155,2.7435,0.1204,-0.8132,1.0538,5.0132,1.1065,,,
8000,,,,,,,,,,,,,1000,57.6977,85.1742
8500,,,1.3669,0.7071,0.401,-12.4036,3.3481,0.1177,-0.8017,1.0226,7.4752,1.1517,,,
9000,,,1.3756,0.6956,0.4159,-13.4605,2.4946,0.1233,-0.8088,1.1137,6.5979,1.1069,,,
9000,,,,,,,,,,,,,1000,-152.6109,86.2728
9500,,,1.3734,0.6964,0.4296,-14.3863,2.6791,0.117,-0.8189,1.1219,5.1954,0.7928,,,
10000,,,1.3698,0.7035,0.4269,-14.6103,4.1052,0.1129,-0.8426,0.9997,7.6217,1.5626,,,
10000,777.1312,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-192.9053,72.5771
10500,,,1.3912,0.701,0.4333,-16.8976,3.9942,0.1199,-0.8768,1.1877,6.5446,1.7863,,,
11000,,,1.411,0.6995,0.4469,-17.7801,3.0051,0.1305,-0.8735,1.1082,6.0383,1.0283,,,
11000,,,,,,,,,,,,,1000,317.8149,85.3508
11500,,,1.3969,0.7017,0.4431,-18.7244,2.5826,0.1155,-0.8792,1.0837,5.6237,1.1277,,,
12000,,,1.3875,0.7039,0.4235,-18.9055,2.8367,0.1246,-0.8384,1.1299,12.5089,0.9323,,,
12000,,,,,,,,,,,,,1000,-61.4712,85.6061
