env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.161,0.7035,0.0534,-0.1799,1.6539,0.0134,-0.0987,0.2295,1.2147,0.3157,,,
1000,,,0.1763,0.6923,0.0659,-0.0489,0.6736,0.0144,-0.1223,0.2794,1.3263,0.1294,,,
1000,,,,,,,,,,,,,1000,-245.242,50.8755
1500,,,0.2063,0.6976,0.0684,-1.0293,1.8015,0.0212,-0.1312,0.4492,1.9453,0.3263,,,
2000,,,0.2093,0.6904,0.0745,-1.486,1.1413,0.0205,-0.1362,0.5017,5.2311,0.2757,,,
2000,,,,,,,,,,,,,1000,-320.7464,80.0373
2500,,,0.2218,0.6953,0.0718,-2.6473,2.1424,0.0254,-0.1351,0.6773,10.0843,1.2253,,,
3000,,,0.2428,0.6964,0.0708,-3.4877,2.8928,0.0325,-0.1355,0.874,5.8785,1.4229,,,
3000,,,,,,,,,,,,,1000,-215.3998,80.4515
3500,,,0.2668,0.6979,0.0852,-4.7038,4.1786,0.0364,-0.1626,1.1784,10.1586,1.6685,,,
4000,,,0.2805,0.6974,0.0886,-6.4741,4.7047,0.0405,-0.1687,1.3703,16.814,1.0236,,,
4000,,,,,,,,,,,,,1000,-273.5749,81.2004
4500,,,0.2973,0.6906,0.0933,-7.6473,3.8794,0.0456,-0.186,1.4077,14.0588,1.0892,,,
5000,,,0.2912,0.6918,0.0907,-8.118,5.264,0.0441,-0.177,1.339,13.4476,1.764,,,
5000,-189.4802,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-324.6164,66.5732
5500,,,0.3028,0.6987,0.1037,-9.9614,5.3008,0.0439,-0.1848,1.3853,15.4665,0.9453,,,
6000,,,0.3068,0.6977,0.1162,-10.6572,4.8233,0.0413,-0.2004,1.3353,20.0474,1.0022,,,
6000,,,,,,,,,,,,,1000,-298.6477,78.3565
6500,,,0.315,0.6926,0.1074,-12.035,6.7721,0.0474,-0.1988,1.3119,10.5219,0.8082,,,
7000,,,0.3169,0.6919,0.1086,-12.0735,5.2283,0.0484,-0.2077,1.1624,18.424,1.6141,,,
7000,,,,,,,,,,,,,1000,-416.228,79.3074
7500,,,0.3258,0.6986,0.1259,-12.7534,5.033,0.045,-0.218,1.09,19.7347,1.3168,,,
8000,,,0.3269,0.6957,0.116,-14.6442,8.4638,0.0493,-0.2216,1.2758,27.8796,2.5068,,,
8000,,,,,,,,,,,,,1000,-412.3227,79.7267
8500,,,0.3387,0.7041,0.1116,-16.8415,5.2922,0.0565,-0.2194,1.5959,25.3494,1.4242,,,
9000,,,0.3516,0.7008,0.1172,-18.5273,5.9374,0.0598,-0.2293,1.9021,36.7199,1.4902,,,
9000,,,,,,,,,,,,,1000,295.0348,79.334
9500,,,0.3721,0.7023,0.1238,-21.3795,6.3331,0.0674,-0.2393,1.7855,24.877,1.3409,,,
10000,,,0.3849,0.699,0.1311,-23.4517,4.9248,0.0706,-0.2608,1.637,22.6387,1.5671,,,
10000,1174.5513,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-300.1902,66.7223
10500,,,0.3812,0.7025,0.1275,-27.2388,4.4675,0.0712,-0.2506,1.4937,25.3208,1.1095,,,
11000,,,0.3804,0.7066,0.1511,-29.9932,5.3033,0.0587,-0.2657,1.5613,44.1777,1.0322,,,
11000,,,,,,,,,,,,,1000,389.0863,77.4949
11500,,,0.3839,0.7069,0.1319,-32.0651,4.3797,0.0698,-0.2517,1.6022,36.6779,1.3434,,,
12000,,,0.373,0.7129,0.1299,-32.3268,5.1101,0.0661,-0.2621,1.599,38.4043,1.193,,,
12000,,,,,,,,,,,,,1000,520.2618,78.1855
12500,,,0.3792,0.7112,0.1329,-35.9776,4.5732,0.0662,-0.2515,1.5431,20.3653,1.287,,,
13000,,,0.3805,0.7151,0.1262,-36.5862,4.6962,0.071,-0.2489,1.4933,24.2151,1.2579,,,
13000,,,,,,,,,,,,,1000,345.9955,78.3601
13500,,,0.3749,0.7199,0.1343,-40.0492,7.2155,0.0634,-0.2564,1.7222,35.248,1.3153,,,
14000,,,0.3861,0.7275,0.1307,-41.3073,4.6793,0.0714,-0.2618,1.6764,32.7543,1.0798,,,
14000,,,,,,,,,,,,,1000,555.08,78.3303
14500,,,0.3761,0.716,0.1307,-40.4137,5.332,0.0661,-0.263,1.6263,28.3419,2.2197,,,
15000,,,0.3745,0.7236,0.1292,-41.2649,4.5602,0.0659,-0.2559,1.5144,42.1325,1.2,,,
15000,567.8417,1000.0,,,,,,,,,,,,,
15000,,,,,,,,,,,,,1000,-122.1155,65.5297
15500,,,0.3782,0.7233,0.1399,-45.0922,5.4502,0.0626,-0.2623,1.3981,31.7964,2.6508,,,
16000,,,0.3866,0.7308,0.1267,-47.6755,4.5099,0.0737,-0.2482,1.7131,43.8897,1.8389,,,
16000,,,,,,,,,,,,,1000,773.2797,77.9689
16500,,,0.3833,0.7351,0.1281,-48.8079,5.4632,0.0709,-0.2458,1.9929,37.2841,1.3546,,,
17000,,,0.373,0.7381,0.1276,-50.9706,5.0771,0.0655,-0.2537,1.7203,46.748,1.8363,,,
17000,,,,,,,,,,,,,1000,802.541,78.3721
17500,,,0.3718,0.7375,0.1249,-53.8236,5.2625,0.0662,-0.2377,1.4456,41.0828,1.4801,,,
18000,,,0.3743,0.7387,0.132,-54.4495,4.449,0.0645,-0.2642,1.4476,33.6953,1.8726,,,
18000,,,,,,,,,,,,,1000,860.9645,78.1122
18500,,,0.3677,0.7419,0.1227,-56.2815,5.0699,0.0649,-0.2513,1.3641,54.1301,1.7232,,,
19000,,,0.3768,0.7378,0.1347,-59.473,4.3459,0.0641,-0.2567,1.3136,31.7547,1.3885,,,
19000,,,,,,,,,,,,,1000,884.3424,79.1008
19500,,,0.3696,0.7448,0.1238,-61.2627,4.133,0.0652,-0.2458,1.384,23.3281,1.8967,,,
20000,,,0.3673,0.7439,0.1188,-63.0699,4.2108,0.0668,-0.24,1.4741,38.7172,1.8558,,,
20000,1837.4256,1000.0,,,,,,,,,,,,,
20000,,,,,,,,,,,,,1000,710.4993,66.0027
20500,,,0.3661,0.7379,0.1455,-66.0829,4.9915,0.0535,-0.2616,1.7672,52.4338,1.9533,,,
21000,,,0.3652,0.7424,0.1323,-64.9609,4.0629,0.0595,-0.2553,1.828,46.9927,1.4566,,,
21000,,,,,,,,,,,,,1000,238.7834,79.0524
21500,,,0.3693,0.7446,0.1339,-64.6061,5.2228,0.0602,-0.2674,1.5249,86.5662,2.3514,,,
22000,,,0.3704,0.7553,0.1306,-67.3971,4.1222,0.0623,-0.2541,2.1084,80.3791,1.7127,,,
22000,,,,,,,,,,,,,1000,59.5607,80.251
22500,,,0.3712,0.7437,0.1277,-68.0028,5.4324,0.0645,-0.2578,1.7532,75.1001,2.0459,,,
23000,,,0.3769,0.7427,0.1373,-66.2613,5.0215,0.0626,-0.2757,1.9449,127.0058,1.3718,,,
23000,,,,,,,,,,,,,1000,128.3455,79.1789
23500,,,0.3755,0.7562,0.1362,-71.6675,4.3866,0.0626,-0.2565,2.1071,87.1982,1.9095,,,
24000,,,0.3806,0.7493,0.1453,-74.799,4.0607,0.0604,-0.2888,2.1445,70.2218,2.2089,,,
24000,,,,,,,,,,,,,1000,1174.035,79.8688
24500,,,0.3779,0.7508,0.1318,-75.406,4.3046,0.0656,-0.2619,1.8221,73.1148,1.6399,,,
25000,,,0.3744,0.7553,0.1318,-74.3161,4.359,0.0642,-0.2635,2.519,77.6739,1.6511,,,
25000,2743.4184,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,1162.81,66.715
25500,,,0.3784,0.7596,0.1381,-80.3443,4.4985,0.0627,-0.2679,1.8341,123.1012,2.6934,,,
26000,,,0.3753,0.7603,0.1387,-81.1734,4.8089,0.0613,-0.2713,2.0403,170.5494,1.5955,,,
26000,,,,,,,,,,,,,1000,1165.6104,76.46
26500,,,0.3722,0.7666,0.1416,-83.1869,5.8294,0.0583,-0.2808,2.3445,108.5662,3.518,,,
27000,,,0.3777,0.7619,0.1333,-84.6622,6.7795,0.0649,-0.2668,3.6201,81.6712,3.0663,,,
27000,,,,,,,,,,,,,1000,325.9735,78.0375
27500,,,0.3891,0.7615,0.1397,-82.9277,4.7817,0.0673,-0.2698,2.1607,137.0832,2.3614,,,
28000,,,0.3839,0.7573,0.1413,-85.141,5.6026,0.0644,-0.2871,2.1852,70.6681,2.5556,,,
28000,,,,,,,,,,,,,1000,337.6003,78.5923
28500,,,0.3834,0.7547,0.1364,-87.9189,4.894,0.0665,-0.2721,2.4112,87.1733,2.3699,,,
29000,,,0.3938,0.7521,0.1403,-87.1185,5.2638,0.0703,-0.2629,2.1528,56.6815,2.2534,,,
29000,,,,,,,,,,,,,1000,585.7339,78.5599
29500,,,0.3724,0.7634,0.1273,-92.6568,5.6871,0.0655,-0.2612,2.0152,87.3178,2.853,,,
