env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,0.625,0.7044,0.0343,0.8098,3.0709,0.3617,0.3176,0.5847,0.261,,,
1000,,,0.5953,0.696,0.0335,0.7792,2.7736,0.3238,0.5721,1.0971,0.1834,,,
1000,,,,,,,,,,,,1000,-180.1902,60.1193
1500,,,0.5932,0.6891,0.0348,0.3801,4.099,0.319,0.6662,1.4851,0.2789,,,
2000,,,0.6003,0.6959,0.0359,-0.2954,5.2171,0.3279,0.7765,3.8343,0.2662,,,
2000,,,,,,,,,,,,1000,-305.172,86.279
2500,,,0.6012,0.6927,0.0364,-0.4494,4.1445,0.3271,0.7953,1.8678,0.2407,,,
3000,,,0.6045,0.6924,0.0379,-0.3897,3.1609,0.3313,0.8586,2.8626,0.2866,,,
3000,,,,,,,,,,,,1000,-333.1068,85.1627
3500,,,0.616,0.6973,0.0398,-0.5748,5.7778,0.3429,1.0512,1.6749,1.0879,,,
4000,,,0.6251,0.6929,0.0407,-0.8285,7.378,0.3536,1.1428,1.7365,0.6672,,,
4000,,,,,,,,,,,,1000,-293.1734,85.3364
4500,,,0.6378,0.6951,0.0436,-0.9362,3.3191,0.3647,1.4188,2.0636,0.5388,,,
5000,,,0.6507,0.697,0.0455,-1.1335,3.3396,0.3811,1.4702,1.6989,0.2557,,,
5000,-98.6619,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-265.1806,66.8158
5500,,,0.6651,0.6991,0.048,-1.7789,4.8965,0.395,1.5164,3.0119,0.375,,,
6000,,,0.6961,0.6968,0.0539,-2.088,5.3143,0.4302,1.4818,1.6956,0.3429,,,
6000,,,,,,,,,,,,1000,-313.1633,87.9549
6500,,,0.695,0.6958,0.0527,-2.6566,4.8541,0.431,1.659,3.0439,0.3724,,,
7000,,,0.7011,0.6951,0.054,-2.6489,8.7091,0.4372,1.5603,4.1809,0.6706,,,
7000,,,,,,,,,,,,1000,-358.6904,87.7136
7500,,,0.7177,0.6899,0.0561,-3.3476,5.3557,0.4584,1.5982,2.2439,0.7754,,,
8000,,,0.7137,0.7005,0.0563,-4.4502,7.5673,0.452,1.5315,3.2832,0.7959,,,
8000,,,,,,,,,,,,1000,-319.7545,88.5653
8500,,,0.7247,0.7025,0.0577,-4.27,6.4397,0.4654,1.5011,3.0285,0.4586,,,
9000,,,0.7227,0.7019,0.0565,-4.7287,6.5641,0.4641,1.3574,2.9157,0.5898,,,
9000,,,,,,,,,,,,1000,-330.0227,88.5659
9500,,,0.7232,0.6933,0.0555,-4.947,7.0408,0.4641,1.2072,2.5025,0.6386,,,
10000,,,0.7386,0.6989,0.0574,-5.3694,6.8767,0.4908,1.2018,5.3737,1.1056,,,
10000,-20.241,1000.0,,,,,,,,,,,,
