env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,24.6513,26.9,,,,,,,,,,,,
18,,,18,16.7791,3.2764,,,,,,,,,
56,,,38,26.6968,92.7089,,,,,,,,,
77,,,21,6.578,92.7456,,,,,,,,,
128,,,51,25.7231,92.318,,,,,,,,,
168,,,40,62.3489,92.6815,,,,,,,,,
209,,,41,72.4948,92.249,,,,,,,,,
282,,,73,120.9755,92.7372,,,,,,,,,
393,,,111,213.996,92.8646,,,,,,,,,
435,,,42,70.5692,92.487,,,,,,,,,
466,,,31,51.8017,92.6527,,,,,,,,,
499,,,33,53.7127,93.127,,,,,,,,,
500,,,,,,0.6016,0.6453,0.0272,-3.1176,0.6456,0.0767,0.2571,1.1155,0.0188
539,,,40,66.5186,92.4374,,,,,,,,,
580,,,41,66.1331,92.7558,,,,,,,,,
612,,,32,51.7588,92.9415,,,,,,,,,
661,,,49,86.2507,91.8564,,,,,,,,,
698,,,37,62.9597,92.7837,,,,,,,,,
741,,,43,72.2632,93.2307,,,,,,,,,
777,,,36,57.753,92.9873,,,,,,,,,
806,,,29,47.7795,92.8653,,,,,,,,,
841,,,35,56.5578,92.4151,,,,,,,,,
880,,,39,66.292,92.5014,,,,,,,,,
966,,,86,174.101,92.8275,,,,,,,,,
1000,,,,,,0.6219,0.6452,0.0331,-6.1145,1.2105,0.0919,0.6376,1.5755,0.04
1017,,,51,90.0574,92.9676,,,,,,,,,
1057,,,40,69.5917,92.9364,,,,,,,,,
1109,,,52,88.4572,92.9396,,,,,,,,,
1134,,,25,41.4328,92.8942,,,,,,,,,
1170,,,36,61.0066,92.8193,,,,,,,,,
1230,,,60,107.6244,93.0375,,,,,,,,,
1254,,,24,40.7144,92.8856,,,,,,,,,
1283,,,29,49.2121,92.9866,,,,,,,,,
1311,,,28,46.2018,92.6314,,,,,,,,,
1343,,,32,54.8173,93.0811,,,,,,,,,
1373,,,30,51.0974,92.978,,,,,,,,,
1450,,,77,157.6541,93.0731,,,,,,,,,
1490,,,40,70.1323,92.1349,,,,,,,,,
1500,,,,,,0.6963,0.679,0.0474,-9.9975,2.2058,0.131,2.0618,6.6558,0.0561
1613,,,123,303.2026,93.0908,,,,,,,,,
1701,,,88,194.5216,92.7948,,,,,,,,,
1793,,,92,212.4438,92.6723,,,,,,,,,
1884,,,91,194.346,92.9411,,,,,,,,,
1980,,,96,204.8089,93.5129,,,,,,,,,
2000,,,,,,0.7732,0.6922,0.0584,-14.0913,3.0909,0.1923,2.6904,8.8257,0.0686
2064,,,84,178.0468,92.9356,,,,,,,,,
2147,,,83,170.4037,93.2569,,,,,,,,,
2233,,,86,172.9094,92.9534,,,,,,,,,
2317,,,84,178.7029,93.1912,,,,,,,,,
2400,,,83,165.8661,93.2775,,,,,,,,,
2484,,,84,166.2605,92.753,,,,,,,,,
2500,,,,,,0.8403,0.6978,0.0686,-19.0913,4.3638,0.2596,3.1855,3.8864,0.1879
2576,,,92,196.6118,93.1541,,,,,,,,,
2663,,,87,190.8129,93.153,,,,,,,,,
2720,,,57,98.6624,92.7885,,,,,,,,,
2757,,,37,64.3039,93.3356,,,,,,,,,
2867,,,110,254.3942,92.9622,,,,,,,,,
2960,,,93,196.9692,93.3831,,,,,,,,,
3000,,,,,,0.8663,0.6974,0.0737,-24.218,5.5703,0.2869,5.6715,8.4644,0.3183
3058,,,98,234.1061,93.227,,,,,,,,,
3155,,,97,208.2151,93.4165,,,,,,,,,
3197,,,42,70.0295,93.483,,,,,,,,,
3321,,,124,286.8299,92.4159,,,,,,,,,
3417,,,96,215.3406,93.1918,,,,,,,,,
3500,,,,,,0.931,0.7186,0.0835,-30.077,5.2908,0.3543,8.2984,9.0449,0.3683
3518,,,101,241.0738,93.1099,,,,,,,,,
3631,,,113,262.6707,93.1582,,,,,,,,,
3737,,,106,255.3891,93.035,,,,,,,,,
3829,,,92,201.1195,93.0937,,,,,,,,,
3941,,,112,281.1192,93.2505,,,,,,,,,
4000,,,,,,0.969,0.7231,0.0903,-35.7152,6.1524,0.3965,10.4138,17.4614,0.1927
4052,,,111,267.699,92.9717,,,,,,,,,
4086,,,34,54.8477,92.445,,,,,,,,,
4195,,,109,255.2687,93.0061,,,,,,,,,
4307,,,112,273.0333,93.4109,,,,,,,,,
4424,,,117,278.068,91.4058,,,,,,,,,
4500,,,,,,0.9637,0.7328,0.0895,-42.4305,4.9581,0.3867,13.4917,24.0599,0.2925
4541,,,117,279.1991,93.1784,,,,,,,,,
4655,,,114,262.4914,93.0558,,,,,,,,,
4758,,,103,221.4012,92.9318,,,,,,,,,
4862,,,104,243.7351,93.084,,,,,,,,,
4941,,,79,151.5514,92.7977,,,,,,,,,
5000,,,,,,0.9924,0.7423,0.0939,-47.3761,5.7627,0.4141,13.7002,34.9935,0.6475
5000,298.4131,125.8,,,,,,,,,,,,
5049,,,108,274.7927,62.5611,,,,,,,,,
5154,,,105,244.7628,98.8897,,,,,,,,,
5262,,,108,262.6568,94.9091,,,,,,,,,
5368,,,106,253.95,97.4704,,,,,,,,,
5461,,,93,214.1659,96.9313,,,,,,,,,
5500,,,,,,0.9926,0.7555,0.0955,-52.7952,6.1346,0.4089,20.3771,44.5248,0.3233
5556,,,95,207.531,92.8567,,,,,,,,,
5612,,,56,100.4102,92.2916,,,,,,,,,
5650,,,38,65.6322,91.587,,,,,,,,,
5763,,,113,259.2889,92.9124,,,,,,,,,
5880,,,117,277.7356,93.0437,,,,,,,,,
5998,,,118,274.548,93.4012,,,,,,,,,
6000,,,,,,0.9845,0.761,0.0932,-59.3191,5.4792,0.3844,23.0464,19.1671,0.1581
6023,,,25,38.5418,92.9519,,,,,,,,,
6130,,,107,249.9051,92.9385,,,,,,,,,
6236,,,106,259.7198,92.8925,,,,,,,,,
6363,,,127,291.1924,93.0529,,,,,,,,,
6465,,,102,222.8101,92.904,,,,,,,,,
6500,,,,,,0.9928,0.7505,0.0947,-63.5861,5.5434,0.4091,33.716,67.7546,0.5043
6570,,,105,266.6078,92.8384,,,,,,,,,
6695,,,125,291.6582,92.8284,,,,,,,,,
6796,,,101,234.5858,92.7711,,,,,,,,,
6920,,,124,294.0755,92.9743,,,,,,,,,
7000,,,,,,0.9839,0.7644,0.0956,-68.2895,7.407,0.3931,30.3604,47.2164,1.3426
7030,,,110,274.7957,97.8849,,,,,,,,,
7141,,,111,257.5615,98.0749,,,,,,,,,
7273,,,132,312.1948,92.9711,,,,,,,,,
7396,,,123,304.1225,94.1183,,,,,,,,,
7500,,,,,,0.9528,0.7598,0.0928,-73.4005,12.9072,0.3458,44.8189,122.7707,1.6977
7511,,,115,277.3226,97.0318,,,,,,,,,
7585,,,74,138.508,99.091,,,,,,,,,
7608,,,23,38.7705,99.3457,,,,,,,,,
7727,,,119,284.4193,92.0114,,,,,,,,,
7820,,,93,192.2568,93.032,,,,,,,,,
7875,,,55,94.4048,93.0967,,,,,,,,,
7898,,,23,27.5574,92.7675,,,,,,,,,
8000,,,,,,0.962,0.7581,0.0932,-76.7041,9.1034,0.3667,39.5337,87.1153,1.2786
8019,,,121,275.418,92.2074,,,,,,,,,
8127,,,108,260.5635,92.3877,,,,,,,,,
8236,,,109,246.7085,92.7912,,,,,,,,,
8303,,,67,108.868,92.9651,,,,,,,,,
8425,,,122,290.9107,92.8934,,,,,,,,,
8500,,,,,,0.9748,0.7442,0.0955,-80.401,7.1277,0.394,46.1459,165.0939,1.3837
8541,,,116,289.805,92.933,,,,,,,,,
8648,,,107,237.8104,93.1562,,,,,,,,,
8736,,,88,186.1409,92.5429,,,,,,,,,
8848,,,112,227.9533,93.1132,,,,,,,,,
8920,,,72,129.2142,92.9637,,,,,,,,,
9000,,,,,,0.9735,0.76,0.0952,-86.0404,6.7877,0.3791,35.7029,108.2428,0.5835
9002,,,82,158.0856,92.8689,,,,,,,,,
9125,,,123,276.9688,92.8686,,,,,,,,,
9233,,,108,255.6121,93.097,,,,,,,,,
9244,,,11,11.9351,92.9669,,,,,,,,,
9253,,,9,7.9957,90.8953,,,,,,,,,
9340,,,87,168.3989,92.8131,,,,,,,,,
9415,,,75,142.6179,95.5557,,,,,,,,,
9496,,,81,147.912,92.4433,,,,,,,,,
9500,,,,,,0.9959,0.7623,0.098,-89.6925,7.6737,0.4132,44.8411,128.8493,0.9624
9509,,,13,13.5981,93.9251,,,,,,,,,
9588,,,79,163.5488,93.4054,,,,,,,,,
9656,,,68,115.8463,92.4084,,,,,,,,,
9742,,,86,170.5492,92.903,,,,,,,,,
9824,,,82,166.6246,92.9014,,,,,,,,,
9947,,,123,306.381,92.7011,,,,,,,,,
10000,,,,,,0.9723,0.7468,0.0971,-94.9128,7.2789,0.3777,60.1868,167.2773,1.1117
10000,257.7592,112.2,,,,,,,,,,,,
10055,,,108,251.9336,73.7197,,,,,,,,,
10130,,,75,139.0578,92.6444,,,,,,,,,
10240,,,110,201.4369,92.9583,,,,,,,,,
10356,,,116,271.1649,92.9355,,,,,,,,,
10379,,,23,31.9441,92.6627,,,,,,,,,
10481,,,102,205.1188,92.7545,,,,,,,,,
10500,,,,,,0.9696,0.75,0.096,-97.083,9.4833,0.379,53.165,112.9222,0.9097
10545,,,64,107.3894,96.6377,,,,,,,,,
10603,,,58,95.7327,93.6334,,,,,,,,,
10689,,,86,154.0279,92.7807,,,,,,,,,
10807,,,118,269.6019,91.9053,,,,,,,,,
10941,,,134,301.5402,91.5197,,,,,,,,,
11000,,,,,,0.9746,0.7584,0.096,-101.7026,5.9304,0.3829,45.7129,131.8108,0.8828
11016,,,75,142.92,92.8794,,,,,,,,,
11083,,,67,123.0937,92.6824,,,,,,,,,
11202,,,119,284.3365,93.2016,,,,,,,,,
11294,,,92,192.3858,92.129,,,,,,,,,
11394,,,100,218.9728,93.1272,,,,,,,,,
11406,,,12,11.2436,92.5411,,,,,,,,,
11455,,,49,82.3859,92.5319,,,,,,,,,
11464,,,9,7.7446,92.869,,,,,,,,,
11500,,,,,,0.9587,0.7565,0.0927,-105.6424,6.1245,0.3596,45.4144,111.8762,0.7648
11557,,,93,209.4611,92.7105,,,,,,,,,
11569,,,12,12.8754,93.3573,,,,,,,,,
11678,,,109,250.9562,92.9997,,,,,,,,,
11730,,,52,84.9832,92.7553,,,,,,,,,
11830,,,100,228.1121,92.9355,,,,,,,,,
11842,,,12,13.512,93.2423,,,,,,,,,
11948,,,106,255.8683,92.5827,,,,,,,,,
12000,,,,,,0.9429,0.7674,0.0936,-107.7943,5.8929,0.3231,56.7395,210.3974,0.7013
12002,,,54,90.1868,93.0691,,,,,,,,,
12067,,,65,122.9328,93.0871,,,,,,,,,
12080,,,13,12.8415,93.39,,,,,,,,,
12098,,,18,26.002,92.689,,,,,,,,,
12107,,,9,8.4519,93.2093,,,,,,,,,
12117,,,10,10.0771,92.9259,,,,,,,,,
12180,,,63,114.9339,92.2716,,,,,,,,,
12200,,,20,22.7719,91.6019,,,,,,,,,
12251,,,51,83.4994,92.7739,,,,,,,,,
12262,,,11,11.2129,92.6276,,,,,,,,,
12334,,,72,129.4819,92.6293,,,,,,,,,
12416,,,82,162.9208,92.397,,,,,,,,,
12487,,,71,130.4922,92.6143,,,,,,,,,
12500,,,,,,0.922,0.7482,0.0911,-109.4091,6.6739,0.3206,50.4173,118.3689,0.703
12586,,,99,204.9232,93.5722,,,,,,,,,
12621,,,35,52.3207,92.9353,,,,,,,,,
12656,,,35,50.3614,93.0579,,,,,,,,,
12759,,,103,265.2415,93.2764,,,,,,,,,
12806,,,47,72.4227,92.9128,,,,,,,,,
12880,,,74,142.393,93.4489,,,,,,,,,
12947,,,67,117.0574,92.6921,,,,,,,,,
13000,,,,,,0.9097,0.7457,0.0891,-114.8543,9.0919,0.3084,52.7411,164.4881,1.059
13037,,,90,205.2295,93.1751,,,,,,,,,
13061,,,24,33.6235,93.2448,,,,,,,,,
13169,,,108,281.4918,93.1305,,,,,,,,,
13252,,,83,182.7419,94.1571,,,,,,,,,
13262,,,10,8.9157,98.0793,,,,,,,,,
13294,,,32,47.995,98.1603,,,,,,,,,
13305,,,11,10.6263,98.3705,,,,,,,,,
13417,,,112,238.2729,94.4075,,,,,,,,,
13428,,,11,9.7166,98.6041,,,,,,,,,
13448,,,20,25.7048,94.7767,,,,,,,,,
13463,,,15,18.1232,93.4821,,,,,,,,,
13486,,,23,25.6003,93.6961,,,,,,,,,
13500,,,,,,0.9234,0.7404,0.0914,-119.1403,6.7177,0.3238,103.3127,358.6542,1.0183
13601,,,115,262.2812,94.7952,,,,,,,,,
13625,,,24,26.9784,92.4859,,,,,,,,,
13684,,,59,90.5189,92.1644,,,,,,,,,
13696,,,12,12.9421,93.3054,,,,,,,,,
13707,,,11,10.6729,95.9282,,,,,,,,,
13770,,,63,112.5638,98.6776,,,,,,,,,
13826,,,56,89.4044,99.0434,,,,,,,,,
13930,,,104,221.9081,98.7344,,,,,,,,,
13985,,,55,90.4433,98.9873,,,,,,,,,
14000,,,,,,0.9174,0.7449,0.0912,-120.7661,7.7625,0.3124,124.8662,146.0117,1.0802
