env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,70.4445,14.7,,,,,,,,,,,,,,,,
16,,,16,76.2647,22.4038,,,,,,,,,,,,,
31,,,15,71.5548,36.0307,,,,,,,,,,,,,
46,,,15,71.5432,34.4409,,,,,,,,,,,,,
60,,,14,66.5584,37.0649,,,,,,,,,,,,,
75,,,15,71.2316,38.3434,,,,,,,,,,,,,
89,,,14,66.7766,36.5637,,,,,,,,,,,,,
104,,,15,71.3131,37.0922,,,,,,,,,,,,,
119,,,15,71.4919,37.1935,,,,,,,,,,,,,
134,,,15,71.5634,31.8997,,,,,,,,,,,,,
150,,,16,76.3284,38.9885,,,,,,,,,,,,,
178,,,28,126.3125,37.8389,,,,,,,,,,,,,
204,,,26,126.1806,32.1799,,,,,,,,,,,,,
226,,,22,102.5802,23.5865,,,,,,,,,,,,,
243,,,17,81.053,29.8941,,,,,,,,,,,,,
265,,,22,107.1812,32.5095,,,,,,,,,,,,,
310,,,45,231.0624,35.7032,,,,,,,,,,,,,
357,,,47,245.7012,37.0006,,,,,,,,,,,,,
374,,,17,81.1689,37.5286,,,,,,,,,,,,,
391,,,17,80.7475,36.0686,,,,,,,,,,,,,
408,,,17,81.2491,30.825,,,,,,,,,,,,,
426,,,18,88.8195,33.8584,,,,,,,,,,,,,
446,,,20,89.6532,36.33,,,,,,,,,,,,,
474,,,28,115.9806,34.9533,,,,,,,,,,,,,
500,,,,,,50,50,24,21.4898,103.1518,68.0171,-35.7776,80.4854,59.6181,103.1518,3.5941,4.3278,0.2098
532,,,58,294.7414,34.3297,,,,,,,,,,,,,
581,,,49,254.8985,27.5318,,,,,,,,,,,,,
632,,,51,249.2174,26.7195,,,,,,,,,,,,,
678,,,46,229.2495,35.5915,,,,,,,,,,,,,
733,,,55,263.2004,32.9055,,,,,,,,,,,,,
782,,,49,239.0982,32.1089,,,,,,,,,,,,,
832,,,50,238.9355,27.214,,,,,,,,,,,,,
892,,,60,297.0319,26.839,,,,,,,,,,,,,
949,,,57,276.6353,33.5947,,,,,,,,,,,,,
