env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,189.2762,37.2,,,,,,,,,,,,,
21,,,21,102.3736,1.5396,,,,,,,,,,
39,,,18,88.378,45.4062,,,,,,,,,,
65,,,26,134.1716,44.538,,,,,,,,,,
103,,,38,172.7897,44.8984,,,,,,,,,,
120,,,17,81.3725,45.6745,,,,,,,,,,
142,,,22,107.5607,45.4786,,,,,,,,,,
161,,,19,89.9473,45.6502,,,,,,,,,,
184,,,23,114.6533,45.6427,,,,,,,,,,
202,,,18,88.196,45.6503,,,,,,,,,,
223,,,21,106.3089,45.816,,,,,,,,,,
261,,,38,164.6609,43.5809,,,,,,,,,,
281,,,20,98.3389,45.0355,,,,,,,,,,
298,,,17,81.6771,45.7734,,,,,,,,,,
333,,,35,161.6265,45.7699,,,,,,,,,,
354,,,21,104.1507,45.5402,,,,,,,,,,
371,,,17,81.3757,45.7763,,,,,,,,,,
389,,,18,86.8125,45.9547,,,,,,,,,,
412,,,23,115.4194,45.923,,,,,,,,,,
435,,,23,114.9889,45.1637,,,,,,,,,,
451,,,16,76.7052,40.6587,,,,,,,,,,
469,,,18,87.3945,45.8947,,,,,,,,,,
488,,,19,92.1044,45.8337,,,,,,,,,,
500,,,,,,0.7323,0.2229,0.1435,-15.0202,0.2281,0.2033,-0.1269,0.3364,2.0502,0.2514
506,,,18,87.7194,45.5245,,,,,,,,,,
523,,,17,81.3753,45.3475,,,,,,,,,,
547,,,24,110.0291,44.6799,,,,,,,,,,
564,,,17,81.3673,42.7464,,,,,,,,,,
589,,,25,120.7572,45.9034,,,,,,,,,,
608,,,19,92.8814,45.6049,,,,,,,,,,
627,,,19,93.4755,45.771,,,,,,,,,,
644,,,17,81.1351,45.8576,,,,,,,,,,
666,,,22,108.4597,45.872,,,,,,,,,,
703,,,37,192.9631,45.7117,,,,,,,,,,
722,,,19,92.51,35.834,,,,,,,,,,
739,,,17,81.4885,39.747,,,,,,,,,,
760,,,21,100.8116,40.0631,,,,,,,,,,
777,,,17,81.3082,39.543,,,,,,,,,,
799,,,22,109.831,39.6367,,,,,,,,,,
816,,,17,81.4729,39.8458,,,,,,,,,,
841,,,25,122.5166,39.9356,,,,,,,,,,
858,,,17,81.1858,37.201,,,,,,,,,,
