env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,69.7575,14.6,,,,,,,,,,,,
15,,,15,71.5221,2.9984,,,,,,,,,
31,,,16,76.4092,90.8835,,,,,,,,,
47,,,16,76.2381,91.2194,,,,,,,,,
62,,,15,71.4315,90.6073,,,,,,,,,
77,,,15,71.5973,90.4076,,,,,,,,,
93,,,16,76.4595,91.0991,,,,,,,,,
107,,,14,66.5802,91.0232,,,,,,,,,
122,,,15,71.5008,91.5241,,,,,,,,,
138,,,16,76.3937,90.9473,,,,,,,,,
165,,,27,130.2634,90.5537,,,,,,,,,
188,,,23,107.4587,89.5278,,,,,,,,,
227,,,39,184.3483,90.6794,,,,,,,,,
251,,,24,108.9066,90.5297,,,,,,,,,
272,,,21,95.9449,90.2901,,,,,,,,,
295,,,23,105.8351,91.0977,,,,,,,,,
318,,,23,106.1614,91.0023,,,,,,,,,
338,,,20,94.7504,91.2472,,,,,,,,,
363,,,25,116.5853,90.8767,,,,,,,,,
413,,,50,234.9738,90.7319,,,,,,,,,
432,,,19,93.328,92.6782,,,,,,,,,
469,,,37,184.9282,93.8857,,,,,,,,,
500,,,,,,1.9325,0.5704,0.2165,-15.2566,3.2101,0.8664,0.3704,1.6657,0.1957
503,,,34,163.9781,93.7291,,,,,,,,,
549,,,46,221.7082,93.9795,,,,,,,,,
567,,,18,87.4323,94.096,,,,,,,,,
609,,,42,200.372,93.5315,,,,,,,,,
651,,,42,206.7454,93.1476,,,,,,,,,
672,,,21,103.7467,90.9997,,,,,,,,,
689,,,17,81.5665,90.7545,,,,,,,,,
730,,,41,201.2828,90.4063,,,,,,,,,
771,,,41,191.1252,91.2201,,,,,,,,,
813,,,42,201.7339,91.0759,,,,,,,,,
845,,,32,151.0598,91.061,,,,,,,,,
885,,,40,189.2328,92.5354,,,,,,,,,
939,,,54,291.3891,92.8697,,,,,,,,,
961,,,22,106.7105,91.1782,,,,,,,,,
997,,,36,174.162,91.4287,,,,,,,,,
1000,,,,,,1.873,0.5704,0.2118,-27.3925,4.0821,0.8059,1.7861,26.5665,0.4475
1034,,,37,176.5826,93.4808,,,,,,,,,
1075,,,41,192.863,93.9841,,,,,,,,,
1113,,,38,176.3845,93.5553,,,,,,,,,
1133,,,20,96.4913,93.988,,,,,,,,,
1153,,,20,97.9567,93.9251,,,,,,,,,
1177,,,24,109.6406,94.1197,,,,,,,,,
1232,,,55,261.1259,93.658,,,,,,,,,
1260,,,28,136.0754,94.1058,,,,,,,,,
1296,,,36,170.5042,93.822,,,,,,,,,
1327,,,31,147.758,93.721,,,,,,,,,
1344,,,17,81.2119,94.1716,,,,,,,,,
1375,,,31,158.7374,93.518,,,,,,,,,
1391,,,16,76.2298,93.953,,,,,,,,,
1417,,,26,129.9854,93.9688,,,,,,,,,
1463,,,46,214.3751,93.858,,,,,,,,,
1491,,,28,135.6169,94.3494,,,,,,,,,
1500,,,,,,1.8413,0.5721,0.204,-36.5599,4.1936,0.7623,2.1796,5.9539,0.2744
1509,,,18,87.1033,94.429,,,,,,,,,
1538,,,29,146.6027,93.9524,,,,,,,,,
1557,,,19,91.7842,93.5435,,,,,,,,,
1593,,,36,164.0632,92.899,,,,,,,,,
1620,,,27,134.3339,93.1352,,,,,,,,,
1642,,,22,109.6463,93.3593,,,,,,,,,
1660,,,18,86.5966,93.1379,,,,,,,,,
1703,,,43,225.6143,93.3246,,,,,,,,,
1732,,,29,142.9034,93.7473,,,,,,,,,
1768,,,36,183.8905,93.6191,,,,,,,,,
1796,,,28,135.8139,94.0175,,,,,,,,,
1822,,,26,123.0688,93.9069,,,,,,,,,
1857,,,35,164.9322,93.6652,,,,,,,,,
1883,,,26,127.9032,93.6215,,,,,,,,,
1908,,,25,115.3593,94.2521,,,,,,,,,
1934,,,26,121.2631,93.8366,,,,,,,,,
1971,,,37,174.0276,93.6391,,,,,,,,,
1989,,,18,86.3638,94.1747,,,,,,,,,
2000,,,,,,1.8059,0.5734,0.1986,-47.471,5.4025,0.7207,4.2799,38.0381,0.4858
2031,,,42,209.8345,93.3864,,,,,,,,,
2055,,,24,118.6812,93.8052,,,,,,,,,
2084,,,29,144.5301,93.5764,,,,,,,,,
2103,,,19,91.9422,94.0602,,,,,,,,,
2140,,,37,182.6283,93.3871,,,,,,,,,
2177,,,37,170.3397,93.7377,,,,,,,,,
2195,,,18,87.8102,93.7052,,,,,,,,,
2222,,,27,131.9017,94.0682,,,,,,,,,
2260,,,38,178.6671,93.8667,,,,,,,,,
2285,,,25,120.9141,93.5464,,,,,,,,,
2311,,,26,123.9991,93.5392,,,,,,,,,
2329,,,18,85.2656,93.6934,,,,,,,,,
2346,,,17,81.1436,94.3055,,,,,,,,,
2367,,,21,96.8559,93.1802,,,,,,,,,
2392,,,25,121.2826,94.0849,,,,,,,,,
2418,,,26,131.5091,93.1591,,,,,,,,,
2470,,,52,272.3701,93.4081,,,,,,,,,
2494,,,24,118.1515,94.0913,,,,,,,,,
2500,,,,,,1.7403,0.5753,0.1945,-58.6547,6.9777,0.6696,4.207,27.1266,0.3792
2524,,,30,143.0596,93.4175,,,,,,,,,
2554,,,30,145.1348,93.8289,,,,,,,,,
2587,,,33,162.784,93.2243,,,,,,,,,
2625,,,38,170.7896,93.1854,,,,,,,,,
2662,,,37,178.1618,91.0514,,,,,,,,,
2694,,,32,148.9475,90.9899,,,,,,,,,
2731,,,37,182.9011,90.8582,,,,,,,,,
2761,,,30,148.4481,90.6103,,,,,,,,,
2779,,,18,86.1899,90.6259,,,,,,,,,
2810,,,31,150.8038,90.8884,,,,,,,,,
2828,,,18,86.0732,91.189,,,,,,,,,
2861,,,33,165.9221,91.0637,,,,,,,,,
2887,,,26,123.0544,90.5176,,,,,,,,,
2904,,,17,80.947,91.3785,,,,,,,,,
2921,,,17,81.0115,91.1251,,,,,,,,,
2954,,,33,159.6957,90.7939,,,,,,,,,
2971,,,17,81.2143,91.3664,,,,,,,,,
2996,,,25,122.1503,90.6537,,,,,,,,,
3000,,,,,,1.741,0.5745,0.1956,-69.949,5.4543,0.6821,12.3935,109.1368,0.5331
3023,,,27,124.9049,90.5755,,,,,,,,,
3039,,,16,76.579,90.9331,,,,,,,,,
3083,,,44,218.2662,90.7408,,,,,,,,,
3107,,,24,118.3111,91.264,,,,,,,,,
3127,,,20,97.7471,91.3089,,,,,,,,,
3144,,,17,81.1435,89.7407,,,,,,,,,
3185,,,41,192.8596,93.3177,,,,,,,,,
3227,,,42,210.9981,93.3944,,,,,,,,,
3251,,,24,115.3401,93.5093,,,,,,,,,
3293,,,42,197.411,93.1327,,,,,,,,,
3327,,,34,165.6551,93.2118,,,,,,,,,
3355,,,28,140.0456,92.9161,,,,,,,,,
3394,,,39,193.177,93.2676,,,,,,,,,
3414,,,20,98.7776,92.7965,,,,,,,,,
3448,,,34,156.6379,93.3406,,,,,,,,,
3471,,,23,112.1307,92.8862,,,,,,,,,
3500,,,,,,1.7376,0.5783,0.193,-79.8841,6.6519,0.6793,9.9023,68.3888,0.5165
3518,,,47,236.0904,93.0615,,,,,,,,,
3573,,,55,271.0858,93.2337,,,,,,,,,
3632,,,59,278.4268,92.9771,,,,,,,,,
3664,,,32,156.1055,91.2171,,,,,,,,,
3699,,,35,168.3366,89.9427,,,,,,,,,
3749,,,50,232.5106,90.1883,,,,,,,,,
3797,,,48,225.2911,90.0025,,,,,,,,,
3813,,,16,76.348,90.8864,,,,,,,,,
3857,,,44,211.3941,90.1375,,,,,,,,,
3904,,,47,221.9782,90.0503,,,,,,,,,
3942,,,38,181.5967,89.7669,,,,,,,,,
3977,,,35,167.3014,92.958,,,,,,,,,
4000,,,,,,1.6983,0.5753,0.1884,-89.7517,7.762,0.6456,23.431,171.0683,0.61
4007,,,30,147.062,93.1769,,,,,,,,,
4046,,,39,188.7131,93.0065,,,,,,,,,
4112,,,66,333.9813,92.9468,,,,,,,,,
4151,,,39,194.8625,92.9327,,,,,,,,,
4180,,,29,143.213,93.1536,,,,,,,,,
4220,,,40,208.2577,93.3667,,,,,,,,,
4254,,,34,167.9674,92.9162,,,,,,,,,
4300,,,46,213.0519,92.7642,,,,,,,,,
4323,,,23,105.7195,92.3402,,,,,,,,,
4350,,,27,126.391,92.7454,,,,,,,,,
4381,,,31,152.0088,92.7512,,,,,,,,,
4430,,,49,251.7234,92.8225,,,,,,,,,
4484,,,54,249.879,93.0435,,,,,,,,,
4500,,,,,,1.7005,0.5771,0.1871,-100.5218,7.8495,0.6488,20.8443,138.3328,0.7512
4539,,,55,246.4299,92.8162,,,,,,,,,
4657,,,118,550.067,89.6502,,,,,,,,,
4707,,,50,264.8075,90.2485,,,,,,,,,
4742,,,35,168.8102,90.3002,,,,,,,,,
4777,,,35,161.3379,90.5837,,,,,,,,,
4809,,,32,145.672,89.1182,,,,,,,,,
4874,,,65,313.7542,90.0492,,,,,,,,,
4938,,,64,304.1855,89.6517,,,,,,,,,
4982,,,44,197.9528,89.9112,,,,,,,,,
5000,,,,,,1.7044,0.5814,0.1899,-113.2108,8.2469,0.6636,18.8061,99.5047,0.6825
5000,265.5074,55.4,,,,,,,,,,,,
5021,,,39,166.8985,40.8185,,,,,,,,,
5057,,,36,176.1542,89.9434,,,,,,,,,
5103,,,46,219.8151,89.984,,,,,,,,,
5127,,,24,121.2851,89.836,,,,,,,,,
5157,,,30,159.0236,90.2441,,,,,,,,,
5212,,,55,260.2462,89.9512,,,,,,,,,
5261,,,49,219.6019,89.9806,,,,,,,,,
5305,,,44,215.3784,89.812,,,,,,,,,
5351,,,46,235.0015,90.1783,,,,,,,,,
5375,,,24,119.0355,90.4461,,,,,,,,,
5407,,,32,143.0267,89.6156,,,,,,,,,
5436,,,29,145.1737,90.0803,,,,,,,,,
5484,,,48,241.5556,90.1272,,,,,,,,,
5500,,,,,,1.7803,0.5853,0.1963,-121.3497,9.4552,0.7312,45.7685,262.8524,0.9941
5533,,,49,253.1911,90.0117,,,,,,,,,
5584,,,51,251.5409,89.8815,,,,,,,,,
5627,,,43,223.9788,89.8609,,,,,,,,,
5686,,,59,265.9474,89.7985,,,,,,,,,
5708,,,22,108.4767,90.1706,,,,,,,,,
5743,,,35,176.6597,89.9682,,,,,,,,,
5814,,,71,346.6562,92.3647,,,,,,,,,
5861,,,47,232.8958,92.5843,,,,,,,,,
5894,,,33,160.1872,92.7718,,,,,,,,,
5941,,,47,232.0273,92.635,,,,,,,,,
5984,,,43,215.1453,90.0941,,,,,,,,,
6000,,,,,,1.7409,0.5861,0.192,-133.8353,13.2818,0.6999,31.5825,53.3681,1.221
6025,,,41,211.3729,89.6955,,,,,,,,,
6064,,,39,197.4124,89.8161,,,,,,,,,
6096,,,32,167.2246,89.7496,,,,,,,,,
6160,,,64,288.0667,90.1736,,,,,,,,,
6197,,,37,171.5297,90.0455,,,,,,,,,
6225,,,28,127.9229,90.164,,,,,,,,,
6249,,,24,112.0607,90.7558,,,,,,,,,
6289,,,40,190.6217,89.8365,,,,,,,,,
6331,,,42,185.5092,89.9047,,,,,,,,,
6377,,,46,200.098,89.6089,,,,,,,,,
6417,,,40,211.1065,90.1241,,,,,,,,,
6454,,,37,187.5876,90.0404,,,,,,,,,
6492,,,38,189.4181,89.9101,,,,,,,,,
6500,,,,,,1.7309,0.5857,0.1913,-151.9222,10.1542,0.6921,48.1874,275.8322,1.1932
6531,,,39,180.077,89.8865,,,,,,,,,
6571,,,40,184.1247,89.7464,,,,,,,,,
6626,,,55,262.5028,89.0103,,,,,,,,,
6674,,,48,240.4257,89.6986,,,,,,,,,
6703,,,29,137.2531,90.0534,,,,,,,,,
6754,,,51,273.3699,89.4466,,,,,,,,,
6828,,,74,361.7693,89.811,,,,,,,,,
6880,,,52,244.6123,89.4318,,,,,,,,,
6934,,,54,279.75,89.601,,,,,,,,,
6953,,,19,91.0707,89.8679,,,,,,,,,
6979,,,26,120.727,89.5378,,,,,,,,,
6999,,,20,98.3269,89.4861,,,,,,,,,
7000,,,,,,1.7308,0.5934,0.1916,-162.3044,11.0854,0.6903,54.6378,310.4486,2.6407
7037,,,38,204.5473,89.5848,,,,,,,,,
7092,,,55,267.5398,89.5061,,,,,,,,,
7148,,,56,250.0857,89.4943,,,,,,,,,
7196,,,48,243.1,90.0395,,,,,,,,,
7226,,,30,139.165,92.9134,,,,,,,,,
7277,,,51,260.3323,92.1684,,,,,,,,,
7296,,,19,90.83,92.5383,,,,,,,,,
7344,,,48,261.6082,92.9763,,,,,,,,,
7397,,,53,278.1739,92.763,,,,,,,,,
7416,,,19,93.4755,93.2455,,,,,,,,,
7441,,,25,120.9277,92.7009,,,,,,,,,
7476,,,35,180.9134,90.6088,,,,,,,,,
7500,,,,,,1.7413,0.5955,0.1934,-172.4078,14.677,0.6936,57.404,362.2606,2.3257
7527,,,51,249.7926,89.4564,,,,,,,,,
7555,,,28,127.7207,89.3593,,,,,,,,,
7591,,,36,189.2159,89.5045,,,,,,,,,
7658,,,67,345.8609,89.2493,,,,,,,,,
7683,,,25,123.5284,89.7144,,,,,,,,,
7727,,,44,206.5394,89.4304,,,,,,,,,
7767,,,40,193.848,89.5216,,,,,,,,,
