env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_reward_batch,alm_loss,model_grad_norm,reward_loss,min_true_reward,max_true_reward,mean_true_reward,classifier_loss,reward_grad_norm,critic_loss,critic_grad_norm,min_imag_reward,max_imag_reward,mean_imag_reward,min_imag_kl_reward,max_imag_kl_reward,mean_imag_kl_reward,actor_loss,lambda_cost,min_imag_value,max_imag_value,mean_imag_value,action_std,actor_grad_norm
0,72.3783,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,17,82.3833,33.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,15,71.7939,48.9319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,15,71.587,50.9363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,14,66.5918,51.7126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,14,66.6597,50.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,14,66.7607,51.7237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,14,66.68,50.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,18,82.9395,49.2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,15,71.5378,45.1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,16,76.263,47.1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,14,66.5881,49.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,15,71.2381,51.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,13,61.9086,52.0546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,15,71.6485,51.8427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,15,71.4319,50.9401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,16,76.2342,49.3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,16,76.3252,47.8279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,27,130.0638,45.8357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,17,81.2358,45.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,16,76.4732,48.5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,16,76.3914,49.1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,17,82.2082,49.3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,16,76.5429,51.6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,15,71.489,51.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,15,71.1187,50.1252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,,16,76.1802,48.9003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,16,75.9627,51.4507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,,,24,118.2395,51.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,,,16,76.1386,51.4275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,,18,91.2213,52.6364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
