env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,73.3685,15.3,,,,,,,,,,
48,,,48,226.1601,5.7564,,,,,,,
65,,,17,81.1171,83.9945,,,,,,,
81,,,16,76.3241,83.9273,,,,,,,
97,,,16,76.2926,84.1916,,,,,,,
114,,,17,80.6504,83.4347,,,,,,,
160,,,46,193.3992,83.3018,,,,,,,
176,,,16,76.1129,84.0408,,,,,,,
192,,,16,76.0317,83.8132,,,,,,,
208,,,16,76.2466,83.7746,,,,,,,
223,,,15,71.3738,84.4478,,,,,,,
239,,,16,76.1402,83.5629,,,,,,,
255,,,16,75.8756,84.1704,,,,,,,
270,,,15,71.5408,84.0219,,,,,,,
285,,,15,71.447,84.0118,,,,,,,
300,,,15,71.5746,84.5613,,,,,,,
315,,,15,71.443,83.8585,,,,,,,
330,,,15,71.4176,83.7263,,,,,,,
345,,,15,71.5517,83.7,,,,,,,
361,,,16,75.9653,83.7546,,,,,,,
376,,,15,71.6243,84.1697,,,,,,,
391,,,15,71.6299,83.5871,,,,,,,
407,,,16,76.4286,83.4016,,,,,,,
423,,,16,76.4666,83.7394,,,,,,,
439,,,16,76.1988,84.0687,,,,,,,
454,,,15,71.2836,84.0307,,,,,,,
469,,,15,71.3885,84.7138,,,,,,,
483,,,14,66.479,83.9463,,,,,,,
497,,,14,66.8181,86.7123,,,,,,,
500,,,,,,3316.3086,3300.3291,4119.3291,3316.3086,4.5602,5.055,0.0032
512,,,15,71.3366,89.4425,,,,,,,
526,,,14,66.6747,89.4819,,,,,,,
541,,,15,71.5896,89.6933,,,,,,,
556,,,15,71.5551,89.1493,,,,,,,
572,,,16,75.9806,89.0438,,,,,,,
587,,,15,71.4404,88.5182,,,,,,,
617,,,30,145.8016,88.6437,,,,,,,
648,,,31,148.3763,88.7657,,,,,,,
676,,,28,135.6396,86.8866,,,,,,,
699,,,23,107.0219,83.88,,,,,,,
727,,,28,127.7843,83.5049,,,,,,,
750,,,23,104.8226,83.729,,,,,,,
767,,,17,81.239,84.0065,,,,,,,
802,,,35,152.7922,83.2824,,,,,,,
823,,,21,96.7857,83.4671,,,,,,,
859,,,36,152.7533,83.5566,,,,,,,
890,,,31,150.7738,83.448,,,,,,,
919,,,29,146.9133,83.4575,,,,,,,
947,,,28,142.9686,83.5375,,,,,,,
980,,,33,165.9175,83.5061,,,,,,,
1000,,,,,,2762.52,2734.915,6878.5405,2762.52,1.7457,19.853,0.3217
1009,,,29,146.4653,83.2182,,,,,,,
1037,,,28,137.8296,83.6605,,,,,,,
1060,,,23,114.271,84.0227,,,,,,,
1085,,,25,127.1432,83.8127,,,,,,,
1103,,,18,88.1549,84.3146,,,,,,,
1120,,,17,81.4388,84.1795,,,,,,,
1142,,,22,110.048,84.1034,,,,,,,
1164,,,22,107.974,87.8266,,,,,,,
1226,,,62,269.5926,88.7581,,,,,,,
1297,,,71,336.4803,87.7989,,,,,,,
1381,,,84,384.5559,88.5471,,,,,,,
1464,,,83,413.215,88.4899,,,,,,,
