env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,73.3685,15.3,,,,,,,,,,,,
34,,,34,167.2442,6.1495,,,,,,,,,
61,,,27,120.3393,82.2184,,,,,,,,,
76,,,15,71.6655,84.1366,,,,,,,,,
91,,,15,71.4788,83.8482,,,,,,,,,
106,,,15,71.5044,84.0286,,,,,,,,,
120,,,14,66.9271,83.8552,,,,,,,,,
134,,,14,66.7325,84.2306,,,,,,,,,
149,,,15,71.4829,83.8902,,,,,,,,,
165,,,16,76.347,84.0807,,,,,,,,,
180,,,15,71.6546,83.8968,,,,,,,,,
195,,,15,71.3798,83.9352,,,,,,,,,
210,,,15,71.1703,84.0471,,,,,,,,,
225,,,15,71.5283,84.0481,,,,,,,,,
239,,,14,66.609,83.5159,,,,,,,,,
254,,,15,71.7565,84.7526,,,,,,,,,
269,,,15,71.6077,84.4566,,,,,,,,,
284,,,15,71.7827,84.0446,,,,,,,,,
299,,,15,71.8931,84.1175,,,,,,,,,
314,,,15,71.514,84.6098,,,,,,,,,
329,,,15,71.9052,83.814,,,,,,,,,
348,,,19,94.7683,84.1149,,,,,,,,,
377,,,29,142.8263,84.2038,,,,,,,,,
393,,,16,76.782,84.34,,,,,,,,,
427,,,34,173.4249,84.0637,,,,,,,,,
443,,,16,76.4074,84.5389,,,,,,,,,
460,,,17,81.2576,84.476,,,,,,,,,
475,,,15,71.367,84.6026,,,,,,,,,
500,,,,,,1.9873,0.2241,0.3327,-14.4147,16.5081,2.2242,4.0469,35.8268,0.534
507,,,32,152.7172,84.1436,,,,,,,,,
524,,,17,81.1213,84.293,,,,,,,,,
540,,,16,76.2596,89.5494,,,,,,,,,
556,,,16,76.8338,89.3454,,,,,,,,,
575,,,19,94.3775,89.5295,,,,,,,,,
594,,,19,92.4257,85.6335,,,,,,,,,
610,,,16,76.6711,84.2569,,,,,,,,,
626,,,16,76.4282,84.3077,,,,,,,,,
642,,,16,76.222,84.2072,,,,,,,,,
666,,,24,117.8723,74.3006,,,,,,,,,
682,,,16,76.3767,84.5194,,,,,,,,,
697,,,15,71.9321,84.4473,,,,,,,,,
713,,,16,76.7635,84.8042,,,,,,,,,
730,,,17,81.9067,84.2944,,,,,,,,,
746,,,16,76.544,84.8569,,,,,,,,,
762,,,16,76.3883,84.597,,,,,,,,,
785,,,23,117.0261,84.2295,,,,,,,,,
801,,,16,76.4902,84.3831,,,,,,,,,
817,,,16,76.6626,84.1686,,,,,,,,,
838,,,21,105.0381,84.7006,,,,,,,,,
864,,,26,129.9425,84.6172,,,,,,,,,
880,,,16,76.2528,84.365,,,,,,,,,
896,,,16,76.4915,88.0534,,,,,,,,,
912,,,16,76.1427,90.5182,,,,,,,,,
929,,,17,84.2483,89.8809,,,,,,,,,
948,,,19,92.7693,88.9814,,,,,,,,,
965,,,17,81.3376,84.2498,,,,,,,,,
981,,,16,76.5486,84.0996,,,,,,,,,
997,,,16,76.4391,83.9144,,,,,,,,,
