env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,176.8021,36.1,,,,,,,,,,,,,
32,,,32,157.4414,3.7921,,,,,,,,,,
66,,,34,152.302,78.0526,,,,,,,,,,
81,,,15,71.642,78.9187,,,,,,,,,,
96,,,15,71.4086,78.9558,,,,,,,,,,
111,,,15,71.6426,79.1154,,,,,,,,,,
127,,,16,76.4466,77.7416,,,,,,,,,,
143,,,16,76.1192,76.4651,,,,,,,,,,
159,,,16,76.1032,76.6287,,,,,,,,,,
175,,,16,76.3316,76.4104,,,,,,,,,,
190,,,15,71.5825,76.2666,,,,,,,,,,
206,,,16,76.2995,75.8609,,,,,,,,,,
222,,,16,75.9491,77.6929,,,,,,,,,,
237,,,15,71.6041,79.0249,,,,,,,,,,
251,,,14,66.7703,78.7268,,,,,,,,,,
266,,,15,71.6799,79.312,,,,,,,,,,
281,,,15,71.5456,77.3371,,,,,,,,,,
297,,,16,76.65,76.2496,,,,,,,,,,
313,,,16,76.4186,76.4182,,,,,,,,,,
329,,,16,76.1167,76.3251,,,,,,,,,,
344,,,15,71.7214,76.0786,,,,,,,,,,
360,,,16,76.735,76.1407,,,,,,,,,,
376,,,16,76.7605,76.1799,,,,,,,,,,
392,,,16,76.7789,76.4152,,,,,,,,,,
410,,,18,88.0387,76.552,,,,,,,,,,
429,,,19,93.1056,76.2103,,,,,,,,,,
446,,,17,81.2209,76.0028,,,,,,,,,,
463,,,17,81.5847,76.3304,,,,,,,,,,
479,,,16,76.8692,75.8465,,,,,,,,,,
494,,,15,71.6073,76.2429,,,,,,,,,,
500,,,,,,1.6887,0.572,0.2855,-15.3981,8.9824,0.7976,-0.5259,1.3589,25.2044,0.7504
523,,,29,139.0368,76.1485,,,,,,,,,,
553,,,30,145.6277,76.1769,,,,,,,,,,
571,,,18,87.41,76.4369,,,,,,,,,,
587,,,16,76.3693,76.02,,,,,,,,,,
603,,,16,76.6658,76.4344,,,,,,,,,,
626,,,23,115.4005,76.3704,,,,,,,,,,
657,,,31,145.7188,76.5929,,,,,,,,,,
673,,,16,76.643,76.4142,,,,,,,,,,
689,,,16,76.4302,76.3874,,,,,,,,,,
705,,,16,76.4796,76.4465,,,,,,,,,,
