env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,222.2008,42.8,,,,,,,,,,,,,
18,,,18,87.212,2.2492,,,,,,,,,,
39,,,21,103.1909,70.4465,,,,,,,,,,
55,,,16,76.4999,69.7901,,,,,,,,,,
84,,,29,144.6601,69.616,,,,,,,,,,
104,,,20,99.9258,69.4082,,,,,,,,,,
125,,,21,105.033,69.1446,,,,,,,,,,
141,,,16,76.3673,69.2677,,,,,,,,,,
163,,,22,109.2603,69.5371,,,,,,,,,,
186,,,23,115.6538,70.1154,,,,,,,,,,
221,,,35,167.3197,69.5018,,,,,,,,,,
237,,,16,76.6333,69.7878,,,,,,,,,,
255,,,18,85.781,70.8715,,,,,,,,,,
288,,,33,159.5835,70.1096,,,,,,,,,,
303,,,15,71.5964,69.6464,,,,,,,,,,
335,,,32,162.1056,69.6055,,,,,,,,,,
359,,,24,120.2594,69.8643,,,,,,,,,,
376,,,17,81.6014,69.5857,,,,,,,,,,
412,,,36,170.4986,70.2804,,,,,,,,,,
433,,,21,100.7878,70.2775,,,,,,,,,,
475,,,42,222.0213,69.9744,,,,,,,,,,
491,,,16,76.6671,69.9344,,,,,,,,,,
500,,,,,,0.2919,0.5669,0.0534,-14.5214,1.2309,0.0697,-0.0892,0.8487,2.986,0.312
510,,,19,92.3194,71.2874,,,,,,,,,,
536,,,26,123.9568,70.9632,,,,,,,,,,
553,,,17,81.3104,70.7331,,,,,,,,,,
572,,,19,92.9649,70.6434,,,,,,,,,,
601,,,29,142.6241,70.9116,,,,,,,,,,
627,,,26,116.5698,70.3972,,,,,,,,,,
645,,,18,87.197,69.2789,,,,,,,,,,
663,,,18,86.7358,70.2396,,,,,,,,,,
686,,,23,111.0654,70.4537,,,,,,,,,,
710,,,24,122.1449,70.2314,,,,,,,,,,
733,,,23,118.1151,70.2638,,,,,,,,,,
763,,,30,148.7527,70.2915,,,,,,,,,,
791,,,28,142.716,67.5532,,,,,,,,,,
812,,,21,103.8953,69.0378,,,,,,,,,,
830,,,18,86.2642,69.4217,,,,,,,,,,
884,,,54,260.0769,69.3867,,,,,,,,,,
938,,,54,237.6578,69.2817,,,,,,,,,,
967,,,29,142.4788,69.5037,,,,,,,,,,
992,,,25,123.6416,69.4,,,,,,,,,,
1000,,,,,,0.3155,0.5696,0.0843,-25.4727,1.5082,0.066,-0.1603,0.7074,2.4608,0.4296
1016,,,24,115.8086,70.257,,,,,,,,,,
1035,,,19,92.9232,70.1631,,,,,,,,,,
1054,,,19,93.4444,70.4585,,,,,,,,,,
1073,,,19,92.2314,70.0824,,,,,,,,,,
1089,,,16,76.6551,70.0325,,,,,,,,,,
1106,,,17,81.4251,69.8454,,,,,,,,,,
1133,,,27,122.4881,70.1801,,,,,,,,,,
1152,,,19,91.2824,70.2653,,,,,,,,,,
