env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,25.4,25.4,,,,,,,,,,,,,
12,,,12,12.0,1.0191,,,,,,,,,,
18,,,6,6.0,82.1376,,,,,,,,,,
28,,,10,10.0,81.8832,,,,,,,,,,
34,,,6,6.0,81.9349,,,,,,,,,,
38,,,4,4.0,83.6673,,,,,,,,,,
49,,,11,11.0,81.898,,,,,,,,,,
53,,,4,4.0,83.0798,,,,,,,,,,
61,,,8,8.0,81.6141,,,,,,,,,,
68,,,7,7.0,81.2699,,,,,,,,,,
83,,,15,15.0,81.7402,,,,,,,,,,
86,,,3,3.0,76.605,,,,,,,,,,
94,,,8,8.0,79.8109,,,,,,,,,,
97,,,3,3.0,81.2855,,,,,,,,,,
113,,,16,16.0,82.5154,,,,,,,,,,
117,,,4,4.0,82.8161,,,,,,,,,,
122,,,5,5.0,81.8136,,,,,,,,,,
129,,,7,7.0,82.6736,,,,,,,,,,
132,,,3,3.0,80.7902,,,,,,,,,,
137,,,5,5.0,82.1227,,,,,,,,,,
142,,,5,5.0,81.8586,,,,,,,,,,
147,,,5,5.0,81.5425,,,,,,,,,,
164,,,17,17.0,77.9131,,,,,,,,,,
169,,,5,5.0,80.0281,,,,,,,,,,
177,,,8,8.0,78.0626,,,,,,,,,,
183,,,6,6.0,81.6219,,,,,,,,,,
191,,,8,8.0,82.5583,,,,,,,,,,
195,,,4,4.0,81.5152,,,,,,,,,,
199,,,4,4.0,80.9118,,,,,,,,,,
207,,,8,8.0,81.2997,,,,,,,,,,
213,,,6,6.0,80.346,,,,,,,,,,
230,,,17,17.0,81.1482,,,,,,,,,,
239,,,9,9.0,82.2062,,,,,,,,,,
243,,,4,4.0,79.0606,,,,,,,,,,
254,,,11,11.0,80.1852,,,,,,,,,,
266,,,12,12.0,81.2289,,,,,,,,,,
271,,,5,5.0,78.8581,,,,,,,,,,
276,,,5,5.0,76.5512,,,,,,,,,,
288,,,12,12.0,82.4483,,,,,,,,,,
312,,,24,24.0,82.0107,,,,,,,,,,
317,,,5,5.0,83.1649,,,,,,,,,,
323,,,6,6.0,82.128,,,,,,,,,,
334,,,11,11.0,81.8269,,,,,,,,,,
358,,,24,24.0,82.1801,,,,,,,,,,
362,,,4,4.0,81.3677,,,,,,,,,,
367,,,5,5.0,82.8914,,,,,,,,,,
378,,,11,11.0,82.1353,,,,,,,,,,
404,,,26,26.0,82.2269,,,,,,,,,,
462,,,58,58.0,82.1455,,,,,,,,,,
481,,,19,19.0,82.0929,,,,,,,,,,
489,,,8,8.0,87.9588,,,,,,,,,,
500,,,,,,0.2924,0.5,0.1504,-2.8591,0.149,0.0167,-0.2975,0.0908,1.3034,0.0206
539,,,50,50.0,88.9938,,,,,,,,,,
570,,,31,31.0,88.4846,,,,,,,,,,
609,,,39,39.0,89.1412,,,,,,,,,,
657,,,48,48.0,88.7981,,,,,,,,,,
712,,,55,55.0,88.9496,,,,,,,,,,
730,,,18,18.0,88.9906,,,,,,,,,,
749,,,19,19.0,89.096,,,,,,,,,,
801,,,52,52.0,84.8937,,,,,,,,,,
842,,,41,41.0,81.7406,,,,,,,,,,
871,,,29,29.0,82.0559,,,,,,,,,,
884,,,13,13.0,82.556,,,,,,,,,,
891,,,7,7.0,81.6668,,,,,,,,,,
929,,,38,38.0,82.1252,,,,,,,,,,
947,,,18,18.0,81.7361,,,,,,,,,,
956,,,9,9.0,82.0839,,,,,,,,,,
1000,,,,,,0.2815,0.5,0.1429,-5.1092,0.089,0.0188,-0.2833,0.1255,0.619,0.0254
1013,,,57,57.0,81.5023,,,,,,,,,,
1061,,,48,48.0,82.0673,,,,,,,,,,
1117,,,56,56.0,82.363,,,,,,,,,,
1155,,,38,38.0,88.1139,,,,,,,,,,
1160,,,5,5.0,88.5192,,,,,,,,,,
1180,,,20,20.0,89.3917,,,,,,,,,,
1236,,,56,56.0,89.2949,,,,,,,,,,
1288,,,52,52.0,89.2761,,,,,,,,,,
1346,,,58,58.0,84.7143,,,,,,,,,,
1359,,,13,13.0,82.0454,,,,,,,,,,
1388,,,29,29.0,82.4098,,,,,,,,,,
1411,,,23,23.0,82.2032,,,,,,,,,,
1417,,,6,6.0,82.1478,,,,,,,,,,
1445,,,28,28.0,82.3846,,,,,,,,,,
1488,,,43,43.0,81.8325,,,,,,,,,,
1500,,,,,,0.2688,0.5,0.1489,-7.1604,0.067,0.0185,-0.287,0.3193,2.251,0.0263
1504,,,16,16.0,81.3527,,,,,,,,,,
1536,,,32,32.0,82.1765,,,,,,,,,,
1541,,,5,5.0,82.9025,,,,,,,,,,
1545,,,4,4.0,80.9044,,,,,,,,,,
1563,,,18,18.0,82.497,,,,,,,,,,
1603,,,40,40.0,82.1675,,,,,,,,,,
1644,,,41,41.0,82.2303,,,,,,,,,,
1672,,,28,28.0,82.3646,,,,,,,,,,
1717,,,45,45.0,81.9689,,,,,,,,,,
1757,,,40,40.0,82.2955,,,,,,,,,,
1761,,,4,4.0,81.085,,,,,,,,,,
1813,,,52,52.0,82.1132,,,,,,,,,,
1830,,,17,17.0,82.1704,,,,,,,,,,
1839,,,9,9.0,82.2328,,,,,,,,,,
1859,,,20,20.0,82.0016,,,,,,,,,,
1886,,,27,27.0,82.3667,,,,,,,,,,
1892,,,6,6.0,82.1312,,,,,,,,,,
1899,,,7,7.0,82.8063,,,,,,,,,,
1913,,,14,14.0,81.9149,,,,,,,,,,
1926,,,13,13.0,81.8486,,,,,,,,,,
1935,,,9,9.0,82.2646,,,,,,,,,,
1940,,,5,5.0,82.6031,,,,,,,,,,
1947,,,7,7.0,82.001,,,,,,,,,,
1956,,,9,9.0,82.618,,,,,,,,,,
1972,,,16,16.0,82.1892,,,,,,,,,,
1983,,,11,11.0,82.4529,,,,,,,,,,
2000,,,,,,0.2529,0.5,0.1345,-9.3039,0.2293,0.019,-0.2594,0.5279,5.8795,0.0091
2002,,,19,19.0,81.7031,,,,,,,,,,
2021,,,19,19.0,82.4232,,,,,,,,,,
2027,,,6,6.0,81.9157,,,,,,,,,,
2036,,,9,9.0,88.4766,,,,,,,,,,
2056,,,20,20.0,89.2637,,,,,,,,,,
2092,,,36,36.0,82.0677,,,,,,,,,,
2096,,,4,4.0,80.8603,,,,,,,,,,
2103,,,7,7.0,81.718,,,,,,,,,,
2112,,,9,9.0,81.7665,,,,,,,,,,
2137,,,25,25.0,81.5696,,,,,,,,,,
2141,,,4,4.0,81.9796,,,,,,,,,,
2154,,,13,13.0,82.1899,,,,,,,,,,
2168,,,14,14.0,82.5435,,,,,,,,,,
2206,,,38,38.0,81.8558,,,,,,,,,,
2214,,,8,8.0,85.7314,,,,,,,,,,
2229,,,15,15.0,88.9594,,,,,,,,,,
2234,,,5,5.0,89.8534,,,,,,,,,,
2243,,,9,9.0,88.882,,,,,,,,,,
2288,,,45,45.0,89.1848,,,,,,,,,,
2295,,,7,7.0,87.9088,,,,,,,,,,
2319,,,24,24.0,88.7836,,,,,,,,,,
2326,,,7,7.0,89.901,,,,,,,,,,
2331,,,5,5.0,87.9549,,,,,,,,,,
2344,,,13,13.0,88.6108,,,,,,,,,,
2367,,,23,23.0,83.9831,,,,,,,,,,
2407,,,40,40.0,81.9392,,,,,,,,,,
2425,,,18,18.0,82.2125,,,,,,,,,,
2445,,,20,20.0,82.1371,,,,,,,,,,
2460,,,15,15.0,82.3684,,,,,,,,,,
2476,,,16,16.0,82.2288,,,,,,,,,,
2487,,,11,11.0,82.6464,,,,,,,,,,
2491,,,4,4.0,80.796,,,,,,,,,,
2500,,,,,,0.2445,0.5,0.1729,-11.5373,0.1225,0.022,-0.2808,0.8092,5.6198,0.0751
2527,,,36,36.0,81.4112,,,,,,,,,,
2556,,,29,29.0,79.8674,,,,,,,,,,
2595,,,39,39.0,81.4264,,,,,,,,,,
2617,,,22,22.0,81.7973,,,,,,,,,,
2628,,,11,11.0,81.6673,,,,,,,,,,
2642,,,14,14.0,82.2444,,,,,,,,,,
2650,,,8,8.0,82.2608,,,,,,,,,,
2655,,,5,5.0,81.2318,,,,,,,,,,
2693,,,38,38.0,82.2123,,,,,,,,,,
2700,,,7,7.0,82.1798,,,,,,,,,,
2708,,,8,8.0,81.9308,,,,,,,,,,
2716,,,8,8.0,81.9374,,,,,,,,,,
2735,,,19,19.0,82.2543,,,,,,,,,,
2743,,,8,8.0,81.66,,,,,,,,,,
2749,,,6,6.0,81.6484,,,,,,,,,,
2755,,,6,6.0,81.8907,,,,,,,,,,
2764,,,9,9.0,82.0735,,,,,,,,,,
2769,,,5,5.0,81.343,,,,,,,,,,
2778,,,9,9.0,81.7832,,,,,,,,,,
2785,,,7,7.0,82.6259,,,,,,,,,,
2806,,,21,21.0,81.6306,,,,,,,,,,
2810,,,4,4.0,78.3184,,,,,,,,,,
2818,,,8,8.0,81.0973,,,,,,,,,,
2825,,,7,7.0,81.7275,,,,,,,,,,
2829,,,4,4.0,81.3737,,,,,,,,,,
2837,,,8,8.0,81.4697,,,,,,,,,,
2841,,,4,4.0,82.5492,,,,,,,,,,
2881,,,40,40.0,82.1145,,,,,,,,,,
2909,,,28,28.0,82.2144,,,,,,,,,,
2915,,,6,6.0,81.8872,,,,,,,,,,
2924,,,9,9.0,82.1696,,,,,,,,,,
2928,,,4,4.0,81.5794,,,,,,,,,,
2935,,,7,7.0,82.2548,,,,,,,,,,
2947,,,12,12.0,82.0465,,,,,,,,,,
2955,,,8,8.0,81.9694,,,,,,,,,,
2972,,,17,17.0,82.0931,,,,,,,,,,
2980,,,8,8.0,82.3717,,,,,,,,,,
3000,,,,,,0.2426,0.5,0.1344,-13.4978,0.5255,0.019,-0.2595,1.0943,4.2829,0.0066
3033,,,53,53.0,81.9937,,,,,,,,,,
3078,,,45,45.0,82.0941,,,,,,,,,,
3116,,,38,38.0,82.4044,,,,,,,,,,
3123,,,7,7.0,81.9895,,,,,,,,,,
3139,,,16,16.0,80.2643,,,,,,,,,,
3182,,,43,43.0,85.8179,,,,,,,,,,
3186,,,4,4.0,89.4356,,,,,,,,,,
3191,,,5,5.0,88.3439,,,,,,,,,,
3200,,,9,9.0,88.6658,,,,,,,,,,
3211,,,11,11.0,88.6685,,,,,,,,,,
3232,,,21,21.0,88.533,,,,,,,,,,
3274,,,42,42.0,88.7694,,,,,,,,,,
3297,,,23,23.0,88.537,,,,,,,,,,
3302,,,5,5.0,89.2234,,,,,,,,,,
3308,,,6,6.0,88.2615,,,,,,,,,,
3330,,,22,22.0,88.6916,,,,,,,,,,
3361,,,31,31.0,87.5645,,,,,,,,,,
3365,,,4,4.0,82.9516,,,,,,,,,,
3380,,,15,15.0,81.8892,,,,,,,,,,
3385,,,5,5.0,81.2311,,,,,,,,,,
3388,,,3,3.0,82.545,,,,,,,,,,
3413,,,25,25.0,81.5256,,,,,,,,,,
3426,,,13,13.0,81.7522,,,,,,,,,,
3451,,,25,25.0,81.8007,,,,,,,,,,
3491,,,40,40.0,81.8348,,,,,,,,,,
3496,,,5,5.0,82.3633,,,,,,,,,,
3500,,,,,,0.2417,0.5,0.1304,-15.5357,0.5577,0.0187,-0.2518,1.6837,16.556,0.0488
3502,,,6,6.0,81.6614,,,,,,,,,,
3508,,,6,6.0,81.7539,,,,,,,,,,
3548,,,40,40.0,82.1522,,,,,,,,,,
3561,,,13,13.0,82.0324,,,,,,,,,,
3566,,,5,5.0,81.6241,,,,,,,,,,
3572,,,6,6.0,82.302,,,,,,,,,,
3577,,,5,5.0,81.7976,,,,,,,,,,
3612,,,35,35.0,81.7876,,,,,,,,,,
3624,,,12,12.0,81.3192,,,,,,,,,,
3629,,,5,5.0,82.4249,,,,,,,,,,
3635,,,6,6.0,81.1968,,,,,,,,,,
3639,,,4,4.0,82.85,,,,,,,,,,
3675,,,36,36.0,81.8337,,,,,,,,,,
3681,,,6,6.0,82.7276,,,,,,,,,,
3688,,,7,7.0,81.7416,,,,,,,,,,
3692,,,4,4.0,81.335,,,,,,,,,,
3698,,,6,6.0,81.447,,,,,,,,,,
3705,,,7,7.0,82.539,,,,,,,,,,
3727,,,22,22.0,82.0764,,,,,,,,,,
3746,,,19,19.0,81.9497,,,,,,,,,,
3752,,,6,6.0,81.7941,,,,,,,,,,
3758,,,6,6.0,81.7834,,,,,,,,,,
3782,,,24,24.0,82.0429,,,,,,,,,,
3787,,,5,5.0,82.9278,,,,,,,,,,
3807,,,20,20.0,81.8648,,,,,,,,,,
3832,,,25,25.0,82.1209,,,,,,,,,,
3840,,,8,8.0,82.1506,,,,,,,,,,
3855,,,15,15.0,82.2181,,,,,,,,,,
3862,,,7,7.0,81.678,,,,,,,,,,
3877,,,15,15.0,81.7453,,,,,,,,,,
3889,,,12,12.0,82.2465,,,,,,,,,,
3895,,,6,6.0,81.6319,,,,,,,,,,
3913,,,18,18.0,81.8437,,,,,,,,,,
3927,,,14,14.0,81.903,,,,,,,,,,
3936,,,9,9.0,82.6462,,,,,,,,,,
3953,,,17,17.0,82.3732,,,,,,,,,,
3974,,,21,21.0,81.9636,,,,,,,,,,
3983,,,9,9.0,82.6744,,,,,,,,,,
3986,,,3,3.0,82.302,,,,,,,,,,
3997,,,11,11.0,81.5467,,,,,,,,,,
