env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,15.1,15.1,,,,,,,,,,,,
5,,,5,5.0,0.7981,,,,,,,,,
13,,,8,8.0,93.4331,,,,,,,,,
18,,,5,5.0,94.8024,,,,,,,,,
29,,,11,11.0,93.5187,,,,,,,,,
33,,,4,4.0,90.9674,,,,,,,,,
39,,,6,6.0,94.0002,,,,,,,,,
44,,,5,5.0,93.1695,,,,,,,,,
51,,,7,7.0,93.2491,,,,,,,,,
58,,,7,7.0,94.2359,,,,,,,,,
64,,,6,6.0,93.3402,,,,,,,,,
73,,,9,9.0,93.0074,,,,,,,,,
81,,,8,8.0,93.3294,,,,,,,,,
84,,,3,3.0,94.1313,,,,,,,,,
90,,,6,6.0,92.6246,,,,,,,,,
95,,,5,5.0,94.1182,,,,,,,,,
100,,,5,5.0,92.1793,,,,,,,,,
104,,,4,4.0,93.6621,,,,,,,,,
108,,,4,4.0,91.7164,,,,,,,,,
112,,,4,4.0,94.7491,,,,,,,,,
115,,,3,3.0,94.3339,,,,,,,,,
119,,,4,4.0,92.4996,,,,,,,,,
123,,,4,4.0,94.4849,,,,,,,,,
128,,,5,5.0,93.0727,,,,,,,,,
133,,,5,5.0,95.0714,,,,,,,,,
136,,,3,3.0,91.5101,,,,,,,,,
139,,,3,3.0,94.9976,,,,,,,,,
143,,,4,4.0,94.0601,,,,,,,,,
147,,,4,4.0,93.155,,,,,,,,,
150,,,3,3.0,95.2551,,,,,,,,,
155,,,5,5.0,92.844,,,,,,,,,
158,,,3,3.0,94.838,,,,,,,,,
162,,,4,4.0,94.5776,,,,,,,,,
166,,,4,4.0,92.8287,,,,,,,,,
171,,,5,5.0,94.2807,,,,,,,,,
174,,,3,3.0,92.1245,,,,,,,,,
177,,,3,3.0,95.0328,,,,,,,,,
185,,,8,8.0,93.3322,,,,,,,,,
188,,,3,3.0,95.114,,,,,,,,,
192,,,4,4.0,92.7,,,,,,,,,
198,,,6,6.0,94.8762,,,,,,,,,
202,,,4,4.0,91.7013,,,,,,,,,
207,,,5,5.0,94.5212,,,,,,,,,
210,,,3,3.0,94.7159,,,,,,,,,
215,,,5,5.0,93.1318,,,,,,,,,
222,,,7,7.0,92.5166,,,,,,,,,
226,,,4,4.0,94.7694,,,,,,,,,
230,,,4,4.0,92.5471,,,,,,,,,
236,,,6,6.0,94.3013,,,,,,,,,
240,,,4,4.0,92.0364,,,,,,,,,
243,,,3,3.0,94.5884,,,,,,,,,
246,,,3,3.0,94.9267,,,,,,,,,
249,,,3,3.0,91.2473,,,,,,,,,
253,,,4,4.0,94.6331,,,,,,,,,
258,,,5,5.0,92.8605,,,,,,,,,
262,,,4,4.0,94.3187,,,,,,,,,
266,,,4,4.0,93.782,,,,,,,,,
277,,,11,11.0,93.0928,,,,,,,,,
281,,,4,4.0,93.8491,,,,,,,,,
285,,,4,4.0,94.7475,,,,,,,,,
292,,,7,7.0,93.8233,,,,,,,,,
295,,,3,3.0,93.5971,,,,,,,,,
300,,,5,5.0,92.9803,,,,,,,,,
304,,,4,4.0,93.4013,,,,,,,,,
311,,,7,7.0,92.0779,,,,,,,,,
314,,,3,3.0,94.0997,,,,,,,,,
320,,,6,6.0,93.3135,,,,,,,,,
323,,,3,3.0,94.4933,,,,,,,,,
328,,,5,5.0,91.8776,,,,,,,,,
331,,,3,3.0,94.2505,,,,,,,,,
334,,,3,3.0,91.0249,,,,,,,,,
339,,,5,5.0,94.2917,,,,,,,,,
342,,,3,3.0,94.5515,,,,,,,,,
346,,,4,4.0,92.7774,,,,,,,,,
350,,,4,4.0,94.2424,,,,,,,,,
359,,,9,9.0,93.8246,,,,,,,,,
363,,,4,4.0,92.14,,,,,,,,,
367,,,4,4.0,95.2921,,,,,,,,,
372,,,5,5.0,92.5147,,,,,,,,,
375,,,3,3.0,94.1405,,,,,,,,,
378,,,3,3.0,94.3077,,,,,,,,,
382,,,4,4.0,92.5144,,,,,,,,,
387,,,5,5.0,95.7066,,,,,,,,,
394,,,7,7.0,93.5569,,,,,,,,,
397,,,3,3.0,94.3813,,,,,,,,,
401,,,4,4.0,93.3566,,,,,,,,,
405,,,4,4.0,93.999,,,,,,,,,
408,,,3,3.0,94.3268,,,,,,,,,
411,,,3,3.0,91.9434,,,,,,,,,
416,,,5,5.0,95.0133,,,,,,,,,
420,,,4,4.0,93.555,,,,,,,,,
424,,,4,4.0,94.6416,,,,,,,,,
428,,,4,4.0,94.8959,,,,,,,,,
432,,,4,4.0,91.8384,,,,,,,,,
435,,,3,3.0,92.3632,,,,,,,,,
439,,,4,4.0,91.43,,,,,,,,,
443,,,4,4.0,95.5433,,,,,,,,,
448,,,5,5.0,93.327,,,,,,,,,
452,,,4,4.0,94.4972,,,,,,,,,
456,,,4,4.0,94.6155,,,,,,,,,
461,,,5,5.0,93.1169,,,,,,,,,
464,,,3,3.0,94.4266,,,,,,,,,
467,,,3,3.0,92.4127,,,,,,,,,
474,,,7,7.0,94.049,,,,,,,,,
477,,,3,3.0,91.8561,,,,,,,,,
481,,,4,4.0,95.4205,,,,,,,,,
486,,,5,5.0,93.6203,,,,,,,,,
490,,,4,4.0,95.477,,,,,,,,,
494,,,4,4.0,95.0486,,,,,,,,,
498,,,4,4.0,93.9684,,,,,,,,,
500,,,,,,0.5595,0.5,0.0214,-2.248,0.4689,0.0951,0.3365,3.0096,0.0
502,,,4,4.0,93.9095,,,,,,,,,
505,,,3,3.0,90.002,,,,,,,,,
509,,,4,4.0,93.8082,,,,,,,,,
515,,,6,6.0,93.8278,,,,,,,,,
518,,,3,3.0,94.0546,,,,,,,,,
523,,,5,5.0,97.3983,,,,,,,,,
527,,,4,4.0,99.9667,,,,,,,,,
530,,,3,3.0,101.8134,,,,,,,,,
533,,,3,3.0,101.0708,,,,,,,,,
537,,,4,4.0,99.3952,,,,,,,,,
541,,,4,4.0,101.3527,,,,,,,,,
546,,,5,5.0,100.096,,,,,,,,,
550,,,4,4.0,101.081,,,,,,,,,
555,,,5,5.0,99.9491,,,,,,,,,
559,,,4,4.0,101.9321,,,,,,,,,
564,,,5,5.0,101.0276,,,,,,,,,
568,,,4,4.0,99.1895,,,,,,,,,
574,,,6,6.0,101.8443,,,,,,,,,
577,,,3,3.0,99.3903,,,,,,,,,
581,,,4,4.0,100.729,,,,,,,,,
589,,,8,8.0,100.7241,,,,,,,,,
592,,,3,3.0,100.1378,,,,,,,,,
