env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-7938.2928,500.0,,,,,,,,,,,,,
500,,,0.6114,6.7873,0.2155,33.2911,3.6449,78.4762,-0.2169,6.7158,29.4376,0.0636,,,
500,,,,,,,,,,,,,500,-3757.6901,23.7446
1000,,,0.8217,6.7576,0.2631,55.1145,3.585,76.564,-0.2723,7.1705,82.6636,0.0298,,,
1000,,,,,,,,,,,,,500,-5696.108,37.25
1500,,,0.9795,6.6752,0.3209,75.9059,2.7397,78.159,-0.3291,14.6305,129.3457,0.0224,,,
1500,,,,,,,,,,,,,500,-4323.423,37.6503
2000,,,1.0319,6.2061,0.3563,95.8362,2.1407,65.2976,-0.3565,20.1771,84.6684,0.4715,,,
2000,,,,,,,,,,,,,500,-5079.3587,38.1539
2500,,,1.085,6.8613,0.3892,114.1215,4.5429,79.3807,-0.3719,20.7603,222.2971,0.4639,,,
2500,,,,,,,,,,,,,500,-4827.4226,38.1425
3000,,,1.1252,6.3652,0.4049,120.5846,17.322,69.1674,-0.3982,140.1729,712.283,1.2701,,,
3000,,,,,,,,,,,,,500,-4695.17,37.124
3500,,,1.1198,6.2968,0.4221,146.3484,5.5893,69.7689,-0.4156,111.3236,266.2903,0.528,,,
3500,,,,,,,,,,,,,500,-6613.8715,37.1592
4000,,,1.1409,6.537,0.4228,158.9257,6.8739,71.4935,-0.4142,43.5222,682.0208,0.6285,,,
4000,,,,,,,,,,,,,500,-6924.3296,39.2857
4500,,,1.1677,7.4382,0.4273,175.5376,4.5255,100.0991,-0.4253,116.2116,529.6664,1.0266,,,
4500,,,,,,,,,,,,,500,-9130.728,37.7272
5000,,,1.1928,7.6029,0.436,198.6868,5.1204,103.2969,-0.4335,114.0968,342.5145,1.1191,,,
5000,-6030.0682,500.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,500,-7801.0737,32.0789
5500,,,1.2218,7.5225,0.4664,209.39,6.6625,100.166,-0.449,64.7062,1566.2258,0.4493,,,
5500,,,,,,,,,,,,,500,-4791.2649,36.9505
6000,,,1.2141,7.7839,0.4563,221.1599,7.4913,107.7574,-0.4508,86.674,617.4644,0.8337,,,
6000,,,,,,,,,,,,,500,-5291.4435,38.0666
6500,,,1.175,6.7257,0.4386,228.466,6.9293,86.2797,-0.4336,104.5233,1017.8229,1.0455,,,
6500,,,,,,,,,,,,,500,-5916.0186,37.34
7000,,,1.207,6.9411,0.4482,241.2587,12.759,89.4298,-0.4549,135.9035,609.7147,0.5294,,,
7000,,,,,,,,,,,,,500,-3717.2786,38.2723
7500,,,1.2165,7.0995,0.4437,254.4543,18.1324,94.5787,-0.4555,281.2897,1611.5214,0.5837,,,
7500,,,,,,,,,,,,,500,-4736.6369,36.847
8000,,,1.2137,6.7798,0.4595,258.8732,14.5994,88.0013,-0.4499,38.2089,735.3865,1.1244,,,
8000,,,,,,,,,,,,,500,-2652.881,37.1374
8500,,,1.2037,7.0734,0.4449,270.2413,6.7384,91.6929,-0.4489,111.1706,866.5223,1.0681,,,
8500,,,,,,,,,,,,,500,-6112.824,38.032
9000,,,1.1967,6.5959,0.4477,274.445,9.448,80.4029,-0.4488,129.1816,1781.2762,0.7853,,,
9000,,,,,,,,,,,,,500,-3442.8093,39.2538
