env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-7562.1971,500.0,,,,,,,,,,
500,,,45.7613,80.2783,469.4545,45.7613,8.1816,8.6978,0.0004,,,
500,,,,,,,,,,500,-6602.5166,32.1956
1000,,,152.7863,209.0241,1302.2886,152.7863,7.9076,192.7841,0.0974,,,
1000,,,,,,,,,,500,-4876.1732,72.6627
1500,,,223.9304,302.3232,1491.0107,223.9304,21.6979,294.1181,0.1542,,,
1500,,,,,,,,,,500,-6209.169,73.2563
2000,,,292.2688,393.1356,1382.2666,292.2688,22.8644,161.2832,0.3601,,,
2000,,,,,,,,,,500,-5425.7359,74.9929
2500,,,333.5067,453.8492,1575.3058,333.5067,20.3895,158.0471,0.4736,,,
2500,,,,,,,,,,500,-4094.107,79.2675
3000,,,373.5581,509.5002,1877.2133,373.5581,185.9663,560.4671,0.7709,,,
3000,,,,,,,,,,500,-4986.3453,80.9928
3500,,,445.7763,603.8339,1553.4031,445.7763,167.9309,694.0706,0.5385,,,
3500,,,,,,,,,,500,-7230.2145,76.265
4000,,,533.7101,705.869,3101.8865,533.7101,22.579,235.6046,0.5792,,,
4000,,,,,,,,,,500,-6870.6504,74.6299
4500,,,627.4949,817.7898,1925.2683,627.4949,123.0307,1241.7396,1.0593,,,
4500,,,,,,,,,,500,-9407.5467,77.2884
5000,,,752.5583,956.9494,2582.8572,752.5583,144.1588,711.4951,0.5751,,,
5000,-11029.947,500.0,,,,,,,,,,
5000,,,,,,,,,,500,-8016.9981,56.5116
5500,,,939.8752,1159.1488,2518.4231,939.8752,82.8737,697.8112,0.5852,,,
5500,,,,,,,,,,500,-6388.4862,75.4031
6000,,,1165.4597,1399.1359,3819.0781,1165.4597,251.1774,737.7741,1.2102,,,
6000,,,,,,,,,,500,-3730.7519,71.7362
6500,,,1376.7271,1620.3927,4174.0142,1376.7271,85.7336,690.035,1.1058,,,
6500,,,,,,,,,,500,-6470.7171,75.5308
7000,,,1812.5199,2069.8857,4251.4053,1812.5199,148.5157,1015.6033,1.1429,,,
7000,,,,,,,,,,500,-3594.4372,77.5183
7500,,,2072.8843,2349.7485,5498.6196,2072.8843,442.9805,906.8938,1.4817,,,
7500,,,,,,,,,,500,-5319.407,72.9194
8000,,,2689.6914,2972.4641,13268.9141,2689.6914,95.6107,819.3575,0.6606,,,
8000,,,,,,,,,,500,-5763.7834,73.8875
8500,,,2914.4526,3214.8105,8558.5312,2914.4526,208.7137,2374.8142,1.0476,,,
8500,,,,,,,,,,500,-3544.022,77.3048
9000,,,3578.9053,3891.5908,12229.6553,3578.9053,383.7021,5206.606,0.7985,,,
9000,,,,,,,,,,500,-4339.6443,77.9421
9500,,,4004.1582,4326.9912,11265.9053,4004.1582,279.1612,5201.3936,1.6579,,,
9500,,,,,,,,,,500,-2006.0216,73.1953
10000,,,4872.1289,5202.8779,15850.6914,4872.1289,356.3203,3732.0518,2.7387,,,
10000,-11199.8638,500.0,,,,,,,,,,
10000,,,,,,,,,,500,-3264.3459,54.8263
10500,,,5197.4082,5543.4487,20058.459,5197.4082,593.7218,1954.8746,1.4341,,,
10500,,,,,,,,,,500,-2982.4313,72.931
11000,,,6265.8438,6620.6875,28857.5371,6265.8438,184.1031,1896.9414,1.2469,,,
11000,,,,,,,,,,500,-1826.2248,72.8146
11500,,,6812.5527,7176.7544,33653.6641,6812.5527,154.4786,2150.9329,1.4448,,,
11500,,,,,,,,,,500,-3278.171,68.0181
12000,,,6757.6167,7135.5854,23521.8008,6757.6167,325.261,4091.6416,0.9509,,,
12000,,,,,,,,,,500,-1881.7923,73.5333
12500,,,7709.7324,8094.4902,32243.8242,7709.7324,70.1509,802.4749,1.152,,,
12500,,,,,,,,,,500,-2693.4564,71.7136
13000,,,8321.7988,8701.8828,39214.5234,8321.7988,185.3602,2592.8081,1.5961,,,
13000,,,,,,,,,,500,-1726.1127,73.5961
13500,,,8671.5605,9063.3301,32460.0918,8671.5605,428.2057,2241.3806,1.4657,,,
13500,,,,,,,,,,500,-3612.7766,71.9586
14000,,,9909.9473,10305.4434,65388.5273,9909.9473,210.1804,3507.9375,0.8531,,,
14000,,,,,,,,,,500,-1942.9043,74.8955
14500,,,10114.0977,10508.1934,45881.2969,10114.0977,420.1408,10029.249,1.4089,,,
14500,,,,,,,,,,500,-4867.9498,76.8142
15000,,,10171.332,10573.8359,76080.7812,10171.332,170.0393,7439.2642,1.2414,,,
15000,-9195.6082,500.0,,,,,,,,,,
15000,,,,,,,,,,500,-3731.3385,57.9394
15500,,,10533.0215,10944.7637,61284.2266,10533.0215,238.526,7959.833,0.7056,,,
15500,,,,,,,,,,500,-1932.6061,74.4091
16000,,,10902.8486,11319.874,58531.543,10902.8486,218.8708,4252.9961,1.0087,,,
16000,,,,,,,,,,500,-2075.3982,72.3384
16500,,,11530.6631,11940.9531,114612.1641,11530.6631,469.2591,3446.2812,1.7063,,,
16500,,,,,,,,,,500,-1353.5005,72.5923
17000,,,11457.2666,11881.4268,70932.7812,11457.2666,353.9203,8715.3916,1.2916,,,
17000,,,,,,,,,,500,-1752.2606,69.9272
17500,,,11474.2432,11885.5078,136205.5781,11474.2432,414.3485,2303.1201,1.5697,,,
17500,,,,,,,,,,500,-3814.6733,71.3523
18000,,,11894.873,12309.6533,151501.1094,11894.873,182.2076,4159.6699,1.0075,,,
18000,,,,,,,,,,500,-3468.2706,74.2885
18500,,,12274.8008,12691.2715,115315.0391,12274.8008,284.2202,7478.7803,1.4014,,,
18500,,,,,,,,,,500,-4924.684,71.7063
19000,,,12555.9746,12979.2471,208767.8125,12555.9746,146.4173,9154.7168,1.8648,,,
19000,,,,,,,,,,500,-1977.0114,76.3914
19500,,,12316.2549,12741.9346,163166.4375,12316.2549,274.0384,6767.1963,1.044,,,
19500,,,,,,,,,,500,-3487.3332,76.1404
20000,,,12910.4102,13335.9473,186103.9688,12910.4102,299.2556,7110.1606,1.6236,,,
20000,-8864.5922,500.0,,,,,,,,,,
20000,,,,,,,,,,500,-3824.7857,54.8063
20500,,,12811.4424,13244.6719,245897.0781,12811.4424,270.477,5429.6089,1.7046,,,
20500,,,,,,,,,,500,-1163.1069,75.7369
21000,,,13114.3838,13548.6191,163542.7812,13114.3838,541.0311,9493.0234,1.9253,,,
21000,,,,,,,,,,500,-2182.0297,71.0494
21500,,,13174.5518,13606.3164,187344.2812,13174.5518,231.9276,4185.7422,1.6378,,,
21500,,,,,,,,,,500,-2484.066,75.8688
22000,,,12033.6641,12472.9238,128344.8828,12033.6641,589.6543,9529.5605,2.8795,,,
22000,,,,,,,,,,500,-2303.0205,73.7001
22500,,,12550.2148,12997.3408,159563.25,12550.2148,232.5937,9503.0674,1.3321,,,
22500,,,,,,,,,,500,-3031.0279,71.1888
23000,,,13108.8818,13558.5859,218064.125,13108.8818,303.1494,8877.6025,2.4584,,,
23000,,,,,,,,,,500,-5545.706,72.0922
23500,,,13385.8076,13839.2754,191002.3125,13385.8076,526.8455,9704.918,1.4892,,,
23500,,,,,,,,,,500,-1239.567,75.4326
24000,,,12403.7139,12850.5771,174754.75,12403.7139,603.1351,8956.8252,1.9247,,,
24000,,,,,,,,,,500,-4528.1973,76.9517
24500,,,12878.2383,13319.7031,227972.5156,12878.2383,273.6287,3549.9714,2.4719,,,
