env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-12.4501,50.0,,,,,,,,,,,,,
50,,,50,-60.2874,4.5036,,,,,,,,,,
100,,,50,-61.5991,81.0356,,,,,,,,,,
150,,,50,-60.8787,80.9502,,,,,,,,,,
200,,,50,-59.7494,80.9797,,,,,,,,,,
250,,,50,-58.4674,80.219,,,,,,,,,,
300,,,50,-64.9401,81.3468,,,,,,,,,,
350,,,50,-63.304,81.5435,,,,,,,,,,
400,,,50,-61.2278,81.3273,,,,,,,,,,
450,,,50,-59.058,81.3484,,,,,,,,,,
500,,,,,,0.3753,0.6565,0.1157,1.757,0.0887,0.0086,-0.2227,0.0302,0.3323,0.1369
500,,,50,-62.7026,79.2713,,,,,,,,,,
550,,,50,-60.7309,81.0689,,,,,,,,,,
600,,,50,-54.989,86.5698,,,,,,,,,,
650,,,50,-58.5103,87.9218,,,,,,,,,,
700,,,50,-62.0367,84.3881,,,,,,,,,,
750,,,50,-62.0051,81.224,,,,,,,,,,
800,,,50,-52.5057,81.0271,,,,,,,,,,
850,,,50,-58.7329,81.2335,,,,,,,,,,
900,,,50,-62.4142,85.2339,,,,,,,,,,
950,,,50,-60.9449,87.8175,,,,,,,,,,
1000,,,,,,0.3842,0.6513,0.145,2.4258,0.1057,0.008,-0.2771,0.02,0.5251,0.0787
1000,,,50,-60.3625,81.4601,,,,,,,,,,
1050,,,50,-54.8182,81.3586,,,,,,,,,,
1100,,,50,-60.1726,81.6302,,,,,,,,,,
1150,,,50,-55.6094,80.6036,,,,,,,,,,
1200,,,50,-60.0657,81.6736,,,,,,,,,,
1250,,,50,-56.7066,81.7505,,,,,,,,,,
1300,,,50,-55.1051,81.6533,,,,,,,,,,
1350,,,50,-55.8393,81.7173,,,,,,,,,,
1400,,,50,-62.4612,81.552,,,,,,,,,,
1450,,,50,-58.7971,81.4032,,,,,,,,,,
1500,,,,,,0.3952,0.6593,0.1583,3.0572,0.1672,0.0072,-0.289,0.0139,0.2841,0.0739
