env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,6.0239,20.8,,,,,,,,,,,,
18,,,18,-2.4699,3.6308,,,,,,,,,
256,,,238,374.3158,99.2612,,,,,,,,,
392,,,136,38.7594,99.215,,,,,,,,,
500,,,,,,0.8145,0.7,0.0581,-2.4738,0.6413,0.0266,0.1866,1.0933,0.0013
588,,,196,55.9028,99.5164,,,,,,,,,
861,,,273,123.3784,100.0094,,,,,,,,,
989,,,128,-5.2538,99.6581,,,,,,,,,
1000,,,,,,0.864,0.7033,0.0681,-5.2272,1.5169,0.0437,0.4724,1.8596,0.4342
1133,,,144,216.2332,103.5928,,,,,,,,,
1279,,,146,33.8629,103.8442,,,,,,,,,
1500,,,,,,0.9913,0.7092,0.0893,-8.9404,1.5409,0.1091,0.9708,1.7758,0.1987
1517,,,238,109.2265,102.9086,,,,,,,,,
1685,,,168,24.1272,99.9373,,,,,,,,,
2000,,,,,,1.0854,0.7102,0.1051,-12.7365,2.4592,0.1839,1.6063,5.2175,0.3776
2056,,,371,125.3274,99.7543,,,,,,,,,
2273,,,217,54.247,99.6756,,,,,,,,,
2409,,,136,188.0378,99.3433,,,,,,,,,
2500,,,,,,1.1715,0.7106,0.1173,-16.4548,3.7834,0.2456,3.5973,18.2789,0.8466
2577,,,168,24.3223,99.6336,,,,,,,,,
2676,,,99,15.3054,99.4821,,,,,,,,,
2768,,,92,8.9217,99.606,,,,,,,,,
2949,,,181,92.038,100.1536,,,,,,,,,
3000,,,,,,1.2291,0.726,0.1265,-20.3487,3.4144,0.2922,3.3808,16.3882,0.7818
3112,,,163,227.1123,99.9862,,,,,,,,,
3246,,,134,60.9444,100.1921,,,,,,,,,
3374,,,128,114.5799,99.8815,,,,,,,,,
3500,,,,,,1.267,0.7197,0.1301,-24.7344,3.8848,0.3372,6.2821,39.1689,1.0238
3597,,,223,314.2991,99.8871,,,,,,,,,
3839,,,242,225.5497,99.9658,,,,,,,,,
3929,,,90,154.0484,99.9533,,,,,,,,,
4000,,,,,,1.2672,0.7348,0.1322,-29.141,3.8896,0.3197,6.4303,20.9576,0.3881
4074,,,145,248.9628,99.9092,,,,,,,,,
4093,,,19,6.0227,100.314,,,,,,,,,
4296,,,203,135.3045,100.815,,,,,,,,,
4407,,,111,54.6952,102.5144,,,,,,,,,
4471,,,64,108.263,100.5614,,,,,,,,,
4500,,,,,,1.2347,0.7363,0.1285,-33.88,4.5991,0.2777,7.5232,30.4271,2.4303
4551,,,80,32.3923,103.4947,,,,,,,,,
4609,,,58,50.4059,103.4691,,,,,,,,,
4701,,,92,155.5529,103.5423,,,,,,,,,
4735,,,34,20.6839,103.4895,,,,,,,,,
4804,,,69,62.5285,103.5386,,,,,,,,,
4944,,,140,176.6873,102.1005,,,,,,,,,
4992,,,48,30.9138,100.3359,,,,,,,,,
5000,,,,,,1.2882,0.7364,0.1348,-40.2439,5.3765,0.3174,11.2819,37.2972,2.2388
5000,16.9007,127.1,,,,,,,,,,,,
5116,,,124,75.7996,66.8714,,,,,,,,,
5174,,,58,40.7141,99.8752,,,,,,,,,
5182,,,8,-4.1592,99.8852,,,,,,,,,
5198,,,16,3.8922,100.0275,,,,,,,,,
5231,,,33,16.1871,100.5945,,,,,,,,,
5351,,,120,226.2415,103.4593,,,,,,,,,
5420,,,69,62.2868,98.5318,,,,,,,,,
5488,,,68,20.9701,99.951,,,,,,,,,
5499,,,11,-1.8102,100.0938,,,,,,,,,
5500,,,,,,1.189,0.7368,0.1252,-45.8289,6.9833,0.2253,12.1986,30.6616,1.3739
5639,,,140,260.4221,99.8968,,,,,,,,,
5699,,,60,52.4077,99.4911,,,,,,,,,
5715,,,16,5.1562,99.766,,,,,,,,,
5725,,,10,-0.3149,99.8444,,,,,,,,,
5770,,,45,33.03,99.9774,,,,,,,,,
5804,,,34,6.2649,100.4683,,,,,,,,,
5890,,,86,84.634,100.1051,,,,,,,,,
5899,,,9,-3.3154,99.6201,,,,,,,,,
5914,,,15,-1.3418,100.0812,,,,,,,,,
5949,,,35,3.9617,99.4095,,,,,,,,,
6000,,,,,,1.2545,0.7411,0.132,-51.2326,10.1552,0.2836,21.1623,76.0236,1.5321
6027,,,78,109.0388,100.0717,,,,,,,,,
6056,,,29,11.2641,99.9795,,,,,,,,,
6064,,,8,-2.0229,98.8331,,,,,,,,,
6079,,,15,3.765,99.9128,,,,,,,,,
6217,,,138,180.663,100.0921,,,,,,,,,
6240,,,23,16.005,99.5926,,,,,,,,,
6264,,,24,9.3826,98.6155,,,,,,,,,
6304,,,40,39.6719,99.4412,,,,,,,,,
6321,,,17,5.4204,99.4758,,,,,,,,,
6336,,,15,1.632,99.6409,,,,,,,,,
6392,,,56,48.8207,99.3733,,,,,,,,,
6414,,,22,0.7189,99.9882,,,,,,,,,
6422,,,8,-3.198,99.2488,,,,,,,,,
6446,,,24,-1.0411,100.0364,,,,,,,,,
6460,,,14,1.4529,100.5317,,,,,,,,,
6469,,,9,-3.1672,99.4733,,,,,,,,,
6484,,,15,6.4382,98.8587,,,,,,,,,
6500,,,,,,1.2391,0.7428,0.1303,-58.0856,5.5863,0.2661,15.9335,71.8415,2.0568
6509,,,25,18.6443,99.9822,,,,,,,,,
6527,,,18,7.3019,99.6274,,,,,,,,,
6537,,,10,-0.4482,98.6396,,,,,,,,,
6545,,,8,-1.6704,99.7403,,,,,,,,,
6578,,,33,18.3797,100.1379,,,,,,,,,
6593,,,15,3.8347,99.6591,,,,,,,,,
6602,,,9,-1.9509,99.9053,,,,,,,,,
6629,,,27,9.7058,100.4006,,,,,,,,,
6677,,,48,42.7051,100.004,,,,,,,,,
6765,,,88,139.861,100.1615,,,,,,,,,
6780,,,15,3.9794,100.6348,,,,,,,,,
6805,,,25,18.3537,99.7956,,,,,,,,,
6841,,,36,24.1935,100.2689,,,,,,,,,
6850,,,9,-2.5745,100.0839,,,,,,,,,
6858,,,8,-1.5197,99.8213,,,,,,,,,
6867,,,9,-4.8267,100.0133,,,,,,,,,
6876,,,9,-0.6179,100.0796,,,,,,,,,
6906,,,30,14.0039,100.1196,,,,,,,,,
6931,,,25,15.6616,99.9479,,,,,,,,,
6952,,,21,9.5681,100.0304,,,,,,,,,
6964,,,12,-1.8792,100.0285,,,,,,,,,
6988,,,24,9.7959,99.8785,,,,,,,,,
6996,,,8,-4.3527,100.0055,,,,,,,,,
7000,,,,,,1.2314,0.7485,0.1312,-64.1959,10.1074,0.25,24.6366,61.4928,1.5154
7139,,,143,138.5825,99.9401,,,,,,,,,
7146,,,7,-4.2196,100.8877,,,,,,,,,
7180,,,34,14.9162,99.9068,,,,,,,,,
7209,,,29,7.4026,100.227,,,,,,,,,
7233,,,24,14.4423,100.1449,,,,,,,,,
7245,,,12,0.1826,100.188,,,,,,,,,
7255,,,10,0.2108,100.3014,,,,,,,,,
7418,,,163,121.1951,99.7826,,,,,,,,,
7445,,,27,8.3751,99.6809,,,,,,,,,
