env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,39.1204,57.1,,,,,,,,,,,,,
13,,,13,-2.7203,1.7361,,,,,,,,,,
46,,,33,-6.0727,87.2885,,,,,,,,,,
176,,,130,13.4425,87.1209,,,,,,,,,,
371,,,195,34.9857,87.5862,,,,,,,,,,
473,,,102,-11.3575,87.9551,,,,,,,,,,
500,,,,,,0.6503,0.6909,0.2239,-1.0813,0.4626,1.5646,-0.4198,0.1555,1.0351,0.0885
675,,,202,19.9851,87.6333,,,,,,,,,,
870,,,195,28.3088,87.5947,,,,,,,,,,
1000,,,,,,0.656,0.7007,0.2349,-4.1667,0.434,1.7005,-0.4464,0.4913,3.0005,0.2022
1197,,,327,164.2906,88.0333,,,,,,,,,,
1362,,,165,55.1604,87.5639,,,,,,,,,,
1500,,,,,,0.6607,0.7027,0.2504,-7.678,0.5442,1.8625,-0.4602,0.9504,3.0224,0.2628
1624,,,262,311.669,87.9124,,,,,,,,,,
1940,,,316,434.4496,87.9794,,,,,,,,,,
2000,,,,,,0.6395,0.7062,0.2449,-12.5589,1.473,1.8227,-0.4598,1.5242,14.7764,0.9381
2082,,,142,48.8072,88.0454,,,,,,,,,,
2190,,,108,26.7328,88.1398,,,,,,,,,,
2500,,,,,,0.6407,0.7241,0.245,-16.1724,1.3013,1.8581,-0.4626,2.2213,16.6162,0.8551
2529,,,339,284.5972,88.1441,,,,,,,,,,
2635,,,106,116.9396,88.1478,,,,,,,,,,
2828,,,193,250.8477,87.8545,,,,,,,,,,
2968,,,140,215.0459,88.1278,,,,,,,,,,
3000,,,,,,0.6313,0.7245,0.2247,-22.2411,2.7722,1.6174,-0.4401,2.4154,13.2237,1.2068
3030,,,62,32.1097,88.0881,,,,,,,,,,
3129,,,99,64.2438,88.2886,,,,,,,,,,
3203,,,74,46.6176,87.9261,,,,,,,,,,
3329,,,126,80.3314,87.8342,,,,,,,,,,
3460,,,131,197.3858,87.9634,,,,,,,,,,
3500,,,,,,0.6347,0.7281,0.2399,-28.0863,1.6521,1.8097,-0.4554,3.3747,24.5015,0.7422
3536,,,76,57.464,87.65,,,,,,,,,,
3676,,,140,75.6689,87.7729,,,,,,,,,,
3739,,,63,53.4348,88.0384,,,,,,,,,,
3839,,,100,177.177,87.8506,,,,,,,,,,
4000,,,,,,0.6191,0.7174,0.2536,-35.3004,1.8934,2.0105,-0.4766,5.2981,26.3069,0.8018
4025,,,186,199.5774,87.8588,,,,,,,,,,
4187,,,162,284.8148,87.5548,,,,,,,,,,
4362,,,175,216.2693,87.8517,,,,,,,,,,
4378,,,16,4.2404,85.7762,,,,,,,,,,
4431,,,53,23.7215,87.8594,,,,,,,,,,
4452,,,21,10.68,87.3692,,,,,,,,,,
4491,,,39,31.3773,87.6894,,,,,,,,,,
4500,,,,,,0.626,0.7278,0.33,-40.8156,1.9824,3.2063,-0.518,8.594,57.3503,1.5176
4600,,,109,126.4299,87.772,,,,,,,,,,
4756,,,156,82.4433,89.2999,,,,,,,,,,
4889,,,133,234.1335,91.667,,,,,,,,,,
4994,,,105,63.0045,91.6484,,,,,,,,,,
5000,,,,,,0.6219,0.7258,0.2269,-47.5131,2.1738,1.6586,-0.4597,4.656,45.5311,1.8997
5000,355.7765,316.2,,,,,,,,,,,,,
5080,,,86,13.2566,47.7511,,,,,,,,,,
5144,,,64,46.2808,89.8626,,,,,,,,,,
5229,,,85,160.2488,87.4417,,,,,,,,,,
5395,,,166,290.6367,87.2768,,,,,,,,,,
5422,,,27,10.2457,87.4295,,,,,,,,,,
5462,,,40,23.1923,87.5321,,,,,,,,,,
5497,,,35,22.0482,87.3975,,,,,,,,,,
5500,,,,,,0.6276,0.7436,0.2659,-51.9702,3.9048,2.2136,-0.4946,15.2439,93.2221,1.7792
5550,,,53,29.3308,87.3668,,,,,,,,,,
5735,,,185,277.6148,87.4927,,,,,,,,,,
5842,,,107,115.6669,86.9572,,,,,,,,,,
6000,,,,,,0.6136,0.7368,0.2281,-56.6827,3.4872,1.7126,-0.4418,6.2077,54.5869,2.0229
6180,,,338,344.2961,90.5042,,,,,,,,,,
6191,,,11,-2.3385,91.0682,,,,,,,,,,
6228,,,37,7.0922,88.8285,,,,,,,,,,
6252,,,24,9.7669,87.2859,,,,,,,,,,
6361,,,109,17.4143,87.4324,,,,,,,,,,
6464,,,103,4.6897,87.5504,,,,,,,,,,
6489,,,25,1.9632,86.7549,,,,,,,,,,
6500,,,,,,0.6238,0.7451,0.2299,-62.1493,4.7588,1.7447,-0.447,11.4427,89.509,1.538
6563,,,74,13.5443,87.4872,,,,,,,,,,
6589,,,26,9.2566,87.3361,,,,,,,,,,
6609,,,20,4.5328,86.7399,,,,,,,,,,
6653,,,44,9.5805,87.3098,,,,,,,,,,
6712,,,59,8.8027,87.6172,,,,,,,,,,
6810,,,98,15.8744,90.2947,,,,,,,,,,
6889,,,79,4.2219,91.1438,,,,,,,,,,
6903,,,14,-1.1952,91.3674,,,,,,,,,,
6951,,,48,-1.9717,88.4492,,,,,,,,,,
7000,,,,,,0.6299,0.7498,0.2372,-67.3065,3.4818,1.8225,-0.4477,10.3777,72.331,2.4515
7015,,,64,8.4315,87.419,,,,,,,,,,
7096,,,81,-1.6258,87.5782,,,,,,,,,,
7111,,,15,-2.9811,87.6124,,,,,,,,,,
7133,,,22,3.9781,85.2079,,,,,,,,,,
7144,,,11,1.852,85.994,,,,,,,,,,
7178,,,34,-11.2234,89.1941,,,,,,,,,,
7325,,,147,9.9962,91.187,,,,,,,,,,
7339,,,14,1.3435,91.2383,,,,,,,,,,
7500,,,,,,0.6311,0.7398,0.2444,-72.9841,6.2324,1.8915,-0.4592,15.4179,136.4475,2.4233
7552,,,213,360.7867,91.1237,,,,,,,,,,
7621,,,69,13.5364,90.9992,,,,,,,,,,
7652,,,31,3.197,91.1096,,,,,,,,,,
7748,,,96,-0.0687,88.53,,,,,,,,,,
7785,,,37,11.5863,87.518,,,,,,,,,,
7856,,,71,26.0042,91.0206,,,,,,,,,,
7907,,,51,20.3593,90.1761,,,,,,,,,,
8000,,,,,,0.6271,0.7486,0.2213,-79.1024,4.5883,1.6222,-0.4194,18.6806,259.9339,2.0664
8000,,,93,39.3344,90.456,,,,,,,,,,
8044,,,44,35.3441,87.2981,,,,,,,,,,
8097,,,53,5.9834,87.348,,,,,,,,,,
8183,,,86,59.0535,87.4336,,,,,,,,,,
8240,,,57,34.843,87.6008,,,,,,,,,,
8320,,,80,58.6919,87.467,,,,,,,,,,
8486,,,166,69.0773,89.7981,,,,,,,,,,
8500,,,,,,0.6265,0.7483,0.2199,-83.9866,5.3062,1.6205,-0.4302,13.2987,117.1407,2.2341
8564,,,78,133.8427,91.0427,,,,,,,,,,
8584,,,20,6.2213,90.9058,,,,,,,,,,
8598,,,14,2.6239,91.2475,,,,,,,,,,
8661,,,63,62.4131,90.9418,,,,,,,,,,
8779,,,118,194.0397,91.1181,,,,,,,,,,
8805,,,26,4.3587,90.8002,,,,,,,,,,
8838,,,33,10.2224,91.1906,,,,,,,,,,
8907,,,69,79.5677,90.8015,,,,,,,,,,
8978,,,71,21.1545,90.997,,,,,,,,,,
8993,,,15,0.0298,91.1156,,,,,,,,,,
9000,,,,,,0.6201,0.7403,0.2259,-89.0553,4.7458,1.6945,-0.445,23.6673,270.4885,2.7862
9003,,,10,-3.4495,90.9405,,,,,,,,,,
9033,,,30,18.4929,90.5782,,,,,,,,,,
9106,,,73,33.065,89.9152,,,,,,,,,,
9167,,,61,18.553,87.2803,,,,,,,,,,
9204,,,37,21.5251,87.2144,,,,,,,,,,
9297,,,93,45.5991,87.035,,,,,,,,,,
9369,,,72,28.6962,87.2506,,,,,,,,,,
9382,,,13,1.6278,87.5095,,,,,,,,,,
9463,,,81,41.0502,87.3543,,,,,,,,,,
9500,,,,,,0.6216,0.7356,0.2187,-94.9917,8.8847,1.5818,-0.4252,28.6475,159.6088,2.8407
9575,,,112,90.405,90.3791,,,,,,,,,,
9592,,,17,-0.8826,90.8512,,,,,,,,,,
9619,,,27,8.4166,91.007,,,,,,,,,,
9629,,,10,-1.8145,91.2138,,,,,,,,,,
9638,,,9,-2.2095,89.7348,,,,,,,,,,
9669,,,31,3.4527,90.8464,,,,,,,,,,
9709,,,40,5.8962,90.2582,,,,,,,,,,
9740,,,31,16.0226,91.2169,,,,,,,,,,
9748,,,8,-1.9229,90.7244,,,,,,,,,,
9841,,,93,85.7441,88.9258,,,,,,,,,,
9902,,,61,26.5549,87.1744,,,,,,,,,,
9910,,,8,-2.1827,84.5436,,,,,,,,,,
9921,,,11,-6.0622,85.6486,,,,,,,,,,
9933,,,12,1.1161,86.883,,,,,,,,,,
9994,,,61,11.2676,87.3788,,,,,,,,,,
10000,,,,,,0.6389,0.7488,0.2302,-97.7107,7.4643,1.7101,-0.4342,37.5108,521.1309,3.5585
10000,222.7906,112.8,,,,,,,,,,,,,
10005,,,11,-2.0599,30.4096,,,,,,,,,,
10042,,,37,21.6287,87.3315,,,,,,,,,,
10078,,,36,9.3673,87.5494,,,,,,,,,,
10091,,,13,0.4694,87.1449,,,,,,,,,,
10115,,,24,11.7548,87.2062,,,,,,,,,,
10124,,,9,-2.4099,87.3405,,,,,,,,,,
10164,,,40,23.4772,87.0889,,,,,,,,,,
10254,,,90,54.9841,88.3015,,,,,,,,,,
10357,,,103,9.1359,88.8335,,,,,,,,,,
10394,,,37,15.5394,87.1169,,,,,,,,,,
10404,,,10,-0.5331,87.2392,,,,,,,,,,
10436,,,32,11.1089,87.1226,,,,,,,,,,
10444,,,8,-2.7345,86.4417,,,,,,,,,,
10498,,,54,38.5246,87.006,,,,,,,,,,
10500,,,,,,0.6236,0.7324,0.2337,-107.0429,10.5173,1.7624,-0.4619,25.0825,291.8187,3.9728
10526,,,28,20.1155,87.0322,,,,,,,,,,
10561,,,35,8.2395,87.1683,,,,,,,,,,
10570,,,9,-1.0124,87.2571,,,,,,,,,,
10632,,,62,51.6773,89.6908,,,,,,,,,,
10648,,,16,1.033,91.6083,,,,,,,,,,
10661,,,13,-1.6954,88.5704,,,,,,,,,,
10671,,,10,-2.676,87.1506,,,,,,,,,,
10710,,,39,12.0759,87.1563,,,,,,,,,,
10718,,,8,-3.6761,87.1865,,,,,,,,,,
10729,,,11,0.0567,87.508,,,,,,,,,,
10907,,,178,53.0877,88.2077,,,,,,,,,,
10916,,,9,-4.268,90.9483,,,,,,,,,,
10943,,,27,9.5715,91.1289,,,,,,,,,,
11000,,,,,,0.6243,0.7361,0.2227,-115.2113,8.7568,1.6114,-0.4338,30.8291,263.2547,3.4669
11005,,,62,41.8256,91.0679,,,,,,,,,,
11017,,,12,-1.091,91.2557,,,,,,,,,,
11050,,,33,23.8327,90.8482,,,,,,,,,,
11080,,,30,17.5944,90.5457,,,,,,,,,,
11088,,,8,-2.562,87.535,,,,,,,,,,
11101,,,13,1.5379,87.5934,,,,,,,,,,
11149,,,48,30.7171,86.2242,,,,,,,,,,
11158,,,9,-2.2371,84.7755,,,,,,,,,,
11304,,,146,232.8189,87.0923,,,,,,,,,,
11410,,,106,108.8068,87.0712,,,,,,,,,,
11469,,,59,37.9347,89.3746,,,,,,,,,,
11478,,,9,-4.5174,90.8223,,,,,,,,,,
11491,,,13,-1.3904,90.4956,,,,,,,,,,
11500,,,,,,0.6295,0.7351,0.231,-124.072,7.6799,1.714,-0.4419,28.1731,338.2558,4.0806
11501,,,10,-4.6663,90.9561,,,,,,,,,,
11606,,,105,133.3888,90.7014,,,,,,,,,,
11723,,,117,189.345,90.9813,,,,,,,,,,
11810,,,87,86.4738,90.7124,,,,,,,,,,
11820,,,10,-1.5295,91.3133,,,,,,,,,,
11860,,,40,24.4397,90.9629,,,,,,,,,,
11889,,,29,2.1758,90.975,,,,,,,,,,
11896,,,7,-2.3904,91.0183,,,,,,,,,,
11928,,,32,16.3476,90.9468,,,,,,,,,,
11944,,,16,0.416,90.3661,,,,,,,,,,
11963,,,19,2.2706,91.0537,,,,,,,,,,
12000,,,,,,0.6236,0.7337,0.2147,-133.3828,9.9727,1.5223,-0.4225,33.8532,368.3199,3.9407
12025,,,62,32.6077,90.6707,,,,,,,,,,
12037,,,12,-2.4034,90.6618,,,,,,,,,,
12069,,,32,11.0164,91.0466,,,,,,,,,,
12089,,,20,1.9065,90.8789,,,,,,,,,,
12108,,,19,1.9002,91.1518,,,,,,,,,,
12117,,,9,-3.3813,91.0273,,,,,,,,,,
12127,,,10,-3.1993,90.7043,,,,,,,,,,
12149,,,22,0.1029,90.8795,,,,,,,,,,
12172,,,23,1.3332,90.929,,,,,,,,,,
12180,,,8,-7.0198,91.9413,,,,,,,,,,
12190,,,10,-5.4096,90.3363,,,,,,,,,,
12236,,,46,32.9877,90.6564,,,,,,,,,,
12291,,,55,47.4355,86.4346,,,,,,,,,,
12306,,,15,-0.6896,83.3621,,,,,,,,,,
12319,,,13,-1.4563,86.4136,,,,,,,,,,
12353,,,34,20.4614,87.0935,,,,,,,,,,
12382,,,29,8.5728,87.1502,,,,,,,,,,
12392,,,10,-2.9596,86.462,,,,,,,,,,
12410,,,18,-1.4581,87.0147,,,,,,,,,,
12423,,,13,0.7194,87.1846,,,,,,,,,,
12442,,,19,2.7655,87.4264,,,,,,,,,,
12459,,,17,-0.3277,86.8786,,,,,,,,,,
12500,,,,,,0.6353,0.7423,0.2381,-143.7013,11.44,1.7964,-0.463,74.88,937.9153,4.0663
12511,,,52,32.1347,87.0894,,,,,,,,,,
12523,,,12,-2.6551,86.8861,,,,,,,,,,
12548,,,25,7.2754,87.6545,,,,,,,,,,
12589,,,41,35.7229,90.8006,,,,,,,,,,
12625,,,36,11.4642,90.6225,,,,,,,,,,
12647,,,22,4.8947,90.4876,,,,,,,,,,
12680,,,33,5.8225,90.6028,,,,,,,,,,
12702,,,22,-2.7681,90.9185,,,,,,,,,,
12739,,,37,10.8307,90.784,,,,,,,,,,
12751,,,12,-0.7868,90.3077,,,,,,,,,,
12786,,,35,18.5741,90.9721,,,,,,,,,,
12805,,,19,-3.275,90.5388,,,,,,,,,,
12942,,,137,103.9477,87.6137,,,,,,,,,,
12949,,,7,-3.8715,87.1016,,,,,,,,,,
12959,,,10,-0.3002,87.2911,,,,,,,,,,
12973,,,14,-0.2598,87.0135,,,,,,,,,,
12996,,,23,4.4671,86.7585,,,,,,,,,,
13000,,,,,,0.6305,0.7386,0.2115,-156.6299,12.7788,1.4705,-0.4175,68.9049,644.1118,5.2214
13051,,,55,57.1553,86.9847,,,,,,,,,,
13059,,,8,-4.0212,86.7291,,,,,,,,,,
13066,,,7,-4.2505,86.7455,,,,,,,,,,
13204,,,138,206.9841,87.1876,,,,,,,,,,
13303,,,99,114.4772,87.0064,,,,,,,,,,
13311,,,8,-3.5279,86.4812,,,,,,,,,,
13323,,,12,-1.8582,87.4887,,,,,,,,,,
13347,,,24,7.278,87.0938,,,,,,,,,,
13357,,,10,-1.7649,87.0455,,,,,,,,,,
