env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,39.1204,57.1,,,,,,,,,,,,,
14,,,14,-2.6464,1.8723,,,,,,,,,,
189,,,175,6.0875,75.989,,,,,,,,,,
336,,,147,59.2933,79.0618,,,,,,,,,,
442,,,106,16.4234,79.3785,,,,,,,,,,
500,,,,,,0.1222,0.6977,0.042,-3.2337,0.8837,0.0083,-0.0799,0.1928,0.9348,0.0946
582,,,140,-1.2506,79.2621,,,,,,,,,,
736,,,154,4.3019,78.7637,,,,,,,,,,
886,,,150,54.8663,79.2769,,,,,,,,,,
1000,,,,,,0.1775,0.7009,0.0638,-7.2334,0.734,0.0155,-0.1204,0.638,1.7178,0.4536
1097,,,211,325.9815,78.3427,,,,,,,,,,
1307,,,210,68.6388,77.7085,,,,,,,,,,
1500,,,,,,0.2307,0.7129,0.0783,-12.2545,2.1645,0.0263,-0.1502,1.6115,12.8922,0.7312
1513,,,206,327.4301,78.4045,,,,,,,,,,
1776,,,263,141.5115,77.9917,,,,,,,,,,
1908,,,132,250.8149,80.1901,,,,,,,,,,
2000,,,,,,0.2665,0.7173,0.1208,-17.7252,2.536,0.025,-0.2166,1.752,13.969,0.5563
2249,,,341,195.9118,79.8042,,,,,,,,,,
2417,,,168,125.6363,79.6149,,,,,,,,,,
2500,,,,,,0.2648,0.7199,0.1008,-21.5243,2.6939,0.0311,-0.1921,1.792,7.5543,0.8383
2530,,,113,60.2772,80.5913,,,,,,,,,,
2626,,,96,36.3587,79.9022,,,,,,,,,,
2686,,,60,-7.0964,80.66,,,,,,,,,,
2755,,,69,7.6764,80.6505,,,,,,,,,,
2849,,,94,5.8271,80.5012,,,,,,,,,,
2919,,,70,21.6824,80.8542,,,,,,,,,,
3000,,,,,,0.2691,0.7209,0.1121,-26.1573,3.3177,0.0289,-0.1978,4.9413,45.065,0.946
3174,,,255,371.1666,80.9541,,,,,,,,,,
3429,,,255,265.9615,80.7596,,,,,,,,,,
3474,,,45,19.3182,80.5048,,,,,,,,,,
3500,,,,,,0.2804,0.7278,0.103,-30.1201,4.7792,0.036,-0.2025,4.3471,24.5516,2.0535
3712,,,238,20.8053,80.6636,,,,,,,,,,
3740,,,28,12.5949,80.8618,,,,,,,,,,
3890,,,150,44.5387,80.9269,,,,,,,,,,
4000,,,,,,0.2684,0.739,0.1022,-35.304,7.1581,0.0324,-0.1866,6.7592,91.7191,2.7818
4021,,,131,53.1996,80.3371,,,,,,,,,,
4029,,,8,-2.0231,78.0937,,,,,,,,,,
4066,,,37,13.5201,80.1759,,,,,,,,,,
4222,,,156,240.2727,80.4271,,,,,,,,,,
4261,,,39,25.898,80.6628,,,,,,,,,,
4374,,,113,179.1921,80.7746,,,,,,,,,,
4482,,,108,165.4876,80.6858,,,,,,,,,,
4490,,,8,-1.8409,81.0627,,,,,,,,,,
4500,,,,,,0.2736,0.7385,0.0927,-41.3871,8.2144,0.0376,-0.1826,16.5216,68.3467,1.6949
4565,,,75,153.6383,80.3914,,,,,,,,,,
4646,,,81,28.5986,80.7154,,,,,,,,,,
4699,,,53,20.0485,80.5028,,,,,,,,,,
4841,,,142,236.0203,80.3979,,,,,,,,,,
4953,,,112,183.1327,80.679,,,,,,,,,,
5000,,,,,,0.286,0.7499,0.1026,-47.8716,10.4195,0.0398,-0.2001,11.7854,69.909,4.1354
5000,174.3813,153.2,,,,,,,,,,,,,
5046,,,93,161.9542,50.6598,,,,,,,,,,
5165,,,119,186.6003,80.6707,,,,,,,,,,
5297,,,132,46.9631,80.7589,,,,,,,,,,
5357,,,60,29.8516,80.5422,,,,,,,,,,
5500,,,,,,0.3108,0.7476,0.1065,-54.4188,9.0214,0.0477,-0.2087,16.6602,101.1354,3.1446
5530,,,173,156.3903,80.5298,,,,,,,,,,
5693,,,163,279.3045,80.4384,,,,,,,,,,
5729,,,36,13.9819,80.416,,,,,,,,,,
5753,,,24,-5.0438,80.5154,,,,,,,,,,
5852,,,99,85.3906,79.5369,,,,,,,,,,
5961,,,109,169.7866,80.5312,,,,,,,,,,
6000,,,,,,0.2975,0.7662,0.1034,-66.0307,9.8491,0.0423,-0.2006,15.3449,95.1784,3.1593
6084,,,123,173.1782,78.7955,,,,,,,,,,
6094,,,10,-3.0999,78.4601,,,,,,,,,,
6144,,,50,34.4215,79.0669,,,,,,,,,,
6155,,,11,-3.6237,78.9793,,,,,,,,,,
6186,,,31,17.9593,79.3491,,,,,,,,,,
6209,,,23,-7.7984,80.5435,,,,,,,,,,
6246,,,37,14.6002,79.6614,,,,,,,,,,
6254,,,8,-5.175,80.1637,,,,,,,,,,
6278,,,24,10.7701,80.5111,,,,,,,,,,
6365,,,87,170.8517,80.1715,,,,,,,,,,
6403,,,38,11.1882,80.2548,,,,,,,,,,
6463,,,60,35.8763,80.1358,,,,,,,,,,
6484,,,21,0.1854,80.2708,,,,,,,,,,
