env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,59.664,88.8,,,,,,,,,,,,,
12,,,12,-1.8819,1.105,,,,,,,,,,
30,,,18,2.9912,84.4328,,,,,,,,,,
54,,,24,5.427,87.1013,,,,,,,,,,
68,,,14,2.4567,87.4046,,,,,,,,,,
222,,,154,16.3154,87.2749,,,,,,,,,,
351,,,129,229.2087,85.3814,,,,,,,,,,
454,,,103,-17.1354,87.4378,,,,,,,,,,
500,,,,,,0.8868,0.7309,0.2849,-2.5211,0.3469,0.3175,-0.2665,0.143,1.2992,0.2092
609,,,155,7.6524,87.4736,,,,,,,,,,
769,,,160,17.926,82.4818,,,,,,,,,,
891,,,122,3.6352,84.0097,,,,,,,,,,
1000,,,,,,0.9314,0.6832,0.3343,-5.9141,0.5872,0.2209,-0.3351,0.5094,1.5573,0.263
1173,,,282,338.7627,87.5452,,,,,,,,,,
1427,,,254,157.3475,84.1674,,,,,,,,,,
1500,,,,,,1.0268,0.7803,0.3877,-10.5173,1.2353,0.3063,-0.3685,1.1991,4.3765,0.4279
1578,,,151,245.7486,87.6466,,,,,,,,,,
1787,,,209,123.0769,82.3752,,,,,,,,,,
1907,,,120,33.623,80.8422,,,,,,,,,,
2000,,,,,,1.003,0.7944,0.3999,-15.9293,1.9389,0.3795,-0.3878,1.563,14.7385,0.3119
2029,,,122,32.4405,80.9685,,,,,,,,,,
2226,,,197,74.8307,80.6652,,,,,,,,,,
2451,,,225,329.2007,80.7155,,,,,,,,,,
2500,,,,,,0.9931,0.8688,0.3921,-22.2178,2.0846,0.456,-0.3853,2.1554,21.0918,0.8219
2583,,,132,236.8493,81.0044,,,,,,,,,,
2900,,,317,432.9012,85.2385,,,,,,,,,,
2950,,,50,16.7975,87.8151,,,,,,,,,,
2986,,,36,16.1269,87.5866,,,,,,,,,,
3000,,,,,,1.0092,0.9011,0.3932,-28.0376,3.1417,0.593,-0.3844,5.9742,45.4633,0.6998
3106,,,120,26.642,83.6602,,,,,,,,,,
3294,,,188,163.2958,80.6057,,,,,,,,,,
3351,,,57,17.8565,80.9197,,,,,,,,,,
3461,,,110,197.8318,80.9262,,,,,,,,,,
3500,,,,,,1.0197,0.9092,0.4049,-33.9931,3.8471,0.5673,-0.403,7.1171,95.422,1.2465
3574,,,113,195.3456,80.9682,,,,,,,,,,
3677,,,103,70.4578,80.7478,,,,,,,,,,
3826,,,149,310.0192,80.9989,,,,,,,,,,
3835,,,9,0.0866,81.182,,,,,,,,,,
4000,,,,,,1.0487,1.0203,0.3686,-42.2803,3.1701,0.6593,-0.374,15.3244,76.0481,1.8254
4039,,,204,225.3739,80.7574,,,,,,,,,,
4212,,,173,98.9905,80.6171,,,,,,,,,,
4243,,,31,15.3055,81.0043,,,,,,,,,,
4373,,,130,62.0813,80.7898,,,,,,,,,,
4409,,,36,16.8414,80.4691,,,,,,,,,,
4493,,,84,50.5189,80.3988,,,,,,,,,,
4500,,,,,,1.0363,1.0445,0.4076,-51.5211,5.0151,0.7918,-0.3928,18.0936,94.4648,2.2099
4518,,,25,13.0642,80.774,,,,,,,,,,
4595,,,77,68.6433,81.0129,,,,,,,,,,
4604,,,9,-2.4561,81.2809,,,,,,,,,,
4707,,,103,47.4839,80.2713,,,,,,,,,,
4715,,,8,-2.3327,80.1731,,,,,,,,,,
4886,,,171,71.2855,80.8745,,,,,,,,,,
5000,,,,,,1.0365,1.0151,0.3764,-61.6928,5.953,0.6828,-0.3713,15.8608,122.5718,1.6876
5000,342.8663,280.5,,,,,,,,,,,,,
5044,,,158,59.5204,57.9292,,,,,,,,,,
5124,,,80,39.1355,80.7156,,,,,,,,,,
5275,,,151,84.3705,80.5152,,,,,,,,,,
5326,,,51,33.6067,80.8857,,,,,,,,,,
5360,,,34,21.8905,80.644,,,,,,,,,,
5412,,,52,37.0378,80.8061,,,,,,,,,,
5498,,,86,157.1078,80.8822,,,,,,,,,,
5500,,,,,,1.0648,1.1252,0.3788,-71.9948,9.2291,0.8512,-0.3794,27.8994,218.05,2.6682
5592,,,94,158.6442,80.1318,,,,,,,,,,
5733,,,141,170.059,80.75,,,,,,,,,,
5843,,,110,211.4285,80.2219,,,,,,,,,,
6000,,,,,,1.0683,1.1487,0.3983,-86.6609,7.8183,0.9381,-0.3859,21.0599,280.0414,1.9227
6008,,,165,248.6786,80.9376,,,,,,,,,,
6110,,,102,177.8565,80.3838,,,,,,,,,,
6273,,,163,221.675,80.7051,,,,,,,,,,
6311,,,38,12.174,80.779,,,,,,,,,,
6428,,,117,216.7023,80.2685,,,,,,,,,,
6435,,,7,-4.0734,81.6937,,,,,,,,,,
6460,,,25,1.1521,80.6937,,,,,,,,,,
6484,,,24,8.7334,80.8732,,,,,,,,,,
6500,,,,,,1.0611,1.0908,0.3958,-100.4799,7.2285,0.7836,-0.3955,34.6678,283.8958,2.6923
6516,,,32,13.2422,81.1874,,,,,,,,,,
6535,,,19,-6.8891,79.9689,,,,,,,,,,
6583,,,48,30.4867,80.6335,,,,,,,,,,
6589,,,6,-4.8888,80.3219,,,,,,,,,,
6608,,,19,7.4484,81.0844,,,,,,,,,,
6616,,,8,-3.9244,80.7935,,,,,,,,,,
6760,,,144,299.5171,79.9095,,,,,,,,,,
6917,,,157,240.4844,79.6538,,,,,,,,,,
6940,,,23,4.4988,80.8802,,,,,,,,,,
7000,,,,,,1.0776,1.1291,0.418,-116.821,8.8454,0.9225,-0.4115,39.5635,697.0184,3.7002
7126,,,186,306.1151,80.4434,,,,,,,,,,
7134,,,8,-4.0188,81.0339,,,,,,,,,,
7144,,,10,-3.0552,81.1175,,,,,,,,,,
7153,,,9,-5.4158,81.1256,,,,,,,,,,
7356,,,203,361.6084,80.8093,,,,,,,,,,
7482,,,126,264.3992,85.3981,,,,,,,,,,
7497,,,15,-0.4519,87.3173,,,,,,,,,,
7500,,,,,,1.0813,1.1843,0.4176,-128.5794,11.2471,0.909,-0.4092,33.0474,295.407,4.1777
7511,,,14,-3.156,87.1787,,,,,,,,,,
7534,,,23,3.2467,87.422,,,,,,,,,,
7542,,,8,-5.1049,87.3258,,,,,,,,,,
7561,,,19,1.3373,87.5321,,,,,,,,,,
7685,,,124,242.1675,87.3509,,,,,,,,,,
7740,,,55,38.6262,87.4018,,,,,,,,,,
7785,,,45,39.1856,82.5067,,,,,,,,,,
7900,,,115,263.155,79.952,,,,,,,,,,
7922,,,22,-3.8295,79.2056,,,,,,,,,,
7931,,,9,-2.3914,80.7575,,,,,,,,,,
7963,,,32,6.0663,80.9561,,,,,,,,,,
8000,,,,,,1.0834,1.2014,0.4172,-143.6243,15.979,0.992,-0.4002,41.6941,482.4671,4.8006
8138,,,175,323.6623,80.3593,,,,,,,,,,
8168,,,30,6.383,80.9013,,,,,,,,,,
8184,,,16,-4.6468,82.9433,,,,,,,,,,
8228,,,44,30.8922,87.2307,,,,,,,,,,
8258,,,30,8.5891,84.1277,,,,,,,,,,
8272,,,14,-1.6052,87.5769,,,,,,,,,,
8318,,,46,17.0312,87.4279,,,,,,,,,,
8325,,,7,-4.4561,86.1764,,,,,,,,,,
8335,,,10,-3.5585,87.4792,,,,,,,,,,
8442,,,107,211.4024,85.4404,,,,,,,,,,
8500,,,,,,1.072,1.1017,0.4127,-159.7619,12.5821,0.8351,-0.4032,67.3505,888.786,4.9244
8569,,,127,295.9719,79.7384,,,,,,,,,,
8584,,,15,0.2461,80.7919,,,,,,,,,,
8714,,,130,262.6241,80.7077,,,,,,,,,,
8807,,,93,200.5276,80.7535,,,,,,,,,,
8831,,,24,7.0295,80.8014,,,,,,,,,,
8887,,,56,37.2084,80.6247,,,,,,,,,,
9000,,,,,,1.086,1.2804,0.4061,-176.5553,17.0099,1.1085,-0.41,68.466,900.4746,3.8774
9029,,,142,299.3921,79.3816,,,,,,,,,,
9217,,,188,364.8225,80.1663,,,,,,,,,,
9365,,,148,292.2169,80.8318,,,,,,,,,,
9376,,,11,-1.8027,80.9785,,,,,,,,,,
9385,,,9,-5.0517,81.0885,,,,,,,,,,
9396,,,11,-4.0182,80.275,,,,,,,,,,
9439,,,43,24.7934,80.8925,,,,,,,,,,
9447,,,8,-2.5938,80.5329,,,,,,,,,,
9500,,,,,,1.1042,1.2843,0.4713,-193.4418,10.0797,1.1819,-0.4499,89.6002,1620.6891,5.5917
9573,,,126,241.9574,84.9087,,,,,,,,,,
9632,,,59,45.7063,87.2555,,,,,,,,,,
9640,,,8,-4.7476,87.3022,,,,,,,,,,
9661,,,21,-3.2346,87.2078,,,,,,,,,,
9865,,,204,329.5048,82.1241,,,,,,,,,,
9934,,,69,65.3611,80.1327,,,,,,,,,,
10000,,,,,,1.0974,1.2664,0.4322,-201.871,13.0041,1.1324,-0.4303,77.2837,1530.6202,6.9235
10000,259.7011,160.1,,,,,,,,,,,,,
10013,,,79,157.3449,60.046,,,,,,,,,,
10135,,,122,218.3667,80.4395,,,,,,,,,,
10143,,,8,-2.0845,80.6867,,,,,,,,,,
10196,,,53,45.9631,80.7113,,,,,,,,,,
10340,,,144,256.7764,81.1442,,,,,,,,,,
10500,,,,,,1.1144,1.2617,0.4582,-215.7231,14.755,1.1101,-0.4401,121.0037,1277.3954,5.9624
10561,,,221,244.3066,84.0517,,,,,,,,,,
10569,,,8,-2.9624,81.1884,,,,,,,,,,
10576,,,7,-6.0402,80.92,,,,,,,,,,
10633,,,57,29.7248,80.3732,,,,,,,,,,
10648,,,15,-4.1235,79.12,,,,,,,,,,
10693,,,45,26.5822,80.6427,,,,,,,,,,
10708,,,15,-9.0979,80.8345,,,,,,,,,,
10717,,,9,-3.2988,77.4802,,,,,,,,,,
10741,,,24,0.9434,80.8116,,,,,,,,,,
10748,,,7,-3.275,80.7318,,,,,,,,,,
10949,,,201,284.8573,80.4134,,,,,,,,,,
10960,,,11,-3.7126,80.679,,,,,,,,,,
11000,,,,,,1.1271,1.2818,0.4368,-230.5473,21.3191,1.1322,-0.4402,108.4563,1837.6895,5.095
11084,,,124,244.0692,80.6445,,,,,,,,,,
11102,,,18,-1.1603,80.8786,,,,,,,,,,
11202,,,100,66.1966,81.5427,,,,,,,,,,
11332,,,130,257.1961,82.5516,,,,,,,,,,
11344,,,12,-2.9685,80.334,,,,,,,,,,
11365,,,21,-0.5417,80.6426,,,,,,,,,,
11376,,,11,-1.5742,80.9035,,,,,,,,,,
11438,,,62,46.8597,80.4443,,,,,,,,,,
11490,,,52,74.2583,80.5127,,,,,,,,,,
11500,,,,,,1.1222,1.3047,0.4659,-251.515,20.4597,1.1853,-0.4415,106.1162,1878.3195,6.0187
11631,,,141,258.1263,81.8363,,,,,,,,,,
11674,,,43,38.634,86.9658,,,,,,,,,,
11686,,,12,-4.1451,87.2133,,,,,,,,,,
11798,,,112,229.8469,86.9405,,,,,,,,,,
11807,,,9,-6.327,87.0748,,,,,,,,,,
11896,,,89,99.3805,81.2236,,,,,,,,,,
11903,,,7,-4.8624,81.5521,,,,,,,,,,
11914,,,11,-2.7604,79.9779,,,,,,,,,,
11926,,,12,-3.1433,81.0812,,,,,,,,,,
11943,,,17,-3.9115,79.8031,,,,,,,,,,
11963,,,20,-5.4995,83.4011,,,,,,,,,,
11984,,,21,-1.71,78.9677,,,,,,,,,,
12000,,,,,,1.1311,1.2937,0.4329,-263.5641,16.7048,1.1314,-0.4279,194.0711,2677.5515,5.5603
12016,,,32,10.0753,79.7247,,,,,,,,,,
12025,,,9,-5.5833,80.7568,,,,,,,,,,
12035,,,10,-3.2224,80.332,,,,,,,,,,
12068,,,33,20.4086,80.6577,,,,,,,,,,
12090,,,22,0.6836,80.6257,,,,,,,,,,
12109,,,19,0.2237,80.2857,,,,,,,,,,
12149,,,40,25.8345,80.6433,,,,,,,,,,
12334,,,185,173.8741,81.3613,,,,,,,,,,
12342,,,8,-4.4142,87.0379,,,,,,,,,,
12399,,,57,17.4018,87.0406,,,,,,,,,,
12411,,,12,-2.4279,86.7718,,,,,,,,,,
12422,,,11,-2.2403,87.1633,,,,,,,,,,
12433,,,11,-4.3459,87.0659,,,,,,,,,,
12443,,,10,-0.1792,86.8018,,,,,,,,,,
12471,,,28,4.0182,82.1087,,,,,,,,,,
12500,,,,,,1.1309,1.2485,0.437,-284.9081,31.3395,1.0562,-0.4238,169.9644,2613.3044,7.2551
12587,,,116,156.8439,86.3941,,,,,,,,,,
12652,,,65,81.7894,86.9992,,,,,,,,,,
12676,,,24,0.7642,86.9965,,,,,,,,,,
12799,,,123,103.9983,86.8562,,,,,,,,,,
12807,,,8,-3.3279,86.9906,,,,,,,,,,
12819,,,12,-4.1719,87.1707,,,,,,,,,,
12833,,,14,-4.9555,86.6982,,,,,,,,,,
12853,,,20,-3.6979,87.0225,,,,,,,,,,
13000,,,,,,1.1652,1.3233,0.4556,-298.0474,25.6637,1.1348,-0.4455,281.3268,4979.6089,12.4936
13033,,,180,328.3216,85.0389,,,,,,,,,,
13060,,,27,3.7707,87.0195,,,,,,,,,,
13088,,,28,10.9989,87.0624,,,,,,,,,,
13096,,,8,-6.5045,86.8671,,,,,,,,,,
13109,,,13,-4.2264,87.3603,,,,,,,,,,
13216,,,107,104.5831,87.0069,,,,,,,,,,
13264,,,48,40.2025,87.0074,,,,,,,,,,
13275,,,11,-5.8462,86.4847,,,,,,,,,,
13282,,,7,-5.8495,86.6605,,,,,,,,,,
13328,,,46,59.3262,86.9621,,,,,,,,,,
13364,,,36,10.2913,86.7564,,,,,,,,,,
13372,,,8,-5.173,86.7522,,,,,,,,,,
13382,,,10,-6.5748,86.8463,,,,,,,,,,
13399,,,17,-2.9359,86.943,,,,,,,,,,
13431,,,32,11.2125,79.379,,,,,,,,,,
13500,,,,,,1.1646,1.3582,0.4646,-311.8693,21.9369,1.2536,-0.442,156.0436,2277.0359,8.41
13557,,,126,228.7048,86.6849,,,,,,,,,,
13582,,,25,1.8383,86.8364,,,,,,,,,,
13591,,,9,-6.1684,86.7582,,,,,,,,,,
13658,,,67,47.265,86.7804,,,,,,,,,,
13682,,,24,3.8758,86.7753,,,,,,,,,,
13693,,,11,-4.9357,86.8582,,,,,,,,,,
13700,,,7,-6.4169,86.4614,,,,,,,,,,
13707,,,7,-5.3162,86.4703,,,,,,,,,,
13714,,,7,-4.1665,86.558,,,,,,,,,,
13812,,,98,105.0482,86.8211,,,,,,,,,,
13858,,,46,19.3779,86.7074,,,,,,,,,,
13881,,,23,0.4644,87.0599,,,,,,,,,,
14000,,,,,,1.1583,1.278,0.4307,-319.6595,19.0488,1.1345,-0.425,193.1841,3959.3154,9.4771
14006,,,125,108.2784,84.4308,,,,,,,,,,
14016,,,10,-4.6504,87.0486,,,,,,,,,,
14079,,,63,42.4621,86.856,,,,,,,,,,
14088,,,9,-2.9997,86.9178,,,,,,,,,,
14097,,,9,-6.5377,86.6618,,,,,,,,,,
14109,,,12,-4.3273,87.262,,,,,,,,,,
14122,,,13,-5.1236,85.806,,,,,,,,,,
14212,,,90,70.4841,83.0096,,,,,,,,,,
14278,,,66,75.3008,80.3673,,,,,,,,,,
14288,,,10,-5.4322,79.8561,,,,,,,,,,
14296,,,8,-4.5551,80.1212,,,,,,,,,,
14316,,,20,-1.9685,80.427,,,,,,,,,,
14340,,,24,2.0398,80.4219,,,,,,,,,,
14348,,,8,-6.1813,80.3822,,,,,,,,,,
14357,,,9,-6.5988,80.8106,,,,,,,,,,
14388,,,31,3.8619,80.4871,,,,,,,,,,
14414,,,26,8.5258,80.6964,,,,,,,,,,
14448,,,34,19.7812,80.5616,,,,,,,,,,
14468,,,20,-1.6592,79.988,,,,,,,,,,
14475,,,7,-3.914,80.0213,,,,,,,,,,
14500,,,,,,1.1453,1.3041,0.442,-324.7133,23.1474,1.2278,-0.4323,357.7973,5095.8691,16.7183
14593,,,118,112.819,84.5796,,,,,,,,,,
14832,,,239,238.6491,80.6445,,,,,,,,,,
14843,,,11,-4.7408,78.8105,,,,,,,,,,
14926,,,83,143.9488,87.0463,,,,,,,,,,
14947,,,21,-5.3693,83.8199,,,,,,,,,,
14969,,,22,1.5963,80.4955,,,,,,,,,,
14991,,,22,-0.3459,80.5967,,,,,,,,,,
15000,,,,,,1.1691,1.3336,0.4437,-323.5714,23.4293,1.1834,-0.4323,443.2455,3620.8901,11.8585
15000,79.6572,62.4,,,,,,,,,,,,,
15089,,,98,113.5369,72.7133,,,,,,,,,,
15100,,,11,-3.6833,80.1338,,,,,,,,,,
15114,,,14,-6.6507,81.1222,,,,,,,,,,
15135,,,21,-0.0311,78.8627,,,,,,,,,,
15150,,,15,-5.4646,80.4557,,,,,,,,,,
15167,,,17,-6.4569,80.4621,,,,,,,,,,
15186,,,19,-1.7068,80.8408,,,,,,,,,,
15263,,,77,41.8835,80.8444,,,,,,,,,,
15281,,,18,-8.1178,80.4118,,,,,,,,,,
15306,,,25,-2.9047,80.7768,,,,,,,,,,
15329,,,23,-1.4912,81.0116,,,,,,,,,,
15351,,,22,-1.6037,80.5789,,,,,,,,,,
15368,,,17,-7.5927,80.7834,,,,,,,,,,
15489,,,121,87.517,80.6004,,,,,,,,,,
15500,,,,,,1.1547,1.2177,0.4645,-328.6643,26.2875,1.0304,-0.4472,218.5522,2963.7837,12.5024
15538,,,49,50.4996,80.9994,,,,,,,,,,
15628,,,90,18.8184,86.8817,,,,,,,,,,
15833,,,205,-66.1633,86.3845,,,,,,,,,,
15913,,,80,-24.3361,80.2557,,,,,,,,,,
