env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,39.4902,54.7,,,,,,,,,,
19,,,19,-3.4631,4.0749,,,,,,,
43,,,24,8.5051,98.224,,,,,,,
111,,,68,-15.8298,98.2968,,,,,,,
141,,,30,23.1634,98.5372,,,,,,,
276,,,135,-20.6825,98.5499,,,,,,,
500,,,,,,0.0684,-2.5824,0.5869,0.0684,0.1189,1.245,0.2045
513,,,237,48.7771,98.3327,,,,,,,
700,,,187,32.1199,98.533,,,,,,,
878,,,178,324.9397,98.7907,,,,,,,
1000,,,,,,0.0631,-6.5323,0.6307,0.0631,0.531,3.7261,0.2875
1091,,,213,311.2236,102.4494,,,,,,,
1367,,,276,396.3288,99.6512,,,,,,,
1500,,,,,,0.0616,-12.3636,1.1888,0.0616,0.8894,2.6674,0.3449
1519,,,152,37.6116,105.4967,,,,,,,
1809,,,290,418.9668,102.939,,,,,,,
1885,,,76,-19.4298,98.6378,,,,,,,
2000,,,,,,0.0591,-18.1516,1.9567,0.0591,1.4884,6.0116,0.4309
2006,,,121,-1.2343,99.0529,,,,,,,
2403,,,397,454.669,104.8957,,,,,,,
2500,,,,,,0.0607,-24.2745,1.4143,0.0607,4.981,24.6507,0.3943
2625,,,222,303.712,105.0873,,,,,,,
2814,,,189,58.8216,103.4909,,,,,,,
3000,,,,,,0.066,-30.2865,5.8967,0.066,4.1273,26.9764,1.294
3207,,,393,53.5871,104.0131,,,,,,,
3394,,,187,25.3049,102.0842,,,,,,,
3500,,,,,,0.0652,-36.3411,4.5675,0.0652,7.1629,43.8082,1.7534
3756,,,362,179.5221,98.5514,,,,,,,
3847,,,91,30.3414,98.7451,,,,,,,
4000,,,,,,0.0709,-43.3755,8.352,0.0709,10.9279,142.4502,1.6245
4166,,,319,450.3743,98.8141,,,,,,,
4339,,,173,110.7452,104.158,,,,,,,
4456,,,117,85.4553,103.0763,,,,,,,
