env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,162.9253,139.4,,,,,,,,,,
30,,,30,-5.4932,7.4515,,,,,,,
80,,,50,-0.991,109.6214,,,,,,,
187,,,107,-35.9,110.4974,,,,,,,
327,,,140,-24.7148,110.3897,,,,,,,
402,,,75,-4.6265,110.9506,,,,,,,
500,,,,,,54.082,52.5584,80.0694,54.082,0.1601,1.4514,0.1228
514,,,112,-36.6885,110.6339,,,,,,,
657,,,143,210.2011,109.7691,,,,,,,
829,,,172,3.6305,107.0337,,,,,,,
1000,,,,,,48.6454,43.192,80.1016,48.6454,0.4264,5.4331,0.2261
1046,,,217,353.5622,105.4872,,,,,,,
1241,,,195,287.0484,107.0879,,,,,,,
1434,,,193,322.5337,107.3816,,,,,,,
1500,,,,,,46.4476,36.0228,135.1307,46.4476,1.2654,5.7891,0.5138
1840,,,406,487.9758,107.8002,,,,,,,
1939,,,99,28.1349,107.1019,,,,,,,
2000,,,,,,43.0115,27.7213,106.7312,43.0115,1.5454,5.7809,0.2321
2085,,,146,272.4067,106.8088,,,,,,,
2266,,,181,73.5693,107.1749,,,,,,,
2450,,,184,325.4896,110.8078,,,,,,,
2500,,,,,,40.2897,19.2215,90.3144,40.2897,2.6072,22.8645,0.4874
2624,,,174,301.5586,111.3797,,,,,,,
2739,,,115,5.0318,110.7607,,,,,,,
2945,,,206,343.4731,109.3036,,,,,,,
3000,,,,,,36.2348,9.5186,101.4542,36.2348,5.2164,26.918,0.7505
3099,,,154,-103.0269,107.4961,,,,,,,
3204,,,105,-17.4376,107.408,,,,,,,
3331,,,127,228.5499,106.7622,,,,,,,
3500,,,,,,33.0957,0.6937,129.7222,33.0957,5.5755,54.3841,1.0375
3500,,,169,176.1599,106.5634,,,,,,,
3639,,,139,246.8246,107.0928,,,,,,,
3927,,,288,287.6214,107.042,,,,,,,
4000,,,,,,32.0504,-6.8535,105.4866,32.0504,6.4211,82.1351,1.1853
4500,,,,,,34.2407,-11.2187,124.8199,34.2407,12.8145,127.2178,1.3989
4591,,,664,645.7755,108.0681,,,,,,,
4602,,,11,2.1116,106.5776,,,,,,,
4699,,,97,144.3489,106.8915,,,,,,,
4907,,,208,257.5443,106.8315,,,,,,,
4923,,,16,2.9366,107.3194,,,,,,,
4931,,,8,-0.814,106.0095,,,,,,,
4967,,,36,18.7151,107.2803,,,,,,,
4991,,,24,13.4625,106.915,,,,,,,
5000,,,,,,31.5228,-22.8055,137.3753,31.5228,15.1864,305.0071,1.703
5000,92.9153,110.2,,,,,,,,,,
5115,,,124,127.0773,79.0677,,,,,,,
5168,,,53,48.0981,107.0545,,,,,,,
5193,,,25,5.2977,106.4888,,,,,,,
5221,,,28,8.7618,107.0936,,,,,,,
5281,,,60,23.7279,107.0138,,,,,,,
5340,,,59,32.4216,107.1164,,,,,,,
5351,,,11,0.2262,106.8499,,,,,,,
5373,,,22,2.983,106.927,,,,,,,
5434,,,61,40.3642,106.7937,,,,,,,
5459,,,25,5.1103,107.238,,,,,,,
5474,,,15,2.4822,107.2299,,,,,,,
5486,,,12,-0.9948,107.0478,,,,,,,
5500,,,,,,30.7698,-33.6648,126.8135,30.7698,15.6362,211.5896,2.9546
5509,,,23,3.9899,106.8782,,,,,,,
5516,,,7,-2.9746,107.0163,,,,,,,
5545,,,29,8.5595,107.0431,,,,,,,
5607,,,62,51.1769,106.8716,,,,,,,
5644,,,37,6.494,106.5321,,,,,,,
5716,,,72,30.2747,107.0514,,,,,,,
5858,,,142,212.2981,106.7669,,,,,,,
5868,,,10,0.0969,106.9787,,,,,,,
5986,,,118,205.0199,106.6199,,,,,,,
6000,,,,,,31.1372,-41.2851,147.3374,31.1372,16.7884,273.1711,3.6228
6013,,,27,-0.5072,106.9919,,,,,,,
6076,,,63,35.303,106.6322,,,,,,,
6138,,,62,37.819,106.8034,,,,,,,
6189,,,51,22.7614,106.8244,,,,,,,
6236,,,47,24.1298,106.6572,,,,,,,
6370,,,134,253.4268,106.755,,,,,,,
6500,,,,,,30.1788,-52.6159,182.8997,30.1788,27.4823,604.4772,3.4879
6526,,,156,216.4508,106.7807,,,,,,,
6714,,,188,241.3726,107.3431,,,,,,,
6847,,,133,160.9322,107.1317,,,,,,,
6986,,,139,263.0957,106.838,,,,,,,
7000,,,,,,29.7386,-61.7027,193.6641,29.7386,26.2754,411.3542,3.8299
7117,,,131,197.6488,106.7675,,,,,,,
7133,,,16,2.276,106.9558,,,,,,,
7229,,,96,135.6931,106.9314,,,,,,,
7400,,,171,286.5001,106.9665,,,,,,,
7500,,,,,,28.8035,-67.4186,165.4752,28.8035,24.562,349.3841,3.3517
7549,,,149,38.35,106.728,,,,,,,
7612,,,63,57.186,106.8709,,,,,,,
7849,,,237,298.0631,106.9124,,,,,,,
7967,,,118,166.2069,106.9919,,,,,,,
8000,,,,,,30.0707,-75.7018,164.5704,30.0707,33.7152,302.0071,4.6729
8106,,,139,176.7156,107.1243,,,,,,,
8195,,,89,85.9041,107.1089,,,,,,,
8283,,,88,130.3508,107.7346,,,,,,,
8335,,,52,6.8687,111.5034,,,,,,,
8453,,,118,182.6231,111.3229,,,,,,,
8500,,,,,,29.8739,-84.8819,256.4018,29.8739,35.6197,714.0875,3.0897
8573,,,120,158.2668,109.1372,,,,,,,
8595,,,22,13.1929,106.9535,,,,,,,
8608,,,13,2.6475,106.3863,,,,,,,
9000,,,,,,29.605,-91.7076,153.9301,29.605,38.3114,838.0138,5.1875
9007,,,399,415.1852,107.1742,,,,,,,
9150,,,143,238.1305,107.0046,,,,,,,
9270,,,120,4.8491,106.9855,,,,,,,
9354,,,84,46.1104,107.2101,,,,,,,
9394,,,40,25.6818,107.0339,,,,,,,
9500,,,,,,30.1938,-99.1861,211.1558,30.1938,35.5119,381.1367,4.3266
9528,,,134,199.1147,107.4297,,,,,,,
