env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,59.664,88.8,,,,,,,,,,,,,
12,,,12,-1.7019,1.6812,,,,,,,,,,
58,,,46,-1.6046,87.1042,,,,,,,,,,
173,,,115,8.9636,83.417,,,,,,,,,,
268,,,95,-20.5525,79.5704,,,,,,,,,,
433,,,165,24.1987,79.3057,,,,,,,,,,
500,,,,,,0.1125,0.692,0.0409,-2.6554,0.273,0.007,-0.0751,0.1522,0.841,0.1838
548,,,115,4.1956,85.1745,,,,,,,,,,
634,,,86,-2.1219,85.5859,,,,,,,,,,
853,,,219,71.7639,82.3632,,,,,,,,,,
1000,,,,,,0.1501,0.6883,0.0541,-6.342,0.5103,0.0111,-0.1045,0.5785,1.1589,0.2325
1030,,,177,32.2265,82.4055,,,,,,,,,,
1231,,,201,58.4874,75.8044,,,,,,,,,,
1322,,,91,3.8347,79.2351,,,,,,,,,,
1476,,,154,60.9482,79.2242,,,,,,,,,,
1500,,,,,,0.2194,0.7009,0.0797,-10.7599,1.1972,0.0226,-0.1502,1.3053,2.9543,0.4148
1654,,,178,265.2284,79.2302,,,,,,,,,,
1972,,,318,242.7982,79.2801,,,,,,,,,,
2000,,,,,,0.2592,0.7141,0.0979,-16.4068,1.9122,0.03,-0.1893,1.8739,10.3576,0.5169
2250,,,278,385.7903,77.8259,,,,,,,,,,
2500,,,,,,0.2542,0.7115,0.1007,-21.4348,1.6323,0.0279,-0.2019,2.1362,23.7163,0.4908
2532,,,282,141.746,78.2269,,,,,,,,,,
3000,,,,,,0.2715,0.7183,0.1034,-25.3752,2.2196,0.0341,-0.2001,2.7923,9.6735,0.7617
3029,,,497,398.3098,78.9127,,,,,,,,,,
3158,,,129,239.96,80.0663,,,,,,,,,,
3251,,,93,162.5141,79.3873,,,,,,,,,,
3413,,,162,282.4485,79.8726,,,,,,,,,,
3500,,,,,,0.2754,0.7283,0.1109,-30.903,5.7686,0.033,-0.221,2.9404,20.7816,1.4939
3521,,,108,69.0331,80.0273,,,,,,,,,,
3673,,,152,23.8749,80.1223,,,,,,,,,,
3740,,,67,47.4381,80.6784,,,,,,,,,,
3772,,,32,21.9235,80.9279,,,,,,,,,,
3902,,,130,85.8078,80.4181,,,,,,,,,,
4000,,,,,,0.2707,0.7234,0.1069,-34.9943,6.7413,0.0322,-0.2005,3.7113,22.1824,2.0377
4105,,,203,223.4215,80.9284,,,,,,,,,,
4151,,,46,32.3611,81.1561,,,,,,,,,,
4222,,,71,6.4494,80.9934,,,,,,,,,,
4261,,,39,24.5428,80.7751,,,,,,,,,,
4408,,,147,112.8138,80.9427,,,,,,,,,,
4450,,,42,20.7949,80.1296,,,,,,,,,,
4490,,,40,32.9309,80.6585,,,,,,,,,,
4500,,,,,,0.2793,0.7457,0.0995,-40.988,3.6497,0.0381,-0.188,7.9483,38.8361,1.664
4580,,,90,73.1734,80.6361,,,,,,,,,,
4599,,,19,11.5241,80.5068,,,,,,,,,,
4675,,,76,61.234,80.4836,,,,,,,,,,
4707,,,32,16.1982,81.0881,,,,,,,,,,
4971,,,264,394.9427,80.8708,,,,,,,,,,
4995,,,24,16.089,80.936,,,,,,,,,,
5000,,,,,,0.2805,0.7346,0.1133,-45.5342,9.467,0.0346,-0.2036,4.9126,29.2935,2.6834
5000,288.1194,139.7,,,,,,,,,,,,,
5032,,,37,20.8999,33.8438,,,,,,,,,,
5085,,,53,43.4127,79.9887,,,,,,,,,,
5217,,,132,225.9487,80.6345,,,,,,,,,,
5352,,,135,170.5111,80.7503,,,,,,,,,,
5498,,,146,115.1745,80.6656,,,,,,,,,,
5500,,,,,,0.2856,0.7382,0.1067,-51.0136,5.051,0.0383,-0.2031,7.995,57.9904,2.4035
5531,,,33,18.8551,80.124,,,,,,,,,,
5652,,,121,101.1774,80.7117,,,,,,,,,,
5693,,,41,27.4948,80.3144,,,,,,,,,,
5711,,,18,5.8185,80.5863,,,,,,,,,,
5722,,,11,-0.8461,80.7541,,,,,,,,,,
5907,,,185,123.3786,80.536,,,,,,,,,,
5932,,,25,8.557,80.4464,,,,,,,,,,
5942,,,10,-1.3775,80.4772,,,,,,,,,,
6000,,,,,,0.2949,0.7438,0.1086,-56.4356,8.3373,0.042,-0.2012,11.4056,49.8186,1.9698
6002,,,60,58.3176,81.7244,,,,,,,,,,
6077,,,75,19.1997,78.8183,,,,,,,,,,
6168,,,91,48.7335,80.6007,,,,,,,,,,
6186,,,18,5.1552,80.89,,,,,,,,,,
6254,,,68,33.7694,80.759,,,,,,,,,,
6266,,,12,0.542,80.9707,,,,,,,,,,
6276,,,10,-1.6833,81.2815,,,,,,,,,,
6306,,,30,-0.9456,80.8435,,,,,,,,,,
6341,,,35,25.3713,80.6898,,,,,,,,,,
6379,,,38,11.4656,80.515,,,,,,,,,,
6416,,,37,10.4066,80.2721,,,,,,,,,,
6452,,,36,8.7782,81.0548,,,,,,,,,,
6475,,,23,2.2372,80.4198,,,,,,,,,,
6485,,,10,0.3111,80.4658,,,,,,,,,,
6500,,,,,,0.2826,0.7445,0.1038,-61.2148,9.0231,0.0383,-0.1972,9.4382,55.0893,2.6804
6510,,,25,-3.5283,80.5531,,,,,,,,,,
6523,,,13,-0.289,80.6525,,,,,,,,,,
6535,,,12,2.1633,80.8451,,,,,,,,,,
6572,,,37,6.7845,80.3882,,,,,,,,,,
6585,,,13,2.0908,81.0357,,,,,,,,,,
6609,,,24,0.3421,80.1099,,,,,,,,,,
6632,,,23,-2.7983,81.0465,,,,,,,,,,
6649,,,17,3.9182,80.0069,,,,,,,,,,
6697,,,48,16.0934,80.9891,,,,,,,,,,
6708,,,11,-3.4887,79.513,,,,,,,,,,
6762,,,54,19.2758,80.2652,,,,,,,,,,
6797,,,35,12.4714,80.323,,,,,,,,,,
6810,,,13,2.7012,79.9606,,,,,,,,,,
6886,,,76,40.4072,79.4388,,,,,,,,,,
6901,,,15,3.7955,80.6551,,,,,,,,,,
6994,,,93,95.282,80.4581,,,,,,,,,,
7000,,,,,,0.3011,0.7331,0.1142,-66.8529,5.5442,0.0417,-0.2108,12.4469,148.8004,1.8822
7015,,,21,14.8907,78.6405,,,,,,,,,,
7031,,,16,3.987,78.8813,,,,,,,,,,
7044,,,13,0.6732,78.6521,,,,,,,,,,
7111,,,67,48.1912,79.0404,,,,,,,,,,
7144,,,33,4.588,78.3631,,,,,,,,,,
7152,,,8,-3.1799,79.1524,,,,,,,,,,
7209,,,57,18.4276,79.079,,,,,,,,,,
7219,,,10,0.0283,80.8709,,,,,,,,,,
7230,,,11,0.3775,80.6026,,,,,,,,,,
7263,,,33,24.1164,79.5657,,,,,,,,,,
7278,,,15,2.6783,80.7284,,,,,,,,,,
7288,,,10,-2.052,79.6613,,,,,,,,,,
7301,,,13,-1.5454,81.0877,,,,,,,,,,
7339,,,38,27.3108,80.4284,,,,,,,,,,
7348,,,9,-1.1419,80.9059,,,,,,,,,,
7361,,,13,3.8067,80.5381,,,,,,,,,,
7407,,,46,25.9899,79.5761,,,,,,,,,,
7456,,,49,28.9903,79.9833,,,,,,,,,,
7500,,,,,,0.3091,0.7411,0.1161,-69.5087,12.4441,0.0445,-0.2245,9.777,83.6235,4.9271
7512,,,56,60.2082,80.6302,,,,,,,,,,
7534,,,22,6.7687,79.8053,,,,,,,,,,
7569,,,35,14.0671,78.5246,,,,,,,,,,
7598,,,29,1.4574,78.0586,,,,,,,,,,
7628,,,30,1.3885,76.0333,,,,,,,,,,
7659,,,31,7.2272,78.9028,,,,,,,,,,
7755,,,96,135.1142,78.7303,,,,,,,,,,
7777,,,22,-3.4872,78.5515,,,,,,,,,,
7784,,,7,-3.6144,79.6559,,,,,,,,,,
7798,,,14,-4.8028,78.6612,,,,,,,,,,
7840,,,42,18.8535,78.4926,,,,,,,,,,
7866,,,26,2.8098,78.808,,,,,,,,,,
7897,,,31,0.7849,79.1691,,,,,,,,,,
7920,,,23,-5.0519,78.6115,,,,,,,,,,
7943,,,23,-5.792,76.8729,,,,,,,,,,
7953,,,10,-3.487,78.4463,,,,,,,,,,
7974,,,21,-6.9271,78.5715,,,,,,,,,,
7993,,,19,-6.9754,77.3065,,,,,,,,,,
8000,,,,,,0.3002,0.7337,0.1008,-72.2511,14.6003,0.0467,-0.1938,18.6899,172.8876,4.8553
8002,,,9,-4.4404,78.4459,,,,,,,,,,
8011,,,9,-1.4128,78.2224,,,,,,,,,,
8041,,,30,14.8043,78.5453,,,,,,,,,,
8069,,,28,3.0785,78.5322,,,,,,,,,,
8207,,,138,238.7007,80.2207,,,,,,,,,,
8263,,,56,54.7275,80.4813,,,,,,,,,,
8322,,,59,48.3446,79.127,,,,,,,,,,
8379,,,57,32.9036,79.1148,,,,,,,,,,
8387,,,8,-3.9044,78.9574,,,,,,,,,,
8432,,,45,45.2458,78.9154,,,,,,,,,,
8444,,,12,-0.3801,78.0719,,,,,,,,,,
8500,,,,,,0.3079,0.7458,0.1029,-77.3473,13.5245,0.0493,-0.2016,12.9488,83.2795,2.2407
8556,,,112,158.2251,77.4087,,,,,,,,,,
8569,,,13,1.2058,77.4451,,,,,,,,,,
8584,,,15,2.774,77.1271,,,,,,,,,,
8712,,,128,106.6042,77.2225,,,,,,,,,,
8720,,,8,-4.5725,77.6166,,,,,,,,,,
8755,,,35,27.8908,77.386,,,,,,,,,,
8765,,,10,-2.448,77.5037,,,,,,,,,,
8773,,,8,-1.375,77.4098,,,,,,,,,,
8804,,,31,7.9698,77.1944,,,,,,,,,,
8816,,,12,-0.4066,77.5539,,,,,,,,,,
8829,,,13,-1.9591,77.0581,,,,,,,,,,
8963,,,134,220.2063,76.0808,,,,,,,,,,
8978,,,15,-4.71,77.5259,,,,,,,,,,
8991,,,13,-1.9733,77.7913,,,,,,,,,,
8999,,,8,-3.5469,76.7977,,,,,,,,,,
9000,,,,,,0.3171,0.7476,0.1195,-80.8143,13.0932,0.046,-0.2243,24.1383,322.8651,3.345
9029,,,30,7.1464,77.3675,,,,,,,,,,
9057,,,28,-0.7037,78.2547,,,,,,,,,,
9081,,,24,-0.111,78.6662,,,,,,,,,,
9092,,,11,-0.7106,78.5984,,,,,,,,,,
