env_steps,return,length,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.611,1000.0,,,,,,,,,,
500,,,0.0884,-0.1673,1.1132,0.0884,0.152,0.8246,0.2499,,,
1000,,,0.0869,-1.0119,0.9261,0.0869,0.2915,1.8989,0.3304,,,
1000,,,,,,,,,,1000,-305.7232,72.8156
1500,,,0.0876,-1.88,1.1257,0.0876,0.4654,3.2812,0.3878,,,
2000,,,0.0871,-3.434,1.9685,0.0871,0.6044,6.5643,0.856,,,
2000,,,,,,,,,,1000,-393.9924,104.1352
2500,,,0.0875,-4.8129,3.5499,0.0875,0.8463,9.0932,0.6953,,,
3000,,,0.0795,-6.8491,4.6735,0.0795,0.9008,12.8151,0.5874,,,
3000,,,,,,,,,,1000,-221.3993,104.2479
3500,,,0.0773,-8.657,5.306,0.0773,0.8289,10.5507,0.8819,,,
4000,,,0.0744,-10.5834,6.081,0.0744,0.8435,11.5216,0.9648,,,
4000,,,,,,,,,,1000,-206.805,103.8655
4500,,,0.0684,-11.4383,4.3351,0.0684,0.7924,12.9056,0.6844,,,
5000,,,0.0666,-11.9078,5.3041,0.0666,0.7505,14.2511,0.9426,,,
5000,115.1116,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-160.1368,87.9397
5500,,,0.0707,-14.6953,4.6438,0.0707,1.0022,10.1292,1.037,,,
6000,,,0.069,-16.5513,4.9387,0.069,0.8465,11.642,1.3832,,,
6000,,,,,,,,,,1000,122.8506,104.2002
6500,,,0.0694,-18.4682,4.6288,0.0694,1.0755,17.4714,1.1275,,,
7000,,,0.0698,-20.5115,3.8463,0.0698,1.1585,17.0407,0.9275,,,
7000,,,,,,,,,,1000,301.3203,106.8792
7500,,,0.0637,-21.5667,5.3416,0.0637,1.1715,21.256,1.9115,,,
8000,,,0.0627,-24.8244,5.1196,0.0627,1.1453,21.1531,1.1791,,,
8000,,,,,,,,,,1000,-45.6332,105.2662
8500,,,0.064,-25.9963,4.3871,0.064,1.2175,19.1973,1.7246,,,
9000,,,0.0607,-28.8535,5.6513,0.0607,1.4346,24.1447,1.3751,,,
9000,,,,,,,,,,1000,373.5496,106.3704
9500,,,0.0653,-32.138,4.5761,0.0653,1.4314,28.4809,0.9893,,,
10000,,,0.0606,-33.1099,4.6424,0.0606,1.3847,36.403,1.3558,,,
10000,1487.4885,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,233.8435,91.4749
10500,,,0.0607,-35.2583,4.7502,0.0607,1.5067,22.4023,1.2843,,,
11000,,,0.0615,-39.1161,5.1761,0.0615,1.5257,19.7527,1.2575,,,
11000,,,,,,,,,,1000,629.8422,99.9992
11500,,,0.0633,-41.6502,5.846,0.0633,1.7362,42.6852,1.0097,,,
12000,,,0.0625,-43.1823,5.1691,0.0625,1.5361,34.1329,1.4844,,,
12000,,,,,,,,,,1000,90.5455,103.3224
12500,,,0.0611,-45.3598,5.1994,0.0611,1.4489,45.4052,1.6279,,,
13000,,,0.0595,-45.6199,5.6532,0.0595,1.5913,43.7649,1.7675,,,
13000,,,,,,,,,,1000,182.6167,103.9715
13500,,,0.0599,-49.9871,4.8291,0.0599,1.4531,35.2923,1.6445,,,
14000,,,0.0609,-51.8346,5.4971,0.0609,1.6262,31.5528,1.9614,,,
14000,,,,,,,,,,1000,725.8103,102.5563
14500,,,0.0591,-53.1744,5.1118,0.0591,1.4755,24.8619,1.0423,,,
15000,,,0.0577,-56.2222,4.9493,0.0577,1.5129,24.0518,1.2105,,,
15000,1550.3814,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,563.9884,92.3181
15500,,,0.0597,-59.9449,5.3124,0.0597,1.6986,46.3868,1.4532,,,
16000,,,0.0562,-61.3605,5.2099,0.0562,1.6033,50.8109,1.3776,,,
16000,,,,,,,,,,1000,553.0393,106.6058
16500,,,0.0579,-63.7253,4.3059,0.0579,1.6444,22.6704,1.7036,,,
17000,,,0.0551,-63.6145,5.1883,0.0551,1.5638,45.183,1.4167,,,
17000,,,,,,,,,,1000,269.6073,105.4168
17500,,,0.0563,-66.9572,4.6368,0.0563,1.5349,34.2825,1.7885,,,
18000,,,0.0552,-68.687,4.2141,0.0552,1.5793,33.3115,1.1766,,,
18000,,,,,,,,,,1000,708.2678,102.8151
18500,,,0.0544,-69.885,4.81,0.0544,1.5929,51.3867,1.3114,,,
