env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,58.8294,68.9,,,,,,,,,,,,,
18,,,18,15.0953,1.5194,,,,,,,,,,
53,,,35,7.0802,80.5919,,,,,,,,,,
87,,,34,9.7163,80.9142,,,,,,,,,,
121,,,34,7.6454,80.694,,,,,,,,,,
174,,,53,28.9934,79.796,,,,,,,,,,
239,,,65,39.6249,81.0604,,,,,,,,,,
482,,,243,273.6028,80.8064,,,,,,,,,,
500,,,,,,0.3447,0.6282,0.1353,-3.7151,0.0851,0.008,-0.2613,0.1328,1.4836,0.053
621,,,139,204.3523,80.2217,,,,,,,,,,
679,,,58,106.1479,80.464,,,,,,,,,,
745,,,66,102.752,80.1328,,,,,,,,,,
784,,,39,63.0894,81.0253,,,,,,,,,,
841,,,57,98.4866,80.2938,,,,,,,,,,
908,,,67,120.5932,80.6703,,,,,,,,,,
943,,,35,56.4134,80.0289,,,,,,,,,,
983,,,40,66.8335,81.4079,,,,,,,,,,
1000,,,,,,0.3722,0.6347,0.1492,-7.1053,0.1383,0.0077,-0.2868,0.3639,1.6551,0.0873
1027,,,44,75.7113,78.8507,,,,,,,,,,
1160,,,133,294.7467,80.6483,,,,,,,,,,
1289,,,129,323.5949,80.9872,,,,,,,,,,
1420,,,131,321.409,79.8606,,,,,,,,,,
1500,,,,,,0.3958,0.6839,0.1449,-11.4886,0.2287,0.0081,-0.2767,0.3625,3.844,0.1258
1543,,,123,266.8208,80.9364,,,,,,,,,,
1664,,,121,277.207,79.8075,,,,,,,,,,
1786,,,122,269.5662,81.145,,,,,,,,,,
1925,,,139,338.5195,81.1747,,,,,,,,,,
2000,,,,,,0.3885,0.6915,0.1699,-15.9641,0.4776,0.0094,-0.3197,0.4912,4.6808,0.4204
2047,,,122,288.2614,81.496,,,,,,,,,,
2188,,,141,309.2908,81.4586,,,,,,,,,,
2311,,,123,290.3148,80.7669,,,,,,,,,,
2364,,,53,89.0954,81.0319,,,,,,,,,,
2409,,,45,76.1852,80.8804,,,,,,,,,,
2500,,,,,,0.385,0.7146,0.1626,-21.033,0.721,0.0121,-0.2938,1.3244,10.3652,0.4786
2515,,,106,211.807,80.9823,,,,,,,,,,
2525,,,10,8.6829,81.4058,,,,,,,,,,
2534,,,9,7.7359,81.576,,,,,,,,,,
2576,,,42,68.8972,81.4025,,,,,,,,,,
2698,,,122,286.2053,81.1409,,,,,,,,,,
2798,,,100,204.5164,78.7771,,,,,,,,,,
2917,,,119,263.7904,81.1215,,,,,,,,,,
3000,,,,,,0.3941,0.7205,0.1792,-26.359,1.7278,0.0108,-0.3196,0.9825,11.9636,0.2071
3047,,,130,275.9978,80.9296,,,,,,,,,,
3163,,,116,279.6062,80.8753,,,,,,,,,,
3191,,,28,47.4826,80.3521,,,,,,,,,,
3305,,,114,242.9752,80.84,,,,,,,,,,
3427,,,122,289.6636,80.8966,,,,,,,,,,
3500,,,,,,0.3802,0.7298,0.1537,-32.5815,1.0338,0.0115,-0.2925,3.9068,38.656,0.2651
3561,,,134,321.8732,80.8091,,,,,,,,,,
3703,,,142,295.4764,81.0091,,,,,,,,,,
3837,,,134,299.699,80.4512,,,,,,,,,,
3970,,,133,292.882,81.3934,,,,,,,,,,
4000,,,,,,0.3761,0.7288,0.1467,-38.8189,2.2491,0.0111,-0.2783,2.2019,19.1646,0.8665
4101,,,131,285.4454,81.2459,,,,,,,,,,
4227,,,126,260.6579,81.112,,,,,,,,,,
4363,,,136,297.959,80.4446,,,,,,,,,,
4487,,,124,282.3381,80.4091,,,,,,,,,,
4500,,,,,,0.3815,0.7391,0.1494,-45.5734,1.9922,0.0114,-0.2862,5.0668,55.9701,0.5643
4578,,,91,183.739,80.9841,,,,,,,,,,
4704,,,126,278.7938,81.2335,,,,,,,,,,
4822,,,118,270.6939,80.923,,,,,,,,,,
4959,,,137,316.4519,81.2286,,,,,,,,,,
5000,,,,,,0.3901,0.7477,0.1571,-50.6408,2.2861,0.0114,-0.2985,4.0103,23.5956,0.6534
5000,277.3621,122.4,,,,,,,,,,,,,
5067,,,108,252.416,60.8645,,,,,,,,,,
5191,,,124,281.2501,80.2516,,,,,,,,,,
5322,,,131,310.5363,80.9198,,,,,,,,,,
5443,,,121,258.5496,80.7188,,,,,,,,,,
