env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,69.9955,65.0,,,,,,,,,,
9,,,9,5.7348,1.0902,,,,,,,
40,,,31,11.8479,83.1012,,,,,,,
88,,,48,17.7718,82.9323,,,,,,,
126,,,38,23.5568,82.8727,,,,,,,
160,,,34,8.9971,82.9949,,,,,,,
198,,,38,9.3536,82.8116,,,,,,,
272,,,74,45.2975,82.8495,,,,,,,
378,,,106,145.0165,83.797,,,,,,,
461,,,83,108.7077,84.0154,,,,,,,
500,,,,,,-3.8551,0.8356,0.0228,-0.1254,0.1726,0.5474,0.0426
521,,,60,96.0337,83.7071,,,,,,,
582,,,61,94.4724,84.1249,,,,,,,
636,,,54,81.2849,83.9516,,,,,,,
729,,,93,164.3324,83.663,,,,,,,
803,,,74,138.3789,84.1737,,,,,,,
836,,,33,53.5813,83.8716,,,,,,,
879,,,43,70.7971,83.8734,,,,,,,
949,,,70,133.324,83.9508,,,,,,,
992,,,43,72.3464,83.6941,,,,,,,
1000,,,,,,-7.1867,0.3937,0.0075,-0.0592,0.5518,2.9541,0.1407
1072,,,80,156.7455,84.0972,,,,,,,
1200,,,128,283.5532,85.5533,,,,,,,
1259,,,59,105.1933,84.1695,,,,,,,
1376,,,117,265.3878,84.2451,,,,,,,
1492,,,116,259.3212,88.3545,,,,,,,
1500,,,,,,-11.6112,0.6199,0.0096,-0.0643,0.5504,2.1093,0.1039
1614,,,122,301.3531,90.8083,,,,,,,
1725,,,111,251.8175,90.8417,,,,,,,
1826,,,101,226.211,91.023,,,,,,,
1934,,,108,262.2145,90.9315,,,,,,,
2000,,,,,,-16.5099,0.6267,0.0089,-0.0676,0.7374,6.2481,0.1619
2032,,,98,201.4674,90.9719,,,,,,,
2137,,,105,233.3691,90.9525,,,,,,,
2235,,,98,217.9427,86.3188,,,,,,,
2271,,,36,58.5105,84.481,,,,,,,
2384,,,113,228.7178,84.2435,,,,,,,
2497,,,113,248.7073,84.072,,,,,,,
2500,,,,,,-21.9277,0.7354,0.003,-0.0404,2.5415,13.7512,0.1269
2597,,,100,227.7118,84.0343,,,,,,,
2703,,,106,211.8981,83.5911,,,,,,,
2803,,,100,234.0322,84.2251,,,,,,,
2855,,,52,88.2474,84.0264,,,,,,,
