env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,114.9778,103.9,,,,,,,,,,
9,,,9,5.7527,1.3003,,,,,,,
39,,,30,12.3536,105.3289,,,,,,,
94,,,55,30.1247,105.8469,,,,,,,
134,,,40,15.2632,106.0497,,,,,,,
163,,,29,3.1094,106.4452,,,,,,,
200,,,37,9.4376,106.0738,,,,,,,
269,,,69,98.2789,106.5413,,,,,,,
361,,,92,133.7924,106.3361,,,,,,,
469,,,108,157.1996,106.3384,,,,,,,
500,,,,,,0.0057,-4.0308,0.1434,0.0057,0.1433,0.9359,0.041
532,,,63,100.9515,105.5193,,,,,,,
607,,,75,102.4384,106.4349,,,,,,,
664,,,57,89.203,106.6483,,,,,,,
773,,,109,216.8862,106.5063,,,,,,,
811,,,38,62.9143,105.952,,,,,,,
843,,,32,52.2687,105.6358,,,,,,,
882,,,39,63.3936,107.3649,,,,,,,
919,,,37,60.621,109.6793,,,,,,,
972,,,53,94.8367,109.087,,,,,,,
1000,,,,,,0.0064,-7.4229,0.2102,0.0064,0.3957,2.2081,0.1635
1035,,,63,118.0481,105.9312,,,,,,,
1110,,,75,136.5088,110.6872,,,,,,,
1145,,,35,57.7587,110.6622,,,,,,,
1222,,,77,157.3364,110.1089,,,,,,,
1293,,,71,130.4102,110.3549,,,,,,,
1404,,,111,233.2641,106.2823,,,,,,,
1500,,,,,,0.0064,-11.9422,0.2322,0.0064,1.0669,3.1861,0.2303
1513,,,109,218.3956,106.7161,,,,,,,
1621,,,108,191.7433,106.2434,,,,,,,
1738,,,117,217.9512,106.5592,,,,,,,
1850,,,112,218.9616,106.8136,,,,,,,
1911,,,61,102.833,106.9355,,,,,,,
2000,,,,,,0.0061,-16.2386,0.315,0.0061,1.9694,8.0485,0.2731
2014,,,103,192.8881,106.7377,,,,,,,
2126,,,112,207.8939,106.3207,,,,,,,
2272,,,146,247.6867,110.775,,,,,,,
2325,,,53,85.6771,110.7922,,,,,,,
2370,,,45,71.4944,110.9459,,,,,,,
2417,,,47,75.0715,110.8518,,,,,,,
2500,,,,,,0.0053,-21.4471,0.636,0.0053,1.6438,4.8409,0.4146
2534,,,117,239.09,110.9197,,,,,,,
2645,,,111,216.8932,110.8392,,,,,,,
2747,,,102,201.9298,109.3294,,,,,,,
2862,,,115,223.6098,106.7137,,,,,,,
2979,,,117,255.487,106.5628,,,,,,,
3000,,,,,,0.0052,-26.8948,0.4747,0.0052,4.8546,13.7958,0.1192
3099,,,120,260.5849,105.4531,,,,,,,
3218,,,119,224.6621,106.0824,,,,,,,
3332,,,114,255.5551,106.5251,,,,,,,
3452,,,120,235.6275,106.2382,,,,,,,
3500,,,,,,0.005,-32.1989,0.8663,0.005,3.0457,16.7292,0.2533
3566,,,114,230.0825,106.5507,,,,,,,
3675,,,109,228.2753,105.8114,,,,,,,
3785,,,110,232.8611,105.8196,,,,,,,
3892,,,107,227.4671,106.0789,,,,,,,
4000,,,,,,0.005,-37.0019,1.1114,0.005,4.8456,29.2202,0.1221
4002,,,110,248.24,100.4772,,,,,,,
4108,,,106,239.128,98.0759,,,,,,,
4224,,,116,229.6067,99.553,,,,,,,
4333,,,109,235.208,105.219,,,,,,,
4449,,,116,248.5789,106.0926,,,,,,,
4500,,,,,,0.0046,-44.2632,1.9413,0.0046,2.3448,22.625,0.6406
4557,,,108,213.3178,105.8702,,,,,,,
