env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,24.6513,26.9,,,,,,,,,,
68,,,68,51.2745,13.038,,,,,,,
89,,,21,1.4011,99.4218,,,,,,,
116,,,27,2.9542,99.6423,,,,,,,
140,,,24,2.85,99.2175,,,,,,,
150,,,10,5.4596,99.3522,,,,,,,
158,,,8,4.4092,100.32,,,,,,,
166,,,8,4.87,98.7145,,,,,,,
173,,,7,4.8405,97.5779,,,,,,,
182,,,9,6.8206,98.608,,,,,,,
194,,,12,10.6313,99.1548,,,,,,,
204,,,10,8.8772,99.032,,,,,,,
228,,,24,32.1318,99.5176,,,,,,,
269,,,41,68.8167,98.8549,,,,,,,
300,,,31,51.7183,99.621,,,,,,,
333,,,33,53.9265,99.9483,,,,,,,
363,,,30,48.1014,97.8592,,,,,,,
399,,,36,58.4412,92.9057,,,,,,,
441,,,42,68.6474,92.9452,,,,,,,
483,,,42,68.3376,92.7347,,,,,,,
500,,,,,,58.3159,113.2817,514.2408,58.3159,0.1831,1.1311,0.0061
530,,,47,74.6674,93.0072,,,,,,,
574,,,44,72.7496,92.864,,,,,,,
614,,,40,64.303,99.2749,,,,,,,
657,,,43,70.2456,99.8816,,,,,,,
696,,,39,63.1452,99.3843,,,,,,,
734,,,38,61.9259,99.1821,,,,,,,
775,,,41,69.1245,99.1991,,,,,,,
809,,,34,55.324,99.2316,,,,,,,
845,,,36,58.3268,99.6352,,,,,,,
881,,,36,59.5676,99.1046,,,,,,,
917,,,36,60.8701,100.271,,,,,,,
956,,,39,64.3818,92.5187,,,,,,,
990,,,34,55.6018,93.1503,,,,,,,
1000,,,,,,85.2905,164.2538,696.6826,85.2905,0.5619,2.3899,0.0707
1020,,,30,50.0305,96.318,,,,,,,
1052,,,32,53.8588,93.6447,,,,,,,
1079,,,27,45.7899,97.3087,,,,,,,
1107,,,28,47.5216,100.1454,,,,,,,
1135,,,28,48.6963,99.741,,,,,,,
1168,,,33,56.2384,100.1757,,,,,,,
1203,,,35,59.3128,100.1433,,,,,,,
1232,,,29,50.3738,99.9775,,,,,,,
1282,,,50,93.8121,99.9901,,,,,,,
1338,,,56,102.3133,99.783,,,,,,,
1398,,,60,109.2909,100.0851,,,,,,,
1465,,,67,127.8737,99.8818,,,,,,,
1500,,,,,,99.0289,188.1105,724.0887,99.0289,0.9254,2.018,0.113
1532,,,67,127.7353,95.1871,,,,,,,
1594,,,62,117.7593,93.3688,,,,,,,
1666,,,72,146.8242,92.9653,,,,,,,
1738,,,72,148.407,92.7889,,,,,,,
1801,,,63,112.9838,92.9331,,,,,,,
1874,,,73,131.5156,93.3524,,,,,,,
1947,,,73,129.5004,92.8539,,,,,,,
2000,,,,,,82.2448,150.4255,849.6205,82.2448,2.0691,4.7271,0.1103
2016,,,69,122.7765,93.1559,,,,,,,
2082,,,66,115.9074,93.4505,,,,,,,
2151,,,69,124.2983,93.2986,,,,,,,
2224,,,73,131.9041,93.3977,,,,,,,
2292,,,68,120.1362,92.9601,,,,,,,
2364,,,72,135.3018,93.1666,,,,,,,
2437,,,73,137.3392,93.3245,,,,,,,
2500,,,,,,75.0403,130.8377,1814.213,75.0403,2.7448,8.3717,0.1776
2508,,,71,131.5347,93.3509,,,,,,,
2578,,,70,129.6221,93.2966,,,,,,,
2657,,,79,164.0995,93.2441,,,,,,,
2737,,,80,171.8539,93.2217,,,,,,,
2809,,,72,149.4672,93.4509,,,,,,,
2890,,,81,174.7967,93.8736,,,,,,,
2964,,,74,153.9075,99.747,,,,,,,
