env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,26.0,26.0,,,,,,,,,,
5,,,5,5.0,0.7457,,,,,,,
11,,,6,6.0,103.5366,,,,,,,
18,,,7,7.0,102.2417,,,,,,,
23,,,5,5.0,105.748,,,,,,,
32,,,9,9.0,104.7494,,,,,,,
38,,,6,6.0,102.682,,,,,,,
46,,,8,8.0,103.6091,,,,,,,
50,,,4,4.0,105.7372,,,,,,,
61,,,11,11.0,102.947,,,,,,,
65,,,4,4.0,102.7286,,,,,,,
69,,,4,4.0,105.2345,,,,,,,
73,,,4,4.0,108.0088,,,,,,,
79,,,6,6.0,103.8515,,,,,,,
84,,,5,5.0,105.2803,,,,,,,
89,,,5,5.0,101.9986,,,,,,,
93,,,4,4.0,105.9308,,,,,,,
102,,,9,9.0,104.9693,,,,,,,
107,,,5,5.0,104.283,,,,,,,
111,,,4,4.0,101.2866,,,,,,,
118,,,7,7.0,106.1588,,,,,,,
126,,,8,8.0,103.8782,,,,,,,
133,,,7,7.0,102.8354,,,,,,,
142,,,9,9.0,104.8369,,,,,,,
150,,,8,8.0,103.5116,,,,,,,
157,,,7,7.0,103.9628,,,,,,,
167,,,10,10.0,103.2073,,,,,,,
172,,,5,5.0,103.7239,,,,,,,
175,,,3,3.0,102.2577,,,,,,,
182,,,7,7.0,102.7861,,,,,,,
188,,,6,6.0,105.9948,,,,,,,
192,,,4,4.0,102.0655,,,,,,,
199,,,7,7.0,103.1987,,,,,,,
210,,,11,11.0,105.5559,,,,,,,
217,,,7,7.0,103.5156,,,,,,,
232,,,15,15.0,105.2034,,,,,,,
242,,,10,10.0,104.3466,,,,,,,
253,,,11,11.0,104.1118,,,,,,,
256,,,3,3.0,107.3343,,,,,,,
261,,,5,5.0,101.8975,,,,,,,
276,,,15,15.0,105.1192,,,,,,,
280,,,4,4.0,104.4307,,,,,,,
284,,,4,4.0,106.2347,,,,,,,
307,,,23,23.0,104.5286,,,,,,,
313,,,6,6.0,106.6312,,,,,,,
336,,,23,23.0,105.4512,,,,,,,
363,,,27,27.0,108.6542,,,,,,,
367,,,4,4.0,109.731,,,,,,,
403,,,36,36.0,105.2908,,,,,,,
434,,,31,31.0,103.1449,,,,,,,
455,,,21,21.0,103.8168,,,,,,,
466,,,11,11.0,105.2823,,,,,,,
469,,,3,3.0,103.2148,,,,,,,
500,,,,,,0.0167,-2.7523,0.1071,0.0167,0.1004,1.1227,0.0025
512,,,43,43.0,104.3307,,,,,,,
526,,,14,14.0,103.1046,,,,,,,
554,,,28,28.0,106.2652,,,,,,,
625,,,71,71.0,104.838,,,,,,,
674,,,49,49.0,104.6827,,,,,,,
687,,,13,13.0,103.7289,,,,,,,
701,,,14,14.0,106.4602,,,,,,,
706,,,5,5.0,103.0248,,,,,,,
712,,,6,6.0,105.0743,,,,,,,
732,,,20,20.0,104.8056,,,,,,,
745,,,13,13.0,104.2061,,,,,,,
777,,,32,32.0,105.2224,,,,,,,
819,,,42,42.0,103.5099,,,,,,,
844,,,25,25.0,103.4867,,,,,,,
882,,,38,38.0,105.4356,,,,,,,
917,,,35,35.0,103.8836,,,,,,,
947,,,30,30.0,105.2626,,,,,,,
960,,,13,13.0,104.1677,,,,,,,
990,,,30,30.0,104.6133,,,,,,,
1000,,,,,,0.0055,-4.9368,0.1992,0.0055,0.1108,0.8366,0.0056
1052,,,62,62.0,104.7511,,,,,,,
1077,,,25,25.0,104.3502,,,,,,,
1120,,,43,43.0,104.5232,,,,,,,
1216,,,96,96.0,104.2666,,,,,,,
1256,,,40,40.0,105.1014,,,,,,,
1261,,,5,5.0,103.6398,,,,,,,
1280,,,19,19.0,103.4939,,,,,,,
1301,,,21,21.0,105.2533,,,,,,,
1330,,,29,29.0,101.889,,,,,,,
1337,,,7,7.0,104.2529,,,,,,,
