env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-13.4947,50.0,,,,,,,,,,,,
50,,,50,-65.5885,8.4704,,,,,,,,,
100,,,50,-72.0378,93.4775,,,,,,,,,
150,,,50,-68.0909,94.272,,,,,,,,,
200,,,50,-57.2577,94.0636,,,,,,,,,
250,,,50,-61.7299,94.0153,,,,,,,,,
300,,,50,-62.7222,94.6401,,,,,,,,,
350,,,50,-50.9765,93.7117,,,,,,,,,
400,,,50,-68.8135,94.2312,,,,,,,,,
450,,,50,-54.0056,94.3812,,,,,,,,,
500,,,,,,0.5945,0.6536,0.0212,1.9276,1.0972,0.0824,0.0459,0.3053,0.1663
500,,,50,-64.4544,94.4284,,,,,,,,,
550,,,50,-60.9577,94.4171,,,,,,,,,
600,,,50,-53.8811,93.8872,,,,,,,,,
650,,,50,-59.1641,93.8499,,,,,,,,,
700,,,50,-58.7863,94.2731,,,,,,,,,
750,,,50,-62.6101,94.2235,,,,,,,,,
800,,,50,-58.7733,94.0661,,,,,,,,,
850,,,50,-65.4397,94.4679,,,,,,,,,
900,,,50,-64.7072,94.0188,,,,,,,,,
950,,,50,-64.158,94.2613,,,,,,,,,
1000,,,,,,0.529,0.6536,0.0114,2.6125,0.9805,0.0455,0.0197,0.2341,0.1275
1000,,,50,-58.3819,93.9748,,,,,,,,,
1050,,,50,-68.1808,93.8261,,,,,,,,,
1100,,,50,-57.1317,94.2159,,,,,,,,,
1150,,,50,-57.6316,94.0405,,,,,,,,,
1200,,,50,-63.2699,93.9791,,,,,,,,,
1250,,,50,-58.6204,93.4097,,,,,,,,,
1300,,,50,-63.0663,94.2463,,,,,,,,,
1350,,,50,-51.919,93.3817,,,,,,,,,
1400,,,50,-61.0007,94.43,,,,,,,,,
1450,,,50,-62.9765,93.9404,,,,,,,,,
1500,,,,,,0.5121,0.6601,0.0092,3.3896,0.8636,0.037,0.015,0.1881,0.0614
1500,,,50,-56.6657,94.6878,,,,,,,,,
1550,,,50,-54.0415,93.2601,,,,,,,,,
1600,,,50,-53.4451,94.3445,,,,,,,,,
1650,,,50,-61.4984,94.6682,,,,,,,,,
1700,,,50,-58.5972,94.092,,,,,,,,,
1750,,,50,-57.1494,94.2287,,,,,,,,,
1800,,,50,-57.4654,93.9341,,,,,,,,,
1850,,,50,-59.6727,94.4135,,,,,,,,,
1900,,,50,-67.8044,93.5419,,,,,,,,,
1950,,,50,-55.3346,94.9826,,,,,,,,,
2000,,,,,,0.5063,0.6584,0.0089,4.1266,1.2052,0.0356,0.0128,0.2492,0.0757
2000,,,50,-54.3436,94.665,,,,,,,,,
2050,,,50,-65.073,95.1389,,,,,,,,,
2100,,,50,-56.4643,94.3796,,,,,,,,,
2150,,,50,-52.5864,94.6852,,,,,,,,,
2200,,,50,-59.4687,94.7,,,,,,,,,
2250,,,50,-69.1955,93.9802,,,,,,,,,
2300,,,50,-58.2613,94.9928,,,,,,,,,
2350,,,50,-56.4125,94.4695,,,,,,,,,
2400,,,50,-53.9981,94.7627,,,,,,,,,
2450,,,50,-52.194,94.5603,,,,,,,,,
2500,,,,,,0.5055,0.6666,0.0084,4.8358,1.0267,0.0338,0.0122,0.3405,0.0262
2500,,,50,-54.9693,94.071,,,,,,,,,
2550,,,50,-58.0752,95.0084,,,,,,,,,
2600,,,50,-54.5705,94.4612,,,,,,,,,
2650,,,50,-61.9201,94.5135,,,,,,,,,
2700,,,50,-67.7249,94.0763,,,,,,,,,
2750,,,50,-66.1743,94.3051,,,,,,,,,
2800,,,50,-58.3789,94.6207,,,,,,,,,
2850,,,50,-58.868,94.4053,,,,,,,,,
2900,,,50,-56.5263,94.4304,,,,,,,,,
2950,,,50,-54.8556,94.5624,,,,,,,,,
3000,,,,,,0.5059,0.6645,0.008,5.5684,1.1298,0.0347,0.0116,0.2036,0.0415
3000,,,50,-62.6356,94.0406,,,,,,,,,
3050,,,50,-58.3119,94.462,,,,,,,,,
3100,,,50,-70.3645,94.3375,,,,,,,,,
3150,,,50,-62.7203,94.3977,,,,,,,,,
3200,,,50,-62.2495,93.7236,,,,,,,,,
3250,,,50,-57.0978,94.4453,,,,,,,,,
3300,,,50,-53.9822,93.3795,,,,,,,,,
3350,,,50,-59.4312,94.4107,,,,,,,,,
3400,,,50,-56.9705,94.4105,,,,,,,,,
3450,,,50,-63.3676,94.41,,,,,,,,,
3500,,,,,,0.4977,0.6653,0.0083,6.2121,1.2117,0.0325,0.0129,1.1178,0.0502
3500,,,50,-64.5403,94.0871,,,,,,,,,
3550,,,50,-56.4641,94.3741,,,,,,,,,
3600,,,50,-64.69,94.1449,,,,,,,,,
3650,,,50,-59.5714,94.3256,,,,,,,,,
3700,,,50,-60.1968,93.7881,,,,,,,,,
3750,,,50,-64.377,94.5861,,,,,,,,,
3800,,,50,-64.8819,94.4368,,,,,,,,,
3850,,,50,-60.8982,94.5122,,,,,,,,,
3900,,,50,-60.5372,93.6738,,,,,,,,,
3950,,,50,-55.0729,93.8264,,,,,,,,,
4000,,,,,,0.5027,0.6732,0.008,6.892,1.1488,0.0324,0.0127,1.51,0.0702
4000,,,50,-71.853,93.9027,,,,,,,,,
4050,,,50,-59.3814,93.3754,,,,,,,,,
4100,,,50,-50.3576,93.622,,,,,,,,,
4150,,,50,-62.6217,94.0595,,,,,,,,,
4200,,,50,-59.7476,94.1214,,,,,,,,,
4250,,,50,-59.7009,93.9725,,,,,,,,,
4300,,,50,-59.3542,94.3439,,,,,,,,,
4350,,,50,-59.0963,94.4455,,,,,,,,,
4400,,,50,-59.5596,94.1907,,,,,,,,,
4450,,,50,-62.991,94.0209,,,,,,,,,
4500,,,,,,0.5,0.6737,0.0074,7.5734,1.0448,0.031,0.0105,0.66,0.0395
4500,,,50,-60.8983,93.1678,,,,,,,,,
4550,,,50,-56.7042,93.982,,,,,,,,,
4600,,,50,-59.0867,93.0549,,,,,,,,,
4650,,,50,-55.812,92.8136,,,,,,,,,
4700,,,50,-61.8479,93.878,,,,,,,,,
4750,,,50,-62.4222,93.7685,,,,,,,,,
4800,,,50,-53.0433,93.4079,,,,,,,,,
4850,,,50,-61.2094,94.4366,,,,,,,,,
4900,,,50,-60.2397,94.5992,,,,,,,,,
4950,,,50,-57.0541,94.7685,,,,,,,,,
5000,,,,,,0.5023,0.6676,0.007,8.2418,1.0465,0.0331,0.0112,0.1987,0.0363
5000,-11.9643,50.0,,,,,,,,,,,,
5000,,,50,-49.4392,56.0129,,,,,,,,,
5050,,,50,-72.7364,93.5491,,,,,,,,,
5100,,,50,-52.6791,93.0648,,,,,,,,,
5150,,,50,-65.1201,94.0302,,,,,,,,,
5200,,,50,-53.676,93.3464,,,,,,,,,
5250,,,50,-55.3973,92.9236,,,,,,,,,
5300,,,50,-60.5871,93.9055,,,,,,,,,
5350,,,50,-64.0541,94.4213,,,,,,,,,
5400,,,50,-51.5249,94.5058,,,,,,,,,
5450,,,50,-65.6191,93.6237,,,,,,,,,
5500,,,,,,0.5029,0.6765,0.0067,8.8779,0.9393,0.0321,0.0107,0.6299,0.1296
5500,,,50,-67.1113,94.0351,,,,,,,,,
5550,,,50,-58.9346,93.7837,,,,,,,,,
5600,,,50,-56.8622,93.465,,,,,,,,,
5650,,,50,-63.3132,94.556,,,,,,,,,
5700,,,50,-63.8686,94.3575,,,,,,,,,
5750,,,50,-55.3258,93.7176,,,,,,,,,
5800,,,50,-66.6062,94.3396,,,,,,,,,
5850,,,50,-65.9253,93.0971,,,,,,,,,
5900,,,50,-57.7254,94.0874,,,,,,,,,
5950,,,50,-58.5245,93.3975,,,,,,,,,
6000,,,,,,0.5001,0.6714,0.0073,9.4604,1.0303,0.0321,0.0108,0.9242,0.0932
6000,,,50,-53.82,93.651,,,,,,,,,
6050,,,50,-54.3252,93.5957,,,,,,,,,
6100,,,50,-49.2064,93.7679,,,,,,,,,
6150,,,50,-54.3757,93.7686,,,,,,,,,
6200,,,50,-54.7517,93.8904,,,,,,,,,
6250,,,50,-69.0586,94.3024,,,,,,,,,
6300,,,50,-64.0852,93.6918,,,,,,,,,
6350,,,50,-62.7475,94.4029,,,,,,,,,
6400,,,50,-55.6778,94.2837,,,,,,,,,
6450,,,50,-57.8333,94.3079,,,,,,,,,
6500,,,,,,0.504,0.679,0.0069,10.1122,0.863,0.0321,0.0106,1.0121,0.0243
6500,,,50,-66.3251,94.2493,,,,,,,,,
6550,,,50,-61.2479,93.935,,,,,,,,,
6600,,,50,-55.3232,92.8362,,,,,,,,,
6650,,,50,-57.4097,94.7844,,,,,,,,,
6700,,,50,-63.9477,94.245,,,,,,,,,
6750,,,50,-58.9729,94.6133,,,,,,,,,
6800,,,50,-60.6037,93.9805,,,,,,,,,
6850,,,50,-62.6252,93.7383,,,,,,,,,
6900,,,50,-57.8275,94.2769,,,,,,,,,
6950,,,50,-49.0492,94.6559,,,,,,,,,
7000,,,,,,0.5003,0.6812,0.0068,10.6654,1.0498,0.0309,0.0103,0.4142,0.0678
7000,,,50,-63.5701,94.0746,,,,,,,,,
7050,,,50,-51.5802,93.9289,,,,,,,,,
7100,,,50,-60.2076,94.8995,,,,,,,,,
7150,,,50,-57.6249,93.5261,,,,,,,,,
7200,,,50,-66.0373,94.7546,,,,,,,,,
7250,,,50,-55.0594,94.0612,,,,,,,,,
7300,,,50,-52.9453,94.3613,,,,,,,,,
7350,,,50,-57.5995,94.5312,,,,,,,,,
7400,,,50,-57.5966,94.2496,,,,,,,,,
7450,,,50,-58.8638,94.538,,,,,,,,,
