env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,-12.4738,50.0,,,,,,,,,,
50,,,50,-56.7421,6.0279,,,,,,,
100,,,50,-58.9607,84.0967,,,,,,,
150,,,50,-70.2811,84.2121,,,,,,,
200,,,50,-58.8885,83.9733,,,,,,,
250,,,50,-55.0274,84.4172,,,,,,,
300,,,50,-58.2001,84.4582,,,,,,,
350,,,50,-55.7153,84.4425,,,,,,,
400,,,50,-58.6301,86.3221,,,,,,,
450,,,50,-51.9149,91.0646,,,,,,,
500,,,,,,1.6486,0.2781,0.0052,-0.0511,0.0308,0.6223,0.0853
500,,,50,-61.0623,87.8092,,,,,,,
550,,,50,-61.7261,84.1235,,,,,,,
600,,,50,-61.1973,84.4475,,,,,,,
650,,,50,-58.0185,84.6946,,,,,,,
700,,,50,-60.1774,84.4155,,,,,,,
750,,,50,-54.3788,84.0528,,,,,,,
800,,,50,-62.9432,84.6918,,,,,,,
850,,,50,-69.3783,84.4647,,,,,,,
900,,,50,-64.8302,84.7539,,,,,,,
950,,,50,-52.7394,83.9545,,,,,,,
1000,,,,,,2.3088,0.2073,0.0047,-0.053,0.0228,0.5751,0.0934
1000,,,50,-49.1994,84.39,,,,,,,
1050,,,50,-57.7154,84.2408,,,,,,,
1100,,,50,-63.4421,83.8001,,,,,,,
1150,,,50,-58.1982,84.8431,,,,,,,
1200,,,50,-58.7833,83.3825,,,,,,,
1250,,,50,-47.7898,84.4465,,,,,,,
1300,,,50,-59.1394,84.7671,,,,,,,
1350,,,50,-63.8826,84.418,,,,,,,
1400,,,50,-57.4821,84.1408,,,,,,,
1450,,,50,-55.473,84.194,,,,,,,
1500,,,,,,2.9585,0.2291,0.0051,-0.0545,0.0219,0.816,0.0683
1500,,,50,-63.6533,84.2489,,,,,,,
1550,,,50,-53.3661,84.8851,,,,,,,
1600,,,50,-53.6758,84.8972,,,,,,,
1650,,,50,-62.6584,84.7803,,,,,,,
1700,,,50,-62.2608,84.2948,,,,,,,
1750,,,50,-51.2061,84.8122,,,,,,,
1800,,,50,-59.9818,83.7937,,,,,,,
1850,,,50,-58.4966,83.2439,,,,,,,
1900,,,50,-69.2192,84.4636,,,,,,,
1950,,,50,-59.8288,83.3429,,,,,,,
2000,,,,,,3.7292,0.4896,0.0031,-0.0468,0.0333,0.5679,0.119
2000,,,50,-53.7084,84.8073,,,,,,,
2050,,,50,-58.5495,84.7475,,,,,,,
2100,,,50,-55.9228,84.2061,,,,,,,
2150,,,50,-53.1098,84.1663,,,,,,,
2200,,,50,-63.0975,84.0121,,,,,,,
2250,,,50,-55.8817,83.7899,,,,,,,
2300,,,50,-53.2924,83.8316,,,,,,,
2350,,,50,-53.5747,85.1175,,,,,,,
2400,,,50,-63.1461,91.4608,,,,,,,
2450,,,50,-57.0829,91.4124,,,,,,,
2500,,,,,,4.419,0.2516,0.005,-0.0539,0.0275,0.9388,0.1224
2500,,,50,-69.1578,91.2176,,,,,,,
2550,,,50,-53.3049,91.4288,,,,,,,
2600,,,50,-57.0494,91.2726,,,,,,,
2650,,,50,-55.6935,85.5724,,,,,,,
2700,,,50,-51.362,84.0802,,,,,,,
2750,,,50,-60.9092,85.0474,,,,,,,
2800,,,50,-48.5118,86.649,,,,,,,
2850,,,50,-58.4075,91.6432,,,,,,,
2900,,,50,-58.4871,91.35,,,,,,,
2950,,,50,-60.6021,90.9894,,,,,,,
3000,,,,,,5.1067,0.4295,0.0034,-0.0448,0.0257,0.7278,0.076
3000,,,50,-59.0418,90.5016,,,,,,,
3050,,,50,-70.9117,91.172,,,,,,,
3100,,,50,-59.1189,87.5628,,,,,,,
3150,,,50,-64.8031,83.2149,,,,,,,
3200,,,50,-58.6692,84.6939,,,,,,,
3250,,,50,-54.0466,84.4941,,,,,,,
3300,,,50,-64.3589,84.4465,,,,,,,
3350,,,50,-60.2866,84.5023,,,,,,,
3400,,,50,-57.0863,84.7363,,,,,,,
3450,,,50,-56.2674,84.4478,,,,,,,
3500,,,,,,5.7332,0.5586,0.0033,-0.0455,0.0286,1.0782,0.1089
3500,,,50,-58.9716,85.8726,,,,,,,
3550,,,50,-68.0623,83.8039,,,,,,,
3600,,,50,-62.0499,84.5322,,,,,,,
3650,,,50,-61.2273,84.4732,,,,,,,
3700,,,50,-57.1462,89.0358,,,,,,,
3750,,,50,-61.2169,84.5884,,,,,,,
3800,,,50,-55.2323,84.5274,,,,,,,
3850,,,50,-57.1721,84.2344,,,,,,,
3900,,,50,-59.1131,84.5578,,,,,,,
3950,,,50,-58.3016,86.4582,,,,,,,
4000,,,,,,6.3953,0.7332,0.0028,-0.0397,0.0372,0.8374,0.1307
4000,,,50,-68.2701,91.4898,,,,,,,
4050,,,50,-56.1971,91.2678,,,,,,,
4100,,,50,-57.633,91.5471,,,,,,,
4150,,,50,-60.2861,84.936,,,,,,,
4200,,,50,-61.8341,86.9715,,,,,,,
4250,,,50,-67.9479,91.5092,,,,,,,
4300,,,50,-52.9354,91.5131,,,,,,,
4350,,,50,-59.9117,91.4318,,,,,,,
4400,,,50,-61.9133,91.5426,,,,,,,
4450,,,50,-59.7332,91.5543,,,,,,,
4500,,,,,,6.9676,0.9204,0.0037,-0.0428,0.0497,1.0061,0.2942
4500,,,50,-64.9243,91.1898,,,,,,,
4550,,,50,-55.6522,91.5962,,,,,,,
4600,,,50,-57.4466,91.2506,,,,,,,
4650,,,50,-61.1525,91.5686,,,,,,,
4700,,,50,-68.9337,91.6936,,,,,,,
4750,,,50,-54.1177,89.3234,,,,,,,
4800,,,50,-55.2792,91.1526,,,,,,,
4850,,,50,-63.7079,91.4622,,,,,,,
4900,,,50,-53.4847,91.5441,,,,,,,
4950,,,50,-56.133,90.6528,,,,,,,
5000,,,,,,7.6081,2.252,0.0024,-0.0377,0.0427,1.1321,0.3989
5000,-11.2854,50.0,,,,,,,,,,
5000,,,50,-52.86,60.977,,,,,,,
5050,,,50,-66.2293,91.0711,,,,,,,
5100,,,50,-52.9172,91.26,,,,,,,
5150,,,50,-65.9991,91.4314,,,,,,,
5200,,,50,-63.1068,91.3574,,,,,,,
5250,,,50,-61.1846,91.4604,,,,,,,
5300,,,50,-58.5759,90.8632,,,,,,,
5350,,,50,-60.2703,87.5628,,,,,,,
5400,,,50,-66.699,91.2648,,,,,,,
5450,,,50,-56.1639,91.338,,,,,,,
5500,,,,,,8.2225,0.9303,0.0033,-0.046,0.0711,2.1156,0.3659
5500,,,50,-61.7394,88.2908,,,,,,,
5550,,,50,-57.5334,91.4072,,,,,,,
5600,,,50,-63.4741,91.4358,,,,,,,
5650,,,50,-59.7386,91.1443,,,,,,,
5700,,,50,-59.293,91.5406,,,,,,,
5750,,,50,-54.7461,91.2131,,,,,,,
5800,,,50,-60.835,91.4458,,,,,,,
5850,,,50,-60.3743,91.2796,,,,,,,
5900,,,50,-66.9246,91.2996,,,,,,,
5950,,,50,-55.3164,91.2954,,,,,,,
6000,,,,,,8.8037,2.1567,0.0033,-0.0392,0.0753,1.5508,0.5872
6000,,,50,-59.2655,91.173,,,,,,,
6050,,,50,-56.2041,91.3997,,,,,,,
6100,,,50,-56.2669,91.0674,,,,,,,
6150,,,50,-58.8585,91.3131,,,,,,,
6200,,,50,-49.9197,91.4031,,,,,,,
6250,,,50,-66.3334,91.1021,,,,,,,
6300,,,50,-60.212,91.3742,,,,,,,
6350,,,50,-58.2429,91.5627,,,,,,,
6400,,,50,-55.8921,91.0377,,,,,,,
6450,,,50,-60.8396,91.5453,,,,,,,
6500,,,,,,9.4364,2.2083,0.0025,-0.0426,0.0762,1.1568,0.2918
6500,,,50,-62.1857,91.4771,,,,,,,
6550,,,50,-58.3013,91.502,,,,,,,
6600,,,50,-56.0833,91.4452,,,,,,,
6650,,,50,-58.6453,91.348,,,,,,,
6700,,,50,-55.835,91.629,,,,,,,
6750,,,50,-66.1718,91.4296,,,,,,,
6800,,,50,-59.3886,91.4473,,,,,,,
6850,,,50,-55.4038,91.5472,,,,,,,
6900,,,50,-61.5913,91.3979,,,,,,,
6950,,,50,-54.3642,91.2531,,,,,,,
7000,,,,,,10.0958,2.5891,0.0026,-0.0418,0.0968,2.8882,0.634
7000,,,50,-52.2528,91.3898,,,,,,,
7050,,,50,-58.4401,91.3885,,,,,,,
7100,,,50,-59.6318,91.3111,,,,,,,
7150,,,50,-57.7502,91.3349,,,,,,,
7200,,,50,-54.8358,90.9608,,,,,,,
7250,,,50,-56.8016,91.4875,,,,,,,
7300,,,50,-62.2119,91.3867,,,,,,,
7350,,,50,-60.0372,91.4836,,,,,,,
7400,,,50,-62.3576,90.8681,,,,,,,
7450,,,50,-54.662,91.4722,,,,,,,
7500,,,,,,10.6663,1.9451,0.0019,-0.0343,0.1142,3.0706,0.2197
7500,,,50,-58.4702,91.4157,,,,,,,
7550,,,50,-53.5323,91.2078,,,,,,,
7600,,,50,-54.0541,91.5749,,,,,,,
7650,,,50,-51.6464,91.3956,,,,,,,
7700,,,50,-63.4555,91.3261,,,,,,,
7750,,,50,-57.416,91.5276,,,,,,,
7800,,,50,-54.7411,91.3839,,,,,,,
7850,,,50,-54.3051,91.3804,,,,,,,
7900,,,50,-55.0942,91.5537,,,,,,,
7950,,,50,-59.6716,91.2757,,,,,,,
8000,,,,,,11.3644,6.2023,0.0019,-0.0324,0.1551,6.7221,1.5713
8000,,,50,-51.4354,88.0211,,,,,,,
8050,,,50,-60.9734,84.393,,,,,,,
8100,,,50,-62.2864,84.6366,,,,,,,
8150,,,50,-64.541,84.4727,,,,,,,
8200,,,50,-62.6336,84.5092,,,,,,,
8250,,,50,-58.8766,84.5114,,,,,,,
8300,,,50,-58.3732,90.3284,,,,,,,
8350,,,50,-58.4904,90.7517,,,,,,,
8400,,,50,-52.8229,91.4826,,,,,,,
8450,,,50,-52.9522,91.4064,,,,,,,
8500,,,,,,11.8402,3.7334,0.0016,-0.0329,0.1383,4.2718,0.3307
8500,,,50,-53.445,91.1885,,,,,,,
8550,,,50,-58.5982,91.0886,,,,,,,
8600,,,50,-68.0145,91.179,,,,,,,
8650,,,50,-52.8764,91.2402,,,,,,,
8700,,,50,-56.9862,91.5098,,,,,,,
8750,,,50,-52.6363,91.2614,,,,,,,
8800,,,50,-57.9445,91.422,,,,,,,
8850,,,50,-49.724,91.2759,,,,,,,
8900,,,50,-53.554,91.3247,,,,,,,
8950,,,50,-54.1935,91.4019,,,,,,,
9000,,,,,,12.4038,4.2683,0.0015,-0.0311,0.1201,2.4625,0.6481
9000,,,50,-55.5587,91.3233,,,,,,,
9050,,,50,-61.2636,91.5725,,,,,,,
9100,,,50,-62.0851,91.3672,,,,,,,
9150,,,50,-53.2547,91.3759,,,,,,,
9200,,,50,-58.426,91.421,,,,,,,
9250,,,50,-48.8473,91.4168,,,,,,,
9300,,,50,-55.4076,88.3768,,,,,,,
9350,,,50,-53.8284,84.1054,,,,,,,
9400,,,50,-59.4053,82.1869,,,,,,,
9450,,,50,-56.317,84.5606,,,,,,,
9500,,,,,,12.974,1.9638,0.0014,-0.0293,0.1384,2.7953,0.9635
9500,,,50,-53.147,83.9006,,,,,,,
9550,,,50,-59.1405,83.429,,,,,,,
9600,,,50,-56.8603,84.1537,,,,,,,
9650,,,50,-52.4027,83.0781,,,,,,,
9700,,,50,-60.3967,84.3161,,,,,,,
9750,,,50,-48.2904,85.0057,,,,,,,
9800,,,50,-53.5107,83.5656,,,,,,,
9850,,,50,-65.6776,84.8305,,,,,,,
9900,,,50,-60.6001,84.5358,,,,,,,
9950,,,50,-56.32,84.4487,,,,,,,
10000,,,,,,13.5449,2.4177,0.0015,-0.0309,0.1103,3.3225,0.8127
10000,-7.0928,50.0,,,,,,,,,,
10000,,,50,-52.3054,74.7163,,,,,,,
10050,,,50,-56.6665,83.9803,,,,,,,
10100,,,50,-58.4075,84.0196,,,,,,,
10150,,,50,-50.5115,84.8162,,,,,,,
10200,,,50,-59.8108,83.6402,,,,,,,
10250,,,50,-57.9168,84.9934,,,,,,,
10300,,,50,-69.5474,84.3651,,,,,,,
10350,,,50,-62.8122,84.7855,,,,,,,
10400,,,50,-52.5412,84.0116,,,,,,,
10450,,,50,-60.2868,84.2071,,,,,,,
10500,,,,,,13.969,3.5699,0.0017,-0.0319,0.133,5.5125,1.0784
10500,,,50,-60.558,84.2826,,,,,,,
10550,,,50,-50.8068,84.2905,,,,,,,
10600,,,50,-46.5755,83.9584,,,,,,,
10650,,,50,-57.9436,84.3719,,,,,,,
10700,,,50,-54.2073,84.0949,,,,,,,
10750,,,50,-57.1313,84.916,,,,,,,
10800,,,50,-55.3703,84.7271,,,,,,,
10850,,,50,-50.3072,84.7756,,,,,,,
10900,,,50,-59.6108,84.4511,,,,,,,
10950,,,50,-53.2494,84.5471,,,,,,,
11000,,,,,,14.3813,2.7386,0.0009,-0.023,0.1268,3.1373,0.4978
11000,,,50,-48.9959,84.7378,,,,,,,
11050,,,50,-51.3021,84.8009,,,,,,,
11100,,,50,-56.6102,84.6336,,,,,,,
11150,,,50,-57.7357,86.62,,,,,,,
11200,,,50,-54.6939,91.2035,,,,,,,
11250,,,50,-53.181,90.9969,,,,,,,
11300,,,50,-65.2262,87.0856,,,,,,,
11350,,,50,-57.4317,84.1377,,,,,,,
11400,,,50,-58.1986,84.5418,,,,,,,
11450,,,50,-49.0382,84.3832,,,,,,,
11500,,,,,,14.9489,5.2241,0.0009,-0.0212,0.1503,5.4489,1.3391
11500,,,50,-55.6734,83.0614,,,,,,,
11550,,,50,-51.5405,83.5823,,,,,,,
11600,,,50,-50.3354,83.7706,,,,,,,
11650,,,50,-60.5953,83.6576,,,,,,,
11700,,,50,-57.3155,84.682,,,,,,,
11750,,,50,-52.7088,84.0252,,,,,,,
11800,,,50,-63.0599,83.9413,,,,,,,
11850,,,50,-51.5928,84.5721,,,,,,,
11900,,,50,-52.036,84.6376,,,,,,,
11950,,,50,-54.7185,84.6032,,,,,,,
12000,,,,,,15.2906,5.4763,0.001,-0.0209,0.1331,3.3346,0.952
12000,,,50,-56.2597,82.794,,,,,,,
12050,,,50,-48.6215,84.424,,,,,,,
12100,,,50,-54.204,84.4612,,,,,,,
12150,,,50,-53.3726,84.0606,,,,,,,
12200,,,50,-55.5274,84.6054,,,,,,,
12250,,,50,-52.7196,83.4154,,,,,,,
12300,,,50,-59.1096,83.6257,,,,,,,
12350,,,50,-54.2805,84.4922,,,,,,,
12400,,,50,-52.9789,84.6542,,,,,,,
12450,,,50,-57.3431,84.1281,,,,,,,
12500,,,,,,15.6,4.1299,0.0012,-0.0274,0.1713,5.5103,0.8618
12500,,,50,-53.043,84.4604,,,,,,,
12550,,,50,-57.1089,84.7429,,,,,,,
12600,,,50,-51.0118,82.0058,,,,,,,
12650,,,50,-54.4663,82.8761,,,,,,,
12700,,,50,-54.5722,84.912,,,,,,,
12750,,,50,-57.5377,84.7032,,,,,,,
12800,,,50,-62.509,84.33,,,,,,,
12850,,,50,-47.8573,84.1132,,,,,,,
12900,,,50,-55.5098,84.9497,,,,,,,
12950,,,50,-52.1708,84.4197,,,,,,,
13000,,,,,,15.8001,4.5112,0.0009,-0.0225,0.1596,5.265,1.2244
13000,,,50,-62.994,84.678,,,,,,,
13050,,,50,-52.778,84.5771,,,,,,,
13100,,,50,-49.3742,83.5776,,,,,,,
13150,,,50,-63.1641,83.8349,,,,,,,
13200,,,50,-58.4625,84.6593,,,,,,,
13250,,,50,-57.4501,84.5585,,,,,,,
13300,,,50,-52.5663,84.7706,,,,,,,
13350,,,50,-51.4867,84.6793,,,,,,,
13400,,,50,-44.9578,84.5711,,,,,,,
13450,,,50,-55.7174,84.2139,,,,,,,
13500,,,,,,16.1951,3.7974,0.0005,-0.0182,0.176,6.9904,1.1222
13500,,,50,-58.5205,84.4238,,,,,,,
13550,,,50,-50.8647,84.3378,,,,,,,
13600,,,50,-58.6272,84.3594,,,,,,,
13650,,,50,-58.8553,84.5756,,,,,,,
13700,,,50,-64.4531,87.6987,,,,,,,
13750,,,50,-64.4565,91.0987,,,,,,,
13800,,,50,-70.9778,91.4387,,,,,,,
13850,,,50,-56.3525,91.3723,,,,,,,
13900,,,50,-57.1372,91.1022,,,,,,,
13950,,,50,-58.5394,91.1302,,,,,,,
14000,,,,,,16.488,3.8967,0.0007,-0.02,0.165,6.5242,0.5828
14000,,,50,-57.3111,88.7138,,,,,,,
14050,,,50,-55.7329,91.2864,,,,,,,
14100,,,50,-49.1204,91.2977,,,,,,,
14150,,,50,-51.859,91.3232,,,,,,,
14200,,,50,-61.0999,91.1857,,,,,,,
14250,,,50,-50.6466,91.1992,,,,,,,
14300,,,50,-54.6647,84.0062,,,,,,,
14350,,,50,-63.526,84.161,,,,,,,
14400,,,50,-54.5532,90.6009,,,,,,,
14450,,,50,-55.594,91.6151,,,,,,,
14500,,,,,,16.7545,2.5219,0.0009,-0.0227,0.1809,5.3831,0.9138
14500,,,50,-59.0253,91.1065,,,,,,,
14550,,,50,-57.4799,88.1692,,,,,,,
14600,,,50,-55.4903,91.375,,,,,,,
14650,,,50,-58.6982,91.4407,,,,,,,
14700,,,50,-55.7747,91.4588,,,,,,,
14750,,,50,-52.3555,89.9701,,,,,,,
14800,,,50,-57.4989,91.4585,,,,,,,
14850,,,50,-54.3212,91.0564,,,,,,,
14900,,,50,-56.9829,91.4666,,,,,,,
14950,,,50,-54.1355,91.1038,,,,,,,
15000,,,,,,17.0429,4.5239,0.0008,-0.0211,0.1856,4.989,1.2333
15000,-5.8116,50.0,,,,,,,,,,
15000,,,50,-52.7004,80.0417,,,,,,,
15050,,,50,-49.0984,85.0292,,,,,,,
15100,,,50,-53.8317,84.4205,,,,,,,
15150,,,50,-52.4317,83.4141,,,,,,,
15200,,,50,-50.7624,84.0723,,,,,,,
15250,,,50,-64.0081,88.8288,,,,,,,
15300,,,50,-54.3159,90.9687,,,,,,,
15350,,,50,-54.3828,90.9032,,,,,,,
15400,,,50,-50.3458,91.0648,,,,,,,
15450,,,50,-56.9073,90.9557,,,,,,,
15500,,,,,,17.1055,2.7502,0.0007,-0.02,0.1747,11.1419,0.6125
15500,,,50,-41.6508,90.9393,,,,,,,
15550,,,50,-45.8004,89.531,,,,,,,
15600,,,50,-50.2473,84.4621,,,,,,,
15650,,,50,-49.6295,84.2227,,,,,,,
15700,,,50,-64.0319,84.5257,,,,,,,
15750,,,50,-47.5289,83.7951,,,,,,,
15800,,,50,-51.2439,84.0359,,,,,,,
15850,,,50,-52.9761,84.6114,,,,,,,
15900,,,50,-56.8636,84.5154,,,,,,,
