env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,0.6231,0.7017,0.034,0.8448,2.5849,0.3601,0.3034,0.6725,0.216,,,
1000,,,0.593,0.6943,0.0329,0.8367,2.917,0.3214,0.5568,1.4157,0.1829,,,
1000,,,,,,,,,,,,1000,-188.3451,63.9918
1500,,,0.5995,0.6853,0.0361,0.3352,3.3129,0.3248,0.7139,1.0332,0.277,,,
2000,,,0.6072,0.6975,0.0371,-0.0679,4.7717,0.3348,0.9483,3.701,0.2556,,,
2000,,,,,,,,,,,,1000,-301.5551,99.2352
2500,,,0.609,0.6953,0.038,0.1077,3.3621,0.3345,0.9016,0.8811,0.2312,,,
3000,,,0.6136,0.6919,0.0405,0.1533,6.4147,0.3397,1.0226,3.4355,0.3575,,,
3000,,,,,,,,,,,,1000,-393.7956,95.9494
3500,,,0.6129,0.6992,0.0398,0.0402,4.6499,0.339,1.0293,1.653,0.5067,,,
4000,,,0.6152,0.6922,0.039,-0.3011,4.1149,0.3432,0.9072,1.3631,0.2402,,,
4000,,,,,,,,,,,,1000,-385.5828,94.5567
4500,,,0.6189,0.697,0.0401,-0.1754,4.4784,0.3453,0.9642,2.5317,0.4308,,,
5000,,,0.6167,0.6935,0.0395,-0.1945,4.4958,0.3441,1.1641,1.3941,0.7374,,,
5000,-138.3546,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-366.9412,75.966
5500,,,0.6453,0.7097,0.0452,-0.4814,4.4141,0.3732,1.2126,1.8731,0.3694,,,
6000,,,0.6727,0.7026,0.0492,-0.2884,4.7619,0.4045,1.329,1.346,0.3604,,,
6000,,,,,,,,,,,,1000,-437.9014,95.1402
6500,,,0.6608,0.693,0.0481,-0.6974,3.9489,0.3903,1.5003,2.698,0.3948,,,
7000,,,0.6794,0.7019,0.0493,-0.4021,4.3513,0.4148,1.2812,4.4501,0.2523,,,
7000,,,,,,,,,,,,1000,-263.7229,93.1714
7500,,,0.6713,0.6871,0.0489,-0.9396,4.5393,0.4037,1.2659,2.1746,0.3843,,,
8000,,,0.6832,0.7009,0.0513,-1.1575,4.888,0.4152,1.2416,5.888,0.5065,,,
8000,,,,,,,,,,,,1000,-302.5614,93.2085
8500,,,0.7013,0.7066,0.0534,-1.5989,5.8383,0.4392,1.2617,2.6552,0.4789,,,
9000,,,0.6964,0.7015,0.0524,-2.0272,5.4738,0.4337,1.2221,1.8079,0.3759,,,
9000,,,,,,,,,,,,1000,-232.824,92.8701
9500,,,0.6976,0.6963,0.0522,-2.5574,4.3943,0.4327,1.1427,2.2926,0.6719,,,
10000,,,0.7079,0.7008,0.0537,-3.0432,5.8386,0.4489,1.2722,2.5673,0.8901,,,
10000,-61.5309,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,-241.3228,78.6904
10500,,,0.7223,0.6959,0.0559,-3.6644,5.3408,0.4655,1.3862,1.9592,0.5434,,,
11000,,,0.7122,0.6865,0.0551,-3.6958,5.6358,0.4527,1.2114,3.7396,0.5548,,,
11000,,,,,,,,,,,,1000,-267.9885,99.2505
11500,,,0.7191,0.6925,0.0555,-4.3227,5.5823,0.4618,1.2498,2.9313,0.7313,,,
12000,,,0.7049,0.6937,0.054,-4.0889,5.1405,0.4426,1.3342,2.2396,0.8291,,,
12000,,,,,,,,,,,,1000,-233.9925,98.9946
12500,,,0.7209,0.6945,0.0561,-4.8429,5.7891,0.4654,1.1394,5.6419,0.5243,,,
13000,,,0.7152,0.6883,0.0551,-4.2807,6.2149,0.4577,1.2355,4.8441,0.7379,,,
13000,,,,,,,,,,,,1000,-281.6652,99.3616
13500,,,0.7086,0.694,0.0539,-4.7516,5.3915,0.4506,1.5771,7.3936,0.6713,,,
14000,,,0.7034,0.6949,0.0534,-4.4224,5.4032,0.4469,1.2897,6.7254,0.3349,,,
14000,,,,,,,,,,,,1000,-232.466,97.0703
14500,,,0.711,0.7008,0.0541,-5.0864,4.9535,0.455,1.3507,5.5232,0.6401,,,
15000,,,0.7202,0.6964,0.0562,-6.0152,4.7351,0.4651,1.3005,5.8763,0.6657,,,
15000,-99.7036,1000.0,,,,,,,,,,,,
15000,,,,,,,,,,,,1000,-222.4573,78.9346
15500,,,0.7326,0.6862,0.058,-7.0123,5.6754,0.4823,1.5464,4.1604,0.6367,,,
16000,,,0.7164,0.6934,0.0554,-7.6304,4.8622,0.4602,1.271,2.8406,0.4203,,,
16000,,,,,,,,,,,,1000,73.7673,94.3031
16500,,,0.7247,0.7037,0.057,-8.1052,4.8833,0.4682,1.3921,5.5826,0.4613,,,
17000,,,0.7414,0.6963,0.0587,-9.0368,7.3941,0.4922,1.4044,3.3213,0.8223,,,
17000,,,,,,,,,,,,1000,106.2901,94.8044
17500,,,0.7391,0.7042,0.0587,-9.5566,5.5624,0.4868,1.3022,4.9409,0.5287,,,
18000,,,0.7384,0.7053,0.0578,-10.3291,5.682,0.4878,1.4169,4.3199,0.7612,,,
18000,,,,,,,,,,,,1000,174.6646,94.9048
18500,,,0.7531,0.6992,0.0609,-10.4267,5.3724,0.5093,1.7922,10.9939,0.6569,,,
19000,,,0.7471,0.7034,0.0593,-11.7375,5.6712,0.4997,1.5566,5.8236,0.6942,,,
19000,,,,,,,,,,,,1000,17.0687,93.2337
19500,,,0.7494,0.7021,0.0604,-12.676,5.1007,0.4989,1.6915,3.4956,0.6096,,,
20000,,,0.7654,0.7026,0.0629,-13.2719,6.2428,0.5232,1.7639,4.5596,0.7044,,,
20000,713.8687,1000.0,,,,,,,,,,,,
20000,,,,,,,,,,,,1000,197.5625,79.9271
20500,,,0.7836,0.7058,0.0653,-13.1868,5.8285,0.548,1.6821,3.7563,0.8504,,,
21000,,,0.7836,0.7114,0.0649,-13.8311,6.2293,0.55,1.6498,3.8332,0.628,,,
21000,,,,,,,,,,,,1000,-107.9671,95.715
