env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.2846,0.7017,0.0828,-0.3311,0.8973,0.0065,-0.1553,0.1886,1.336,0.2248,,,
1000,,,0.3145,0.6938,0.096,-0.6851,1.3144,0.0092,-0.1881,0.3136,1.5105,0.3278,,,
1000,,,,,,,,,,,,,1000,-259.9459,50.0012
1500,,,0.3362,0.6983,0.1244,-1.2601,1.3745,0.0097,-0.2159,0.4642,2.5524,0.3576,,,
2000,,,0.3462,0.6904,0.1249,-2.2048,2.2198,0.011,-0.2235,0.5242,4.6112,0.476,,,
2000,,,,,,,,,,,,,1000,-313.3893,80.9369
2500,,,0.358,0.6943,0.1191,-3.255,3.008,0.0142,-0.2259,0.6105,7.3531,0.8362,,,
3000,,,0.3636,0.6944,0.1292,-4.3359,2.9158,0.013,-0.2316,0.7083,5.1286,0.691,,,
3000,,,,,,,,,,,,,1000,-150.3277,82.556
3500,,,0.3733,0.6923,0.1138,-5.1359,3.8909,0.0184,-0.2232,0.6647,9.0719,0.8544,,,
4000,,,0.3863,0.6977,0.121,-6.5464,5.6697,0.0198,-0.2295,0.7977,13.7954,1.0632,,,
4000,,,,,,,,,,,,,1000,-317.9913,81.2693
4500,,,0.3827,0.7003,0.1497,-7.243,5.6703,0.0154,-0.2629,0.7227,9.0619,0.8157,,,
5000,,,0.3755,0.6996,0.1281,-7.8727,4.8369,0.0176,-0.2355,0.6757,9.6892,0.4753,,,
5000,12.8358,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-200.4832,71.5187
5500,,,0.3774,0.7103,0.1231,-9.2022,5.4965,0.0179,-0.2423,0.6953,17.1757,1.3616,,,
6000,,,0.3778,0.7101,0.1206,-9.7318,5.21,0.0186,-0.2349,0.7245,11.4486,1.2514,,,
6000,,,,,,,,,,,,,1000,-313.9551,80.9929
6500,,,0.3811,0.6972,0.1342,-10.5941,5.8811,0.0181,-0.2431,0.7998,19.2548,1.2219,,,
7000,,,0.3773,0.7013,0.124,-10.4165,5.6977,0.0197,-0.2318,0.7163,10.7019,0.7764,,,
7000,,,,,,,,,,,,,1000,-366.4802,80.8758
7500,,,0.3873,0.7044,0.1232,-12.3465,7.3289,0.0212,-0.2336,1.0649,15.2258,1.5484,,,
8000,,,0.3869,0.7017,0.1259,-13.6242,7.0864,0.0201,-0.2437,0.9244,17.1609,1.2889,,,
8000,,,,,,,,,,,,,1000,-45.5428,84.2709
8500,,,0.3945,0.7153,0.1317,-14.1563,7.2952,0.0204,-0.2483,0.9511,8.4983,1.7954,,,
9000,,,0.3964,0.7036,0.1251,-15.0227,6.3795,0.0222,-0.2476,1.1522,22.4669,1.6236,,,
9000,,,,,,,,,,,,,1000,-2.441,82.1604
9500,,,0.4038,0.7082,0.1327,-17.2641,5.982,0.0225,-0.2541,1.0828,11.5023,0.7858,,,
10000,,,0.4043,0.7191,0.1298,-19.3987,5.0958,0.0228,-0.2619,1.1162,20.4693,1.4906,,,
10000,1268.7807,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,15.567,72.6118
10500,,,0.4058,0.7143,0.1488,-21.5594,6.2764,0.0199,-0.2731,1.037,16.9572,1.3244,,,
11000,,,0.405,0.7182,0.1273,-21.4331,5.8136,0.0227,-0.2504,1.1135,26.0174,1.085,,,
11000,,,,,,,,,,,,,1000,37.9519,84.9619
11500,,,0.4114,0.7212,0.1317,-24.8532,7.1036,0.0236,-0.2609,1.1947,27.915,2.5096,,,
12000,,,0.4062,0.7229,0.1303,-24.625,6.5548,0.0231,-0.2601,1.1131,18.5266,1.8762,,,
12000,,,,,,,,,,,,,1000,348.2775,80.9925
12500,,,0.4174,0.7247,0.137,-28.6309,8.3458,0.0238,-0.2662,1.2965,27.8763,2.4699,,,
13000,,,0.4218,0.7288,0.1422,-30.6466,7.3446,0.0236,-0.268,1.4597,25.8864,1.3619,,,
13000,,,,,,,,,,,,,1000,421.8465,81.0037
13500,,,0.4201,0.7235,0.1505,-33.3814,7.1516,0.0219,-0.2837,1.5247,27.151,1.1787,,,
14000,,,0.4307,0.7256,0.1478,-36.2712,7.8347,0.0254,-0.2865,1.7094,40.8872,2.0103,,,
14000,,,,,,,,,,,,,1000,549.9816,82.6792
14500,,,0.4231,0.7348,0.1353,-39.0829,6.4466,0.025,-0.2675,1.6694,42.0617,1.2983,,,
15000,,,0.4251,0.7415,0.1301,-41.0809,7.2758,0.0267,-0.2612,1.7312,32.6656,2.1939,,,
15000,1799.2352,1000.0,,,,,,,,,,,,,
15000,,,,,,,,,,,,,1000,598.8019,72.6397
15500,,,0.4304,0.7425,0.1422,-45.3453,6.5717,0.0253,-0.2706,1.6638,22.3246,0.9047,,,
16000,,,0.4318,0.7416,0.1453,-48.3103,6.7028,0.0249,-0.279,1.8165,49.1009,1.8351,,,
16000,,,,,,,,,,,,,1000,672.3937,83.9618
16500,,,0.4412,0.7384,0.1437,-49.8226,5.6089,0.0288,-0.2848,1.9294,42.8069,1.2455,,,
17000,,,0.4409,0.7481,0.1844,-51.0088,6.4811,0.0202,-0.3221,1.7602,54.1906,1.2278,,,
17000,,,,,,,,,,,,,1000,287.1313,83.7364
17500,,,0.4421,0.7356,0.1518,-54.5628,7.8945,0.0274,-0.2919,2.1148,69.9919,2.335,,,
18000,,,0.4434,0.7393,0.1426,-55.0561,6.4762,0.0293,-0.2923,1.9693,32.4654,1.28,,,
18000,,,,,,,,,,,,,1000,1023.1454,80.836
18500,,,0.443,0.7452,0.1611,-59.2601,8.6232,0.0255,-0.3084,2.2236,47.7309,2.1887,,,
19000,,,0.4541,0.7458,0.1467,-64.8439,6.6854,0.0312,-0.2851,2.6581,54.8136,2.602,,,
19000,,,,,,,,,,,,,1000,1073.1738,80.7511
19500,,,0.4497,0.756,0.153,-64.3399,6.8148,0.0284,-0.2941,2.2385,66.721,1.9699,,,
20000,,,0.4527,0.7504,0.153,-66.0575,8.0581,0.0289,-0.3001,2.2115,72.3816,1.4429,,,
20000,2895.6947,1000.0,,,,,,,,,,,,,
20000,,,,,,,,,,,,,1000,141.8161,72.5105
20500,,,0.4556,0.7521,0.1491,-68.6851,7.1712,0.0313,-0.2899,1.9639,33.1447,1.4195,,,
21000,,,0.4559,0.7593,0.1472,-71.3738,6.9113,0.0314,-0.299,2.3931,117.5087,2.128,,,
21000,,,,,,,,,,,,,1000,304.0116,81.3957
21500,,,0.4545,0.7592,0.1461,-73.0607,7.4464,0.0304,-0.2952,2.4752,68.2681,2.0775,,,
22000,,,0.46,0.7519,0.1568,-76.0504,6.0624,0.0305,-0.3067,2.4449,56.2605,2.2269,,,
22000,,,,,,,,,,,,,1000,557.404,82.776
22500,,,0.4627,0.7576,0.1813,-78.4376,6.092,0.0263,-0.3381,2.1709,101.3169,2.1447,,,
23000,,,0.4715,0.7698,0.1666,-81.6793,5.3399,0.0304,-0.3201,2.4101,62.709,1.5971,,,
23000,,,,,,,,,,,,,1000,1414.1301,84.445
23500,,,0.464,0.7654,0.1589,-81.6764,5.539,0.0317,-0.3081,2.1595,46.3041,1.1141,,,
24000,,,0.4693,0.7681,0.1581,-84.5025,5.6868,0.0323,-0.3182,2.5433,126.7714,1.4504,,,
24000,,,,,,,,,,,,,1000,381.9922,82.7172
24500,,,0.4709,0.7626,0.1696,-87.6996,5.9431,0.0314,-0.3293,2.4147,79.1989,1.6044,,,
25000,,,0.4722,0.7711,0.1579,-90.8693,5.7535,0.0335,-0.3124,2.458,128.5913,1.3918,,,
25000,3086.32,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,1408.2888,75.1996
25500,,,0.4754,0.7742,0.1638,-94.7437,6.216,0.0334,-0.3219,2.5229,107.2394,2.1399,,,
26000,,,0.4757,0.7652,0.16,-95.4364,6.7125,0.0339,-0.323,2.4778,61.8843,2.2758,,,
26000,,,,,,,,,,,,,1000,1194.876,87.2153
26500,,,0.4834,0.7693,0.1699,-100.4251,6.4282,0.0348,-0.3284,2.5381,152.2357,1.9557,,,
27000,,,0.4822,0.7786,0.1599,-101.5464,5.7522,0.0352,-0.3221,2.8547,83.0316,2.0891,,,
27000,,,,,,,,,,,,,1000,1667.0384,82.8576
27500,,,0.4783,0.7783,0.171,-102.2805,6.3508,0.0315,-0.3307,3.4531,103.3528,2.0391,,,
28000,,,0.4776,0.786,0.1601,-106.9756,5.5792,0.0336,-0.3269,3.7157,109.9678,1.6323,,,
28000,,,,,,,,,,,,,1000,1678.2098,80.62
28500,,,0.4798,0.78,0.1676,-106.7914,5.8219,0.0329,-0.3311,2.8086,63.3669,1.9717,,,
29000,,,0.486,0.7941,0.1692,-112.3377,6.4074,0.0329,-0.3264,2.9274,96.1213,1.6137,,,
29000,,,,,,,,,,,,,1000,1758.443,82.0288
29500,,,0.4784,0.7873,0.1553,-116.5406,6.0032,0.0347,-0.322,2.8415,75.318,1.9953,,,
30000,,,0.483,0.7834,0.1687,-118.0844,8.401,0.0331,-0.3303,3.1976,103.7676,2.1016,,,
30000,3327.6332,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1799.8687,73.0859
30500,,,0.4876,0.7955,0.1818,-120.2514,6.754,0.0308,-0.3586,2.9161,66.9308,2.5439,,,
31000,,,0.4814,0.7874,0.1639,-121.9617,6.0139,0.0335,-0.3244,2.7771,85.5062,2.4168,,,
31000,,,,,,,,,,,,,1000,1944.0665,80.4905
31500,,,0.4852,0.7961,0.1603,-124.4879,6.329,0.0356,-0.3184,3.1163,105.7268,1.761,,,
32000,,,0.487,0.794,0.1628,-126.9448,4.7347,0.0354,-0.3205,3.1554,93.1136,1.7831,,,
32000,,,,,,,,,,,,,1000,1718.6969,80.3203
32500,,,0.4962,0.8135,0.176,-132.3247,5.9083,0.0333,-0.3459,3.0798,59.8384,2.6879,,,
33000,,,0.4906,0.8051,0.1648,-134.285,6.2376,0.0347,-0.3358,2.8216,75.0459,1.6903,,,
33000,,,,,,,,,,,,,1000,2114.5878,80.4155
33500,,,0.4953,0.8118,0.1804,-134.2428,6.4531,0.0324,-0.3602,3.0847,97.7371,3.2914,,,
34000,,,0.5001,0.7968,0.18,-138.7632,7.7896,0.0352,-0.348,3.2152,101.0461,2.5378,,,
34000,,,,,,,,,,,,,1000,2116.9446,80.5267
34500,,,0.4931,0.8142,0.1749,-139.01,7.5137,0.0331,-0.3513,3.6493,95.0577,2.438,,,
35000,,,0.4909,0.8067,0.1745,-144.06,7.0636,0.0327,-0.3456,4.1183,227.357,2.107,,,
35000,4189.7108,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,2296.7893,72.1352
35500,,,0.4953,0.816,0.1732,-148.854,5.8525,0.0332,-0.3404,4.0646,78.7972,2.6028,,,
36000,,,0.498,0.82,0.167,-153.4176,6.1287,0.0356,-0.3229,4.0207,237.0502,1.5668,,,
36000,,,,,,,,,,,,,1000,2462.1493,83.4794
36500,,,0.5028,0.8214,0.1711,-153.4081,6.5875,0.036,-0.3402,3.3442,92.5016,2.3517,,,
37000,,,0.4997,0.8221,0.1675,-159.4835,7.792,0.0361,-0.3365,3.6466,119.5183,3.1614,,,
37000,,,,,,,,,,,,,1000,2546.593,86.0487
37500,,,0.495,0.8117,0.1765,-158.8744,5.8802,0.0337,-0.3519,4.1438,131.4958,2.3404,,,
38000,,,0.4994,0.8341,0.1785,-167.5453,6.4536,0.0318,-0.34,3.8989,152.2892,1.7168,,,
38000,,,,,,,,,,,,,1000,2740.3391,81.0369
38500,,,0.5024,0.8377,0.1726,-164.8613,6.9689,0.0339,-0.3495,3.979,116.6403,3.5747,,,
39000,,,0.5023,0.8224,0.1714,-168.7778,6.3235,0.0361,-0.3373,3.9612,124.0858,2.013,,,
39000,,,,,,,,,,,,,1000,2506.3392,85.4873
39500,,,0.505,0.8355,0.1717,-174.1166,6.4026,0.0356,-0.3349,4.0029,107.7426,1.9228,,,
40000,,,0.5042,0.8314,0.1684,-178.2265,5.6138,0.036,-0.3358,4.0691,144.7029,2.7592,,,
40000,4501.6635,1000.0,,,,,,,,,,,,,
40000,,,,,,,,,,,,,1000,2632.8264,72.259
40500,,,0.5032,0.8369,0.1668,-184.3495,6.1682,0.0355,-0.3449,4.0021,99.3629,2.9736,,,
41000,,,0.5038,0.8275,0.1851,-183.542,6.373,0.0325,-0.3613,4.2502,193.873,2.565,,,
41000,,,,,,,,,,,,,1000,2798.6731,80.6041
41500,,,0.5056,0.8341,0.1794,-188.3356,7.1723,0.0342,-0.3526,4.5753,131.9248,2.5005,,,
42000,,,0.5009,0.831,0.17,-191.0636,9.3052,0.0352,-0.3444,4.8339,189.2142,3.0001,,,
42000,,,,,,,,,,,,,1000,3091.068,82.2049
42500,,,0.5041,0.8434,0.1821,-196.6929,6.1434,0.0321,-0.3567,4.4661,151.1969,2.6386,,,
43000,,,0.5115,0.8428,0.1847,-194.2177,6.0865,0.0341,-0.3564,3.749,152.5521,2.56,,,
43000,,,,,,,,,,,,,1000,2979.8677,81.6795
43500,,,0.5076,0.8514,0.1809,-203.5569,5.9652,0.0323,-0.3533,4.2325,112.1734,2.6367,,,
44000,,,0.4995,0.8485,0.167,-197.6042,5.9068,0.0348,-0.3378,4.3667,166.8649,3.0953,,,
44000,,,,,,,,,,,,,1000,1934.2984,80.5913
44500,,,0.51,0.8448,0.1727,-205.3693,8.1116,0.0365,-0.3445,4.0628,127.9159,4.2771,,,
45000,,,0.5147,0.8476,0.1808,-208.7494,7.0046,0.0358,-0.3617,4.1829,172.6182,3.1804,,,
45000,4755.1341,1000.0,,,,,,,,,,,,,
45000,,,,,,,,,,,,,1000,3211.5503,73.1545
45500,,,0.507,0.8543,0.1813,-218.2284,7.7485,0.0327,-0.3568,4.6462,262.1654,3.2059,,,
46000,,,0.5044,0.8522,0.1769,-216.1776,6.6259,0.0342,-0.3493,4.8156,115.6317,4.0345,,,
46000,,,,,,,,,,,,,1000,3133.4109,80.5142
46500,,,0.5084,0.8642,0.179,-223.272,5.4334,0.0328,-0.3533,4.9658,165.7063,2.6703,,,
47000,,,0.5086,0.8534,0.1836,-221.2661,6.1896,0.0329,-0.3615,5.2726,125.0769,2.2788,,,
47000,,,,,,,,,,,,,1000,3263.153,80.5262
47500,,,0.5047,0.8594,0.1791,-228.9964,6.1781,0.0327,-0.3614,4.7854,133.9797,2.9535,,,
48000,,,0.5067,0.8546,0.1751,-226.378,5.5965,0.0345,-0.3557,4.0065,89.5942,2.582,,,
48000,,,,,,,,,,,,,1000,3340.0106,80.5076
48500,,,0.5108,0.862,0.1825,-232.5035,7.0937,0.0336,-0.3623,4.4594,163.6232,2.8763,,,
49000,,,0.5122,0.8682,0.1922,-234.4858,6.2156,0.0313,-0.3717,4.6886,118.0565,3.0994,,,
49000,,,,,,,,,,,,,1000,3436.2958,80.1876
49500,,,0.5084,0.8649,0.1791,-234.9993,6.6693,0.0339,-0.359,4.3704,101.4403,2.6253,,,
