env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,0.7327,0.7038,0.0503,0.2017,1.3301,0.0651,0.2616,0.3592,0.1668,,,
1000,,,0.7069,0.694,0.0525,-0.2541,2.2718,0.0522,0.5137,1.5132,0.3287,,,
1000,,,,,,,,,,,,1000,-149.33,60.493
1500,,,0.7051,0.6897,0.0542,-0.3749,3.1029,0.0485,0.5943,1.4816,0.3759,,,
2000,,,0.7258,0.6993,0.0568,-0.8906,3.6878,0.0557,0.6731,1.7208,0.3967,,,
2000,,,,,,,,,,,,1000,-298.7817,93.5792
2500,,,0.7504,0.6999,0.0609,-1.1197,4.0493,0.0661,0.7582,1.4139,0.3279,,,
3000,,,0.7683,0.6923,0.0648,-1.6636,4.1902,0.0807,0.9401,1.6301,0.3201,,,
3000,,,,,,,,,,,,1000,-391.9254,94.0121
3500,,,0.7894,0.6959,0.069,-2.1675,5.0574,0.0907,0.9842,3.5381,0.5804,,,
4000,,,0.8077,0.6963,0.0704,-2.633,3.0936,0.104,1.072,2.7465,0.2278,,,
4000,,,,,,,,,,,,1000,-369.573,98.3176
4500,,,0.8194,0.697,0.0719,-2.9312,3.2385,0.1089,1.2259,3.1008,0.3758,,,
5000,,,0.8243,0.6947,0.0724,-3.1204,3.9374,0.1125,1.1502,4.9116,0.5204,,,
5000,-101.0275,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-333.8682,75.8722
5500,,,0.8306,0.7022,0.0733,-3.9801,3.6834,0.1126,1.1218,2.9463,0.5426,,,
6000,,,0.8586,0.6945,0.0777,-4.3342,3.7552,0.1378,1.0677,2.8724,0.3348,,,
6000,,,,,,,,,,,,1000,-275.3662,93.399
6500,,,0.8413,0.6918,0.0744,-5.031,3.6084,0.1247,1.079,2.7952,0.4141,,,
7000,,,0.8279,0.7021,0.0725,-5.0057,5.0531,0.1136,1.0725,4.3944,0.7791,,,
7000,,,,,,,,,,,,1000,-289.0129,94.3749
7500,,,0.8378,0.6869,0.0738,-5.8768,6.8642,0.1271,1.1371,6.2029,1.6063,,,
8000,,,0.8359,0.6994,0.0742,-6.7346,4.0492,0.117,0.9747,2.7409,0.5037,,,
8000,,,,,,,,,,,,1000,-281.5677,93.2852
8500,,,0.8453,0.7069,0.0759,-6.5833,3.8713,0.1235,0.9583,2.585,0.9233,,,
9000,,,0.8395,0.7036,0.0738,-6.6426,4.1311,0.1255,0.862,3.6102,0.8887,,,
9000,,,,,,,,,,,,1000,-252.925,98.3182
9500,,,0.8439,0.6974,0.0753,-7.6604,3.5864,0.1248,0.9991,3.7372,0.5786,,,
10000,,,0.8506,0.7013,0.0754,-8.4397,5.7784,0.1343,1.1349,6.8609,1.3715,,,
10000,-97.8752,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,-154.5999,76.8488
