env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.5166,0.7043,0.1432,-0.4961,0.919,0.0178,-0.278,0.1927,0.9979,0.2059,,,
1000,,,0.5261,0.6933,0.1593,-1.1689,0.7988,0.0177,-0.2954,0.3241,1.4944,0.2911,,,
1000,,,,,,,,,,,,,1000,-262.2221,50.0975
1500,,,0.5231,0.7029,0.1677,-1.5368,1.369,0.0195,-0.3162,0.4459,1.783,0.4013,,,
2000,,,0.5204,0.6964,0.1731,-2.8686,3.2819,0.0199,-0.3264,0.6635,6.7348,0.5127,,,
2000,,,,,,,,,,,,,1000,-405.458,83.8715
2500,,,0.5262,0.6973,0.2007,-4.1003,2.6682,0.0195,-0.3525,0.8553,9.8564,0.4796,,,
3000,,,0.5288,0.6936,0.1811,-6.0487,3.0808,0.0179,-0.3254,0.8701,6.0445,0.7575,,,
3000,,,,,,,,,,,,,1000,-186.0068,83.8085
3500,,,0.5232,0.6994,0.1797,-7.9891,4.2543,0.0227,-0.3458,1.069,10.2508,1.2115,,,
4000,,,0.5368,0.6948,0.1899,-10.3392,5.2275,0.0227,-0.3413,1.1326,21.1631,0.8135,,,
4000,,,,,,,,,,,,,1000,-301.0679,85.7161
4500,,,0.5215,0.6998,0.188,-11.3364,5.5904,0.0285,-0.3481,1.4332,26.9781,1.5375,,,
5000,,,0.5204,0.6877,0.1971,-12.3737,5.3956,0.0271,-0.3574,1.5259,16.0848,1.2089,,,
5000,771.9261,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-168.6726,74.9954
5500,,,0.5326,0.708,0.1885,-15.3486,6.0208,0.026,-0.3588,1.5234,15.7846,1.1355,,,
6000,,,0.5392,0.7095,0.1735,-17.2143,4.9524,0.025,-0.3517,1.678,22.7492,1.1432,,,
6000,,,,,,,,,,,,,1000,-95.3473,82.4891
6500,,,0.5436,0.7051,0.1849,-19.019,5.4381,0.0247,-0.3584,1.7961,23.0831,1.3613,,,
7000,,,0.551,0.7051,0.1899,-21.9157,4.7603,0.0236,-0.3694,1.6979,18.9057,1.0123,,,
7000,,,,,,,,,,,,,1000,64.748,81.8297
7500,,,0.553,0.7081,0.1873,-24.4257,4.176,0.0241,-0.3661,1.8284,23.5252,1.2213,,,
8000,,,0.558,0.7039,0.231,-28.6442,3.8003,0.0227,-0.4135,1.8313,27.288,1.4909,,,
8000,,,,,,,,,,,,,1000,91.0337,82.8198
