env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5463,1000.0,,,,,,,,,,,,,
500,,,0.1615,0.7004,0.0541,-0.2224,1.0261,0.0137,-0.1031,0.2045,0.9927,0.1924,,,
1000,,,0.184,0.6929,0.0498,-0.7364,2.8101,0.0211,-0.0926,0.3996,3.418,1.5621,,,
1000,,,,,,,,,,,,,1000,-212.7057,9.9562
1500,,,0.2143,0.7012,0.061,-1.3152,1.6132,0.0265,-0.1208,0.4213,1.8074,0.2687,,,
2000,,,0.2144,0.6944,0.048,-2.1655,1.4785,0.0305,-0.0957,0.46,2.8193,0.3638,,,
2000,,,,,,,,,,,,,1000,-327.2043,17.4481
2500,,,0.2253,0.697,0.0705,-3.1673,1.955,0.0291,-0.1355,0.5612,3.1623,0.7795,,,
3000,,,0.2337,0.6902,0.0686,-3.8349,2.5713,0.0315,-0.1336,0.6211,4.5083,0.3285,,,
3000,,,,,,,,,,,,,1000,-383.4588,17.4584
3500,,,0.2441,0.6906,0.0605,-5.2752,4.1308,0.0386,-0.1259,0.6414,4.7983,1.0896,,,
4000,,,0.2557,0.6913,0.0733,-6.5803,3.1442,0.0396,-0.147,0.9032,5.7674,1.3574,,,
4000,,,,,,,,,,,,,1000,-150.2449,17.3237
4500,,,0.2673,0.6969,0.0787,-7.2407,4.1743,0.0433,-0.1497,0.8346,11.0815,0.8447,,,
5000,,,0.2783,0.7004,0.0821,-9.0115,4.9985,0.0457,-0.1634,0.9425,10.461,0.9465,,,
5000,242.8724,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-51.9839,17.324
5500,,,0.282,0.6993,0.0687,-9.7444,4.7309,0.0514,-0.1323,0.9781,11.8749,1.0978,,,
6000,,,0.2831,0.6989,0.0873,-10.7888,4.7944,0.0466,-0.171,0.9481,12.3853,0.8204,,,
6000,,,,,,,,,,,,,1000,-359.6627,18.0228
6500,,,0.2802,0.6945,0.0851,-11.6201,3.9854,0.0454,-0.1732,1.1429,26.3785,0.6908,,,
7000,,,0.2952,0.7037,0.0924,-13.5778,4.7965,0.0493,-0.1824,1.2482,17.3909,1.1962,,,
7000,,,,,,,,,,,,,1000,-32.5537,17.9998
7500,,,0.3033,0.7128,0.0755,-15.0343,5.2902,0.0596,-0.1416,1.2867,13.5794,0.7898,,,
8000,,,0.3126,0.6987,0.0392,-16.804,6.4193,0.0805,-0.0695,1.2701,11.4986,1.1446,,,
8000,,,,,,,,,,,,,1000,-362.4231,16.7973
8500,,,0.3206,0.7144,0.0993,-17.8106,7.7429,0.0572,-0.199,1.6226,27.2043,1.3117,,,
9000,,,0.3278,0.7024,0.1031,-19.7037,9.0238,0.0593,-0.2108,1.3598,28.9623,1.2966,,,
9000,,,,,,,,,,,,,1000,-233.6043,18.4339
9500,,,0.3337,0.7081,0.101,-21.9699,8.0265,0.0628,-0.1986,1.4824,25.4811,1.5932,,,
10000,,,0.3432,0.7163,0.1032,-25.127,7.7435,0.0675,-0.2044,1.6848,30.2112,1.1724,,,
10000,1096.8683,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,373.1124,16.5838
10500,,,0.3445,0.7157,0.1045,-27.4704,7.1817,0.0675,-0.2092,1.671,78.5088,1.5659,,,
11000,,,0.3399,0.7111,0.1069,-27.0079,6.2732,0.0632,-0.2198,1.7884,66.7405,0.9914,,,
11000,,,,,,,,,,,,,1000,-148.5709,17.9947
11500,,,0.3452,0.7166,0.1082,-29.5939,6.3885,0.0661,-0.2132,1.5815,42.5205,1.4513,,,
12000,,,0.3442,0.714,0.1129,-29.0306,6.6509,0.0626,-0.2232,1.5333,34.0691,2.2062,,,
12000,,,,,,,,,,,,,1000,72.5951,17.2194
12500,,,0.3489,0.7145,0.1039,-31.1575,6.8007,0.0697,-0.2014,1.6007,27.7351,1.504,,,
13000,,,0.3509,0.7103,0.101,-32.0813,6.3662,0.0719,-0.1964,2.0326,39.3257,2.1262,,,
13000,,,,,,,,,,,,,1000,356.5793,17.6244
13500,,,0.35,0.7187,0.1201,-32.5356,5.9794,0.0623,-0.235,1.3397,39.955,2.2826,,,
14000,,,0.3505,0.7106,0.112,-32.2293,5.5052,0.069,-0.2183,1.6017,39.654,2.2836,,,
14000,,,,,,,,,,,,,1000,-120.243,16.7268
14500,,,0.3488,0.7238,0.1042,-34.7956,6.1597,0.0713,-0.2058,1.4623,45.5215,2.1632,,,
15000,,,0.3495,0.7249,0.1124,-36.1856,5.4868,0.0667,-0.2194,1.3553,40.1376,1.2054,,,
15000,1804.6727,1000.0,,,,,,,,,,,,,
15000,,,,,,,,,,,,,1000,-160.7057,15.8782
15500,,,0.3501,0.7073,0.5291,-39.1524,4.6266,0.0564,-1.1685,1.3885,33.2942,1.1238,,,
16000,,,0.3555,0.7227,0.1206,-40.162,5.9883,0.0645,-0.2432,1.3295,47.1052,2.3485,,,
16000,,,,,,,,,,,,,1000,581.3017,17.115
16500,,,0.3601,0.7239,0.047,-40.2272,6.738,0.1074,-0.0767,1.6182,36.8365,1.9217,,,
17000,,,0.3612,0.7282,0.1073,-42.9782,5.2662,0.0752,-0.3014,1.6394,39.6886,2.041,,,
17000,,,,,,,,,,,,,1000,815.3004,16.8231
17500,,,0.362,0.7243,0.1073,-45.6885,4.582,0.0755,-0.2159,1.6339,43.5366,1.7405,,,
18000,,,0.3634,0.7292,0.307,-46.9418,5.4344,0.0184,-0.8213,1.4692,23.6161,1.9005,,,
18000,,,,,,,,,,,,,1000,288.2075,18.5848
18500,,,0.3661,0.7345,0.1195,-47.445,5.4391,0.0696,-0.2455,1.428,39.5094,1.1948,,,
19000,,,0.3673,0.7299,0.1197,-48.6511,5.878,0.0694,-0.2376,1.498,44.0585,2.3723,,,
19000,,,,,,,,,,,,,1000,292.4567,16.5843
19500,,,0.3695,0.7376,0.1156,-48.8855,3.7725,0.0754,-0.2304,1.4025,35.6268,1.4277,,,
20000,,,0.3651,0.736,0.1256,-52.3551,5.2686,0.0657,-0.2417,1.8575,74.1128,1.8131,,,
20000,2219.9537,1000.0,,,,,,,,,,,,,
20000,,,,,,,,,,,,,1000,991.9556,15.6947
20500,,,0.3669,0.7417,0.1235,-53.8906,6.0732,0.0663,-0.236,1.2963,53.7933,2.0861,,,
21000,,,0.3564,0.7371,0.1055,-55.157,5.6922,0.0688,-0.2306,1.483,55.9818,2.007,,,
21000,,,,,,,,,,,,,1000,890.5346,17.8192
21500,,,0.357,0.7571,0.111,-57.0952,5.5459,0.0686,-0.2223,1.8323,51.8077,2.4087,,,
22000,,,0.3611,0.7537,0.1149,-57.7139,4.6631,0.0676,-0.222,1.336,50.8571,2.2792,,,
22000,,,,,,,,,,,,,1000,1099.4645,18.0161
22500,,,0.3596,0.7525,0.1208,-59.578,4.7495,0.0646,-0.2304,1.465,61.9703,1.8425,,,
23000,,,0.3602,0.7426,0.1186,-61.4054,5.3039,0.0672,-0.2372,1.2824,37.7922,1.0576,,,
23000,,,,,,,,,,,,,1000,304.3939,17.7421
23500,,,0.3496,0.7575,0.1144,-62.6543,4.694,0.0626,-0.2346,1.6167,53.2051,2.0366,,,
24000,,,0.3601,0.7461,0.4119,-64.3503,4.9767,0.02,-0.9483,1.4632,50.3722,1.8393,,,
24000,,,,,,,,,,,,,1000,1174.3225,17.1682
24500,,,0.3611,0.758,0.1197,-67.4622,5.669,0.0653,-0.2266,1.5292,33.5764,2.1905,,,
25000,,,0.3544,0.7624,0.1165,-66.7665,4.9431,0.0628,-0.2314,1.9058,58.3512,2.535,,,
25000,2809.8473,1000.0,,,,,,,,,,,,,
25000,,,,,,,,,,,,,1000,1310.6985,16.7185
25500,,,0.3538,0.7654,0.0827,-73.1025,5.4369,0.0792,-0.1626,1.5895,95.754,1.4471,,,
26000,,,0.3565,0.7526,0.1104,-78.3694,5.5535,0.0667,-0.224,1.5432,43.8333,1.2138,,,
26000,,,,,,,,,,,,,1000,1298.1102,17.013
26500,,,0.3556,0.7658,0.1142,-81.4006,6.6112,0.0645,-0.2273,1.5595,51.2967,2.5203,,,
27000,,,0.3562,0.7602,0.1155,-79.9705,5.7342,0.0638,-0.2312,1.5894,61.3871,2.0619,,,
27000,,,,,,,,,,,,,1000,1301.6883,16.7314
27500,,,0.3523,0.7682,0.1096,-83.522,4.4935,0.0647,-0.2153,1.8837,53.074,1.861,,,
28000,,,0.3557,0.7729,0.1074,-84.9626,4.1619,0.0671,-0.2145,1.8027,39.8969,2.1572,,,
28000,,,,,,,,,,,,,1000,1374.9584,17.4679
28500,,,0.3482,0.7657,0.1222,-88.4286,4.6929,0.058,-0.2375,1.5914,59.4644,1.9787,,,
29000,,,0.3531,0.7727,0.3184,-88.255,5.2826,0.0102,-0.4285,1.7845,70.0671,1.2377,,,
29000,,,,,,,,,,,,,1000,1226.6962,17.0301
29500,,,0.3502,0.7737,0.1093,-94.8483,4.7719,0.0643,-0.2143,2.0319,97.835,1.175,,,
30000,,,0.3476,0.7757,0.1024,-94.4903,5.0699,0.0668,-0.2111,1.7311,44.1098,1.9128,,,
30000,3392.3473,1000.0,,,,,,,,,,,,,
30000,,,,,,,,,,,,,1000,1378.4816,17.0595
30500,,,0.3557,0.7768,0.1132,-97.4789,4.6051,0.0653,-0.2256,2.1573,57.0255,2.2751,,,
31000,,,0.3484,0.7808,0.1048,-99.3703,5.4207,0.0647,-0.2096,1.6841,41.5519,1.8517,,,
31000,,,,,,,,,,,,,1000,1716.2966,17.3875
31500,,,0.3484,0.7791,0.1095,-103.5308,4.3117,0.0631,-0.2172,2.0661,74.2803,1.0469,,,
32000,,,0.3533,0.7754,0.11,-102.1525,5.5656,0.065,-0.2181,1.831,122.6325,1.4291,,,
32000,,,,,,,,,,,,,1000,1691.3045,18.2309
32500,,,0.353,0.787,0.1097,-107.2914,4.8419,0.0655,-0.2251,2.0289,89.3389,1.093,,,
33000,,,0.3531,0.7816,0.1045,-113.6864,5.6039,0.0674,-0.2078,1.9246,64.2976,2.3361,,,
33000,,,,,,,,,,,,,1000,1812.2446,17.9701
33500,,,0.3615,0.7964,0.1129,-116.6838,5.586,0.0677,-0.2362,2.3727,121.8218,1.5808,,,
34000,,,0.3582,0.7889,0.1134,-117.1808,5.0748,0.0658,-0.2207,2.3555,108.9801,1.3875,,,
34000,,,,,,,,,,,,,1000,1720.5352,17.4884
34500,,,0.3606,0.7951,0.1171,-120.6775,7.5593,0.066,-0.2219,2.4802,65.6604,3.1891,,,
35000,,,0.3604,0.7926,0.1123,-120.8628,6.0386,0.0675,-0.223,2.3628,92.2505,2.9032,,,
35000,3856.5686,1000.0,,,,,,,,,,,,,
35000,,,,,,,,,,,,,1000,1875.5243,16.165
35500,,,0.3589,0.8014,0.1096,-123.6778,6.0258,0.0685,-0.2252,2.3461,104.8373,1.7167,,,
36000,,,0.3603,0.8065,0.1097,-130.0842,5.5491,0.0686,-0.2116,2.3755,90.5436,1.7005,,,
36000,,,,,,,,,,,,,1000,1914.8766,16.76
36500,,,0.3626,0.8014,0.0927,-131.6012,5.4709,0.0778,-0.181,2.3185,68.8653,3.0233,,,
