env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.572,1000.0,,,,,,,,,,
500,,,-0.2666,1.3978,0.0221,-0.1399,0.1786,0.8977,0.311,,,
1000,,,-1.2806,0.9971,0.0176,-0.1266,0.3613,1.6543,0.3815,,,
1000,,,,,,,,,,1000,-274.5239,10.4779
1500,,,-2.4,1.472,0.0206,-0.1374,0.586,3.9963,0.2807,,,
2000,,,-4.2494,2.0085,0.0185,-0.131,0.8242,9.6689,0.8662,,,
2000,,,,,,,,,,1000,-336.581,12.0959
2500,,,-6.402,3.5002,0.0221,-0.1463,1.1068,10.418,0.6983,,,
3000,,,-9.0632,3.0906,0.021,-0.1425,1.1773,11.1255,0.887,,,
3000,,,,,,,,,,1000,-280.111,12.3669
3500,,,-12.2574,4.6854,0.0199,-0.1383,1.6177,20.4852,1.2856,,,
4000,,,-15.5021,3.6379,0.0222,-0.1406,1.4637,16.8484,0.9779,,,
4000,,,,,,,,,,1000,-180.7024,12.0323
4500,,,-17.0792,4.6997,0.0207,-0.1368,1.9137,24.6239,1.266,,,
5000,,,-19.5627,6.4264,0.0251,-0.1496,2.0865,37.1176,2.2247,,,
5000,-113.3169,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-143.4294,11.4419
5500,,,-23.4738,6.3215,0.0214,-0.14,2.0778,22.0616,1.4084,,,
6000,,,-24.5101,5.2649,0.0267,-0.1563,1.8171,29.1587,2.2572,,,
6000,,,,,,,,,,1000,-265.8161,11.9001
6500,,,-26.7857,5.2872,0.017,-0.1242,2.1561,41.6522,2.3267,,,
7000,,,-29.6551,5.4685,0.0181,-0.1263,2.2015,44.9862,1.5775,,,
7000,,,,,,,,,,1000,94.2186,11.7299
7500,,,-33.1887,6.1016,0.0175,-0.1256,2.319,67.2436,1.5057,,,
8000,,,-37.3401,5.167,0.0179,-0.1268,2.3827,63.8491,1.5742,,,
8000,,,,,,,,,,1000,170.6856,11.9709
8500,,,-39.769,5.6315,0.0181,-0.1264,2.4841,51.0236,1.8238,,,
9000,,,-43.4041,5.5356,0.016,-0.1178,2.2914,43.9235,2.0216,,,
9000,,,,,,,,,,1000,211.9736,11.7088
9500,,,-46.1064,6.0877,0.016,-0.1191,1.9001,47.9187,2.0342,,,
10000,,,-45.0287,4.298,0.0142,-0.113,1.5374,27.0551,1.62,,,
10000,753.9862,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,88.6518,11.196
10500,,,-48.3971,4.7954,0.0138,-0.1108,1.6897,35.136,1.2792,,,
11000,,,-50.4332,3.4607,0.0135,-0.1091,1.2632,32.2883,1.7543,,,
11000,,,,,,,,,,1000,283.9738,11.9099
11500,,,-51.6456,4.3515,0.013,-0.1073,1.1423,25.4092,2.2062,,,
12000,,,-52.8748,3.3065,0.0104,-0.0955,1.5463,45.1196,1.4774,,,
12000,,,,,,,,,,1000,322.8069,12.007
12500,,,-53.0989,2.9737,0.0121,-0.1036,1.2067,18.8813,1.3433,,,
13000,,,-53.2091,3.1239,0.011,-0.0987,1.1436,20.1324,2.2838,,,
13000,,,,,,,,,,1000,502.246,12.1338
13500,,,-57.1067,2.9762,0.012,-0.1019,1.27,22.4212,1.6874,,,
14000,,,-55.464,2.9888,0.0085,-0.0861,1.2335,39.1319,1.1876,,,
14000,,,,,,,,,,1000,424.5919,12.0466
14500,,,-57.065,2.985,0.0083,-0.0853,1.2521,30.0626,1.0087,,,
15000,,,-60.3141,2.8528,0.0086,-0.087,1.1596,30.0884,1.3305,,,
15000,1923.9989,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,459.0127,11.4598
15500,,,-59.96,2.9506,0.0081,-0.0843,1.3384,45.1828,1.7058,,,
16000,,,-57.8321,3.019,0.0085,-0.0852,1.0241,30.4378,1.8251,,,
16000,,,,,,,,,,1000,-90.4814,12.3588
16500,,,-60.2667,2.9808,0.0077,-0.0799,1.3132,39.2347,1.8602,,,
17000,,,-60.4097,2.7569,0.0086,-0.0874,1.0026,28.6494,1.6044,,,
17000,,,,,,,,,,1000,316.5793,11.8572
17500,,,-62.5096,2.5759,0.0074,-0.0798,1.3674,25.5978,1.9114,,,
18000,,,-61.5641,2.5081,0.0081,-0.0829,1.3876,31.681,1.4385,,,
18000,,,,,,,,,,1000,94.4178,11.7679
18500,,,-63.0841,2.7733,0.0067,-0.0755,1.403,47.6887,1.2798,,,
19000,,,-66.066,3.1337,0.0078,-0.0799,1.428,46.068,2.0924,,,
19000,,,,,,,,,,1000,501.3645,11.8899
19500,,,-67.1431,2.62,0.0062,-0.0714,1.7674,33.2656,1.5813,,,
20000,,,-68.9544,3.5413,0.0055,-0.0665,1.478,36.0875,1.5143,,,
20000,1514.0934,1000.0,,,,,,,,,,
20000,,,,,,,,,,1000,142.8509,11.3169
20500,,,-71.0367,3.3652,0.0079,-0.0805,1.3372,29.7152,1.8785,,,
21000,,,-70.2732,3.3382,0.0066,-0.0719,1.6807,58.5937,1.9457,,,
21000,,,,,,,,,,1000,-47.0398,11.8963
21500,,,-72.6743,2.6754,0.006,-0.0691,2.0005,50.6562,1.7454,,,
22000,,,-72.6889,3.2661,0.0061,-0.0691,2.7378,83.6234,2.0007,,,
22000,,,,,,,,,,1000,713.5178,12.1223
22500,,,-74.1129,3.0273,0.0062,-0.0723,1.5219,42.1841,2.8239,,,
23000,,,-75.8652,2.9396,0.0058,-0.0684,2.1843,54.7847,2.0258,,,
23000,,,,,,,,,,1000,765.9824,11.954
23500,,,-76.9296,2.3896,0.0045,-0.0587,1.6234,48.7652,1.4727,,,
24000,,,-79.7783,2.7073,0.0065,-0.0764,1.6872,36.7406,2.1537,,,
24000,,,,,,,,,,1000,200.6893,11.7767
24500,,,-76.7368,2.7656,0.0051,-0.0635,2.0302,54.7705,1.1884,,,
25000,,,-78.5729,3.0368,0.006,-0.0657,1.3579,37.4594,2.4293,,,
25000,1847.6526,1000.0,,,,,,,,,,
25000,,,,,,,,,,1000,235.2956,11.2717
25500,,,-82.2798,3.2673,0.0051,-0.0625,1.3846,43.2316,2.1298,,,
26000,,,-82.2852,2.6726,0.0058,-0.0677,2.1103,64.1285,1.4797,,,
26000,,,,,,,,,,1000,234.2593,11.8977
26500,,,-80.9249,3.5001,0.0074,-0.0783,1.622,49.1072,2.1681,,,
27000,,,-84.2056,2.7744,0.0036,-0.0512,1.9155,51.672,1.9643,,,
27000,,,,,,,,,,1000,357.7639,12.23
27500,,,-85.6101,2.8766,0.0052,-0.0628,1.8505,65.5002,1.9636,,,
28000,,,-81.9888,2.6984,0.0039,-0.0561,1.7697,78.3666,1.8706,,,
28000,,,,,,,,,,1000,297.2663,11.9709
28500,,,-86.5586,2.8026,0.0044,-0.0577,1.6074,48.7962,3.3459,,,
29000,,,-84.8955,2.6349,0.0039,-0.0523,1.8044,45.2901,2.8477,,,
29000,,,,,,,,,,1000,355.6649,12.0643
29500,,,-87.0698,3.1317,0.0038,-0.0523,1.6247,52.423,1.5214,,,
30000,,,-87.2916,2.764,0.0047,-0.0562,1.767,86.1746,3.2396,,,
30000,1586.1941,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,420.0261,10.9721
30500,,,-88.525,2.6376,0.0039,-0.0552,1.5907,46.3548,1.9172,,,
31000,,,-93.0281,2.996,0.0034,-0.0496,1.6783,52.9436,2.4379,,,
31000,,,,,,,,,,1000,972.3062,11.6507
31500,,,-93.5982,3.8297,0.0036,-0.0511,2.1375,60.7359,3.0762,,,
32000,,,-93.7883,3.3634,0.0033,-0.0488,1.682,48.651,2.9615,,,
32000,,,,,,,,,,1000,512.426,11.9488
32500,,,-96.5678,2.9275,0.0042,-0.056,2.5716,85.5364,2.7372,,,
33000,,,-93.8174,3.2631,0.0042,-0.0536,1.6533,50.0404,3.1262,,,
33000,,,,,,,,,,1000,622.7216,11.8188
33500,,,-95.3753,3.8482,0.004,-0.0552,1.9823,82.276,2.4318,,,
34000,,,-99.0465,2.9108,0.0034,-0.0493,1.69,52.0597,1.1924,,,
34000,,,,,,,,,,1000,806.6804,11.8869
34500,,,-96.9993,3.0247,0.0042,-0.0562,2.2203,50.7642,3.2122,,,
