env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-42.6965,1000.0,,,,,,,,,,
500,,,230.748,460.8979,1352.3217,230.748,0.2576,0.8985,0.0007,,,
1000,,,228.123,456.8377,3946.2922,228.123,0.2679,1.7718,0.0802,,,
1000,,,,,,,,,,1000,-310.8584,66.1609
1500,,,279.0809,559.3967,1958.9015,279.0809,0.3361,2.8892,0.0791,,,
2000,,,367.8233,737.1356,2073.0413,367.8233,0.3662,3.9076,0.0785,,,
2000,,,,,,,,,,1000,-340.9496,93.5539
2500,,,424.7194,850.9681,3073.3508,424.7194,0.4379,2.2393,0.1175,,,
3000,,,421.3692,843.9429,3719.5232,421.3692,0.4456,4.4375,0.2054,,,
3000,,,,,,,,,,1000,-430.5469,93.9592
3500,,,450.8292,902.5206,3968.071,450.8292,0.4252,4.5617,0.3123,,,
4000,,,504.6522,1009.7302,6533.3589,504.6522,0.5555,14.4661,0.4351,,,
4000,,,,,,,,,,1000,-274.3579,93.0037
4500,,,541.442,1082.3079,5160.8574,541.442,0.5695,9.7496,0.3824,,,
5000,,,527.636,1053.2228,6973.1216,527.636,0.6368,9.3715,0.5647,,,
5000,223.8136,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,253.0875,78.7805
5500,,,538.6336,1073.7614,5399.2759,538.6336,0.6689,17.2038,0.5464,,,
6000,,,569.1516,1134.2368,8339.8701,569.1516,0.6405,9.6359,0.791,,,
6000,,,,,,,,,,1000,317.7322,95.1626
6500,,,592.4526,1178.8309,12192.0107,592.4526,0.6391,8.8057,0.8573,,,
7000,,,657.35,1307.881,9291.165,657.35,0.6819,9.2315,0.9236,,,
7000,,,,,,,,,,1000,513.9565,93.0695
7500,,,590.0399,1170.5933,11347.3633,590.0399,0.8025,28.9869,0.8361,,,
8000,,,601.2119,1191.3278,11878.4854,601.2119,0.746,16.5388,0.9686,,,
8000,,,,,,,,,,1000,604.6879,94.1139
8500,,,611.8634,1210.5006,13564.3057,611.8634,0.7697,20.6298,1.4163,,,
9000,,,599.9526,1185.5645,12942.1484,599.9526,0.7697,22.418,0.8373,,,
9000,,,,,,,,,,1000,812.145,92.5939
9500,,,591.3574,1165.941,12956.5625,591.3574,0.8538,16.8618,2.5341,,,
10000,,,623.6082,1228.3073,17308.3984,623.6082,0.9573,14.9047,1.3847,,,
10000,1770.3924,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,867.9137,76.7396
10500,,,624.4882,1227.9839,17339.291,624.4882,0.8847,24.7928,1.2535,,,
11000,,,615.3948,1207.4479,18204.7754,615.3948,1.0468,39.3116,1.3758,,,
11000,,,,,,,,,,1000,885.9243,92.6726
11500,,,627.235,1229.7753,20348.6855,627.235,1.1221,27.2623,1.1681,,,
12000,,,595.281,1163.2246,15590.2939,595.281,1.1169,28.3532,1.1292,,,
12000,,,,,,,,,,1000,1042.3542,92.5672
12500,,,584.5957,1137.255,15483.3613,584.5957,1.0362,19.9634,2.1652,,,
13000,,,586.2561,1138.2494,19010.4141,586.2561,1.2018,36.5112,1.1572,,,
13000,,,,,,,,,,1000,1232.931,92.2823
13500,,,636.245,1235.9841,22897.1172,636.245,1.2425,55.372,1.9345,,,
14000,,,635.2372,1232.261,23320.043,635.2372,1.362,25.278,1.5884,,,
14000,,,,,,,,,,1000,1321.9928,92.548
14500,,,590.5541,1139.0764,19469.5371,590.5541,1.4113,28.4588,1.5248,,,
15000,,,588.5823,1132.7859,23492.6855,588.5823,1.814,79.2748,1.9697,,,
15000,3144.9499,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,1352.9424,77.5931
15500,,,631.6381,1215.2521,26759.3848,631.6381,1.5843,47.2056,1.602,,,
16000,,,595.9952,1140.0117,24986.4492,595.9952,1.7315,67.9225,2.0952,,,
16000,,,,,,,,,,1000,1467.0479,91.9854
16500,,,599.0302,1143.6006,27990.3594,599.0302,1.4832,40.4069,1.6015,,,
17000,,,574.5681,1091.277,18442.9355,574.5681,1.5152,28.2786,1.6016,,,
17000,,,,,,,,,,1000,1590.1488,91.981
17500,,,593.5842,1126.3651,24666.3184,593.5842,1.8704,74.4985,1.6383,,,
18000,,,573.6258,1083.3456,23335.9355,573.6258,1.8456,55.8106,2.0999,,,
18000,,,,,,,,,,1000,1626.5583,92.2985
18500,,,574.641,1080.1626,23705.6934,574.641,1.9126,76.9791,1.8561,,,
19000,,,548.6958,1027.4933,22734.6797,548.6958,1.774,46.835,2.0898,,,
19000,,,,,,,,,,1000,1827.1005,94.5446
19500,,,591.1661,1106.2483,24719.1758,591.1661,1.8565,57.7414,2.7643,,,
20000,,,578.2556,1076.7872,26731.3438,578.2556,1.9386,78.0062,2.3837,,,
20000,3323.2687,1000.0,,,,,,,,,,
20000,,,,,,,,,,1000,1824.0288,76.5131
20500,,,567.6469,1051.9785,28014.1172,567.6469,2.1048,70.0582,1.9588,,,
21000,,,535.9557,985.9291,19502.8848,535.9557,1.8872,90.238,2.9841,,,
21000,,,,,,,,,,1000,1925.3597,92.2497
21500,,,561.6881,1033.1714,22369.2734,561.6881,1.94,64.6384,2.0973,,,
22000,,,549.0768,1002.7297,33957.0781,549.0768,2.1267,66.0281,3.6862,,,
22000,,,,,,,,,,1000,2002.8013,94.234
22500,,,564.146,1031.4369,26772.5,564.146,2.0014,64.265,3.6819,,,
23000,,,541.1804,982.3058,24668.5527,541.1804,1.9872,91.4962,2.1173,,,
23000,,,,,,,,,,1000,1966.7484,92.2335
23500,,,537.0252,968.0542,24908.9863,537.0252,2.1174,54.024,2.4178,,,
24000,,,568.4137,1029.2737,29783.0332,568.4137,2.1924,165.0912,2.1194,,,
24000,,,,,,,,,,1000,2027.9731,93.9401
24500,,,539.2612,963.2027,47506.4961,539.2612,2.2955,58.836,2.0826,,,
25000,,,521.621,922.3861,35543.0469,521.621,2.2636,110.7999,2.5974,,,
25000,3764.214,1000.0,,,,,,,,,,
25000,,,,,,,,,,1000,2293.2548,78.2456
25500,,,573.9579,1028.6959,31656.4551,573.9579,2.1582,77.1877,2.242,,,
26000,,,537.3972,951.9918,29208.0234,537.3972,2.1395,53.3815,3.2984,,,
26000,,,,,,,,,,1000,2102.1257,93.8405
26500,,,555.7408,982.4259,38326.8867,555.7408,2.112,68.5665,2.3484,,,
27000,,,506.9432,884.0836,14557.958,506.9432,2.0986,74.4736,3.1495,,,
27000,,,,,,,,,,1000,2199.5858,94.6918
27500,,,513.5676,890.854,21523.6465,513.5676,2.0519,91.1707,3.7919,,,
28000,,,531.819,923.8072,28439.4902,531.819,1.9716,93.6078,2.2634,,,
28000,,,,,,,,,,1000,2361.2083,92.2553
28500,,,540.4148,938.1992,24216.8691,540.4148,2.3082,124.2524,3.0432,,,
29000,,,555.1066,964.3871,32508.9102,555.1066,2.3134,84.7322,2.506,,,
29000,,,,,,,,,,1000,2452.6739,91.7454
29500,,,520.8642,892.7349,27515.1094,520.8642,2.3622,119.0409,2.3756,,,
30000,,,534.5808,917.252,46928.5039,534.5808,2.0837,76.3307,4.0063,,,
30000,4107.3093,1000.0,,,,,,,,,,
30000,,,,,,,,,,1000,2530.3476,76.4114
30500,,,554.2949,952.2062,30611.9844,554.2949,2.1765,97.9831,3.1795,,,
31000,,,500.6164,840.716,35682.5117,500.6164,2.3282,97.6528,2.6681,,,
31000,,,,,,,,,,1000,2478.2648,91.7792
31500,,,504.797,842.6889,28188.8242,504.797,2.3312,107.2118,4.5454,,,
32000,,,559.0244,950.5,33552.2617,559.0244,2.301,131.5309,2.564,,,
32000,,,,,,,,,,1000,2336.5987,91.981
32500,,,522.847,875.7809,28930.6816,522.847,2.3034,65.4552,4.455,,,
33000,,,512.9101,849.2355,28945.4531,512.9101,2.2527,88.5569,2.4731,,,
33000,,,,,,,,,,1000,2614.172,93.0885
33500,,,516.673,854.9758,35668.9961,516.673,2.3366,68.1986,2.9464,,,
34000,,,524.7615,867.0643,37843.207,524.7615,2.5318,171.2516,3.2495,,,
34000,,,,,,,,,,1000,2671.9053,97.8773
34500,,,548.4022,914.2789,38969.9023,548.4022,2.6389,193.9225,3.2337,,,
35000,,,519.8782,855.1249,28639.1191,519.8782,2.5545,145.4866,2.9258,,,
35000,4366.1867,1000.0,,,,,,,,,,
35000,,,,,,,,,,1000,2674.3117,76.4102
35500,,,481.7372,771.2645,28972.4551,481.7372,2.695,205.8101,2.5091,,,
36000,,,521.694,850.7908,31269.9551,521.694,2.6228,121.9835,2.2808,,,
36000,,,,,,,,,,1000,2867.9409,94.6525
36500,,,500.155,804.66,34363.5977,500.155,2.3584,121.7276,2.8085,,,
37000,,,526.0128,855.4756,32199.8887,526.0128,2.5192,83.9098,2.8508,,,
37000,,,,,,,,,,1000,2772.0892,92.3387
37500,,,493.4859,781.7089,34953.1445,493.4859,2.4583,181.0245,2.6232,,,
38000,,,497.3803,787.6539,23345.8047,497.3803,2.5632,172.9753,2.666,,,
38000,,,,,,,,,,1000,2808.7349,92.9291
38500,,,508.074,806.2939,36084.3164,508.074,2.2284,156.243,3.1037,,,
39000,,,531.4025,851.0887,36302.4492,531.4025,2.6091,151.3279,3.1704,,,
39000,,,,,,,,,,1000,3017.2842,95.2512
39500,,,509.9923,803.4959,38517.0508,509.9923,2.4801,209.0424,3.1949,,,
40000,,,485.6577,754.3474,26263.0742,485.6577,2.388,221.007,2.891,,,
40000,4777.9749,1000.0,,,,,,,,,,
40000,,,,,,,,,,1000,2863.4345,76.8916
40500,,,510.5532,798.1069,27876.8574,510.5532,2.4611,115.2101,3.3707,,,
41000,,,508.8498,795.1246,22465.0156,508.8498,2.2942,120.0223,3.0922,,,
41000,,,,,,,,,,1000,3046.5132,91.9453
41500,,,526.2558,827.8606,24369.8594,526.2558,2.2631,185.0343,4.1375,,,
42000,,,513.1333,800.0854,30272.1973,513.1333,2.2026,73.1369,2.8345,,,
42000,,,,,,,,,,1000,3104.6944,91.9811
42500,,,536.3314,839.4528,44444.0469,536.3314,2.3102,164.61,3.319,,,
43000,,,566.0137,898.3834,43330.6797,566.0137,2.7387,230.1135,3.3752,,,
43000,,,,,,,,,,1000,3221.2948,91.7369
43500,,,521.5792,808.1467,33144.1602,521.5792,2.5061,79.089,3.3333,,,
44000,,,487.0312,735.8715,30708.041,487.0312,2.2692,77.378,2.9983,,,
44000,,,,,,,,,,1000,3254.9893,92.1745
44500,,,502.6839,760.4109,25862.8574,502.6839,3.1745,253.9048,3.5578,,,
45000,,,482.2856,715.8217,28048.0723,482.2856,2.6442,244.9197,3.245,,,
45000,5245.609,1000.0,,,,,,,,,,
45000,,,,,,,,,,1000,3385.9748,76.3873
45500,,,506.028,765.2143,33664.2695,506.028,2.7621,181.266,2.7918,,,
46000,,,508.6059,765.0635,25334.293,508.6059,2.7882,162.4657,3.9924,,,
46000,,,,,,,,,,1000,3489.6718,91.4277
46500,,,506.3998,761.7861,31641.9277,506.3998,2.8091,203.7339,3.1981,,,
47000,,,499.9835,745.2686,29938.918,499.9835,2.9898,137.4164,2.1943,,,
47000,,,,,,,,,,1000,3114.5095,92.3014
47500,,,535.6981,813.2772,44341.25,535.6981,3.4908,87.6216,4.4801,,,
48000,,,455.543,648.5057,27356.9629,455.543,2.8116,196.6987,3.5022,,,
48000,,,,,,,,,,1000,3549.9895,97.608
48500,,,506.268,749.2803,35214.3125,506.268,3.0143,195.7083,3.3752,,,
49000,,,504.6102,743.5228,32680.1367,504.6102,2.8168,202.5547,3.1816,,,
49000,,,,,,,,,,1000,3618.1564,92.4656
49500,,,526.7468,786.585,36200.875,526.7468,2.7434,128.4376,2.8054,,,
50000,,,479.0672,685.4928,28967.6934,479.0672,4.0376,178.9435,3.1359,,,
50000,5490.5911,1000.0,,,,,,,,,,
50000,,,,,,,,,,1000,3360.272,77.0865
