env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5828,1000.0,,,,,,,,,,,,,
500,,,0.1659,0.6973,0.054,-0.6517,1.4185,0.0144,-0.0996,0.2757,1.3147,0.1517,,,
1000,,,0.1865,0.6953,0.0655,-0.8192,0.8821,0.0169,-0.1284,0.4418,2.0594,0.3088,,,
1000,,,,,,,,,,,,,1000,-207.4595,51.3062
1500,,,0.2187,0.7004,0.0707,-2.0128,1.0384,0.0245,-0.1358,0.5734,3.0388,0.4629,,,
2000,,,0.246,0.6947,0.0879,-3.1114,1.67,0.0284,-0.1538,0.7618,3.5801,0.5465,,,
2000,,,,,,,,,,,,,1000,-354.5911,83.7996
2500,,,0.2685,0.6878,0.0775,-5.2018,2.6446,0.0399,-0.1483,1.1508,6.3427,0.7724,,,
3000,,,0.2768,0.6912,0.0842,-6.8935,3.0845,0.0406,-0.1601,1.167,11.9617,0.9397,,,
3000,,,,,,,,,,,,,1000,-254.7501,86.892
3500,,,0.2926,0.6964,0.1142,-8.9132,6.1033,0.036,-0.1982,1.3461,22.337,1.7389,,,
4000,,,0.3007,0.6951,0.1009,-10.2239,5.3059,0.0446,-0.1876,1.5534,11.743,1.1295,,,
4000,,,,,,,,,,,,,1000,-178.1746,81.5813
4500,,,0.3166,0.7051,0.1066,-11.5204,6.4403,0.0498,-0.2056,1.6107,19.0579,1.5697,,,
5000,,,0.3238,0.6999,0.1084,-14.4747,9.3601,0.0517,-0.2119,2.1324,17.7136,1.2381,,,
5000,411.8259,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-409.5831,72.4985
5500,,,0.3429,0.7142,0.1094,-17.0711,10.4367,0.0605,-0.2109,2.3232,34.5589,1.3437,,,
6000,,,0.3605,0.71,0.1431,-19.7952,10.5004,0.0537,-0.2645,3.3004,32.9485,1.866,,,
6000,,,,,,,,,,,,,1000,-294.3165,84.1092
6500,,,0.3758,0.7059,0.1326,-24.4129,11.6218,0.0655,-0.2573,3.256,46.8753,1.5356,,,
7000,,,0.3854,0.7054,0.1286,-27.8287,13.0526,0.0715,-0.2499,3.8335,43.2911,1.4838,,,
7000,,,,,,,,,,,,,1000,238.8899,81.7056
7500,,,0.3953,0.7177,0.1314,-34.5645,12.886,0.0755,-0.2599,4.2231,59.4715,1.3111,,,
8000,,,0.411,0.7259,0.1414,-39.5635,10.879,0.0781,-0.2726,4.0104,44.0357,0.8476,,,
8000,,,,,,,,,,,,,1000,331.8044,81.4512
8500,,,0.4028,0.7249,0.1312,-42.759,13.2233,0.0802,-0.2677,4.1248,83.2796,2.6548,,,
9000,,,0.4145,0.7315,0.1478,-44.1552,15.9293,0.0771,-0.2792,3.8132,134.0878,1.7325,,,
9000,,,,,,,,,,,,,1000,-403.3123,81.4959
9500,,,0.4196,0.7327,0.1413,-48.8722,11.6441,0.0835,-0.2811,3.8944,95.0317,2.2314,,,
10000,,,0.4297,0.7316,0.1475,-51.3758,9.6222,0.087,-0.2833,3.169,72.8487,1.7024,,,
10000,1402.656,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,-147.9264,73.9431
10500,,,0.4271,0.7354,0.1468,-53.9509,10.4148,0.0855,-0.2854,3.5499,62.2088,2.2372,,,
11000,,,0.4381,0.7387,0.1493,-56.9823,9.5614,0.0905,-0.2819,3.6687,82.2261,1.632,,,
11000,,,,,,,,,,,,,1000,630.7294,81.4062
11500,,,0.4349,0.7455,0.1774,-60.2585,12.6349,0.0731,-0.3206,3.5633,61.0547,2.1087,,,
12000,,,0.4413,0.7298,0.1791,-60.9926,9.379,0.0771,-0.3274,3.1162,67.1721,1.3973,,,
12000,,,,,,,,,,,,,1000,-17.0311,81.5082
12500,,,0.4451,0.7404,0.1525,-65.9093,9.4446,0.0921,-0.304,2.885,59.2127,1.6751,,,
13000,,,0.4436,0.7463,0.1702,-65.3694,10.0757,0.0821,-0.331,2.7024,58.7511,2.6295,,,
13000,,,,,,,,,,,,,1000,147.2851,82.7818
13500,,,0.4532,0.7376,0.1671,-65.9383,10.3949,0.089,-0.3233,4.0956,71.3751,2.054,,,
14000,,,0.451,0.7473,0.1692,-68.0173,8.5945,0.0871,-0.3361,3.1997,64.9076,1.856,,,
14000,,,,,,,,,,,,,1000,552.92,84.5155
14500,,,0.4562,0.7477,0.1894,-73.1941,7.6554,0.0798,-0.3292,3.2806,139.4865,3.4115,,,
15000,,,0.4427,0.7394,0.1635,-75.9557,7.7475,0.0851,-0.3316,3.6485,115.6516,1.5508,,,
15000,1936.3129,1000.0,,,,,,,,,,,,,
15000,,,,,,,,,,,,,1000,510.0164,77.0104
15500,,,0.4351,0.7472,0.1531,-81.9407,7.9643,0.0871,-0.3079,3.1195,59.0086,2.363,,,
16000,,,0.4522,0.7595,0.1638,-79.0497,7.5709,0.0906,-0.3261,3.3806,57.1753,1.9798,,,
16000,,,,,,,,,,,,,1000,702.8637,84.1085
16500,,,0.4476,0.753,0.1666,-80.2063,5.1946,0.0868,-0.3199,2.5197,77.9164,1.7064,,,
17000,,,0.4414,0.7555,0.1758,-87.3002,6.8246,0.0788,-0.3328,2.1824,55.1592,1.8613,,,
17000,,,,,,,,,,,,,1000,740.5771,84.3302
17500,,,0.4413,0.7575,0.1668,-86.5778,6.4822,0.0831,-0.3276,2.7227,138.4265,1.4809,,,
