env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.9971,1000.0,,,,,,,,,,,,
500,,,0.6038,0.6955,0.0318,0.7905,2.2775,0.3334,0.3366,0.6879,0.2699,,,
1000,,,0.5935,0.7004,0.0328,1.1591,3.9864,0.3217,0.6297,2.3313,0.5222,,,
1000,,,,,,,,,,,,1000,-156.5086,26.3895
1500,,,0.6008,0.6955,0.0351,0.343,3.3088,0.3293,0.7437,1.3714,0.3672,,,
2000,,,0.6115,0.6993,0.0376,0.1738,4.0459,0.3379,0.8776,2.3657,0.2802,,,
2000,,,,,,,,,,,,1000,-262.7973,41.5322
2500,,,0.6075,0.6936,0.0373,-0.1494,3.0911,0.3372,0.8881,1.4345,0.2109,,,
3000,,,0.6087,0.6877,0.0383,-0.1623,4.6858,0.3359,0.902,1.3701,0.3695,,,
3000,,,,,,,,,,,,1000,-256.0111,37.1575
3500,,,0.6245,0.6942,0.0402,-0.2965,4.3238,0.3533,1.183,1.7534,0.2219,,,
4000,,,0.6441,0.6943,0.0423,-0.5441,3.6499,0.3758,1.225,2.0643,0.4977,,,
4000,,,,,,,,,,,,1000,-365.0633,34.2657
4500,,,0.6519,0.6964,0.0447,-0.8044,5.7065,0.3825,1.273,4.2815,0.3267,,,
5000,,,0.6677,0.6895,0.0467,-1.4149,4.8312,0.4017,1.3708,3.7194,0.2212,,,
5000,-280.8852,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-354.9225,33.019
5500,,,0.6769,0.7001,0.0485,-1.5842,5.3372,0.4134,1.3386,2.3096,0.4672,,,
6000,,,0.6845,0.6934,0.0492,-1.92,4.8676,0.4214,1.4393,6.2958,0.5556,,,
6000,,,,,,,,,,,,1000,-278.4935,41.546
6500,,,0.6918,0.6933,0.0507,-2.64,5.9098,0.428,1.4846,2.7514,0.5502,,,
7000,,,0.7022,0.693,0.0517,-2.5721,6.0372,0.4422,1.5121,2.0626,0.4776,,,
7000,,,,,,,,,,,,1000,-309.222,41.6143
