env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5969,1000.0,,,,,,,,,,
500,,,-0.4304,0.9507,0.0186,-0.1076,0.2164,0.8905,0.2602,,,
1000,,,-1.1425,0.7019,0.0114,-0.0916,0.3499,1.4761,0.204,,,
1000,,,,,,,,,,1000,-283.6569,22.9233
1500,,,-2.2414,1.7083,0.0138,-0.0968,0.5871,4.1041,0.603,,,
2000,,,-3.709,1.929,0.0102,-0.0859,0.6605,7.4314,0.5844,,,
2000,,,,,,,,,,1000,-250.3976,36.7323
2500,,,-5.8881,3.1473,0.014,-0.104,0.7606,8.4837,0.6275,,,
3000,,,-8.5958,3.595,0.0166,-0.1104,0.9146,12.4734,0.9318,,,
3000,,,,,,,,,,1000,-171.1884,32.6211
3500,,,-11.2074,4.7553,0.0137,-0.1005,1.0634,10.7414,0.9161,,,
4000,,,-13.6824,3.4572,0.0164,-0.1044,1.2909,19.5695,0.738,,,
4000,,,,,,,,,,1000,-57.0497,28.8469
4500,,,-15.8807,3.6506,0.0144,-0.1019,1.4092,12.9809,1.0431,,,
5000,,,-18.847,4.1395,0.0147,-0.1032,1.4918,15.188,0.7957,,,
5000,-121.4665,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-13.9313,28.2027
5500,,,-21.4015,3.3829,0.0136,-0.102,1.3167,22.8534,0.8324,,,
6000,,,-22.973,4.0561,0.0127,-0.0955,1.706,16.2471,0.9711,,,
6000,,,,,,,,,,1000,-210.55,36.6182
6500,,,-27.0858,5.5622,0.0171,-0.1061,1.7413,35.7632,1.3241,,,
7000,,,-30.7815,4.3612,0.0138,-0.0996,2.0871,52.4315,1.3042,,,
7000,,,,,,,,,,1000,-11.0946,35.8491
7500,,,-34.7867,5.3285,0.0161,-0.1045,1.8705,19.0387,1.8039,,,
8000,,,-38.0999,4.386,0.0144,-0.1011,1.9529,18.3808,1.2852,,,
8000,,,,,,,,,,1000,28.5655,36.5245
8500,,,-41.3192,5.9573,0.0152,-0.1027,1.8048,23.9045,1.7708,,,
9000,,,-43.0496,4.5599,0.0121,-0.0917,1.7644,38.3372,3.3049,,,
9000,,,,,,,,,,1000,340.9737,36.5375
9500,,,-44.8197,5.1683,0.0126,-0.0952,1.485,31.3969,1.2676,,,
10000,,,-45.3199,5.7607,0.0139,-0.1,1.6387,41.1274,1.2618,,,
10000,1446.2447,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,-351.3151,31.6274
10500,,,-46.9293,4.9401,0.0128,-0.0946,1.4743,25.5181,1.7913,,,
11000,,,-49.5321,4.6124,0.0122,-0.0916,1.4208,23.9476,1.9272,,,
11000,,,,,,,,,,1000,744.5745,36.5622
11500,,,-50.2807,4.558,0.0128,-0.0926,1.4306,33.2454,1.8787,,,
12000,,,-51.9277,5.3061,0.0099,-0.0842,1.4026,37.4676,1.4189,,,
12000,,,,,,,,,,1000,-122.7826,36.6211
12500,,,-52.488,4.1364,0.011,-0.0868,1.1023,18.4773,1.8943,,,
13000,,,-52.5186,4.5496,0.0095,-0.0802,1.1625,35.0292,1.824,,,
13000,,,,,,,,,,1000,-270.4907,36.7628
13500,,,-54.163,3.8699,0.0103,-0.0816,1.1105,28.1342,1.3921,,,
14000,,,-55.4108,3.8454,0.0097,-0.0797,1.1923,25.1128,1.6634,,,
14000,,,,,,,,,,1000,502.4193,36.5838
