env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-42.6965,1000.0,,,,,,,,,,,,
500,,,0.6208,0.6951,0.0338,0.7953,2.6904,0.3533,0.3542,0.7149,0.3686,,,
1000,,,0.6066,0.6998,0.0351,1.0935,3.2227,0.3354,0.6345,1.6879,0.2143,,,
1000,,,,,,,,,,,,1000,-224.3746,59.4928
1500,,,0.6059,0.6911,0.0366,0.1859,5.7953,0.3333,0.8142,1.5317,0.377,,,
2000,,,0.6139,0.694,0.0377,0.0739,3.3028,0.3406,0.8365,1.8702,0.2151,,,
2000,,,,,,,,,,,,1000,-270.3308,93.3426
2500,,,0.622,0.6969,0.0388,-0.2326,4.1826,0.3533,1.0108,1.872,0.2492,,,
3000,,,0.6251,0.6885,0.0405,-0.6498,3.9966,0.3537,1.1427,1.4148,0.4141,,,
3000,,,,,,,,,,,,1000,-245.5182,93.65
3500,,,0.6445,0.6969,0.0446,-0.8412,6.2089,0.3732,1.2385,1.1678,0.6089,,,
4000,,,0.6589,0.6923,0.045,-1.0857,5.0141,0.3923,1.3143,1.1603,0.2375,,,
4000,,,,,,,,,,,,1000,-395.8146,93.4571
4500,,,0.6703,0.6966,0.0473,-1.4547,5.7005,0.403,1.4451,5.0504,0.4102,,,
5000,,,0.6968,0.6938,0.0515,-2.0466,5.1946,0.4359,1.5785,3.6187,0.343,,,
5000,-126.5689,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-367.0592,75.3374
5500,,,0.7097,0.7003,0.0544,-2.3053,6.4885,0.4502,1.4657,1.8132,0.4583,,,
6000,,,0.7198,0.6982,0.0548,-2.6704,5.9671,0.4634,1.8636,4.5266,0.3526,,,
6000,,,,,,,,,,,,1000,-321.0475,95.2784
6500,,,0.7409,0.6899,0.0585,-3.9576,6.4208,0.49,1.6294,4.0488,0.436,,,
7000,,,0.7367,0.692,0.0578,-4.1278,6.8344,0.4845,1.784,2.8147,0.5823,,,
7000,,,,,,,,,,,,1000,-318.1942,93.6143
7500,,,0.7567,0.6953,0.0601,-4.8222,7.7465,0.5102,1.5316,4.2143,0.5391,,,
8000,,,0.7487,0.7015,0.0584,-5.5136,7.0626,0.5029,1.7581,4.9133,0.7953,,,
8000,,,,,,,,,,,,1000,-352.7891,93.2772
8500,,,0.7486,0.6984,0.0589,-5.6577,6.8829,0.5003,1.9298,3.2384,0.6718,,,
9000,,,0.7553,0.7044,0.0603,-6.0553,7.7147,0.5106,1.7543,5.112,0.662,,,
9000,,,,,,,,,,,,1000,-251.9773,92.9759
9500,,,0.7485,0.6981,0.0592,-6.7393,7.4563,0.5035,1.5054,3.2802,0.8282,,,
10000,,,0.7368,0.6955,0.0573,-6.7941,6.948,0.4882,1.2795,6.1008,0.6292,,,
10000,-161.1438,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,-242.7614,77.4575
10500,,,0.7504,0.7058,0.0588,-7.8142,6.9243,0.5033,1.5019,2.748,0.5242,,,
11000,,,0.7637,0.7032,0.0611,-7.9605,8.5948,0.5213,1.319,4.7559,1.1875,,,
11000,,,,,,,,,,,,1000,-55.6647,93.2914
11500,,,0.7621,0.7083,0.0615,-8.6564,7.2969,0.5156,1.7589,7.5621,0.7864,,,
12000,,,0.7672,0.6928,0.0617,-8.7621,7.4968,0.5252,1.2275,8.9256,0.9717,,,
12000,,,,,,,,,,,,1000,-206.5351,93.0027
12500,,,0.7658,0.697,0.0625,-10.2628,6.4477,0.5186,1.2791,4.6841,0.6188,,,
13000,,,0.7582,0.7093,0.0598,-9.1997,6.0792,0.5131,1.4432,9.0318,0.5983,,,
13000,,,,,,,,,,,,1000,-229.2532,92.9742
13500,,,0.7802,0.7043,0.0631,-9.4282,7.99,0.545,1.5164,5.4496,0.6856,,,
14000,,,0.7597,0.7073,0.0597,-8.8203,5.2166,0.5178,1.4351,5.7137,0.7676,,,
14000,,,,,,,,,,,,1000,-301.0399,94.3529
14500,,,0.7516,0.7041,0.0602,-9.8945,5.5683,0.5016,1.2444,5.6176,0.8918,,,
