env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-43.9971,1000.0,,,,,,,,,,
500,,,186.3831,372.2805,1339.9878,186.3831,0.2283,0.8786,0.0022,,,
1000,,,221.6723,443.9334,2588.353,221.6723,0.2911,1.6205,0.0102,,,
1000,,,,,,,,,,1000,-310.1613,28.7323
1500,,,294.2953,589.8244,1451.9135,294.2953,0.3251,2.2898,0.0661,,,
2000,,,385.3647,772.3914,2343.9167,385.3647,0.3687,1.2849,0.0899,,,
2000,,,,,,,,,,1000,-331.6126,40.7008
2500,,,426.2101,853.9097,2928.8782,426.2101,0.4616,1.9946,0.1093,,,
3000,,,437.4118,875.8753,3129.7917,437.4118,0.4278,2.3534,0.1921,,,
3000,,,,,,,,,,1000,-428.1388,40.6627
3500,,,474.5583,949.8459,4886.9634,474.5583,0.435,2.9048,0.2471,,,
4000,,,535.8546,1072.1001,5194.7305,535.8546,0.5479,6.3199,0.3193,,,
4000,,,,,,,,,,1000,-112.3288,40.8736
4500,,,589.8679,1178.892,6372.8906,589.8679,0.4926,7.4989,0.3164,,,
5000,,,548.1315,1093.8274,8556.1582,548.1315,0.5521,5.6881,0.4399,,,
5000,742.3019,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,512.4634,33.0787
5500,,,574.3837,1145.175,8723.9912,574.3837,0.6312,9.7785,0.5977,,,
6000,,,579.3958,1155.6934,9577.4756,579.3958,0.5709,9.5885,0.6407,,,
6000,,,,,,,,,,1000,-127.9306,40.5835
6500,,,694.3101,1383.4645,11191.9902,694.3101,0.6245,12.8866,0.7906,,,
7000,,,677.708,1350.0488,11710.002,677.708,0.618,11.7179,0.8178,,,
7000,,,,,,,,,,1000,189.9495,41.3504
7500,,,665.6207,1323.1472,13802.4404,665.6207,0.772,12.5461,0.6737,,,
8000,,,668.3356,1327.2719,16360.6377,668.3356,0.7985,14.1481,0.6862,,,
8000,,,,,,,,,,1000,804.2088,41.7258
8500,,,698.8545,1385.343,17931.2227,698.8545,0.7754,13.275,1.0105,,,
9000,,,680.9258,1347.9802,11910.2158,680.9258,0.8018,25.8099,0.9408,,,
9000,,,,,,,,,,1000,793.399,41.7345
9500,,,683.8552,1351.7928,15186.8203,683.8552,0.9544,31.7046,0.9158,,,
10000,,,723.0932,1428.6838,15753.6152,723.0932,0.8583,16.7437,1.307,,,
10000,2013.7357,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,971.9396,33.8748
10500,,,718.1036,1416.4741,16871.0449,718.1036,0.9615,19.9995,1.172,,,
11000,,,669.1702,1315.6862,17024.4668,669.1702,1.0161,17.04,1.0765,,,
11000,,,,,,,,,,1000,1167.3852,41.8293
11500,,,682.7016,1341.045,24883.9844,682.7016,0.9786,25.9418,0.9816,,,
12000,,,722.8641,1419.3591,21180.9551,722.8641,1.1622,23.3222,1.7246,,,
12000,,,,,,,,,,1000,1214.6383,41.8208
12500,,,690.3962,1348.5785,17182.3848,690.3962,1.079,21.4815,1.8998,,,
13000,,,698.3759,1363.7848,26229.8809,698.3759,1.2598,23.3563,1.4776,,,
13000,,,,,,,,,,1000,1322.2015,41.8497
13500,,,746.4388,1456.5278,19430.168,746.4388,1.3273,23.1235,1.5954,,,
14000,,,675.7015,1312.6694,24529.9238,675.7015,1.4009,50.1313,2.2147,,,
14000,,,,,,,,,,1000,1423.194,41.9401
14500,,,656.4557,1271.3739,21099.9062,656.4557,1.412,66.3704,2.3965,,,
15000,,,729.0343,1413.6659,19468.252,729.0343,1.6757,47.9917,2.0877,,,
15000,3277.1304,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,1686.7481,34.0194
15500,,,657.7138,1266.0588,21974.3594,657.7138,1.7314,57.937,1.9801,,,
16000,,,675.8724,1298.7147,28781.834,675.8724,1.5908,33.3376,4.2627,,,
16000,,,,,,,,,,1000,1580.888,41.8322
16500,,,642.2663,1228.6705,26033.2793,642.2663,1.6906,69.1051,1.8131,,,
17000,,,638.4514,1217.3751,16754.9941,638.4514,1.7542,74.3868,2.4629,,,
17000,,,,,,,,,,1000,1781.4773,41.8891
17500,,,667.5467,1273.3041,31118.5488,667.5467,1.8731,39.0217,2.1174,,,
18000,,,680.1343,1294.0482,28292.2285,680.1343,2.042,85.097,2.3429,,,
18000,,,,,,,,,,1000,1844.3459,41.9296
18500,,,627.5358,1183.2952,32268.7109,627.5358,1.8879,60.2931,2.6916,,,
19000,,,628.8396,1185.6405,27442.8516,628.8396,2.0204,77.7977,3.6523,,,
19000,,,,,,,,,,1000,1769.1571,41.7941
19500,,,656.1725,1233.4893,28317.3652,656.1725,2.1016,57.5764,2.1384,,,
20000,,,637.6042,1191.4308,20046.3613,637.6042,2.0815,76.8484,2.6766,,,
20000,4408.2806,1000.0,,,,,,,,,,
20000,,,,,,,,,,1000,1929.288,33.9872
20500,,,617.6056,1149.062,22216.248,617.6056,2.3323,99.0279,3.9491,,,
21000,,,617.7588,1145.9518,21954.8691,617.7588,2.1401,88.5973,2.0714,,,
21000,,,,,,,,,,1000,2058.0946,41.8672
21500,,,670.0542,1247.5392,31086.6035,670.0542,2.1458,51.4254,1.9396,,,
22000,,,629.926,1162.1921,24152.377,629.926,2.9326,78.5742,3.0905,,,
22000,,,,,,,,,,1000,2101.9364,41.8717
22500,,,627.8113,1155.3971,30700.5273,627.8113,2.3566,89.2965,3.7331,,,
23000,,,609.2791,1113.9132,31116.5566,609.2791,2.2924,119.3132,2.7718,,,
23000,,,,,,,,,,1000,2167.5944,41.7396
23500,,,649.2871,1187.8389,34475.2656,649.2871,2.6584,173.3924,2.617,,,
24000,,,629.1876,1146.613,34783.4922,629.1876,2.1115,82.1035,3.097,,,
24000,,,,,,,,,,1000,2157.8658,41.7751
24500,,,585.4651,1050.5234,35315.25,585.4651,2.5519,68.6538,4.4399,,,
25000,,,623.7911,1121.8556,30415.0781,623.7911,2.4685,97.0402,3.6505,,,
25000,4549.3912,1000.0,,,,,,,,,,
25000,,,,,,,,,,1000,2416.9678,34.0422
25500,,,582.4713,1039.2371,22223.1484,582.4713,2.3742,114.6406,3.338,,,
26000,,,597.2003,1067.4967,28804.4766,597.2003,3.1415,146.1606,3.8083,,,
26000,,,,,,,,,,1000,2122.9279,41.9384
26500,,,638.5536,1142.8557,45409.6328,638.5536,2.7816,126.5077,4.5184,,,
27000,,,582.9278,1031.6897,29810.6426,582.9278,2.3961,71.9085,3.8445,,,
27000,,,,,,,,,,1000,2378.2028,41.8204
