env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.5931,1000.0,,,,,,,,,,,,,
500,,,0.158,0.6937,0.0522,-0.4852,1.0504,0.0128,-0.0959,0.2637,1.5238,0.1633,,,
1000,,,0.1823,0.6977,0.0591,-0.514,1.5047,0.0174,-0.1178,0.3797,2.1983,0.5106,,,
1000,,,,,,,,,,,,,1000,-269.5383,52.1093
1500,,,0.2004,0.6974,0.0634,-0.7985,1.2556,0.0207,-0.1255,0.415,3.4639,0.3902,,,
2000,,,0.2199,0.6882,0.0901,-1.4858,1.3006,0.0196,-0.1475,0.5061,3.2883,0.6199,,,
2000,,,,,,,,,,,,,1000,-375.7898,83.0157
2500,,,0.2339,0.6868,0.0741,-2.8949,2.0084,0.0279,-0.1427,0.6764,5.3741,0.7495,,,
3000,,,0.2487,0.6926,0.0778,-4.4231,3.2966,0.032,-0.1446,0.8907,5.9802,1.1627,,,
3000,,,,,,,,,,,,,1000,-274.8534,80.8709
3500,,,0.266,0.6882,0.0835,-5.8909,3.0894,0.0367,-0.1611,0.9007,6.671,1.6085,,,
4000,,,0.2694,0.6921,0.0879,-7.0449,4.6352,0.0369,-0.1627,1.1284,8.9019,1.2251,,,
4000,,,,,,,,,,,,,1000,-182.2064,80.342
4500,,,0.2769,0.7034,0.0877,-9.0052,4.8275,0.0392,-0.1691,1.1255,14.36,1.3371,,,
5000,,,0.2812,0.6978,0.0994,-10.4647,4.5069,0.0366,-0.1594,1.0331,7.409,1.1144,,,
5000,-233.8402,1000.0,,,,,,,,,,,,,
5000,,,,,,,,,,,,,1000,-277.644,71.9408
5500,,,0.2831,0.7057,0.0932,-11.4738,5.8152,0.0395,-0.174,1.1366,11.9179,2.2114,,,
6000,,,0.2833,0.703,0.0895,-12.1927,4.1539,0.041,-0.1783,0.8705,13.0284,1.0028,,,
6000,,,,,,,,,,,,,1000,-278.246,83.2529
6500,,,0.2817,0.6946,0.0894,-13.7994,5.9251,0.0398,-0.1752,0.9812,20.342,0.4881,,,
7000,,,0.2862,0.697,0.0911,-14.422,6.1973,0.0408,-0.1754,0.9151,10.65,1.7566,,,
7000,,,,,,,,,,,,,1000,-241.8815,84.5311
7500,,,0.2918,0.7042,0.0935,-15.14,6.2657,0.0422,-0.178,0.8943,20.2074,1.2018,,,
8000,,,0.2942,0.7125,0.0925,-15.8924,4.7577,0.0436,-0.1862,1.0313,7.701,0.8677,,,
8000,,,,,,,,,,,,,1000,-378.1381,86.2727
8500,,,0.2958,0.711,0.0935,-17.4928,6.7488,0.0439,-0.1894,1.3178,37.3778,1.1623,,,
9000,,,0.3021,0.7238,0.0977,-18.0466,8.4875,0.0448,-0.1848,1.2753,29.5533,1.5403,,,
9000,,,,,,,,,,,,,1000,-95.9684,81.4208
9500,,,0.3136,0.7253,0.1031,-19.9823,7.0427,0.0477,-0.1945,1.4017,47.6914,1.4267,,,
10000,,,0.3132,0.7302,0.098,-21.2936,6.6759,0.0498,-0.1877,1.2596,16.7051,2.5217,,,
10000,1030.8111,1000.0,,,,,,,,,,,,,
10000,,,,,,,,,,,,,1000,179.8928,72.7812
10500,,,0.3176,0.7304,0.1026,-23.5433,6.5249,0.05,-0.1985,1.489,36.747,1.6752,,,
11000,,,0.3325,0.7273,0.122,-25.9954,8.3837,0.0479,-0.2162,1.6955,40.0666,1.3616,,,
