env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.6004,1000.0,,,,,,,,,,
500,,,-0.4149,0.9955,0.017,-0.109,0.2365,1.1107,0.2614,,,
1000,,,-1.1735,0.6597,0.015,-0.1007,0.3743,1.6657,0.2422,,,
1000,,,,,,,,,,1000,-253.6556,55.0365
1500,,,-2.3105,1.1912,0.0135,-0.0953,0.5121,4.1987,0.5311,,,
2000,,,-3.9702,2.8576,0.0149,-0.107,0.6693,4.3935,0.5508,,,
2000,,,,,,,,,,1000,-364.2094,84.5977
2500,,,-6.2883,3.766,0.0174,-0.1147,0.9391,5.8587,0.7248,,,
3000,,,-9.3727,4.5107,0.0182,-0.1103,1.2413,13.2374,0.828,,,
3000,,,,,,,,,,1000,-249.2054,82.2212
3500,,,-11.843,4.101,0.0173,-0.1106,1.1303,13.9151,0.9383,,,
4000,,,-12.752,4.3316,0.0142,-0.1053,1.1905,17.3958,0.9855,,,
4000,,,,,,,,,,1000,-306.0215,84.1937
4500,,,-14.7097,5.9465,0.0211,-0.1194,1.337,18.9638,1.1678,,,
5000,,,-16.4768,5.2478,0.0152,-0.1061,1.2401,19.9212,0.767,,,
5000,-246.3126,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-191.0139,73.5177
5500,,,-18.3479,5.3799,0.0155,-0.1053,1.2473,16.3671,1.2742,,,
6000,,,-18.6613,4.8658,0.0158,-0.1061,1.286,25.6524,1.1128,,,
6000,,,,,,,,,,1000,-36.5789,83.4268
6500,,,-21.4468,3.4047,0.0138,-0.101,1.1773,15.581,1.2096,,,
7000,,,-22.2747,3.0965,0.0143,-0.0994,0.9974,11.1714,0.8413,,,
7000,,,,,,,,,,1000,-156.044,87.0345
7500,,,-24.2119,3.5428,0.0136,-0.0976,1.0598,15.0057,1.4304,,,
8000,,,-25.6553,3.8631,0.0126,-0.0959,0.9246,14.0296,1.1667,,,
8000,,,,,,,,,,1000,70.2592,86.7881
8500,,,-26.2161,3.5617,0.0123,-0.0942,1.0621,19.2084,0.853,,,
9000,,,-25.3701,3.8543,0.0116,-0.0891,0.9829,16.0351,1.4171,,,
9000,,,,,,,,,,1000,-232.3587,83.9034
9500,,,-26.8875,4.0989,0.0109,-0.0866,1.103,20.0178,1.6043,,,
