env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,995.6373,1000.0,,,,,,,,,,,,,
10,,,10,-4.6883,1.3413,,,,,,,,,,
23,,,13,-29.4375,87.4222,,,,,,,,,,
88,,,65,-77.4615,87.5272,,,,,,,,,,
500,,,,,,0.5963,0.7282,0.1935,-2.2782,0.4328,0.1375,-0.3383,1.2757,2.9148,0.5793
1000,,,,,,0.5896,0.7189,0.1492,-7.8119,1.4111,0.1076,-0.2837,3.5058,11.9433,1.6037
1088,,,1000,-1035.0039,87.3231,,,,,,,,,,
1151,,,63,-82.4523,88.558,,,,,,,,,,
1201,,,50,-65.1506,88.3465,,,,,,,,,,
1236,,,35,-61.4972,87.4657,,,,,,,,,,
1315,,,79,-17.2771,86.092,,,,,,,,,,
1380,,,65,-80.835,86.7921,,,,,,,,,,
1395,,,15,-23.4338,88.7541,,,,,,,,,,
1436,,,41,-33.0335,85.3649,,,,,,,,,,
1454,,,18,-30.2517,84.7076,,,,,,,,,,
1500,,,,,,0.5777,0.7367,0.135,-15.1296,3.6735,0.1153,-0.2549,7.0285,34.725,2.7406
1521,,,67,-44.0686,84.4295,,,,,,,,,,
1570,,,49,-45.8663,84.3944,,,,,,,,,,
1621,,,51,-18.2138,84.9358,,,,,,,,,,
1653,,,32,-47.0404,84.7607,,,,,,,,,,
1727,,,74,-32.2116,84.8078,,,,,,,,,,
1754,,,27,-43.1622,84.8014,,,,,,,,,,
1837,,,83,-93.2302,84.4366,,,,,,,,,,
1953,,,116,-134.9135,84.2947,,,,,,,,,,
2000,,,,,,0.5674,0.7431,0.1341,-25.373,6.0215,0.1246,-0.2536,11.17,88.7652,2.9003
2013,,,60,-50.5791,84.4579,,,,,,,,,,
2039,,,26,-37.2513,84.9165,,,,,,,,,,
2057,,,18,-30.2541,84.3156,,,,,,,,,,
2102,,,45,-25.8141,84.9463,,,,,,,,,,
2211,,,109,-168.2836,84.9683,,,,,,,,,,
2247,,,36,-24.4482,82.7786,,,,,,,,,,
