env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,0.8852,0.7004,0.0725,0.1216,0.7375,0.0597,0.2207,0.7523,0.2065,,,
1000,,,0.898,0.6947,0.0791,-0.1013,2.3633,0.0627,0.3938,0.8661,0.4321,,,
1000,,,,,,,,,,,,1000,-197.3642,64.2807
1500,,,0.9028,0.6849,0.083,-0.2056,2.3016,0.0588,0.5259,1.9276,0.3702,,,
2000,,,0.9443,0.6968,0.0883,-0.7799,2.4054,0.0742,0.6272,1.5222,0.3047,,,
2000,,,,,,,,,,,,1000,-339.3867,93.085
2500,,,0.9936,0.6976,0.0954,-1.0333,2.0962,0.0888,0.6764,1.6784,0.4117,,,
3000,,,1.0082,0.6911,0.099,-1.7729,2.8323,0.0966,0.7082,1.7566,0.3566,,,
3000,,,,,,,,,,,,1000,-360.6764,93.6416
3500,,,1.0491,0.6916,0.1043,-2.3205,4.1935,0.12,0.7813,1.9857,0.7683,,,
4000,,,1.0856,0.694,0.1073,-3.0192,3.4191,0.1399,0.8498,1.8515,0.5,,,
4000,,,,,,,,,,,,1000,-273.1195,93.835
4500,,,1.0731,0.6925,0.1065,-3.1773,6.0237,0.1321,0.9684,3.5896,0.8285,,,
5000,,,1.0711,0.6944,0.1043,-3.6866,3.9695,0.1293,0.8821,4.0222,0.8542,,,
5000,124.0846,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-342.3778,75.6344
5500,,,1.0736,0.7019,0.1069,-4.392,3.8582,0.1291,0.8093,2.2176,0.9937,,,
6000,,,1.0832,0.6985,0.1084,-4.7193,3.3699,0.1363,0.786,2.3829,0.7841,,,
6000,,,,,,,,,,,,1000,-283.9411,95.5992
6500,,,1.073,0.6939,0.1068,-5.3261,2.2676,0.132,0.9563,4.2935,0.4597,,,
7000,,,1.0741,0.6926,0.1044,-5.1647,2.89,0.1369,0.6479,3.6986,0.7855,,,
7000,,,,,,,,,,,,1000,-261.4838,92.28
7500,,,1.0881,0.6923,0.1082,-6.4184,2.7008,0.1478,0.9381,4.919,0.7454,,,
8000,,,1.0784,0.6907,0.1066,-7.497,3.0339,0.1378,0.7667,3.605,0.7355,,,
8000,,,,,,,,,,,,1000,-205.7856,92.9714
8500,,,1.0928,0.7047,0.1097,-7.3471,2.2295,0.1418,0.8423,2.5532,0.5694,,,
9000,,,1.0911,0.6993,0.1081,-8.0509,2.2593,0.1431,0.7662,3.2747,0.6882,,,
9000,,,,,,,,,,,,1000,-180.3524,99.203
9500,,,1.0958,0.6888,0.1093,-9.104,3.3379,0.148,0.8509,3.0737,0.7127,,,
10000,,,1.1156,0.6967,0.1122,-10.1344,2.883,0.1637,1.1702,7.7606,0.9987,,,
10000,421.3637,1000.0,,,,,,,,,,,,
10000,,,,,,,,,,,,1000,36.4592,80.1736
10500,,,1.1641,0.7007,0.1174,-11.8652,2.8523,0.1919,1.2185,4.2539,0.6891,,,
11000,,,1.158,0.6958,0.1152,-12.4753,2.9978,0.1943,1.0159,3.3115,0.7077,,,
11000,,,,,,,,,,,,1000,273.6062,96.2547
11500,,,1.1841,0.7057,0.1184,-14.3205,3.095,0.1969,1.0427,4.5317,0.8468,,,
12000,,,1.1496,0.7044,0.1167,-14.3089,3.0864,0.1729,1.2855,4.4275,0.7809,,,
12000,,,,,,,,,,,,1000,288.5267,93.991
12500,,,1.181,0.7032,0.1195,-16.5524,3.9824,0.1936,1.2732,4.3609,1.0166,,,
13000,,,1.1858,0.6957,0.119,-16.3048,3.5125,0.212,1.168,6.4814,0.8825,,,
13000,,,,,,,,,,,,1000,11.8353,98.443
13500,,,1.1925,0.706,0.1205,-17.1271,3.8397,0.2139,1.1868,6.2294,0.9624,,,
14000,,,1.2013,0.7028,0.1223,-17.8938,3.8239,0.2201,1.2549,6.0166,0.9782,,,
14000,,,,,,,,,,,,1000,-67.2521,92.7504
14500,,,1.2149,0.7159,0.1219,-19.4939,3.4075,0.2258,1.287,9.1183,0.8383,,,
15000,,,1.2432,0.7052,0.1262,-21.2872,3.9614,0.25,1.211,7.7078,1.1548,,,
15000,1090.4976,1000.0,,,,,,,,,,,,
15000,,,,,,,,,,,,1000,536.5281,77.0286
15500,,,1.2305,0.7043,0.1234,-22.0832,3.005,0.2496,1.45,5.4505,1.0415,,,
16000,,,1.2327,0.7025,0.1251,-23.8281,3.4737,0.2481,1.5791,19.327,1.139,,,
16000,,,,,,,,,,,,1000,24.7946,92.9349
16500,,,1.2505,0.7183,0.1288,-23.7601,5.2608,0.2457,1.2855,8.7387,2.1396,,,
17000,,,1.2801,0.7156,0.1308,-25.4063,3.5071,0.2805,1.6687,7.0429,1.0959,,,
