env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,222.2008,42.8,,,,,,,,,,,,,
18,,,18,87.1021,2.1034,,,,,,,,,,
39,,,21,103.1111,72.5292,,,,,,,,,,
55,,,16,76.4997,72.3507,,,,,,,,,,
85,,,30,149.4427,72.8837,,,,,,,,,,
106,,,21,105.0433,72.8786,,,,,,,,,,
125,,,19,93.6315,72.9129,,,,,,,,,,
142,,,17,81.1221,73.4297,,,,,,,,,,
159,,,17,81.9851,72.8642,,,,,,,,,,
189,,,30,156.0779,72.7688,,,,,,,,,,
209,,,20,99.0542,73.1242,,,,,,,,,,
231,,,22,108.6161,72.9545,,,,,,,,,,
256,,,25,126.4876,73.0263,,,,,,,,,,
291,,,35,170.3525,73.0408,,,,,,,,,,
307,,,16,76.4984,73.085,,,,,,,,,,
337,,,30,146.768,73.1003,,,,,,,,,,
364,,,27,140.5314,72.8608,,,,,,,,,,
382,,,18,86.3896,73.5487,,,,,,,,,,
421,,,39,187.8448,72.91,,,,,,,,,,
443,,,22,110.2606,72.9538,,,,,,,,,,
471,,,28,138.5156,72.9707,,,,,,,,,,
500,,,,,,0.4409,0.5667,0.0715,-14.5928,0.5742,0.0487,-0.1282,0.3906,1.1266,0.3324
512,,,41,170.9767,73.0392,,,,,,,,,,
532,,,20,100.149,73.1023,,,,,,,,,,
550,,,18,86.4036,73.0472,,,,,,,,,,
586,,,36,174.6793,73.045,,,,,,,,,,
606,,,20,96.8345,73.4664,,,,,,,,,,
637,,,31,153.3944,72.9015,,,,,,,,,,
676,,,39,182.127,73.0208,,,,,,,,,,
709,,,33,156.4044,73.1625,,,,,,,,,,
743,,,34,172.4294,73.1291,,,,,,,,,,
784,,,41,185.6396,72.1107,,,,,,,,,,
813,,,29,140.5584,71.7185,,,,,,,,,,
839,,,26,126.1991,72.949,,,,,,,,,,
880,,,41,203.4584,73.1378,,,,,,,,,,
906,,,26,128.1543,72.9609,,,,,,,,,,
949,,,43,197.2545,72.7192,,,,,,,,,,
975,,,26,134.7353,73.1186,,,,,,,,,,
1000,,,,,,0.5024,0.5729,0.1159,-25.517,0.898,0.0493,-0.2001,0.6569,2.111,0.554
1003,,,28,138.5698,73.1002,,,,,,,,,,
1036,,,33,162.2174,73.0985,,,,,,,,,,
1057,,,21,100.616,72.0833,,,,,,,,,,
1075,,,18,86.4081,73.1375,,,,,,,,,,
1093,,,18,87.5504,73.3058,,,,,,,,,,
1110,,,17,81.2601,73.1285,,,,,,,,,,
1143,,,33,154.883,71.5801,,,,,,,,,,
1164,,,21,101.2079,73.2599,,,,,,,,,,
1213,,,49,266.1619,73.306,,,,,,,,,,
1231,,,18,86.5123,73.3433,,,,,,,,,,
1268,,,37,189.3085,72.3695,,,,,,,,,,
1311,,,43,213.3118,73.201,,,,,,,,,,
1332,,,21,103.7117,73.2863,,,,,,,,,,
1366,,,34,175.7174,73.0484,,,,,,,,,,
1409,,,43,213.4495,73.1151,,,,,,,,,,
1466,,,57,311.7413,72.3475,,,,,,,,,,
1487,,,21,103.0815,73.006,,,,,,,,,,
1500,,,,,,0.5382,0.5754,0.1283,-37.2126,2.1992,0.0441,-0.2431,2.3628,31.3091,0.9884
1512,,,25,127.724,72.6961,,,,,,,,,,
1576,,,64,337.4701,72.9969,,,,,,,,,,
1628,,,52,273.8385,73.1337,,,,,,,,,,
1657,,,29,148.9454,73.057,,,,,,,,,,
1696,,,39,191.8187,72.8865,,,,,,,,,,
1727,,,31,150.9458,72.7169,,,,,,,,,,
1746,,,19,93.4781,73.0278,,,,,,,,,,
1800,,,54,256.4683,72.6429,,,,,,,,,,
1845,,,45,214.6916,72.8227,,,,,,,,,,
1868,,,23,114.4489,72.902,,,,,,,,,,
1919,,,51,255.6551,70.4561,,,,,,,,,,
1957,,,38,185.2471,72.4616,,,,,,,,,,
1985,,,28,139.687,72.9505,,,,,,,,,,
2000,,,,,,0.5531,0.5799,0.163,-50.3009,4.0775,0.0544,-0.2707,1.7005,21.5544,1.2437
2040,,,55,275.1961,72.5915,,,,,,,,,,
2081,,,41,210.4832,72.9839,,,,,,,,,,
2135,,,54,288.2178,68.5007,,,,,,,,,,
2161,,,26,128.441,72.8455,,,,,,,,,,
2205,,,44,224.0586,72.9406,,,,,,,,,,
2238,,,33,168.5629,72.7007,,,,,,,,,,
2297,,,59,312.636,72.8269,,,,,,,,,,
2339,,,42,214.7782,72.7401,,,,,,,,,,
2370,,,31,141.2802,72.8316,,,,,,,,,,
2409,,,39,188.1052,72.8072,,,,,,,,,,
2445,,,36,190.1436,72.716,,,,,,,,,,
2471,,,26,127.4539,73.0238,,,,,,,,,,
2500,,,,,,0.5661,0.5794,0.1304,-65.6029,4.5571,0.0393,-0.2562,5.6164,54.7143,1.39
2510,,,39,203.9339,72.6776,,,,,,,,,,
2530,,,20,97.9286,73.2771,,,,,,,,,,
2558,,,28,142.7778,72.8134,,,,,,,,,,
2595,,,37,173.5235,73.2205,,,,,,,,,,
2640,,,45,220.3105,73.1153,,,,,,,,,,
2706,,,66,322.1792,73.2485,,,,,,,,,,
2747,,,41,205.6445,73.1673,,,,,,,,,,
2780,,,33,179.3113,73.0551,,,,,,,,,,
2818,,,38,183.3184,73.2109,,,,,,,,,,
2849,,,31,159.8953,73.2396,,,,,,,,,,
2874,,,25,129.2371,72.8952,,,,,,,,,,
2896,,,22,108.8478,73.2704,,,,,,,,,,
2937,,,41,220.6941,72.7899,,,,,,,,,,
2959,,,22,113.3842,73.1124,,,,,,,,,,
2982,,,23,114.0893,73.1292,,,,,,,,,,
3000,,,,,,0.5671,0.5841,0.1436,-81.7671,6.5791,0.0437,-0.2754,4.6351,38.0341,1.437
3007,,,25,122.9757,72.6435,,,,,,,,,,
3043,,,36,176.3627,72.5226,,,,,,,,,,
3077,,,34,174.3906,72.4959,,,,,,,,,,
3121,,,44,230.6442,72.9901,,,,,,,,,,
3138,,,17,81.546,73.4724,,,,,,,,,,
3186,,,48,244.1398,71.4123,,,,,,,,,,
3212,,,26,133.1212,71.9673,,,,,,,,,,
3251,,,39,199.0698,72.6416,,,,,,,,,,
3280,,,29,145.6634,73.0122,,,,,,,,,,
