env_steps,return,length,train/length,train/return,FPS,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
0,39.1204,57.1,,,,,,,,,,,,,
13,,,13,-2.7422,1.8414,,,,,,,,,,
50,,,37,-0.5886,90.161,,,,,,,,,,
265,,,215,-16.5557,91.2904,,,,,,,,,,
469,,,204,9.6161,89.6844,,,,,,,,,,
500,,,,,,0.6149,0.694,0.2157,-2.4145,0.3692,0.115,-0.3991,0.1226,1.11,0.1279
732,,,263,239.3142,87.6354,,,,,,,,,,
987,,,255,353.8772,87.5859,,,,,,,,,,
1000,,,,,,0.6166,0.7029,0.2241,-6.2905,0.3642,0.1257,-0.4376,0.3392,2.3277,0.1547
1151,,,164,38.1561,87.7921,,,,,,,,,,
1265,,,114,-7.3093,87.935,,,,,,,,,,
1500,,,,,,0.5866,0.7062,0.2074,-10.3282,0.9151,0.1335,-0.3977,0.7461,5.088,0.3715
1620,,,355,489.9345,87.3012,,,,,,,,,,
1894,,,274,468.1112,87.9238,,,,,,,,,,
2000,,,,,,0.5771,0.7174,0.2124,-15.8501,0.7223,0.1504,-0.4144,1.1575,11.6016,0.2395
2211,,,317,164.1301,87.9444,,,,,,,,,,
2479,,,268,117.8896,87.8617,,,,,,,,,,
2500,,,,,,0.5747,0.7231,0.213,-19.4254,1.976,0.1582,-0.399,2.3538,11.9476,0.6321
2533,,,54,43.0303,87.8503,,,,,,,,,,
2693,,,160,247.9749,88.0776,,,,,,,,,,
2847,,,154,67.0967,87.8118,,,,,,,,,,
3000,,,,,,0.5758,0.7281,0.216,-26.4912,2.238,0.1633,-0.4083,5.2231,19.6811,0.7428
3125,,,278,131.1347,87.7537,,,,,,,,,,
3254,,,129,205.9061,87.7751,,,,,,,,,,
3500,,,,,,0.5785,0.7322,0.2126,-31.7208,1.907,0.1611,-0.4026,4.0016,45.2425,1.0151
3535,,,281,225.7859,87.8784,,,,,,,,,,
3603,,,68,19.4899,87.4262,,,,,,,,,,
3677,,,74,-9.8202,87.0979,,,,,,,,,,
3735,,,58,14.0352,87.6818,,,,,,,,,,
3940,,,205,282.7093,87.64,,,,,,,,,,
4000,,,,,,0.572,0.7303,0.2193,-39.1632,2.9195,0.1717,-0.4183,7.069,45.0377,1.7855
4037,,,97,-5.514,87.3204,,,,,,,,,,
4130,,,93,-18.7718,87.7684,,,,,,,,,,
4278,,,148,31.8275,87.7387,,,,,,,,,,
4345,,,67,-7.3782,87.629,,,,,,,,,,
4430,,,85,27.3619,88.1155,,,,,,,,,,
4490,,,60,33.2349,91.511,,,,,,,,,,
4500,,,,,,0.5788,0.7308,0.2462,-43.7584,3.51,0.1859,-0.4345,8.8428,134.8219,1.8507
4633,,,143,257.0123,90.0466,,,,,,,,,,
4767,,,134,72.054,87.5817,,,,,,,,,,
4881,,,114,25.329,87.9074,,,,,,,,,,
4989,,,108,8.4643,87.3058,,,,,,,,,,
5000,,,,,,0.5745,0.7355,0.2056,-51.7726,4.209,0.1605,-0.39,9.9514,99.8883,2.5861
5000,319.7406,300.5,,,,,,,,,,,,,
5115,,,126,240.3257,56.4673,,,,,,,,,,
5129,,,14,4.2068,88.057,,,,,,,,,,
5223,,,94,172.437,87.8333,,,,,,,,,,
5329,,,106,56.1442,87.5625,,,,,,,,,,
5500,,,,,,0.5653,0.7411,0.1975,-58.8962,3.4978,0.1689,-0.3849,8.6595,78.069,1.7218
5544,,,215,204.9381,86.8033,,,,,,,,,,
5682,,,138,11.8174,86.4656,,,,,,,,,,
5740,,,58,18.2029,82.6109,,,,,,,,,,
5864,,,124,87.337,87.9537,,,,,,,,,,
5933,,,69,77.0679,87.9117,,,,,,,,,,
6000,,,,,,0.5602,0.7535,0.2071,-65.5191,4.4711,0.1893,-0.4072,9.9116,89.5498,2.3322
6072,,,139,-66.563,87.2936,,,,,,,,,,
6141,,,69,48.4134,87.6035,,,,,,,,,,
6187,,,46,10.076,87.4671,,,,,,,,,,
6232,,,45,24.5193,87.434,,,,,,,,,,
6407,,,175,240.1886,87.7013,,,,,,,,,,
6432,,,25,-0.3691,87.8605,,,,,,,,,,
6488,,,56,27.4794,87.5369,,,,,,,,,,
6500,,,,,,0.5495,0.7454,0.1985,-73.1634,5.3174,0.1842,-0.3929,14.4788,161.7058,3.6036
6594,,,106,156.8696,87.6617,,,,,,,,,,
6609,,,15,2.7139,87.348,,,,,,,,,,
6651,,,42,4.4017,87.511,,,,,,,,,,
6688,,,37,3.1916,87.8291,,,,,,,,,,
6734,,,46,6.2683,87.8164,,,,,,,,,,
6743,,,9,-1.9334,86.9416,,,,,,,,,,
6796,,,53,17.5865,87.761,,,,,,,,,,
6908,,,112,47.3162,87.5596,,,,,,,,,,
6940,,,32,15.3608,87.5675,,,,,,,,,,
