env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-27.2998,1000.0,,,,,,,,,,,,
500,,,0.6819,0.7015,0.0431,0.4832,3.1164,0.1163,0.2782,0.9885,0.3006,,,
1000,,,0.6597,0.6965,0.0452,0.043,1.9119,0.0983,0.5471,1.2093,0.2388,,,
1000,,,,,,,,,,,,1000,-201.1288,63.6286
1500,,,0.6547,0.6896,0.0462,-0.2042,2.4273,0.0942,0.6226,0.7608,0.3161,,,
2000,,,0.6658,0.6933,0.0481,-0.6373,3.5597,0.1017,0.7705,1.8351,0.3075,,,
2000,,,,,,,,,,,,1000,-261.9713,96.2914
2500,,,0.6911,0.6965,0.052,-0.8918,3.4292,0.116,0.9181,1.1372,0.3574,,,
3000,,,0.7071,0.6915,0.056,-1.5228,2.9138,0.1293,0.9833,1.5696,0.3713,,,
3000,,,,,,,,,,,,1000,-197.626,94.8658
3500,,,0.725,0.6982,0.0592,-1.9733,3.2377,0.14,1.0653,1.836,0.273,,,
4000,,,0.755,0.6958,0.0627,-2.5208,4.998,0.1647,1.2848,2.2933,0.5417,,,
4000,,,,,,,,,,,,1000,-368.004,94.7058
4500,,,0.7597,0.695,0.0643,-2.7028,3.8054,0.1666,1.3677,1.8499,0.4521,,,
5000,,,0.7797,0.6968,0.0663,-2.9673,3.6969,0.1812,1.3482,2.2732,0.4031,,,
5000,-143.8392,1000.0,,,,,,,,,,,,
5000,,,,,,,,,,,,1000,-351.8259,76.5069
5500,,,0.7862,0.707,0.0672,-3.8642,3.8305,0.1823,1.3985,5.1322,0.6047,,,
6000,,,0.8119,0.7015,0.0712,-3.9815,4.2825,0.2092,1.2349,3.5262,0.3014,,,
6000,,,,,,,,,,,,1000,-275.638,95.8094
6500,,,0.815,0.6925,0.0713,-4.6711,5.7458,0.2134,1.3702,4.7688,0.46,,,
7000,,,0.7872,0.694,0.0673,-4.5383,5.2206,0.192,1.1474,3.5577,0.935,,,
7000,,,,,,,,,,,,1000,-378.334,96.4151
7500,,,0.7977,0.6912,0.0686,-5.6426,4.2712,0.2009,1.0361,2.9698,0.752,,,
8000,,,0.7762,0.6951,0.0658,-6.3609,4.1023,0.1801,0.9531,4.4955,0.3538,,,
8000,,,,,,,,,,,,1000,-231.8825,94.621
8500,,,0.7843,0.7062,0.0678,-6.5524,4.905,0.1831,1.1032,4.4598,0.56,,,
9000,,,0.7818,0.6951,0.0659,-6.7246,4.7592,0.1879,1.0051,4.1114,0.8196,,,
9000,,,,,,,,,,,,1000,-212.1167,96.4226
