env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
0,-0.572,1000.0,,,,,,,,,,
500,,,-0.2644,1.5364,0.016,-0.1053,0.2008,1.0575,0.1438,,,
1000,,,-1.0515,0.8139,0.0163,-0.1032,0.3517,1.7096,0.4115,,,
1000,,,,,,,,,,1000,-276.5175,53.6453
1500,,,-1.9356,1.104,0.0136,-0.0925,0.503,2.6486,0.3992,,,
2000,,,-3.6766,1.8129,0.0212,-0.1263,0.5611,4.4404,0.4629,,,
2000,,,,,,,,,,1000,-329.2814,85.2161
2500,,,-5.3926,2.8531,0.0169,-0.1136,0.8325,8.4989,0.4956,,,
3000,,,-7.561,2.445,0.0183,-0.1159,0.8863,9.6615,0.8816,,,
3000,,,,,,,,,,1000,-150.9287,87.4155
3500,,,-9.2223,3.5691,0.0166,-0.1039,0.8138,8.3544,0.7899,,,
4000,,,-11.3488,4.9388,0.0169,-0.1096,0.9669,16.1035,0.8717,,,
4000,,,,,,,,,,1000,-364.3933,89.2415
4500,,,-12.0115,4.7531,0.0135,-0.1006,0.8394,21.4615,1.3516,,,
5000,,,-12.4854,4.0067,0.0127,-0.096,0.9475,12.8744,0.9398,,,
5000,78.2568,1000.0,,,,,,,,,,
5000,,,,,,,,,,1000,-323.8338,76.3954
5500,,,-15.3878,5.6728,0.0129,-0.0984,0.9532,18.5792,0.7549,,,
6000,,,-16.0392,6.1737,0.014,-0.0987,1.145,22.4262,1.2103,,,
6000,,,,,,,,,,1000,-368.3541,89.6411
6500,,,-19.0777,5.7787,0.0152,-0.1006,1.6332,42.447,1.368,,,
7000,,,-20.3579,7.2726,0.0131,-0.0974,2.233,29.7865,2.7822,,,
7000,,,,,,,,,,1000,-116.0526,88.6826
7500,,,-23.8637,6.6102,0.0155,-0.098,2.9812,36.8819,2.5579,,,
8000,,,-29.5646,5.8346,0.0114,-0.0892,3.0342,45.4913,2.0566,,,
8000,,,,,,,,,,1000,132.2043,87.317
8500,,,-31.6438,6.6808,0.0142,-0.0893,3.4711,61.6464,1.8275,,,
9000,,,-35.522,6.9268,0.0121,-0.0902,3.4926,74.0547,1.9997,,,
9000,,,,,,,,,,1000,-214.3921,85.5846
9500,,,-40.4214,8.1593,0.0119,-0.0877,4.4161,73.8112,2.4295,,,
10000,,,-43.0265,6.6741,0.0108,-0.0845,4.8825,102.0855,2.0222,,,
10000,1494.0053,1000.0,,,,,,,,,,
10000,,,,,,,,,,1000,390.5293,74.9957
10500,,,-51.0904,7.7337,0.0108,-0.0862,5.6119,81.0403,2.5713,,,
11000,,,-55.8079,6.8389,0.0111,-0.0839,5.5821,85.8221,2.1069,,,
11000,,,,,,,,,,1000,618.1368,83.0492
11500,,,-62.4348,9.6912,0.0098,-0.0819,5.8202,97.3658,3.1732,,,
12000,,,-63.8926,8.1903,0.0111,-0.0856,5.9854,124.6939,4.0552,,,
12000,,,,,,,,,,1000,469.2544,82.9477
12500,,,-72.5652,8.1386,0.0113,-0.0838,4.9384,84.6947,3.8368,,,
13000,,,-76.9469,9.5086,0.0092,-0.0747,5.1563,138.4324,2.6675,,,
13000,,,,,,,,,,1000,666.5964,82.7976
13500,,,-81.5129,7.7595,0.011,-0.0826,4.4562,108.8461,2.4475,,,
14000,,,-85.0237,7.4113,0.0091,-0.0787,3.8359,153.097,2.4415,,,
14000,,,,,,,,,,1000,563.5779,82.4529
14500,,,-85.8945,5.1075,0.009,-0.0731,3.612,88.1665,2.7786,,,
15000,,,-90.9663,5.2712,0.0074,-0.071,2.647,89.5463,2.1363,,,
15000,1910.7991,1000.0,,,,,,,,,,
15000,,,,,,,,,,1000,846.7383,74.0496
15500,,,-94.279,5.5765,0.0068,-0.0663,2.5492,98.536,2.1422,,,
16000,,,-98.4154,5.1735,0.0096,-0.0708,2.1921,57.903,2.6526,,,
16000,,,,,,,,,,1000,781.2156,86.6787
16500,,,-96.8746,4.1852,0.0078,-0.0666,2.0967,98.4482,2.2111,,,
17000,,,-98.5845,5.1347,0.0065,-0.0627,1.908,61.8596,2.8742,,,
17000,,,,,,,,,,1000,907.956,85.7888
